basis,name,position,base_value,mult_flat,mult_curve,value_flat,value_curve,divergence,rank_flat,rank_curve,rank_shift
comp,J'Mari Taylor,RB,271,1.367,0.944,370,256,-31.0%,337,429,-92
comp,Jake Bobo,WR,454,0.869,1.531,395,695,+76.1%,326,271,55
comp,Kendall Milton,RB,256,1.367,0.937,350,240,-31.4%,352,439,-87
comp,Xavier Gipson,WR,222,0.869,1.811,193,402,+108.4%,444,369,75
comp,Kenny McIntosh,RB,598,1.367,1.039,817,621,-24.0%,246,287,-41
comp,Mason Tipton,WR,222,0.869,1.811,193,402,+108.4%,445,370,75
comp,Sione Vaki,RB,254,1.367,0.936,347,238,-31.5%,355,440,-85
comp,Frank Gore Jr.,RB,568,1.367,1.032,776,586,-24.5%,248,295,-47
comp,Barion Brown,WR,223,0.869,1.809,194,403,+108.2%,442,367,75
comp,Le'Veon Moss,RB,250,1.367,0.935,342,234,-31.6%,356,441,-85
comp,Bo Melton,WR,221,0.869,1.813,192,401,+108.6%,446,371,75
comp,Zach Wilson,QB,300,0.936,0.553,281,166,-40.9%,389,460,-71
comp,Brenden Rice,WR,218,0.869,1.819,189,396,+109.3%,448,374,74
comp,Arian Smith,WR,216,0.869,1.823,188,394,+109.7%,450,377,73
comp,Hassan Haskins,RB,247,1.367,0.933,338,231,-31.7%,358,442,-84
comp,Skyy Moore,WR,223,0.869,1.809,194,403,+108.2%,443,368,75
comp,Jam Miller,RB,353,1.367,0.974,483,344,-28.7%,303,402,-99
comp,Cole Payton,QB,309,0.936,0.556,289,172,-40.6%,386,459,-73
comp,Thomas Fidone,TE,281,0.899,1.126,253,316,+25.2%,404,414,-10
comp,Lil'Jordan Humphrey,WR,210,0.869,1.835,182,385,+111.1%,451,381,70
comp,Drew Lock,QB,958,0.936,0.676,897,648,-27.8%,236,280,-44
comp,Jamari Thrash,WR,208,0.869,1.839,181,382,+111.6%,452,382,70
comp,Tyler Conklin,TE,587,0.899,1.078,528,633,+19.9%,287,285,2
comp,Jawhar Jordan,RB,440,1.367,1.001,601,440,-26.8%,270,356,-86
comp,Alexander Mattison,RB,231,1.367,0.926,316,214,-32.3%,368,445,-77
comp,Demarcus Robinson,WR,217,0.869,1.821,189,395,+109.5%,449,375,74
comp,Johnny Wilson,WR,221,0.869,1.813,192,401,+108.6%,447,372,75
comp,Samaje Perine,RB,643,1.367,1.048,879,674,-23.3%,239,276,-37
comp,Elijah Mitchell,RB,221,1.367,0.921,302,203,-32.6%,378,446,-68
comp,Bub Means,WR,203,0.869,1.849,176,375,+112.8%,454,386,68
comp,Zavier Scott,RB,214,1.367,0.917,293,196,-32.9%,385,447,-62
comp,Jeremy McNichols,RB,243,1.367,0.931,332,226,-31.9%,360,443,-83
comp,Ainias Smith,WR,196,0.869,1.865,170,365,+114.6%,457,394,63
comp,Derius Davis,WR,197,0.869,1.862,171,367,+114.3%,455,392,63
comp,Ty Chandler,RB,204,1.367,0.912,279,186,-33.3%,391,454,-63
comp,Terrell Jennings,RB,201,1.367,0.91,275,183,-33.4%,392,456,-64
comp,Malik Heath,WR,190,0.869,1.878,165,357,+116.1%,459,396,63
comp,LaJohntay Wester,WR,192,0.869,1.874,167,360,+115.6%,458,395,63
comp,Colbie Young,WR,299,0.869,1.688,260,505,+94.3%,403,321,82
comp,Dylan Laube,RB,195,1.367,0.907,267,177,-33.7%,398,457,-59
comp,AJ Dillon,RB,193,1.367,0.906,264,175,-33.7%,400,458,-58
comp,Tyler Johnson,WR,190,0.869,1.878,165,357,+116.1%,460,397,63
comp,Kyle McCord,QB,265,0.936,0.541,248,143,-42.2%,410,464,-54
comp,Devin Duvernay,WR,180,0.869,1.902,156,342,+118.9%,461,403,58
comp,Nathan Carter,RB,182,1.367,0.899,249,164,-34.2%,408,461,-53
comp,Zay Jones,WR,178,0.869,1.907,155,340,+119.5%,462,404,58
comp,Mason Rudolph,QB,1702,0.936,0.747,1593,1271,-20.2%,186,208,-22
comp,Sterling Shepard,WR,177,0.869,1.91,154,338,+119.8%,463,405,58
comp,Van Jefferson,WR,208,0.869,1.839,181,382,+111.6%,453,383,70
comp,Khalil Herbert,RB,182,1.367,0.899,249,164,-34.2%,409,462,-53
comp,Trayveon Williams,RB,181,1.367,0.899,247,163,-34.2%,411,463,-52
comp,Jermaine Burton,WR,172,0.869,1.923,149,331,+121.3%,464,408,56
comp,Tim Patrick,WR,197,0.869,1.862,171,367,+114.3%,456,393,63
comp,Malik Benson,WR,390,0.869,1.586,339,619,+82.5%,357,288,69
