rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
89,Zack Moss,19263,zack-moss,,,RB,34,88,&nbsp;,91.3,6845
90,Tyler Boyd,15547,tyler-boyd,,,WR,37,95,&nbsp;,91.8,3225
91,James Conner,16447,james-conner,ARI,12,RB,35,99,&nbsp;,92.5,4137
92,Noah Fant,17527,noah-fant,NO,6,TE,9,83,&nbsp;,94.8,5857
93,DJ Chark Jr.,17292,dj-chark,,,WR,38,82,&nbsp;,96.3,4951
94,Michael Carter,22728,michael-carter-rb,TEN,13,RB,36,100,&nbsp;,96.5,7607
95,Jalen Hurts,19275,jalen-hurts,PHI,14,QB,12,103,&nbsp;,97.0,6904
96,Brandin Cooks,12122,brandin-cooks,,,WR,39,101,&nbsp;,98.8,2197
97,Jarvis Landry,12128,jarvis-landry,,,WR,40,98,&nbsp;,98.8,1825
98,Devin Singletary,18280,devin-singletary,NYG,10,RB,37,113,&nbsp;,98.8,6130
99,Dallas Goedert,17270,dallas-goedert,PHI,14,TE,10,79,&nbsp;,99.8,5022
100,Rob Gronkowski,9721,rob-gronkowski,,,TE,11,92,&nbsp;,100.5,515
101,Corey Davis,16385,corey-davis,,,WR,41,107,&nbsp;,101.3,4036
102,Los Angeles Rams,8280,,,11,DST,1,102,&nbsp;,102.5,
103,Laviska Shenault Jr.,19221,laviska-shenault,,,WR,42,105,&nbsp;,102.8,6814
104,Sony Michel,17309,sony-michel,,,RB,38,109,&nbsp;,106.3,4962
105,Pittsburgh Steelers,8240,,,7,DST,2,118,&nbsp;,107.0,
106,Joe Burrow,19196,joe-burrow,CIN,10,QB,13,120,&nbsp;,107.8,6770
107,Tampa Bay Buccaneers,8290,,,9,DST,3,90,&nbsp;,108.0,
108,Kenyan Drake,15637,kenyan-drake,,,RB,39,110,&nbsp;,110.8,3242
109,Michael Pittman Jr.,19278,michael-pittman,PIT,7,WR,43,121,&nbsp;,111.8,6819
110,Jamaal Williams,16424,jamaal-williams,,,RB,40,123,&nbsp;,113.8,4149
111,David Johnson,13948,david-johnson-rb,,,RB,41,104,&nbsp;,115.0,2391
112,Mike Gesicki,17272,mike-gesicki,CIN,10,TE,12,106,&nbsp;,115.8,4993
113,Tyler Higbee,15623,tyler-higbee,LAR,11,TE,13,115,&nbsp;,116.8,3271
114,Justin Tucker,11465,justin-tucker,,,K,1,94,&nbsp;,117.0,1264
115,Jaylen Waddle,19790,jaylen-waddle,DEN,11,WR,44,111,&nbsp;,117.0,7526
116,Mike Williams,16377,mike-williams-wr,,,WR,45,116,&nbsp;,118.0,
117,Washington Commanders,8310,,,9,DST,4,114,&nbsp;,119.0,
118,Marquez Callaway,19505,marquez-callaway,,,WR,46,136,&nbsp;,119.3,6989
119,William Fuller V,15629,will-fuller,,,WR,47,112,&nbsp;,120.0,3157
120,Harrison Butker,16712,harrison-butker,KC,12,K,2,108,&nbsp;,121.0,4227
121,Baltimore Ravens,8020,,,8,DST,5,117,&nbsp;,123.0,
122,Mecole Hardman Jr.,18587,mecole-hardman,BUF,7,WR,48,128,&nbsp;,124.0,5917
123,Hollywood Brown,18226,marquise-brown,PHI,14,WR,49,131,&nbsp;,126.5,5848
124,Michael Gallup,17259,michael-gallup,,,WR,50,126,&nbsp;,127.0,5038
125,Tony Pollard,18705,tony-pollard,TEN,13,RB,42,140,&nbsp;,128.8,5967
126,Henry Ruggs III,19207,henry-ruggs,,,WR,51,144,&nbsp;,129.0,6789
127,Trevor Lawrence,19780,trevor-lawrence,JAC,7,QB,14,122,&nbsp;,129.8,7523
128,Matt Ryan,9444,matt-ryan,,,QB,15,151,&nbsp;,130.3,24
129,Baker Mayfield,17237,baker-mayfield,TB,9,QB,16,139,&nbsp;,131.5,4892
130,Buffalo Bills,8030,,,7,DST,6,124,&nbsp;,133.5,
131,Curtis Samuel,16434,curtis-samuel,,,WR,52,127,&nbsp;,136.5,4082
132,Younghoe Koo,16910,younghoe-koo,,,K,3,119,&nbsp;,136.8,4666
133,San Francisco 49ers,8270,,,6,DST,7,129,&nbsp;,137.3,
134,Darnell Mooney,19810,darnell-mooney,NYG,10,WR,53,142,&nbsp;,138.0,7090
135,Nyheim Miller-Hines,17297,nyheim-hines,,,RB,43,132,&nbsp;,138.0,5347
136,Jonnu Smith,16460,jonnu-smith,,,TE,14,138,&nbsp;,138.3,4144
137,Justin Fields,19781,justin-fields,KC,12,QB,17,143,&nbsp;,140.3,7591
138,Marvin Jones Jr.,11215,marvin-jones,,,WR,54,153,&nbsp;,140.5,1067
139,Alexander Mattison,18621,alexander-mattison,,,RB,44,161,&nbsp;,144.0,5987
140,Cole Beasley,11459,cole-beasley,,,WR,55,166,&nbsp;,144.5,1144
141,Trey Lance,20082,trey-lance,LAC,7,QB,18,147,&nbsp;,145.0,7610
142,J.D. McKissic,16230,jd-mckissic,,,RB,45,170,&nbsp;,146.5,3664
143,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,14,RB,46,137,&nbsp;,148.0,7611
144,Tyler Bass,19760,tyler-bass,BUF,7,K,4,130,&nbsp;,148.8,7042
145,Tevin Coleman,13926,tevin-coleman,,,RB,47,160,&nbsp;,150.8,2378
146,DeVante Parker,13897,devante-parker,,,WR,56,163,&nbsp;,152.0,2319
147,Jakobi Meyers,18598,jakobi-meyers,JAC,7,WR,57,156,&nbsp;,152.3,5947
148,Indianapolis Colts,8130,,,14,DST,8,162,&nbsp;,153.0,
149,Kirk Cousins,11177,kirk-cousins,LV,8,QB,19,165,&nbsp;,154.3,1166
150,Jared Cook,9265,jared-cook,,,TE,15,158,&nbsp;,154.5,367
151,Jameis Winston,13891,jameis-winston,NYG,10,QB,20,157,&nbsp;,155.8,2306
152,Ben Roethlisberger,9039,ben-roethlisberger,,,QB,21,182,&nbsp;,156.0,138
153,New England Patriots,8180,,,14,DST,9,152,&nbsp;,156.5,
154,Phillip Lindsay,17498,phillip-lindsay,,,RB,48,125,&nbsp;,159.5,5170
155,Latavius Murray,11821,latavius-murray,,,RB,49,154,&nbsp;,160.3,1476
156,Rodrigo Blankenship,19469,rodrigo-blankenship,,,K,5,135,&nbsp;,164.3,7062
157,Jason Sanders,17533,jason-sanders,NYJ,6,K,6,133,&nbsp;,167.3,5119
158,Nelson Agholor,13969,nelson-agholor,,,WR,58,167,&nbsp;,168.3,2325
159,Russell Gage Jr.,17606,russell-gage,,,WR,59,185,&nbsp;,171.0,5110
160,Mac Jones,20156,mac-jones,SF,6,QB,22,171,&nbsp;,171.8,7527
161,Denver Broncos,8090,,,11,DST,10,134,&nbsp;,172.5,
162,Tua Tagovailoa,19198,tua-tagovailoa,ATL,6,QB,23,190,&nbsp;,172.8,6768
163,Ryan Succop,9549,ryan-succop,,,K,7,146,&nbsp;,173.5,391
164,Chuba Hubbard,19792,chuba-hubbard,CAR,13,RB,50,141,&nbsp;,140.0,7594
165,Greg Zuerlein,11345,greg-zuerlein,,,K,8,149,&nbsp;,176.5,1266
166,Elijah Moore,20114,elijah-moore,PHI,14,WR,60,145,&nbsp;,146.3,7596
167,Ryan Fitzpatrick,9545,ryan-fitzpatrick,,,QB,24,193,&nbsp;,180.5,333
168,Mark Ingram II,9872,mark-ingram,,,RB,51,202,&nbsp;,183.8,956
169,James White,12195,james-white,,,RB,52,211,&nbsp;,183.8,1848
170,Cleveland Browns,8070,,,13,DST,11,148,&nbsp;,185.0,
171,Hunter Henry,15561,hunter-henry,NE,14,TE,16,150,&nbsp;,154.0,3214
172,Zach Ertz,11689,zach-ertz,,,TE,17,181,&nbsp;,155.0,1339
173,Rashaad Penny,17308,rashaad-penny,,,RB,53,169,&nbsp;,155.7,4985
174,Miami Dolphins,8160,,,14,DST,12,184,&nbsp;,188.0,
175,Mason Crosby,9433,mason-crosby,,,K,9,179,&nbsp;,197.3,59
176,Kansas City Chiefs,8150,,,12,DST,13,186,&nbsp;,197.3,
177,Evan Engram,16411,evan-engram,DEN,11,TE,18,192,&nbsp;,169.7,4066
178,Bryan Edwards,18634,bryan-edwards,,,WR,61,180,&nbsp;,169.7,6870
179,Pat Freiermuth,20163,pat-freiermuth,PIT,7,TE,19,174,&nbsp;,170.3,7600
180,Sterling Shepard,15569,sterling-shepard,,,WR,62,214,&nbsp;,173.3,3200
181,Gerald Everett,16459,gerald-everett,,,TE,20,175,&nbsp;,175.7,4089
182,Giovani Bernard,11644,giovani-bernard,,,RB,54,210,&nbsp;,180.3,1386
183,,19796,,,,1,,183,&nbsp;,180.7,
184,Robbie Gould,9534,robbie-gould,,,K,10,155,&nbsp;,210.8,49
185,Kenneth Gainwell,23310,kenneth-gainwell,TB,9,RB,55,187,&nbsp;,181.7,7567
186,Terrace Marshall Jr.,23242,terrace-marshall,MIA,14,WR,63,177,&nbsp;,181.7,7565
187,Daniel Carlson,17420,daniel-carlson,LV,8,K,11,208,&nbsp;,206.5,5095
188,Jason Myers,14003,jason-myers,SEA,9,K,12,168,&nbsp;,208.5,2747
189,Derek Carr,12092,derek-carr,,,QB,25,213,&nbsp;,184.3,2028
190,Marlon Mack,16444,marlon-mack,,,RB,56,191,&nbsp;,186.3,4152
191,Tony Jones Jr.,19482,tony-jones-rb,,,RB,57,199,&nbsp;,186.3,6984
192,A.J. Green,9857,aj-green,,,WR,64,188,&nbsp;,187.7,830
193,Amon-Ra St. Brown,19799,amonra-stbrown,DET,9,WR,65,176,&nbsp;,188.3,7547
194,Randall Cobb,9902,randall-cobb,,,WR,66,159,&nbsp;,188.7,928
195,Gabe Davis,19398,gabriel-davis,,,WR,67,212,&nbsp;,192.7,6943
196,Matt Gay,18545,matt-gay,LV,8,K,13,201,&nbsp;,216.5,6083
197,Darrel Williams,17514,darrel-williams,,,RB,58,207,&nbsp;,193.7,5549
198,Devontae Booker,15555,devontae-booker,,,RB,59,173,&nbsp;,197.0,3209
199,Zach Wilson,22679,zach-wilson,NO,6,QB,26,178,&nbsp;,197.7,7538
200,Anthony Firkser,16787,anthony-firkser,WAS,9,TE,21,240,&nbsp;,200.7,4435
201,Damien Williams,12334,damien-williams,,,RB,60,239,&nbsp;,205.0,1833
202,Matt Prater,9443,matt-prater,,,K,14,164,&nbsp;,208.3,17
203,Deshaun Watson,16398,deshaun-watson,CLE,13,QB,27,195,&nbsp;,213.3,4017
204,Ty'Son Williams,19636,tyson-williams,,,RB,61,198,&nbsp;,180.5,7098
205,Marquez Valdes-Scantling,17528,marquez-valdesscantling,DAL,7,WR,68,203,&nbsp;,215.7,5086
206,Malcolm Brown,13953,malcolm-brown,,,RB,62,235,&nbsp;,215.7,2588
207,Brandon McManus,13274,brandon-mcmanus,,,K,15,200,&nbsp;,217.3,1433
208,Darrynton Evans,19418,darrynton-evans,,,RB,63,&nbsp;,&nbsp;,186.0,7064
209,Minnesota Vikings,8170,,,7,DST,14,172,&nbsp;,226.7,
210,Jalen Reagor,19219,jalen-reagor,MIA,14,WR,69,196,&nbsp;,192.0,6798
211,Austin Hooper,15581,austin-hooper,ATL,6,TE,22,189,&nbsp;,195.5,3202
212,Rashod Bateman,19794,rashod-bateman,BAL,8,WR,70,217,&nbsp;,198.5,7571
213,Ty Johnson,18406,ty-johnson,BUF,7,RB,64,221,&nbsp;,202.5,6039
214,Jamison Crowder,13976,jamison-crowder,,,WR,71,248,&nbsp;,206.5,2410
215,Wayne Gallman Jr.,16422,wayne-gallman,,,RB,65,&nbsp;,&nbsp;,209.5,4150
216,T.Y. Hilton,11206,ty-hilton,,,WR,72,197,&nbsp;,209.5,1110
217,J.J. Taylor,19438,jj-taylor,,,RB,66,&nbsp;,&nbsp;,211.0,6973
218,Allen Lazard,17301,allen-lazard,,,WR,73,218,&nbsp;,212.5,5185
219,Christian Kirk,17268,christian-kirk,SF,6,WR,74,245,&nbsp;,213.5,4950
220,Seattle Seahawks,8260,,,9,DST,15,233,&nbsp;,215.5,
221,Green Bay Packers,8110,,,13,DST,16,204,&nbsp;,216.0,
222,Emmanuel Sanders,9707,emmanuel-sanders,,,WR,75,215,&nbsp;,218.0,538
223,Wil Lutz,16026,wil-lutz,DEN,11,K,16,&nbsp;,&nbsp;,218.5,3678
224,Kadarius Toney,20119,kadarius-toney,,,WR,76,232,&nbsp;,218.5,7606
225,Arizona Cardinals,8000,,,12,DST,17,226,&nbsp;,219.5,
226,Salvon Ahmed,19449,salvon-ahmed,CHI,10,RB,67,246,&nbsp;,220.5,6918
227,Carlos Hyde,12105,carlos-hyde,,,RB,68,209,&nbsp;,220.5,2257
228,Todd Gurley II,13912,todd-gurley,,,RB,69,227,&nbsp;,220.5,2315
229,Blake Jarwin,16638,blake-jarwin,,,TE,23,216,&nbsp;,222.5,4571
230,Cole Kmet,19229,cole-kmet,CHI,10,TE,24,205,&nbsp;,223.0,6826
231,Adam Trautman,19423,adam-trautman,DEN,11,TE,25,219,&nbsp;,226.0,6869
232,Carson Wentz,15520,carson-wentz,MIN,7,QB,28,244,&nbsp;,250.0,3161
233,Tennessee Titans,8300,,,13,DST,18,&nbsp;,&nbsp;,175.0,
234,Anthony McFarland Jr.,19366,anthony-mcfarland,,,RB,70,&nbsp;,&nbsp;,176.0,6878
235,Tre'Quan Smith,17261,trequan-smith,,,WR,77,242,&nbsp;,230.5,5026
236,Cordarrelle Patterson,11613,cordarrelle-patterson,,,RB,71,225,&nbsp;,230.5,1535
237,Justin Jackson,17300,justin-jackson-rb,,,RB,72,&nbsp;,&nbsp;,231.5,5131
238,O.J. Howard,16380,oj-howard,,,TE,26,&nbsp;,&nbsp;,183.0,4055
239,Joshua Palmer,22845,josh-palmer,BUF,7,WR,78,228,&nbsp;,232.5,7670
240,Tyrell Williams,14324,tyrell-williams,,,WR,79,224,&nbsp;,233.5,2583
241,Chicago Bears,8050,,,10,DST,19,229,&nbsp;,234.5,
242,Tarik Cohen,16450,tarik-cohen,,,RB,73,250,&nbsp;,235.0,4157
243,Boston Scott,17612,boston-scott,,,RB,74,231,&nbsp;,236.5,5122
244,Taysom Hill,17115,taysom-hill,,,TE,27,&nbsp;,&nbsp;,193.0,4381
245,Jordan Akins,17415,jordan-akins,,,TE,28,&nbsp;,&nbsp;,194.0,5032
246,Jaret Patterson,20155,jaret-patterson,LAC,7,RB,75,&nbsp;,&nbsp;,197.0,7537
247,Elijah Mitchell,22813,elijah-mitchell-rb,PHI,14,RB,76,&nbsp;,&nbsp;,199.0,7561
248,Parris Campbell,18463,parris-campbell,,,WR,80,243,&nbsp;,240.5,5880
249,Nico Collins,20130,nico-collins,HOU,10,WR,81,&nbsp;,&nbsp;,201.0,7569
250,Donovan Peoples-Jones,19298,donovan-peoples-jones,,,WR,82,&nbsp;,&nbsp;,203.0,6824
251,Los Angeles Chargers,8250,,,7,DST,20,206,&nbsp;,251.5,
252,Benny Snell Jr.,18609,benjamin-snell-jr,,,RB,77,&nbsp;,&nbsp;,209.0,6156
253,Javian Hawkins,22762,javian-hawkins,TEN,13,RB,78,&nbsp;,&nbsp;,210.0,7563
254,Brian Hill,16448,brian-hill,,,RB,79,&nbsp;,&nbsp;,211.0,4187
255,Daniel Jones,18232,daniel-jones,IND,14,QB,29,238,&nbsp;,246.5,5870
256,Evan McPherson,23297,evan-mcpherson,CIN,10,K,17,223,&nbsp;,247.5,7839
257,Eric Ebron,12143,eric-ebron,,,TE,29,230,&nbsp;,248.0,2118
258,Joshua Kelley,19445,joshua-kelley,,,RB,80,&nbsp;,&nbsp;,218.0,7045
259,Xavier Jones,19493,xavier-jones,,,RB,81,220,&nbsp;,305.0,7088
260,Carolina Panthers,8040,,,13,DST,21,222,&nbsp;,257.5,
261,New Orleans Saints,8190,,,6,DST,22,236,&nbsp;,252.5,
262,Chris Herndon IV,17536,chris-herndon-iv,,,TE,30,&nbsp;,&nbsp;,225.0,5009
263,Darius Slayton,18706,darius-slayton,NYG,10,WR,83,&nbsp;,&nbsp;,226.0,6149
264,Sam Darnold,17236,sam-darnold,SEA,9,QB,30,234,&nbsp;,255.0,4943
265,Juwan Johnson,19562,juwan-johnson,NO,6,TE,31,&nbsp;,&nbsp;,234.0,7002
266,Jerick McKinnon,12209,jerick-mckinnon,,,RB,82,237,&nbsp;,270.5,2161
267,Byron Pringle,17739,byron-pringle,,,WR,84,&nbsp;,&nbsp;,239.0,5199
268,Sammy Watkins,12118,sammy-watkins,,,WR,85,241,&nbsp;,261.0,1817
269,Tim Tebow,9690,tim-tebow,,,TE,32,&nbsp;,&nbsp;,244.0,559
270,Hayden Hurst,17283,hayden-hurst,,,TE,33,&nbsp;,&nbsp;,245.0,4973
271,Dawson Knox,18631,dawson-knox,BUF,7,TE,34,&nbsp;,&nbsp;,247.0,5906
272,Jimmy Graham,9712,jimmy-graham,,,TE,35,&nbsp;,&nbsp;,249.0,616
273,Detrez Newsome,17737,detrez-newsome,,,RB,83,249,&nbsp;,249.0,5266
274,John Brown,12231,john-brown,,,WR,86,251,&nbsp;,280.5,2238
275,Houston Texans,8120,,,10,DST,23,&nbsp;,&nbsp;,252.0,
276,Paul McRoberts,15905,paul-mcroberts,,,WR,87,252,&nbsp;,252.0,3470
277,Jon Brown,16007,jonathan-brown-k,,,K,18,253,&nbsp;,253.0,3805
278,Sam Ficken,16319,sam-ficken,,,K,19,&nbsp;,&nbsp;,254.0,3909
279,Marcus Marshall,19035,marcus-marshall,,,RB,84,254,&nbsp;,254.0,6548
280,Vincent Testaverde,19115,vincent-testaverde,,,QB,31,255,&nbsp;,255.0,6723
281,Nick Tiano,20014,nick-tiano,,,QB,32,256,&nbsp;,256.0,7465
282,Kent Taylor,17228,kent-taylor,,,TE,36,257,&nbsp;,257.0,4861
283,Cam Sutton,19958,cam-sutton,,,TE,37,258,&nbsp;,258.0,7218
284,Stevan Ridley,9928,stevan-ridley,,,RB,85,259,&nbsp;,259.0,811
285,Drew Lock,18225,drew-lock,SEA,9,QB,33,&nbsp;,&nbsp;,259.0,5854
286,Brandon Weeden,11175,brandon-weeden,,,QB,34,260,&nbsp;,260.0,1085
287,Breshad Perriman,13975,breshad-perriman,,,WR,88,&nbsp;,&nbsp;,260.0,2331
288,Isaiah Burse,13089,isaiah-burse,,,WR,89,261,&nbsp;,261.0,2002
289,La'Mical Perine,19333,lamical-perine,,,RB,86,&nbsp;,&nbsp;,261.0,6908
290,Juwan Green,19948,juwan-green,,,WR,90,262,&nbsp;,262.0,7174
291,Taywan Taylor,16426,taywan-taylor,,,WR,91,263,&nbsp;,263.0,4125
292,Qadree Ollison,18480,qadree-ollison,,,RB,87,&nbsp;,&nbsp;,263.0,6002
293,Derel Walker,13823,derel-walker,,,WR,92,264,&nbsp;,264.0,1939
294,Tyler Davis,14622,tyler-davis,,,WR,93,265,&nbsp;,265.0,
295,Dan Arnold,17143,dan-arnold,,,TE,38,&nbsp;,&nbsp;,265.0,4741
296,Connor Davis,22668,connor-davis,,,TE,39,266,&nbsp;,266.0,7503
297,Tyrod Taylor,10007,tyrod-taylor,GB,13,QB,35,&nbsp;,&nbsp;,267.0,827
298,Josiah Deguara,19456,josiah-deguara,,,TE,40,267,&nbsp;,267.0,7050
299,Khalid Hill,18167,khalid-hill,,,RB,88,268,&nbsp;,268.0,
300,Aaron Fuller,19308,aaron-fuller,,,WR,94,269,&nbsp;,269.0,6967
301,Austin Traylor,16129,austin-traylor,,,TE,41,270,&nbsp;,270.0,3878
302,Pooka Williams Jr.,20090,pooka-williams,,,RB,89,&nbsp;,&nbsp;,270.0,7560
303,Jarvion Franklin,17518,jarvion-franklin,,,RB,90,271,&nbsp;,271.0,5278
