rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
24,Adam Thielen,13429,adam-thielen,,,WR,11,28,&nbsp;,&nbsp;,25.7,1689
25,George Kittle,16499,george-kittle,SF,4,TE,2,21,&nbsp;,&nbsp;,26.0,4217
26,Leonard Fournette,16378,leonard-fournette,,,RB,12,32,&nbsp;,&nbsp;,26.3,3969
27,Damien Williams,12334,damien-williams,,,RB,13,24,&nbsp;,&nbsp;,27.3,1833
28,Aaron Jones Sr.,16673,aaron-jones,MIN,12,RB,14,27,&nbsp;,&nbsp;,28.0,4199
29,Kerryon Johnson,17247,kerryon-johnson,,,RB,15,29,&nbsp;,&nbsp;,28.7,5068
30,Zach Ertz,11689,zach-ertz,,,TE,3,26,&nbsp;,&nbsp;,30.0,1339
31,Devonta Freeman,12108,devonta-freeman,,,RB,16,31,&nbsp;,&nbsp;,31.0,2168
32,Amari Cooper,13894,amari-cooper,,,WR,12,30,&nbsp;,&nbsp;,32.3,2309
33,Stefon Diggs,13981,stefon-diggs,,,WR,13,33,&nbsp;,&nbsp;,33.7,2449
34,Derrick Henry,15514,derrick-henry,BAL,8,RB,17,34,&nbsp;,&nbsp;,37.3,3198
35,Josh Jacobs,18269,josh-jacobs,GB,11,RB,18,45,&nbsp;,&nbsp;,38.0,5850
36,Marlon Mack,16444,marlon-mack,,,RB,19,35,&nbsp;,&nbsp;,38.0,4152
37,Chris Carson,16754,chris-carson,,,RB,20,51,&nbsp;,&nbsp;,38.3,4273
38,Brandin Cooks,12122,brandin-cooks,,,WR,14,40,&nbsp;,&nbsp;,39.0,2197
39,Robert Woods,11610,robert-woods,,,WR,15,37,&nbsp;,&nbsp;,39.3,1352
40,T.Y. Hilton,11206,ty-hilton,,,WR,16,36,&nbsp;,&nbsp;,40.3,1110
41,David Montgomery,18239,david-montgomery,HOU,10,RB,21,46,&nbsp;,&nbsp;,41.0,5892
42,Julian Edelman,9332,julian-edelman,,,WR,17,43,&nbsp;,&nbsp;,41.3,344
43,Deshaun Watson,16398,deshaun-watson,CLE,7,QB,2,38,&nbsp;,&nbsp;,43.0,4017
44,Mark Ingram II,9872,mark-ingram,,,RB,22,44,&nbsp;,&nbsp;,43.3,956
45,Chris Godwin Jr.,16406,chris-godwin,TB,7,WR,18,41,&nbsp;,&nbsp;,43.7,4037
46,Kenny Golladay,16488,kenny-golladay,,,WR,19,49,&nbsp;,&nbsp;,46.7,4131
47,Melvin Gordon III,13903,melvin-gordon,,,RB,23,39,&nbsp;,&nbsp;,49.3,2320
48,Tyler Lockett,13971,tyler-lockett,LV,,WR,20,53,&nbsp;,&nbsp;,49.3,2374
49,Sony Michel,17309,sony-michel,,,RB,24,48,&nbsp;,&nbsp;,49.7,4962
50,Aaron Rodgers,9001,aaron-rodgers,PIT,7,QB,3,42,&nbsp;,&nbsp;,50.7,96
51,Cooper Kupp,16433,cooper-kupp,SEA,11,WR,21,62,&nbsp;,&nbsp;,52.0,4039
52,Phillip Lindsay,17498,phillip-lindsay,,,RB,25,55,&nbsp;,&nbsp;,53.7,5170
53,Tyler Boyd,15547,tyler-boyd,,,WR,22,59,&nbsp;,&nbsp;,54.7,3225
54,O.J. Howard,16380,oj-howard,,,TE,4,50,&nbsp;,&nbsp;,55.3,4055
55,Mike Williams,16377,mike-williams-wr,,,WR,23,58,&nbsp;,&nbsp;,58.3,
56,Calvin Ridley,17258,calvin-ridley,TEN,11,WR,24,65,&nbsp;,&nbsp;,58.7,4981
57,Evan Engram,16411,evan-engram,DEN,10,TE,5,54,&nbsp;,&nbsp;,58.7,4066
58,Baker Mayfield,17237,baker-mayfield,TB,7,QB,4,47,&nbsp;,&nbsp;,59.7,4892
59,A.J. Green,9857,aj-green,,,WR,25,78,&nbsp;,&nbsp;,62.3,830
60,Hunter Henry,15561,hunter-henry,NE,10,TE,6,56,&nbsp;,&nbsp;,62.3,3214
61,Tevin Coleman,13926,tevin-coleman,,,RB,26,72,&nbsp;,&nbsp;,64.3,2378
62,Jarvis Landry,12128,jarvis-landry,,,WR,26,67,&nbsp;,&nbsp;,65.0,1825
63,Josh Gordon,11440,josh-gordon,,,WR,27,77,&nbsp;,&nbsp;,65.7,1244
64,DJ Moore,17265,dj-moore-wr,BUF,6,WR,28,74,&nbsp;,&nbsp;,65.7,4983
65,James White,12195,james-white,,,RB,27,79,&nbsp;,&nbsp;,66.7,1848
66,Alshon Jeffery,11199,alshon-jeffery,,,WR,29,69,&nbsp;,&nbsp;,67.7,1149
67,Allen Robinson II,12126,allen-robinson,,,WR,30,60,&nbsp;,&nbsp;,68.7,1992
68,Miles Sanders,18283,miles-sanders,,,RB,28,85,&nbsp;,&nbsp;,70.3,6151
69,Matt Ryan,9444,matt-ryan,,,QB,5,57,&nbsp;,&nbsp;,71.3,24
70,Duke Johnson Jr.,13939,duke-johnson,,,RB,29,75,&nbsp;,&nbsp;,71.7,2382
71,Jared Cook,9265,jared-cook,,,TE,7,63,&nbsp;,&nbsp;,71.7,367
72,Austin Ekeler,16483,austin-ekeler,,,RB,30,104,&nbsp;,&nbsp;,72.3,4663
73,Tarik Cohen,16450,tarik-cohen,,,RB,31,82,&nbsp;,&nbsp;,73.3,4157
74,Carson Wentz,15520,carson-wentz,MIN,12,QB,6,68,&nbsp;,&nbsp;,75.3,3161
75,Robbie Chosen,15688,robby-anderson,,,WR,31,81,&nbsp;,&nbsp;,75.7,3423
76,Drew Brees,9200,drew-brees,,,QB,7,66,&nbsp;,&nbsp;,80.0,289
77,Kenyan Drake,15637,kenyan-drake,,,RB,32,83,&nbsp;,&nbsp;,80.3,3242
78,Chicago Bears,8050,,,6,DST,1,61,&nbsp;,&nbsp;,80.7,
79,Dede Westbrook,16436,dede-westbrook,,,WR,32,97,&nbsp;,&nbsp;,81.0,4146
80,Russell Wilson,11180,russell-wilson,,,QB,8,64,&nbsp;,&nbsp;,82.0,1234
81,William Fuller V,15629,will-fuller,,,WR,33,90,&nbsp;,&nbsp;,82.3,3157
82,Latavius Murray,11821,latavius-murray,,,RB,33,102,&nbsp;,&nbsp;,84.7,1476
83,Vance McDonald,11699,vance-mcdonald,,,TE,8,80,&nbsp;,&nbsp;,84.7,1587
84,Christian Kirk,17268,christian-kirk,SF,4,WR,34,95,&nbsp;,&nbsp;,86.7,4950
85,Jared Goff,15501,jared-goff,DET,5,QB,9,93,&nbsp;,&nbsp;,87.3,3163
86,Derrius Guice,17241,derrius-guice,,,RB,34,103,&nbsp;,&nbsp;,88.0,4949
87,Cam Newton,9869,cam-newton,,,QB,10,71,&nbsp;,&nbsp;,90.0,954
88,Sammy Watkins,12118,sammy-watkins,,,WR,35,99,&nbsp;,&nbsp;,90.7,1817
89,Curtis Samuel,16434,curtis-samuel,,,WR,36,100,&nbsp;,&nbsp;,92.7,4082
90,David Njoku,16399,david-njoku,LAC,12,TE,9,84,&nbsp;,&nbsp;,93.0,4033
91,Jordan Howard,15585,jordan-howard,,,RB,35,101,&nbsp;,&nbsp;,94.3,3306
92,Los Angeles Rams,8280,,,9,DST,2,70,&nbsp;,&nbsp;,95.0,
93,Corey Davis,16385,corey-davis,,,WR,37,98,&nbsp;,&nbsp;,95.0,4036
94,Eric Ebron,12143,eric-ebron,,,TE,10,91,&nbsp;,&nbsp;,98.3,2118
95,Sterling Shepard,15569,sterling-shepard,,,WR,38,109,&nbsp;,&nbsp;,98.3,3200
96,Marvin Jones Jr.,11215,marvin-jones,,,WR,39,121,&nbsp;,&nbsp;,100.7,1067
97,Kyler Murray,18600,kyler-murray,MIN,12,QB,11,88,&nbsp;,&nbsp;,101.7,5849
98,Matt Breida,17058,matt-breida,,,RB,36,119,&nbsp;,&nbsp;,103.7,4455
99,Royce Freeman,17245,royce-freeman,,,RB,37,111,&nbsp;,&nbsp;,103.7,5046
100,Larry Fitzgerald,9383,larry-fitzgerald,,,WR,40,113,&nbsp;,&nbsp;,104.3,223
101,Lamar Jackson,17233,lamar-jackson,BAL,8,QB,12,105,&nbsp;,&nbsp;,107.0,4881
102,Emmanuel Sanders,9707,emmanuel-sanders,,,WR,41,129,&nbsp;,&nbsp;,107.3,538
103,Rashaad Penny,17308,rashaad-penny,,,RB,38,115,&nbsp;,&nbsp;,107.7,4985
104,Devin Singletary,18280,devin-singletary,NYG,11,RB,39,116,&nbsp;,&nbsp;,108.7,6130
105,Dante Pettis,17264,dante-pettis,NO,9,WR,42,124,&nbsp;,&nbsp;,108.7,4992
106,LeSean McCoy,9398,lesean-mccoy,,,RB,40,123,&nbsp;,&nbsp;,109.0,676
107,Kareem Hunt,16425,kareem-hunt,,,RB,41,125,&nbsp;,&nbsp;,111.3,4098
108,Greg Zuerlein,11345,greg-zuerlein,,,K,1,73,&nbsp;,&nbsp;,111.7,1266
109,Jameis Winston,13891,jameis-winston,NYG,11,QB,13,120,&nbsp;,&nbsp;,113.0,2306
110,Jacksonville Jaguars,8140,,,10,DST,3,76,&nbsp;,&nbsp;,114.3,
111,Delanie Walker,9172,delanie-walker,,,TE,11,118,&nbsp;,&nbsp;,118.0,284
112,Tom Brady,9603,tom-brady,,,QB,14,106,&nbsp;,&nbsp;,119.0,167
113,Ben Roethlisberger,9039,ben-roethlisberger,,,QB,15,114,&nbsp;,&nbsp;,119.0,138
114,Marquez Valdes-Scantling,17528,marquez-valdesscantling,DAL,8,WR,43,151,&nbsp;,&nbsp;,120.7,5086
115,Justin Tucker,11465,justin-tucker,,,K,2,86,&nbsp;,&nbsp;,121.7,1264
116,Tony Pollard,18705,tony-pollard,TEN,11,RB,42,126,&nbsp;,&nbsp;,122.0,5967
117,Courtland Sutton,17253,courtland-sutton,DEN,10,WR,44,150,&nbsp;,&nbsp;,122.3,5045
118,James Washington,17254,james-washington,,,WR,45,149,&nbsp;,&nbsp;,122.3,5024
119,Austin Hooper,15581,austin-hooper,ATL,9,TE,12,108,&nbsp;,&nbsp;,124.3,3202
120,Darrell Henderson Jr.,18588,darrell-henderson,,,RB,43,&nbsp;,&nbsp;,&nbsp;,88.5,5916
121,Philip Rivers,9509,philip-rivers,,,QB,16,127,&nbsp;,&nbsp;,127.3,331
122,Adrian Peterson,9006,adrian-peterson-min,,,RB,44,143,&nbsp;,&nbsp;,127.7,184
123,Justin Jackson,17300,justin-jackson-rb,,,RB,45,174,&nbsp;,&nbsp;,128.0,5131
124,Dak Prescott,15600,dak-prescott,DAL,8,QB,17,122,&nbsp;,&nbsp;,128.3,3294
125,Harrison Butker,16712,harrison-butker,KC,12,K,3,87,&nbsp;,&nbsp;,129.7,4227
126,Michael Gallup,17259,michael-gallup,,,WR,46,139,&nbsp;,&nbsp;,130.7,5038
127,DeSean Jackson,9186,desean-jackson,,,WR,47,144,&nbsp;,&nbsp;,130.7,147
128,Geronimo Allison,15853,geronimo-allison,,,WR,48,185,&nbsp;,&nbsp;,131.7,3503
129,Golden Tate,9683,golden-tate,,,WR,49,148,&nbsp;,&nbsp;,133.3,642
130,Minnesota Vikings,8170,,,12,DST,4,89,&nbsp;,&nbsp;,134.3,
131,Mark Andrews,17269,mark-andrews,BAL,8,TE,13,131,&nbsp;,&nbsp;,140.0,5012
132,Donte Moncrief,12125,donte-moncrief,,,WR,50,163,&nbsp;,&nbsp;,142.3,1971
133,Stephen Gostkowski,9573,stephen-gostkowski,,,K,4,94,&nbsp;,&nbsp;,143.3,110
134,Jaylen Samuels,17271,jaylen-samuels,,,RB,46,179,&nbsp;,&nbsp;,145.3,5107
135,Tyrell Williams,14324,tyrell-williams,,,WR,51,180,&nbsp;,&nbsp;,146.0,2583
136,DK Metcalf,18219,dk-metcalf,PIT,7,WR,52,165,&nbsp;,&nbsp;,146.0,5846
137,Baltimore Ravens,8020,,,8,DST,5,92,&nbsp;,&nbsp;,121.5,
138,Anthony Miller,17255,anthony-miller,,,WR,53,&nbsp;,&nbsp;,&nbsp;,122.0,5013
139,Peyton Barber,15920,peyton-barber,,,RB,47,190,&nbsp;,&nbsp;,147.7,3594
140,Kalen Ballage,17250,kalen-ballage,,,RB,48,193,&nbsp;,&nbsp;,148.0,4994
141,Damien Harris,18230,damien-harris-rb,,,RB,49,175,&nbsp;,&nbsp;,148.0,5890
142,Cleveland Browns,8070,,,7,DST,6,107,&nbsp;,&nbsp;,154.3,
143,Justice Hill,18256,justice-hill,BAL,8,RB,50,178,&nbsp;,&nbsp;,149.3,5995
144,Mecole Hardman Jr.,18587,mecole-hardman,BUF,6,WR,54,159,&nbsp;,&nbsp;,149.3,5917
145,Greg Olsen,9238,greg-olsen,,,TE,14,152,&nbsp;,&nbsp;,150.3,58
146,Mitchell Trubisky,16381,mitch-trubisky,TEN,11,QB,18,153,&nbsp;,&nbsp;,150.3,3976
147,Dion Lewis,9983,dion-lewis,,,RB,51,&nbsp;,&nbsp;,&nbsp;,127.0,788
148,Kirk Cousins,11177,kirk-cousins,LV,,QB,19,177,&nbsp;,&nbsp;,152.7,1166
149,N'Keal Harry,18222,nkeal-harry,,,WR,55,145,&nbsp;,&nbsp;,130.5,5878
150,Carlos Hyde,12105,carlos-hyde,,,RB,52,157,&nbsp;,&nbsp;,154.0,2257
151,New England Patriots,8180,,,10,DST,7,128,&nbsp;,&nbsp;,154.3,
152,Houston Texans,8120,,,10,DST,8,133,&nbsp;,&nbsp;,154.7,
153,Ka'imi Fairbairn,15756,kaimi-fairbairn,HOU,10,K,5,112,&nbsp;,&nbsp;,156.3,3451
154,Wil Lutz,16026,wil-lutz,DEN,10,K,6,110,&nbsp;,&nbsp;,136.5,3678
155,Ronald Jones II,17243,ronald-jones-ii,,,RB,53,197,&nbsp;,&nbsp;,158.7,
156,Keke Coutee,17490,keke-coutee,,,WR,56,141,&nbsp;,&nbsp;,140.0,5007
157,Trey Burton,12153,trey-burton,,,TE,15,176,&nbsp;,&nbsp;,161.0,1793
158,T.J. Hockenson,18290,tj-hockenson,MIN,12,TE,16,198,&nbsp;,&nbsp;,161.7,5844
159,Alexander Mattison,18621,alexander-mattison,,,RB,54,&nbsp;,&nbsp;,&nbsp;,144.0,5987
160,John Brown,12231,john-brown,,,WR,57,&nbsp;,&nbsp;,&nbsp;,145.0,2238
161,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,58,171,&nbsp;,&nbsp;,163.7,5872
162,Jamison Crowder,13976,jamison-crowder,,,WR,59,&nbsp;,&nbsp;,&nbsp;,146.5,2410
163,Devin Funchess,13915,devin-funchess,,,WR,60,170,&nbsp;,&nbsp;,149.0,2346
164,Kyle Rudolph,9906,kyle-rudolph,,,TE,17,132,&nbsp;,&nbsp;,149.0,943
165,Nyheim Miller-Hines,17297,nyheim-hines,,,RB,55,169,&nbsp;,&nbsp;,149.5,5347
166,Matthew Stafford,9451,matthew-stafford,LAR,9,QB,20,137,&nbsp;,&nbsp;,169.0,421
167,Ito Smith,17249,ito-smith,,,RB,56,&nbsp;,&nbsp;,&nbsp;,154.5,5004
168,Denver Broncos,8090,,,10,DST,9,&nbsp;,&nbsp;,&nbsp;,156.0,
169,Jimmy Graham,9712,jimmy-graham,,,TE,18,181,&nbsp;,&nbsp;,170.7,616
170,Darwin Thompson,18620,darwin-thompson,,,RB,57,154,&nbsp;,&nbsp;,157.5,6178
171,Jason Witten,9275,jason-witten,,,TE,19,117,&nbsp;,&nbsp;,188.5,23
172,Josh Allen,17298,josh-allen-qb,BUF,6,QB,21,&nbsp;,&nbsp;,&nbsp;,160.0,4984
173,Jimmy Garoppolo,12208,jimmy-garoppolo,LAR,9,QB,22,&nbsp;,&nbsp;,&nbsp;,161.5,1837
174,Randall Cobb,9902,randall-cobb,,,WR,61,140,&nbsp;,&nbsp;,163.5,928
175,Nick Foles,11176,nick-foles,,,QB,23,130,&nbsp;,&nbsp;,171.5,1029
176,Derek Carr,12092,derek-carr,,,QB,24,136,&nbsp;,&nbsp;,165.5,2028
177,Jordan Reed,11690,jordan-reed,,,TE,20,&nbsp;,&nbsp;,&nbsp;,165.5,1500
178,Parris Campbell,18463,parris-campbell,,,WR,62,173,&nbsp;,&nbsp;,166.0,5880
179,Tre'Quan Smith,17261,trequan-smith,,,WR,63,166,&nbsp;,&nbsp;,168.0,5026
180,Rex Burkhead,11655,rex-burkhead,,,RB,58,138,&nbsp;,&nbsp;,217.5,1387
181,Adam Humphries,14498,adam-humphries,,,WR,64,160,&nbsp;,&nbsp;,169.0,2822
182,Sam Darnold,17236,sam-darnold,SEA,11,QB,25,183,&nbsp;,&nbsp;,179.0,4943
183,Ted Ginn Jr.,9588,ted-ginn-jr,,,WR,65,142,&nbsp;,&nbsp;,217.0,695
184,Marquise Goodwin,11599,marquise-goodwin,,,WR,66,192,&nbsp;,&nbsp;,188.3,1346
185,Jacoby Brissett,15642,jacoby-brissett,ARI,12,QB,26,146,&nbsp;,&nbsp;,228.0,3257
186,Dallas Cowboys,8080,,,8,DST,10,&nbsp;,&nbsp;,&nbsp;,175.0,
187,Hollywood Brown,18226,marquise-brown,PHI,10,WR,67,186,&nbsp;,&nbsp;,174.0,5848
188,Carolina Panthers,8040,,,7,DST,11,155,&nbsp;,&nbsp;,229.5,
189,Dare Ogunbowale,16879,dare-ogunbowale,,,RB,59,&nbsp;,&nbsp;,&nbsp;,177.5,4718
190,Malcolm Brown,13953,malcolm-brown,,,RB,60,&nbsp;,&nbsp;,&nbsp;,202.5,2588
191,Green Bay Packers,8110,,,11,DST,12,156,&nbsp;,&nbsp;,207.0,
192,Los Angeles Chargers,8250,,,12,DST,13,&nbsp;,&nbsp;,&nbsp;,157.0,
193,C.J. Anderson,11896,cj-anderson,,,RB,61,172,&nbsp;,&nbsp;,178.0,1451
194,Atlanta Falcons,8010,,,9,DST,14,158,&nbsp;,&nbsp;,227.0,
195,Demaryius Thomas,9691,demaryius-thomas,,,WR,68,161,&nbsp;,&nbsp;,197.0,560
196,Robbie Gould,9534,robbie-gould,,,K,7,162,&nbsp;,&nbsp;,203.5,49
197,Kenny Stills,11611,kenny-stills,,,WR,69,189,&nbsp;,&nbsp;,181.5,1555
198,Tyler Eifert,11692,tyler-eifert,,,TE,21,164,&nbsp;,&nbsp;,214.0,1388
199,Mason Crosby,9433,mason-crosby,,,K,8,167,&nbsp;,&nbsp;,200.5,59
200,Philadelphia Eagles,8230,,,10,DST,15,&nbsp;,&nbsp;,&nbsp;,212.0,
201,D'Onta Foreman,16407,donta-foreman,,,RB,62,168,&nbsp;,&nbsp;,316.5,4111
202,Seattle Seahawks,8260,,,11,DST,16,&nbsp;,&nbsp;,&nbsp;,206.0,
203,Buffalo Bills,8030,,,6,DST,17,&nbsp;,&nbsp;,&nbsp;,194.5,
204,Mohamed Sanu Sr.,11200,mohamed-sanu,,,WR,70,191,&nbsp;,&nbsp;,185.0,1071
205,Darren Waller,14104,darren-waller,,,TE,22,&nbsp;,&nbsp;,&nbsp;,192.0,2505
206,DaeSean Hamilton,17470,daesean-hamilton,,,WR,71,&nbsp;,&nbsp;,&nbsp;,173.0,4998
207,Chris Herndon IV,17536,chris-herndon-iv,,,TE,23,&nbsp;,&nbsp;,&nbsp;,175.0,5009
208,New Orleans Saints,8190,,,9,DST,18,188,&nbsp;,&nbsp;,187.0,
209,Michael Badgley,17693,michael-badgley,,,K,9,&nbsp;,&nbsp;,&nbsp;,200.0,5230
210,A.J. Brown,18218,aj-brown,NE,10,WR,72,&nbsp;,&nbsp;,&nbsp;,176.0,5859
211,J.J. Arcega-Whiteside,18235,jj-arcega-whiteside,,,WR,73,&nbsp;,&nbsp;,&nbsp;,177.0,5863
212,Noah Fant,17527,noah-fant,NO,9,TE,24,196,&nbsp;,&nbsp;,188.0,5857
213,Nelson Agholor,13969,nelson-agholor,,,WR,74,182,&nbsp;,&nbsp;,194.0,2325
214,Ty Montgomery II,13977,ty-montgomery,,,RB,63,184,&nbsp;,&nbsp;,219.0,2399
215,Zay Jones,16431,zay-jones,,,WR,75,&nbsp;,&nbsp;,&nbsp;,185.0,4080
216,Adam Vinatieri,9004,adam-vinatieri,,,K,10,187,&nbsp;,&nbsp;,219.0,120
217,Mike Davis,13943,mike-davis-rb,,,RB,64,194,&nbsp;,&nbsp;,193.5,2431
218,Kelvin Harmon,18228,kelvin-harmon,,,WR,76,&nbsp;,&nbsp;,&nbsp;,189.0,5884
219,Jamaal Williams,16424,jamaal-williams,,,RB,65,&nbsp;,&nbsp;,&nbsp;,190.0,4149
220,DeVante Parker,13897,devante-parker,,,WR,77,199,&nbsp;,&nbsp;,195.0,2319
221,Chris Thompson,11651,chris-thompson,,,RB,66,&nbsp;,&nbsp;,&nbsp;,192.0,1502
222,Jalen Richard,16120,jalen-richard,,,RB,67,&nbsp;,&nbsp;,&nbsp;,194.0,3868
223,Detroit Lions,8100,,,5,DST,19,195,&nbsp;,&nbsp;,250.0,
224,Antonio Callaway,17286,antonio-callaway,,,WR,78,&nbsp;,&nbsp;,&nbsp;,196.0,5310
225,Robert Foster,17458,robert-foster,,,WR,79,&nbsp;,&nbsp;,&nbsp;,198.0,5250
226,Marcus Mariota,13890,marcus-mariota,WAS,10,QB,27,&nbsp;,&nbsp;,&nbsp;,200.0,2307
227,Dallas Goedert,17270,dallas-goedert,PHI,10,TE,25,&nbsp;,&nbsp;,&nbsp;,201.0,5022
228,Jack Doyle,11987,jack-doyle,,,TE,26,&nbsp;,&nbsp;,&nbsp;,202.0,1706
229,T.J. Yeldon,13941,tj-yeldon,,,RB,68,&nbsp;,&nbsp;,&nbsp;,204.0,2341
230,Ryquell Armstead,18521,ryquell-armstead,,,RB,69,&nbsp;,&nbsp;,&nbsp;,205.0,6007
231,Andy Isabella,18409,andy-isabella,,,WR,80,&nbsp;,&nbsp;,&nbsp;,207.0,5915
232,Chase Edmonds,17496,chase-edmonds,WAS,10,RB,70,&nbsp;,&nbsp;,&nbsp;,208.0,5000
233,Giovani Bernard,11644,giovani-bernard,,,RB,71,&nbsp;,&nbsp;,&nbsp;,209.0,1386
234,Darrel Williams,17514,darrel-williams,,,RB,72,&nbsp;,&nbsp;,&nbsp;,210.0,5549
235,Kansas City Chiefs,8150,,,12,DST,20,&nbsp;,&nbsp;,&nbsp;,211.0,
236,Albert Wilson,12338,albert-wilson,,,WR,81,&nbsp;,&nbsp;,&nbsp;,214.0,2025
237,Brian Hill,16448,brian-hill,,,RB,73,&nbsp;,&nbsp;,&nbsp;,216.0,4187
238,Preston Williams,18612,preston-williams,,,WR,82,&nbsp;,&nbsp;,&nbsp;,218.0,6148
239,Jalen Hurd,18318,jalen-hurd,,,WR,83,&nbsp;,&nbsp;,&nbsp;,220.0,5911
240,Gus Edwards,17687,gus-edwards,,,RB,74,&nbsp;,&nbsp;,&nbsp;,221.0,5248
241,Pittsburgh Steelers,8240,,,7,DST,21,&nbsp;,&nbsp;,&nbsp;,223.0,
242,Dontrell Hilliard,18037,dontrell-hilliard,,,RB,75,&nbsp;,&nbsp;,&nbsp;,224.0,5536
243,,18214,,,,1,,&nbsp;,&nbsp;,&nbsp;,226.0,
244,Darius Jackson,15813,darius-jackson,,,RB,76,&nbsp;,&nbsp;,&nbsp;,227.0,3371
245,Devine Ozigbo,18630,devine-ozigbo,,,RB,77,&nbsp;,&nbsp;,&nbsp;,228.0,6068
246,Trayveon Williams,18607,trayveon-williams,,,RB,78,&nbsp;,&nbsp;,&nbsp;,229.0,6144
247,Marqise Lee,12120,marqise-lee,,,WR,84,&nbsp;,&nbsp;,&nbsp;,230.0,1987
248,Jakobi Meyers,18598,jakobi-meyers,JAC,10,WR,85,&nbsp;,&nbsp;,&nbsp;,231.0,5947
249,Alfred Morris,11347,alfred-morris,,,RB,79,&nbsp;,&nbsp;,&nbsp;,232.0,1170
250,Giorgio Tavecchio,11145,giorgio-tavecchio,,,K,11,&nbsp;,&nbsp;,&nbsp;,235.0,1750
251,Jake Elliott,16540,jake-elliott,PHI,10,K,12,&nbsp;,&nbsp;,&nbsp;,236.0,4195
252,Mike Gesicki,17272,mike-gesicki,CIN,9,TE,27,&nbsp;,&nbsp;,&nbsp;,237.0,4993
253,Irv Smith Jr.,18610,irv-smith-jr,,,TE,28,&nbsp;,&nbsp;,&nbsp;,238.0,6126
254,Damon Sheehy-Guiseppi,18671,damon-sheehy-guiseppi,,,WR,86,&nbsp;,&nbsp;,&nbsp;,239.0,6195
255,Trey Quinn,17266,trey-quinn,,,WR,87,&nbsp;,&nbsp;,&nbsp;,240.0,5139
256,Arizona Cardinals,8000,,,12,DST,22,&nbsp;,&nbsp;,&nbsp;,241.0,
257,Matt LaCosse,14288,matt-lacosse,,,TE,29,&nbsp;,&nbsp;,&nbsp;,242.0,2944
258,Austin Seibert,18689,austin-seibert,,,K,13,&nbsp;,&nbsp;,&nbsp;,244.0,6219
259,Dexter Williams,18460,dexter-williams,,,RB,80,&nbsp;,&nbsp;,&nbsp;,246.0,6153
260,Cole Beasley,11459,cole-beasley,,,WR,88,&nbsp;,&nbsp;,&nbsp;,247.0,1144
261,Miles Boykin,18636,miles-boykin,,,WR,89,&nbsp;,&nbsp;,&nbsp;,248.0,5965
262,Maurice Harris,16151,maurice-harris,,,WR,90,&nbsp;,&nbsp;,&nbsp;,250.0,3650
263,San Francisco 49ers,8270,,,4,DST,23,&nbsp;,&nbsp;,&nbsp;,253.0,
