rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
44,Ja'Marr Chase,19788,jamarr-chase,CIN,7,WR,21,2,3,2,&nbsp;,&nbsp;,2.3,7564
45,De'Von Achane,23136,devon-achane,MIA,10,RB,13,127,99,127,31,&nbsp;,96.0,9226
46,Austin Ekeler,16483,austin-ekeler,,,RB,14,4,4,5,&nbsp;,&nbsp;,4.3,4663
47,Odell Beckham Jr.,12127,odell-beckham,NYG,13,WR,22,126,113,110,41,&nbsp;,97.5,2078
48,Bijan Robinson,23133,bijan-robinson,ATL,11,RB,15,9,7,6,&nbsp;,&nbsp;,7.3,9509
49,Jared Goff,15501,jared-goff,DET,9,QB,7,109,114,129,46,&nbsp;,99.5,3163
50,Elijah Moore,20114,elijah-moore,PHI,10,WR,23,100,129,92,78,&nbsp;,99.8,7596
51,Rashod Bateman,19794,rashod-bateman,BAL,13,WR,24,113,143,97,51,&nbsp;,101.0,7571
52,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,16,10,6,14,&nbsp;,&nbsp;,10.0,4866
53,Nick Chubb,17246,nick-chubb,,,RB,17,13,8,10,&nbsp;,&nbsp;,10.3,4988
54,Dalton Kincaid,25247,dalton-kincaid,BUF,13,TE,6,145,112,116,40,&nbsp;,103.3,10236
55,Kadarius Toney,20119,kadarius-toney,,,WR,25,105,142,99,69,&nbsp;,103.8,7606
56,Jerick McKinnon,12209,jerick-mckinnon,,,RB,18,118,119,126,58,&nbsp;,105.3,2161
57,Garrett Wilson,23072,garrett-wilson,NYJ,7,WR,26,16,17,13,&nbsp;,&nbsp;,15.3,8146
58,Davante Adams,12123,davante-adams,LAR,10,WR,27,15,20,16,&nbsp;,&nbsp;,17.0,2133
59,Derrick Henry,15514,derrick-henry,BAL,13,RB,19,19,21,20,&nbsp;,&nbsp;,20.0,3198
60,Nico Collins,20130,nico-collins,HOU,7,WR,28,133,133,118,52,&nbsp;,109.0,7569
61,Sam LaPorta,22978,sam-laporta,DET,9,TE,7,154,116,131,36,&nbsp;,109.3,10859
62,Chris Olave,20111,chris-olave,NO,11,WR,29,24,25,18,&nbsp;,&nbsp;,22.3,8144
63,Elijah Mitchell,22813,elijah-mitchell-rb,PHI,10,RB,20,131,118,134,61,&nbsp;,111.0,7561
64,Josh Jacobs,18269,josh-jacobs,GB,6,RB,21,27,18,25,&nbsp;,&nbsp;,23.3,5850
65,Tyler Higbee,15623,tyler-higbee,LAR,10,TE,8,138,120,130,72,&nbsp;,115.0,3271
66,Dalton Schultz,17349,dalton-schultz,HOU,7,TE,9,124,134,140,63,&nbsp;,115.3,5001
67,Calvin Ridley,17258,calvin-ridley,TEN,7,WR,30,34,32,21,&nbsp;,&nbsp;,29.0,4981
68,Kenneth Gainwell,23310,kenneth-gainwell,TB,5,RB,22,136,127,144,57,&nbsp;,116.0,7567
69,Tee Higgins,19211,tee-higgins,CIN,7,WR,31,26,36,27,&nbsp;,&nbsp;,29.7,6801
70,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,11,RB,23,29,29,33,&nbsp;,&nbsp;,30.3,7611
71,Brock Purdy,19797,brock-purdy,SF,9,QB,8,149,156,157,5,&nbsp;,116.8,8183
72,Jameson Williams,23677,jameson-williams,DET,9,WR,32,120,161,135,53,&nbsp;,117.3,8148
73,DK Metcalf,18219,dk-metcalf,PIT,6,WR,33,30,35,30,&nbsp;,&nbsp;,31.7,5846
74,Travis Etienne Jr.,19231,travis-etienne,NO,11,RB,24,37,26,36,&nbsp;,&nbsp;,33.0,7543
75,Joe Mixon,16420,joe-mixon,,,RB,25,35,34,38,&nbsp;,&nbsp;,35.7,4018
76,Keenan Allen,11616,keenan-allen,LAC,5,WR,34,32,42,35,&nbsp;,&nbsp;,36.3,1479
77,Rashee Rice,23113,rashee-rice,KC,10,WR,35,170,147,151,17,&nbsp;,121.3,10229
78,Joe Burrow,19196,joe-burrow,CIN,7,QB,9,40,27,45,&nbsp;,&nbsp;,37.3,6770
79,Justin Herbert,18635,justin-herbert,LAC,5,QB,10,45,31,48,&nbsp;,&nbsp;,41.3,6797
80,DJ Moore,17265,dj-moore-wr,BUF,13,WR,36,43,52,37,&nbsp;,&nbsp;,44.0,4983
81,Justin Fields,19781,justin-fields,KC,10,QB,11,46,47,39,&nbsp;,&nbsp;,44.0,7591
82,Kenneth Walker III,23021,kenneth-walker-rb,KC,10,RB,26,48,37,50,&nbsp;,&nbsp;,45.0,8151
83,T.J. Hockenson,18290,tj-hockenson,MIN,13,TE,10,47,39,52,&nbsp;,&nbsp;,46.0,5844
84,Breece Hall,22982,breece-hall,NYJ,7,RB,27,41,57,43,&nbsp;,&nbsp;,47.0,8155
85,Dameon Pierce,22947,dameon-pierce,PHI,10,RB,28,57,33,54,&nbsp;,&nbsp;,48.0,8129
86,Jonathan Taylor,19217,jonathan-taylor,IND,11,RB,29,21,69,57,&nbsp;,&nbsp;,49.0,6813
87,DeAndre Hopkins,11606,deandre-hopkins,BAL,13,WR,37,44,58,46,&nbsp;,&nbsp;,49.3,1426
88,Mike Williams,16377,mike-williams-wr,,,WR,38,56,56,41,&nbsp;,&nbsp;,51.0,
89,Jake Ferguson,22718,jake-ferguson,DAL,7,TE,11,183,159,160,30,&nbsp;,133.0,8110
90,Drake London,23163,drake-london,ATL,11,WR,39,52,63,42,&nbsp;,&nbsp;,52.3,8112
91,Devin Singletary,18280,devin-singletary,NYG,13,RB,30,152,150,169,68,&nbsp;,134.8,6130
92,Trevor Lawrence,19780,trevor-lawrence,JAC,9,QB,12,55,50,62,&nbsp;,&nbsp;,55.7,7523
93,Terry McLaurin,18466,terry-mclaurin,WAS,14,WR,40,51,53,63,&nbsp;,&nbsp;,55.7,5927
94,Darren Waller,14104,darren-waller,,,TE,12,66,51,53,&nbsp;,&nbsp;,56.7,2505
95,Alexander Mattison,18621,alexander-mattison,,,RB,31,67,45,60,&nbsp;,&nbsp;,57.3,5987
96,Christian Kirk,17268,christian-kirk,SF,9,WR,41,59,61,55,&nbsp;,&nbsp;,58.3,4950
97,Miles Sanders,18283,miles-sanders,,,RB,32,65,49,70,&nbsp;,&nbsp;,61.3,6151
98,Javonte Williams,22739,javonte-williams,DAL,7,RB,33,53,60,74,&nbsp;,&nbsp;,62.3,7588
99,Tyler Lockett,13971,tyler-lockett,LV,13,WR,42,64,76,56,&nbsp;,&nbsp;,65.3,2374
100,Cam Akers,19268,cam-akers,,,RB,34,62,59,76,&nbsp;,&nbsp;,65.7,6938
101,Jerry Jeudy,19201,jerry-jeudy,CLE,5,WR,43,49,84,68,&nbsp;,&nbsp;,67.0,6783
102,Michael Pittman Jr.,19278,michael-pittman,PIT,6,WR,44,63,72,78,&nbsp;,&nbsp;,71.0,6819
103,Jahan Dotson,23101,jahan-dotson,ATL,11,WR,45,78,85,59,&nbsp;,&nbsp;,74.0,8119
104,Kyle Pitts Sr.,20164,kyle-pitts,ATL,11,TE,13,74,71,77,&nbsp;,&nbsp;,74.0,7553
105,James Conner,16447,james-conner,ARI,14,RB,35,76,66,82,&nbsp;,&nbsp;,74.7,4137
106,Alvin Kamara,16421,alvin-kamara,NO,11,RB,36,83,65,80,&nbsp;,&nbsp;,76.0,4035
107,Deshaun Watson,16398,deshaun-watson,CLE,5,QB,13,77,77,89,&nbsp;,&nbsp;,81.0,4017
108,Jordan Addison,23107,jordan-addison,MIN,13,WR,46,87,90,72,&nbsp;,&nbsp;,83.0,9756
109,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,5,WR,47,85,101,71,&nbsp;,&nbsp;,85.7,9488
110,Khalil Herbert,22763,khalil-herbert,,,RB,37,92,78,91,&nbsp;,&nbsp;,87.0,7608
111,Courtland Sutton,17253,courtland-sutton,DEN,9,WR,48,88,92,87,&nbsp;,&nbsp;,89.0,5045
112,Hollywood Brown,18226,marquise-brown,PHI,10,WR,49,80,104,84,&nbsp;,&nbsp;,89.3,5848
113,Evan Engram,16411,evan-engram,DEN,9,TE,14,94,86,96,&nbsp;,&nbsp;,92.0,4066
114,Brian Robinson Jr.,20094,brian-robinson-jr,ATL,11,RB,38,95,82,101,&nbsp;,&nbsp;,92.7,8154
115,Antonio Gibson,19624,antonio-gibson,,,RB,39,96,83,100,&nbsp;,&nbsp;,93.0,6945
116,AJ Dillon,19358,aj-dillon,CAR,7,RB,40,98,87,104,&nbsp;,&nbsp;,96.3,6828
117,Kirk Cousins,11177,kirk-cousins,LV,13,QB,14,91,91,113,&nbsp;,&nbsp;,98.3,1166
118,Daniel Jones,18232,daniel-jones,IND,11,QB,15,93,102,106,&nbsp;,&nbsp;,100.3,5870
119,Pat Freiermuth,20163,pat-freiermuth,PIT,6,TE,15,102,97,103,&nbsp;,&nbsp;,100.7,7600
120,Treylon Burks,22905,treylon-burks,WAS,14,WR,50,97,109,98,&nbsp;,&nbsp;,101.3,8135
121,Anthony Richardson Sr.,24347,anthony-richardson,IND,11,QB,16,104,100,102,&nbsp;,&nbsp;,102.0,9229
122,Michael Thomas,15528,michael-thomas-wr,,,WR,51,108,107,95,&nbsp;,&nbsp;,103.3,3199
123,Geno Smith,11687,geno-smith,NYJ,7,QB,17,99,108,115,&nbsp;,&nbsp;,107.3,1373
124,Skyy Moore,23905,skyy-moore,GB,6,WR,52,101,136,86,&nbsp;,&nbsp;,107.7,8168
125,Zach Charbonnet,23152,zach-charbonnet,SEA,5,RB,41,107,111,105,&nbsp;,&nbsp;,107.7,9753
126,Aaron Rodgers,9001,aaron-rodgers,PIT,6,QB,18,110,96,122,&nbsp;,&nbsp;,109.3,96
127,Jamaal Williams,16424,jamaal-williams,,,RB,42,114,95,121,&nbsp;,&nbsp;,110.0,4149
128,Quentin Johnston,23123,quentin-johnston,LAC,5,WR,53,106,135,90,&nbsp;,&nbsp;,110.3,9754
129,Jaylen Warren,24209,jaylen-warren,PIT,6,RB,43,123,105,109,&nbsp;,&nbsp;,112.3,8228
130,Samaje Perine,16423,samaje-perine,CIN,7,RB,44,111,110,119,&nbsp;,&nbsp;,113.3,4147
131,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,13,WR,54,115,115,120,&nbsp;,&nbsp;,116.7,4040
132,Rashaad Penny,17308,rashaad-penny,,,RB,45,116,117,128,&nbsp;,&nbsp;,120.3,4985
133,Matthew Stafford,9451,matthew-stafford,LAR,10,QB,19,140,&nbsp;,175,49,&nbsp;,121.3,421
134,Romeo Doubs,23794,romeo-doubs,NE,11,WR,55,122,130,112,&nbsp;,&nbsp;,121.3,8121
135,Jordan Love,19246,jordan-love,GB,6,QB,20,139,&nbsp;,152,75,&nbsp;,122.0,6804
136,Michael Gallup,17259,michael-gallup,,,WR,56,162,&nbsp;,153,65,&nbsp;,126.7,5038
137,Tank Bigsby,22908,tank-bigsby,PHI,10,RB,46,134,124,123,&nbsp;,&nbsp;,127.0,9225
138,Allen Lazard,17301,allen-lazard,,,WR,57,128,131,125,&nbsp;,&nbsp;,128.0,5185
139,Kenny Pickett,22722,kenny-pickett,CAR,7,QB,21,129,122,138,&nbsp;,&nbsp;,129.7,8160
140,Damien Harris,18230,damien-harris-rb,,,RB,47,130,121,139,&nbsp;,&nbsp;,130.0,5890
141,Jakobi Meyers,18598,jakobi-meyers,JAC,9,WR,58,119,149,132,&nbsp;,&nbsp;,133.3,5947
142,Adam Thielen,13429,adam-thielen,,,WR,59,142,123,136,&nbsp;,&nbsp;,133.7,1689
143,Tyler Allgeier,24172,tyler-allgeier,ARI,14,RB,48,125,139,142,&nbsp;,&nbsp;,135.3,8132
144,Marquez Valdes-Scantling,17528,marquez-valdesscantling,DAL,7,WR,60,175,&nbsp;,141,92,&nbsp;,136.0,5086
145,Gus Edwards,17687,gus-edwards,,,RB,49,194,&nbsp;,191,24,&nbsp;,136.3,5248
146,Derek Carr,12092,derek-carr,,,QB,22,121,141,149,&nbsp;,&nbsp;,137.0,2028
147,Tyler Boyd,15547,tyler-boyd,,,WR,61,135,163,114,&nbsp;,&nbsp;,137.3,3225
148,Dawson Knox,18631,dawson-knox,BUF,13,TE,16,166,&nbsp;,183,66,&nbsp;,138.3,5906
149,Juwan Johnson,19562,juwan-johnson,NO,11,TE,17,148,125,143,&nbsp;,&nbsp;,138.7,7002
150,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,50,146,126,145,&nbsp;,&nbsp;,139.0,3164
151,Jayden Reed,23020,jayden-reed,GB,6,WR,62,195,&nbsp;,158,67,&nbsp;,140.0,10222
152,Darnell Mooney,19810,darnell-mooney,NYG,13,WR,63,137,146,137,&nbsp;,&nbsp;,140.0,7090
153,Chig Okonkwo,23982,chigoziem-okonkwo,WAS,14,TE,18,132,140,156,&nbsp;,&nbsp;,142.7,8210
154,Cole Kmet,19229,cole-kmet,CHI,13,TE,19,141,137,150,&nbsp;,&nbsp;,142.7,6826
155,Jerome Ford,22921,jerome-ford,WAS,14,RB,51,185,&nbsp;,197,47,&nbsp;,143.0,8143
156,Roschon Johnson,25322,roschon-johnson,CHI,13,RB,52,150,138,148,&nbsp;,&nbsp;,145.3,10235
157,C.J. Stroud,23071,cj-stroud,HOU,7,QB,23,182,&nbsp;,209,56,&nbsp;,149.0,9758
158,Van Jefferson,19483,van-jefferson,WAS,14,WR,64,174,148,133,&nbsp;,&nbsp;,151.7,6853
159,Kareem Hunt,16425,kareem-hunt,,,RB,53,188,&nbsp;,184,84,&nbsp;,152.0,4098
160,Gerald Everett,16459,gerald-everett,,,TE,20,153,144,161,&nbsp;,&nbsp;,152.7,4089
161,Donovan Peoples-Jones,19298,donovan-peoples-jones,,,WR,65,165,128,167,&nbsp;,&nbsp;,153.3,6824
162,Clyde Edwards-Helaire,19325,clyde-edwards-helaire,,,RB,54,199,&nbsp;,195,70,&nbsp;,154.7,6820
163,Tyjae Spears,25323,tyjae-spears,TEN,7,RB,55,158,154,154,&nbsp;,&nbsp;,155.3,9508
164,Greg Dulcich,23153,greg-dulcich,MIA,10,TE,21,147,152,168,&nbsp;,&nbsp;,155.7,8172
165,K.J. Osborn,19708,kj-osborn,TEN,7,WR,66,157,155,155,&nbsp;,&nbsp;,155.7,7066
166,Sam Howell,23045,sam-howell,DAL,7,QB,24,164,145,162,&nbsp;,&nbsp;,157.0,8162
167,Isaiah Likely,23781,isaiah-likely,NYG,13,TE,22,241,&nbsp;,208,26,&nbsp;,158.3,8131
168,Kyren Williams,23059,kyren-williams,LAR,10,RB,56,240,&nbsp;,216,28,&nbsp;,161.3,8150
169,Puka Nacua,23180,puka-nacua,LAR,10,WR,67,253,&nbsp;,194,37,&nbsp;,161.3,9493
170,Irv Smith Jr.,18610,irv-smith-jr,,,TE,23,173,151,170,&nbsp;,&nbsp;,164.7,6126
171,Luke Musgrave,25282,luke-musgrave,GB,6,TE,24,191,157,163,&nbsp;,&nbsp;,170.3,9481
172,Chuba Hubbard,19792,chuba-hubbard,CAR,7,RB,57,177,162,179,&nbsp;,&nbsp;,172.7,7594
173,Baker Mayfield,17237,baker-mayfield,TB,5,QB,25,227,&nbsp;,219,76,&nbsp;,174.0,4892
174,Leonard Fournette,16378,leonard-fournette,,,RB,58,201,&nbsp;,244,77,&nbsp;,174.0,3969
175,D'Onta Foreman,16407,donta-foreman,,,RB,59,160,158,206,&nbsp;,&nbsp;,174.7,4111
176,Deon Jackson,20097,deon-jackson,,,RB,60,239,132,164,&nbsp;,&nbsp;,178.3,7551
177,Deuce Vaughn,22984,deuce-vaughn,,,RB,61,214,153,188,&nbsp;,&nbsp;,185.0,9505
178,Khalil Shakir,23748,khalil-shakir,BUF,13,WR,68,255,&nbsp;,248,59,&nbsp;,187.3,8134
179,Ryan Tannehill,11174,ryan-tannehill,,,QB,26,204,160,199,&nbsp;,&nbsp;,187.7,1049
180,Cade Otton,23181,cade-otton,TB,5,TE,25,252,&nbsp;,214,98,&nbsp;,188.0,8111
181,Mecole Hardman Jr.,18587,mecole-hardman,BUF,13,WR,69,251,&nbsp;,212,101,&nbsp;,188.0,5917
182,Richie James Jr.,17303,richie-james,,,WR,70,254,&nbsp;,225,88,&nbsp;,189.0,5137
183,Rico Dowdle,19647,rico-dowdle,PIT,6,RB,62,266,&nbsp;,237,71,&nbsp;,191.3,7021
184,Taysom Hill,17115,taysom-hill,,,TE,26,256,164,178,&nbsp;,&nbsp;,199.3,4381
185,Justice Hill,18256,justice-hill,BAL,13,RB,63,299,&nbsp;,256,45,&nbsp;,200.0,5995
186,Josh Reynolds,16439,josh-reynolds,,,WR,71,273,&nbsp;,238,95,&nbsp;,202.0,4171
187,Latavius Murray,11821,latavius-murray,,,RB,64,257,&nbsp;,263,89,&nbsp;,203.0,1476
188,Noah Gray,19539,noah-gray,KC,10,TE,27,298,&nbsp;,224,90,&nbsp;,204.0,7828
189,Russell Wilson,11180,russell-wilson,,,QB,27,117,&nbsp;,146,&nbsp;,&nbsp;,131.5,1234
190,Zay Jones,16431,zay-jones,,,WR,72,144,&nbsp;,124,&nbsp;,&nbsp;,134.0,4080
191,Jalen Tolbert,23770,jalen-tolbert,MIA,10,WR,73,308,&nbsp;,262,91,&nbsp;,220.3,8117
192,Marvin Mims Jr.,23080,marvin-mims,DEN,9,WR,74,172,&nbsp;,117,&nbsp;,&nbsp;,144.5,9494
193,Durham Smythe,17508,durham-smythe,BAL,13,TE,28,337,&nbsp;,249,80,&nbsp;,222.0,5008
194,Quez Watkins,19715,quez-watkins,PHI,10,WR,75,333,&nbsp;,251,85,&nbsp;,223.0,6927
195,Jordan Mason,22969,jordan-mason,MIN,13,RB,65,306,&nbsp;,276,93,&nbsp;,225.0,8408
196,Justin Watson,17603,justin-watson,HOU,7,WR,76,&nbsp;,&nbsp;,250,54,&nbsp;,152.0,5374
197,Nelson Agholor,13969,nelson-agholor,,,WR,77,342,&nbsp;,274,74,&nbsp;,230.0,2325
198,,19796,,,,1,,151,&nbsp;,171,&nbsp;,&nbsp;,161.0,
199,Jonathan Mingo,23030,jonathan-mingo,DAL,7,WR,78,178,&nbsp;,147,&nbsp;,&nbsp;,162.5,10225
200,Jauan Jennings,19590,jauan-jennings,MIN,13,WR,79,&nbsp;,&nbsp;,267,62,&nbsp;,164.5,7049
201,Kendre Miller,24360,kendre-miller,NO,11,RB,66,159,&nbsp;,172,&nbsp;,&nbsp;,165.5,9757
202,Alec Pierce,23791,alec-pierce,IND,11,WR,80,171,&nbsp;,165,&nbsp;,&nbsp;,168.0,8142
203,Jeff Wilson Jr.,18026,jeffery-wilson,,,RB,67,155,&nbsp;,182,&nbsp;,&nbsp;,168.5,5284
204,Bryce Young,22900,bryce-young,CAR,7,QB,28,161,&nbsp;,180,&nbsp;,&nbsp;,170.5,9228
205,DJ Chark Jr.,17292,dj-chark,,,WR,81,169,&nbsp;,173,&nbsp;,&nbsp;,171.0,4951
206,Jalin Hyatt,25251,jalin-hyatt,NYG,13,WR,82,189,&nbsp;,159,&nbsp;,&nbsp;,174.0,9497
207,Rashid Shaheed,24687,rashid-shaheed,SEA,5,WR,83,179,&nbsp;,177,&nbsp;,&nbsp;,178.0,8676
208,Curtis Samuel,16434,curtis-samuel,,,WR,84,184,&nbsp;,174,&nbsp;,&nbsp;,179.0,4082
209,Kyler Murray,18600,kyler-murray,MIN,13,QB,29,163,&nbsp;,196,&nbsp;,&nbsp;,179.5,5849
210,Isaiah Hodgins,19375,isaiah-hodgins,NYG,13,WR,85,213,&nbsp;,166,&nbsp;,&nbsp;,189.5,6920
211,Joshua Palmer,22845,josh-palmer,BUF,13,WR,86,192,&nbsp;,193,&nbsp;,&nbsp;,192.5,7670
212,Jimmy Garoppolo,12208,jimmy-garoppolo,LAR,10,QB,30,187,&nbsp;,203,&nbsp;,&nbsp;,195.0,1837
213,Tyler Conklin,17598,tyler-conklin,DET,9,TE,29,206,&nbsp;,187,&nbsp;,&nbsp;,196.5,5133
214,Cedrick Wilson Jr.,17262,cedrick-wilson,DET,9,WR,87,&nbsp;,&nbsp;,308,86,&nbsp;,197.0,5113
215,Hunter Henry,15561,hunter-henry,NE,11,TE,30,209,&nbsp;,185,&nbsp;,&nbsp;,197.0,3214
216,Melvin Gordon III,13903,melvin-gordon,,,RB,68,312,&nbsp;,383,83,&nbsp;,259.3,2320
217,Tank Dell,25361,nathaniel-dell,HOU,7,WR,88,224,&nbsp;,176,&nbsp;,&nbsp;,200.0,9502
218,Hayden Hurst,17283,hayden-hurst,,,TE,31,200,&nbsp;,201,&nbsp;,&nbsp;,200.5,4973
219,Hunter Renfrow,18345,hunter-renfrow,,,WR,89,212,&nbsp;,190,&nbsp;,&nbsp;,201.0,5955
220,Dontayvion Wicks,24354,dontayvion-wicks,PHI,10,WR,90,&nbsp;,&nbsp;,307,99,&nbsp;,203.0,9486
221,Zamir White,20095,zamir-white,LV,13,RB,69,196,&nbsp;,210,&nbsp;,&nbsp;,203.0,8139
222,Ty Chandler,19471,ty-chandler,NO,11,RB,70,221,&nbsp;,186,&nbsp;,&nbsp;,203.5,8230
223,Mac Jones,20156,mac-jones,SF,9,QB,31,193,&nbsp;,215,&nbsp;,&nbsp;,204.0,7527
224,Tucker Kraft,25298,tucker-kraft,GB,6,TE,32,343,&nbsp;,348,94,&nbsp;,261.7,9484
225,Parris Campbell,18463,parris-campbell,,,WR,91,203,&nbsp;,207,&nbsp;,&nbsp;,205.0,5880
226,Desmond Ridder,20080,desmond-ridder,,,QB,32,207,&nbsp;,205,&nbsp;,&nbsp;,206.0,8159
227,Michael Mayer,23056,michael-mayer,LV,13,TE,33,215,&nbsp;,204,&nbsp;,&nbsp;,209.5,9482
228,Darius Slayton,18706,darius-slayton,NYG,13,WR,92,232,&nbsp;,192,&nbsp;,&nbsp;,212.0,6149
229,Joe Flacco,9300,joe-flacco,CIN,7,QB,33,&nbsp;,&nbsp;,&nbsp;,50,&nbsp;,50.0,19
230,DeVante Parker,13897,devante-parker,,,WR,93,245,&nbsp;,181,&nbsp;,&nbsp;,213.0,2319
231,Justyn Ross,19798,justyn-ross,,,WR,94,238,&nbsp;,189,&nbsp;,&nbsp;,213.5,8140
232,Mike Gesicki,17272,mike-gesicki,CIN,7,TE,34,197,&nbsp;,231,&nbsp;,&nbsp;,214.0,4993
233,Zack Moss,19263,zack-moss,,,RB,71,231,&nbsp;,202,&nbsp;,&nbsp;,216.5,6845
234,Sean Tucker,23679,sean-tucker,TB,5,RB,72,234,&nbsp;,200,&nbsp;,&nbsp;,217.0,9506
235,Chase Claypool,18627,chase-claypool,,,WR,95,225,&nbsp;,211,&nbsp;,&nbsp;,218.0,6886
236,Michael Wilson,25333,michael-wilson,ARI,14,WR,96,246,&nbsp;,198,&nbsp;,&nbsp;,222.0,10232
237,Cordarrelle Patterson,11613,cordarrelle-patterson,,,RB,73,218,&nbsp;,226,&nbsp;,&nbsp;,222.0,1535
238,Trey McBride,22936,trey-mcbride,ARI,14,TE,35,211,&nbsp;,235,&nbsp;,&nbsp;,223.0,8130
239,Demarcus Robinson,15665,demarcus-robinson,SF,9,WR,97,&nbsp;,&nbsp;,370,79,&nbsp;,224.5,3286
