rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,rtsports,fantrax,real_time,avg,sleeper_id
277,Antonio Williams,25418,antonio-williams-wr,WAS,7,WR,92,,277,,,203,273,240,13301
278,Indianapolis Colts DST,8130,,,13,DST,27,,220,,,271,,245.5,
279,Jaylin Noel,27122,jaylin-noel,HOU,8,WR,93,,214,,,280,228,247,12536
280,Odell Beckham Jr.,12127,odell-beckham,NYG,8,WR,94,202,,,,299,260,250.5,2078
281,Washington Commanders DST,8310,,,7,DST,28,218,,,,283,,250.5,
282,Chris Brooks,25823,christopher-brooks,GB,11,RB,77,,,,229,273,247,251,11370
283,Ty Simpson,25368,ty-simpson,LAR,11,QB,32,352,317,,,333,,334,13275
284,Kirk Cousins,11177,kirk-cousins,LV,13,QB,33,242,,,,261,,251.5,1166
285,Michael Penix Jr.,22973,michael-penix-jr,ATL,11,QB,34,,239,,,276,262,257.5,11559
286,Gunnar Helm,27109,gunnar-helm,TEN,9,TE,31,,269,,,249,223,259,12502
287,Germie Bernard,26039,germie-bernard,PIT,9,WR,95,,250,,,268,254,259,13274
288,Mason Taylor,26005,mason-taylor,NYJ,13,TE,32,,229,,,290,,259.5,12498
289,Seth McGowan,23079,seth-mcgowan,IND,13,RB,78,,,,238,282,235,260,13424
290,Jacob Saylors,25693,jacob-saylors,DET,6,RB,79,,,,237,286,275,261.5,11237
291,Tampa Bay Buccaneers DST,8290,,,10,DST,29,,264,,,260,,262,
292,Tua Tagovailoa,19198,tua-tagovailoa,ATL,11,QB,35,,283,,,247,,265,6768
293,Zavion Thomas,28132,zavion-thomas,CHI,10,WR,96,235,,,,302,,268.5,13411
294,Dominic Zvada,28176,dominic-zvada,NYG,8,K,23,221,,,,317,,269,13833
295,Cole Kmet,19229,cole-kmet,CHI,10,TE,33,216,,,,326,,271,6826
296,Marvin Mims Jr.,23080,marvin-mims,DEN,10,WR,97,,222,,,321,,271.5,9494
297,Matt Gay,18545,matt-gay,LV,13,K,24,207,392,,,444,,347.7,6083
298,Darnell Washington,22967,darnell-washington,PIT,9,TE,34,230,,,,319,,274.5,9479
299,Troy Franklin,23092,troy-franklin,DEN,10,WR,98,,316,,,240,,278,11627
300,Tory Horton,26022,tory-horton,SEA,11,WR,99,,243,,,314,,278.5,12497
301,Keon Coleman,26019,keon-coleman,BUF,7,WR,100,,273,,,288,239,280.5,11637
302,Riley Patterson,23370,riley-patterson,MIA,6,K,25,259,400,,,402,,353.7,7922
303,Jack Bech,27224,jack-bech,LV,13,WR,101,,293,,,278,,285.5,12483
304,Camden Brown,26025,camden-brown,DAL,14,WR,102,264,,,,312,,288,13726
305,Darnell Mooney,19810,darnell-mooney,NYG,8,WR,103,,352,,,226,,289,7090
306,Adrian Martinez,23040,adrian-martinez,,,QB,36,243,,,,336,,289.5,11065
307,Miami Dolphins DST,8160,,,6,DST,30,209,448,,,427,,361.3,
308,Charlie Smyth,26444,charlie-smyth,NO,8,K,26,267,404,,,417,,362.7,11653
309,Jake Tonges,24778,jake-tonges,SF,8,TE,35,,313,,,281,,297,8698
310,Michael Trigg,23167,michael-trigg,DAL,14,TE,36,244,353,,,,,298.5,13401
311,Drew Stevens,28175,drew-stevens,WAS,7,K,27,284,,,,313,,298.5,13968
312,Jameis Winston,13891,jameis-winston,NYG,8,QB,37,282,,,,320,,301,2306
313,Dawson Knox,18631,dawson-knox,BUF,7,TE,37,224,,,,381,,302.5,5906
314,Geno Smith,11687,geno-smith,NYJ,13,QB,38,346,,,,259,243,302.5,1373
315,Arizona Cardinals DST,8000,,,14,DST,31,231,411,,,467,,369.7,
316,Hollywood Brown,18226,marquise-brown,PHI,10,WR,104,311,,,,300,,305.5,5848
317,Devontez Walker,26011,devontez-walker,BAL,13,WR,105,308,,,,303,,305.5,11629
318,Colby Parkinson,19372,colby-parkinson,LAR,11,TE,38,,359,,,253,252,306,6865
319,Chad Ryland,25354,chad-ryland,ARI,14,K,28,246,,,,371,,308.5,10955
320,Emanuel Wilson,25885,emanuel-wilson,SEA,11,RB,80,,355,,,264,,309.5,11435
321,Ben Sauls,27798,ben-sauls,,,K,29,236,,,,384,,310,13066
322,Jason Sanders,17533,jason-sanders,NYJ,13,K,30,256,,,,366,,311,5119
323,Elic Ayomanor,27059,elic-ayomanor,TEN,9,WR,106,,314,,,309,,311.5,12499
324,Joey Slye,19028,joey-slye,TEN,9,K,31,228,,,,397,,312.5,6528
325,Kaden Wetjen,28435,kaden-wetjen,PIT,9,WR,107,274,,,,354,,314,13491
326,Devin Singletary,18280,devin-singletary,NYG,8,RB,81,325,,,,304,,314.5,6130
327,Kendre Miller,24360,kendre-miller,NO,8,RB,82,,231,,,399,272,315,9757
328,Tommy DeVito,25746,tommy-devito,NE,11,QB,39,283,,,,351,,317,11292
329,Roschon Johnson,25322,roschon-johnson,CHI,10,RB,83,328,,,,308,,318,10235
330,J.J. Taylor,19438,jj-taylor,,,RB,84,265,372,,,,,318.5,6973
331,Skyler Bell,28126,skyler-bell,BUF,7,WR,108,272,,,,368,,320,13402
332,Efton Chism III,27445,efton-chismi,NE,11,WR,109,291,,,,349,,320,12542
333,Jalon Daniels,26060,jalon-daniels,TB,10,QB,40,258,,,,383,,320.5,13425
334,Myles Price,27805,myles-price,MIN,6,WR,110,294,,,,350,,322,13075
335,Ashton Dulin,18656,ashton-dulin,IND,13,WR,111,262,,,,385,,323.5,6427
336,Luke McCaffrey,26328,luke-mccaffrey,WAS,7,WR,112,248,,,,410,,329,11650
337,Theo Johnson,23104,theo-johnson,NYG,8,TE,39,,263,,,396,,329.5,11597
338,Kyle Allen,17869,kyle-allen,BUF,7,QB,41,293,,,,369,,331,5127
339,Jonathan Mingo,23030,jonathan-mingo,DAL,14,WR,113,322,,,,341,,331.5,10225
340,Jake Moody,24009,jake-moody,BAL,13,K,32,266,,,,400,,333,10937
341,Andre Szmyt,25713,andre-szmyt,CLE,11,K,33,239,,,,428,,333.5,11261
342,Trey Benson,25388,trey-benson,ARI,14,RB,85,348,369,,,450,,389,11589
343,KaVontae Turpin,18520,kavontae-turpin,DAL,14,WR,114,213,,,,455,,334,8917
344,Montorie Foster Jr.,27910,montorie-foster-jr,SEA,11,WR,115,297,,,,374,,335.5,13199
345,Ryan Fitzgerald,27261,ryan-fitzgerald,CAR,5,K,34,225,,,,448,,336.5,12961
346,Dohnte Meyers,28178,dohnte-meyers,CIN,6,WR,116,317,,,,364,,340.5,13264
347,Brashard Smith,27259,brashard-smith,KC,5,RB,86,,233,,,449,,341,12455
348,Devin Neal,23682,devin-neal,,,RB,87,,211,,,475,,343,12476
349,Drew Lock,18225,drew-lock,SEA,11,QB,42,323,,,,365,,344,5854
350,Colbie Young,26037,colbie-young,CIN,6,WR,117,360,,,,329,,344.5,13477
351,Tyson Bagent,25321,tyson-bagent,CHI,10,QB,43,354,,,,338,,346,11256
352,Drew Allar,24345,drew-allar,PIT,9,QB,44,273,,,,420,,346.5,13289
353,Joshua Palmer,22845,josh-palmer,BUF,7,WR,118,285,,,,408,,346.5,7670
354,Jimmy Garoppolo,12208,jimmy-garoppolo,LAR,11,QB,45,337,,,,358,,347.5,1837
355,Tyrod Taylor,10007,tyrod-taylor,GB,11,QB,46,319,,,,378,,348.5,827
356,Elijah Sarratt,27463,elijah-sarratt,BAL,13,WR,119,464,246,,,487,,399,13268
357,Joe Flacco,9300,joe-flacco,CIN,6,QB,47,306,,,,393,,349.5,19
358,Barion Brown,25416,barion-brown,NO,8,WR,120,365,,,,337,,351,13533
359,Audric Estime,23054,audric-estime,NO,8,RB,88,,286,,,422,,354,11579
360,Tyler Higbee,15623,tyler-higbee,LAR,11,TE,40,238,,,,473,,355.5,3271
361,Tyler Huntley,19297,tyler-huntley,BAL,13,QB,48,383,,,,328,,355.5,7083
362,Justin Tucker,11465,justin-tucker,,,K,35,212,,,,,,212,1264
363,Justin Fields,19781,justin-fields,KC,5,QB,49,305,,,,407,,356,7591
364,Lil'Jordan Humphrey,18590,liljordan-humphrey,DEN,10,WR,121,276,,,,445,,360.5,5938
365,Younghoe Koo,16910,younghoe-koo,,,K,36,222,,,,,,222,4666
366,Kalif Raymond,16081,kalif-raymond,CHI,10,WR,122,356,,,,377,,366.5,3634
367,Philip Rivers,9509,philip-rivers,,,QB,50,234,,,,,,234,331
368,Evan Engram,16411,evan-engram,DEN,10,TE,41,,,,,234,,234,4066
369,New York Jets DST,8210,,,13,DST,32,,426,,,310,,368,
370,Elijah Arroyo,23004,elijah-arroyo,SEA,11,TE,42,257,,,,482,,369.5,12521
371,Hunter Luepke,25941,hunter-luepke,DAL,14,RB,89,361,,,,379,,370,
372,Zach Wilson,22679,zach-wilson,NO,8,QB,51,401,,,,340,,370.5,7538
373,Ja'Tavion Sanders,24334,jatavion-sanders,CAR,5,TE,43,270,,,,472,,371,11600
374,AJ Dillon,19358,aj-dillon,CAR,5,RB,90,326,,,,416,,371,6828
375,Noah Gray,19539,noah-gray,KC,5,TE,44,245,,,,498,,371.5,7828
376,Tay Martin,24029,tay-martin,DET,6,WR,123,371,,,,372,,371.5,8250
377,Trevor Etienne,25393,trevor-etienne,CAR,5,RB,91,254,,,,491,,372.5,12531
378,Nick Folk,9491,nick-folk,ATL,11,K,37,,430,,,315,256,372.5,650
379,Brock Wright,23341,brock-wright,DET,6,TE,45,247,,,,,,247,7891
380,Will Howard,25972,will-howard,PIT,9,QB,52,409,,,,339,,374,12511
381,DeWayne McBride,25265,dewayne-mcbride,,,RB,92,249,,,,,,249,9512
382,Luke Schoonmaker,25267,luke-schoonmaker,DAL,14,TE,46,251,,,,,,251,10871
383,Jermar Jefferson,20088,jermar-jefferson,MIN,6,RB,93,252,,,,,,252,7599
384,Trey Lance,20082,trey-lance,LAC,7,QB,53,376,,,,376,,376,7610
385,Tutu Atwell,20126,tutu-atwell,LAR,11,WR,124,289,,,,464,,376.5,7562
386,LaJohntay Wester,27447,lajohntay-wester,BAL,13,WR,125,392,,,,362,,377,12699
387,Emari Demercado,25654,emari-demercado,DAL,14,RB,94,,,,,255,,255,11199
388,Kareem Hunt,16425,kareem-hunt,,,RB,95,299,,,,456,,377.5,4098
389,Marlin Klein,28157,marlin-klein,HOU,8,TE,47,380,,,,375,,377.5,13307
390,Mike Gesicki,17272,mike-gesicki,CIN,6,TE,48,,,,,257,,257,4993
391,Tejhaun Palmer,26411,tejhaun-palmer,,,WR,126,,259,,,,,259,11802
392,Chris Tyree,23058,chris-tyree,NO,8,WR,127,,260,,,,,260,13043
393,Gardner Minshew II,18562,gardner-minshew,ARI,14,QB,54,324,,,,436,,380,6011
394,Mac Jones,20156,mac-jones,SF,8,QB,55,347,,,,414,,380.5,7527
395,Sam Roush,28161,sam-roush,CHI,10,TE,49,382,,,,380,,381,13322
396,CJ Daniels,28125,cj-daniels,LAR,11,WR,128,331,,,,434,,382.5,13270
397,Nate Noel,27278,nate-noel,,,RB,96,,266,,,,,266,12859
398,Josh Oliver,18487,josh-oliver,MIN,6,TE,50,288,,,,478,,383,5973
399,Jazz Ferguson,18657,jazz-ferguson,,,WR,129,,268,,,,,268,5997
400,Ulysses Bentley IV,23112,ulysses-bentley-iv,,,RB,97,268,,,,,,268,12826
401,AJ Henning,23016,aj-henning,,,WR,130,269,,,,,,269,12865
402,Jordan Whittington,23135,jordan-whittington,LAR,11,WR,131,315,,,,454,,384.5,11623
403,Eli Raridon,28154,eli-raridon,NE,11,TE,51,351,,,,419,,385,13421
404,Elijah Higgins,23119,elijah-higgins,ARI,14,TE,52,271,,,,503,,387,10231
405,Raylen Sharpe,28645,raylen-sharpe,,,WR,132,,274,,,,,274,13783
406,Jamal Agnew,16666,jamal-agnew,,,WR,133,,275,,,,,275,4198
407,Braxton Berrios,17289,braxton-berrios,NYG,8,WR,134,275,,,,,,275,5121
408,Jacardia Wright,27781,jacardia-wright,SEA,11,RB,98,342,,,,433,,387.5,13047
409,David White Jr.,26789,david-white-jr,,,WR,135,,276,,,,,276,12224
410,Deshaun Watson,16398,deshaun-watson,CLE,11,QB,56,,,,,277,,277,4017
411,Brandon McManus,13274,brandon-mcmanus,,,K,38,278,,,,,,278,1433
412,Matt Prater,9443,matt-prater,,,K,39,279,,,,,,279,17
413,Peter LeBlanc,26931,peter-leblanc,,,WR,136,,279,,,,,279,12373
414,Drake Dabney,27916,drake-dabney,GB,11,TE,53,280,,,,,,280,13210
415,Emmanuel Henderson Jr.,24379,emmanuel-henderson,SEA,11,WR,137,281,,,,,,281,13313
416,Marcus Major Jr.,23078,marcus-major,,,RB,99,,284,,,,,284,13154
417,Anthony Miller,17255,anthony-miller,,,WR,138,,285,,,,,285,5013
418,Jackson Meeks,27697,jackson-meeks,DET,6,WR,139,415,,,,370,,392.5,12938
419,Kyle Juszczyk,11798,kyle-juszczyk,SF,8,RB,100,286,,,,,,286,
420,Mason Rudolph,17234,mason-rudolph,PIT,9,QB,57,397,,,,389,,393,4972
421,Skyy Moore,23905,skyy-moore,GB,11,WR,140,394,,,,392,,393,8168
422,Jonnu Smith,16460,jonnu-smith,GB,11,TE,54,287,,,,,,287,4144
423,KeAndre Lambert-Smith,24372,keandre-lambert-smith,LAC,7,WR,141,290,,,,,,290,12670
424,Quali Conley,27819,quali-conley,,,RB,101,,290,,,,,290,13088
425,Demarcus Robinson,15665,demarcus-robinson,SF,8,WR,142,316,,,,474,,395,3286
426,Quinn Ewers,23680,quinn-ewers,JAC,7,QB,58,377,,,,413,,395,12500
427,Albert Wilson,12338,albert-wilson,,,WR,143,,291,,,,,291,2025
428,Malachi Corley,26023,malachi-corley,CLE,11,WR,144,473,318,,,,,395.5,11617
429,Chris Warren III,18058,chris-warren-iii,,,RB,102,,292,,,,,292,5587
430,Jahdae Walker,27810,jahdae-walker,CHI,10,WR,145,292,,,,,,292,13079
431,Ollie Gordon II,25984,ollie-gordon,MIA,6,RB,103,,,,,293,,293,12495
432,Jarrett Stidham,18604,jarrett-stidham,DEN,10,QB,59,451,,,,342,,396.5,6136
433,Elijah Moore,20114,elijah-moore,PHI,10,WR,146,400,,,,394,,397,7596
434,Darren Waller,14104,darren-waller,CAR,5,TE,55,,,,,296,230,296,2505
435,Andy Dalton,9907,andy-dalton,PHI,10,QB,60,399,,,,398,,398.5,829
436,Dalvin Cook,16374,dalvin-cook,,,RB,104,298,,,,,,298,4029
437,Andrei Iosivas,25335,andrei-iosivas,CIN,6,WR,147,,,,,298,,298,10226
438,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,105,300,,,,,,300,3164
439,Tyquan Thornton,22913,tyquan-thornton,KC,5,WR,148,,,,,301,,301,8188
440,Caden Davis,27497,caden-davis,,,K,40,301,,,,,,301,13149
441,Lewis Bond,28144,lewis-bond,HOU,8,WR,149,302,,,,,,302,13541
442,Mo Alie-Cox,16579,mo-alie-cox,IND,13,TE,56,313,,,,489,,401,4054
443,Anthony Smith,28500,anthony-smith,DAL,14,WR,150,303,,,,,,303,13582
444,Konata Mumpfield,27449,konata-mumpfield,LAR,11,WR,151,366,,,,438,,402,12718
445,Bam Knight,24901,zonovan-bam-knight,ARI,14,RB,106,,,,,305,,305,8122
446,Tommy Tremble,22795,tommy-tremble,CAR,5,TE,57,309,,,,496,,402.5,7694
447,Jarquez Hunter,24335,jarquez-hunter,,,RB,107,,306,,,,,306,11569
448,LeQuint Allen Jr.,27285,lequint-allen-jr,JAC,7,RB,108,,,,,306,,306,12544
449,Carson Beck,22953,carson-beck,ARI,14,QB,61,,,,,307,,307,13272
450,Sam Howell,23045,sam-howell,DAL,14,QB,62,307,,,,,,307,8162
451,RJ Maryland,27341,rj-maryland,,,TE,58,,309,,,,,309,13430
452,Tony Jones,14441,tony-jones,,,WR,152,,310,,,,,310,2639
453,Adam Trautman,19423,adam-trautman,DEN,10,TE,59,310,,,,,,310,6869
454,Nate Adkins,25881,nate-adkins,DEN,10,TE,60,467,,,,344,,405.5,11433
455,Roman Wilson,28896,roman-wilson-wr,PIT,9,WR,153,312,,,,,,312,11630
456,Anthony Richardson Sr.,24347,anthony-richardson,IND,13,QB,63,353,,,,459,,406,9229
457,Frank Gore Jr.,25980,frank-gore-jr,BUF,7,RB,109,445,,,,367,,406,11573
458,Jackson Hawes,27469,jackson-hawes,BUF,7,TE,61,314,,,,,,314,12658
459,DJ Giddens,27097,dj-giddens,IND,13,RB,110,,,,,316,,316,12471
460,Brevyn Spann-Ford,26003,brevyn-spann-ford,DAL,14,TE,62,318,,,,,,318,11593
461,Nate Boerkircher,28427,nate-boerkircher,JAC,7,TE,63,367,,,,451,,409,13299
462,Carson Wentz,15520,carson-wentz,MIN,6,QB,64,398,,,,421,,409.5,3161
464,Kenny Pickett,22722,kenny-pickett,CAR,5,QB,65,320,,,,,,320,8160
465,Joshua Dobbs,16417,joshua-dobbs,DET,6,QB,66,321,,,,,,321,4179
466,Xavier Legette,26136,xavier-legette,CAR,5,WR,154,,,,,322,,322,11626
467,Sione Vaki,26309,sione-vaki,DET,6,RB,111,,,,,323,,323,11729
468,Michael Mayer,23056,michael-mayer,LV,13,TE,64,,,,,325,,325,9482
469,Josh Cameron,28137,josh-cameron,JAC,7,WR,155,379,,,,447,,413,13394
470,Daniel Carlson,17420,daniel-carlson,NO,8,K,41,,,,,327,,327,5095
471,D.J. Montgomery,18984,dj-montgomery,IND,13,WR,156,327,,,,,,327,6453
472,Jelani Woods,23829,jelani-woods,NYJ,13,TE,65,,327,,,,,327,8219
473,Durham Smythe,17508,durham-smythe,BAL,13,TE,66,362,,,,466,,414,5008
474,Stetson Bennett IV,23927,stetson-bennett,LAR,11,QB,67,329,,,,,,329,10857
475,Jalen Sample,25632,jalen-sample,,,WR,157,,329,,,,,329,11158
476,Jake Bobo,25339,jake-bobo,SEA,11,WR,158,330,,,,,,330,10867
477,Jalen Jackson,26786,jalen-jackson,,,RB,112,,330,,,,,330,12218
478,Eli Heidenreich,28297,eli-heidenreich,PIT,9,RB,113,,,,,330,,330,13423
479,D'Vonte Price,23874,dvonte-price,,,RB,114,,,,,331,,331,8184
480,John Jiles,26941,john-jiles,,,WR,159,,331,,,,,331,12383
481,C.J. Ham,16209,cj-ham,,,RB,115,332,,,,,,332,
482,Coleman Owen,27621,coleman-owen,,,WR,160,,332,,,,,332,12829
483,Mitchell Trubisky,16381,mitch-trubisky,TEN,9,QB,68,498,,,,334,,416,3976
484,Equanimeous St. Brown,17307,equanimeous-st-brown,,,WR,161,333,,,,,,333,5323
485,JuJu Smith-Schuster,16427,juju-smith-schuster,,,WR,162,334,,,,,,334,4040
486,Noah Fant,17527,noah-fant,NO,8,TE,67,358,,,,476,,417,5857
487,Amari Cooper,13894,amari-cooper,,,WR,163,335,,,,,,335,2309
488,Devin Duvernay,19270,devin-duvernay,ARI,14,WR,164,,,,,335,,335,6847
489,Anthony Grant,26908,anthony-grant,,,RB,116,,335,,,,,335,12350
490,DeAndre Hopkins,11606,deandre-hopkins,BAL,13,WR,165,336,,,,,,336,1426
491,Malcolm Brown,13953,malcolm-brown,,,RB,117,,336,,,,,336,2588
492,Dustin Hopkins,11818,dustin-hopkins,,,K,42,338,,,,,,338,1348
493,Jaden Shirden,26364,jaden-shirden,,,RB,118,,338,,,,,338,12013
494,Dimitri Stanley,26841,dimitri-stanley,,,WR,166,,339,,,,,339,12281
495,Max Klare,27993,max-klare,LAR,11,TE,68,,349,,,490,,419.5,13278
496,Dyami Brown,20113,dyami-brown,WAS,7,WR,167,453,,,,386,,419.5,7587
497,Israel Abanikanda,24352,israel-abanikanda,DAL,14,RB,119,340,,,,,,340,9227
498,Tanner Gentry,16660,tanner-gentry,,,WR,168,,341,,,,,341,4551
499,Max Brosmer,27580,max-brosmer,MIN,6,QB,69,341,,,,,,341,12775
500,Ramel Keyton,23128,ramel-keyton,,,WR,169,,342,,,,,342,11885
501,Kedon Slovis,23166,kedon-slovis,GB,11,QB,70,343,,,,,,343,11648
502,Montrell Washington,24554,montrell-washington,,,WR,170,,,,,343,,343,8475
503,Tulu Griffin,26405,lideatrick-griffin,,,WR,171,,343,,,,,343,11886
504,Tez Johnson,27147,tez-johnson,TB,10,WR,172,363,,,,480,,421.5,12485
505,D.J. Foster,15691,dj-foster,,,RB,120,,344,,,,,344,3488
506,Brennan Presley,27769,brennan-presley,LAR,11,WR,173,344,,,,,,344,13011
507,Jahan Dotson,23101,jahan-dotson,ATL,11,WR,174,,,,,345,,345,8119
508,Amar Johnson,27696,amar-johnson,LAC,7,RB,121,345,,,,,,345,12928
509,Phil Mafah,22928,phil-mafah,,,RB,122,,,,,346,,346,12738
510,B.T. Potter,25554,bt-potter,,,K,43,,,,,347,,347,11092
511,Jarveon Howard,26716,jarveon-howard,,,RB,123,,347,,,,,347,12150
512,Michael Walker,18763,michael-walker,,,WR,175,,348,,,,,348,6363
513,Chris Hilton Jr.,22995,chris-hilton,GB,11,WR,176,,,,,348,,348,13674
514,Drew Sample,18561,drew-sample,CIN,6,TE,69,350,,,,,,350,6001
515,Lincoln Sefcik,26806,lincoln-sefcik,,,TE,70,,350,,,,,350,12237
516,Kenjon Barner,11660,kenjon-barner,,,RB,124,,351,,,,,351,1546
517,Ademola Faleye,28662,ademola-faleye,,,TE,71,,,,,353,,353,13777
518,Jalen Royals,27076,jalen-royals,KC,5,WR,177,368,,,,486,,427,12505
519,Mitchell Evans,27138,mitchell-evans,CAR,5,TE,72,,,,,355,,355,12473
520,Darius Slayton,18706,darius-slayton,,,WR,178,,,,,356,,356,6149
521,Dylan Drummond,25912,dylan-drummond,ATL,11,WR,179,,356,,,,,356,11474
522,Austin Hooper,15581,austin-hooper,ATL,11,TE,73,357,,,,499,,428,3202
523,Bryce Lance,28129,bryce-lance,NO,8,WR,180,455,,,,401,,428,13420
524,Ty Johnson,18406,ty-johnson,BUF,7,RB,125,,,,,357,,357,6039
525,Xavier Smith,25627,xavier-smith,LAR,11,WR,181,372,,,,485,,428.5,11168
526,Cade Stover,25269,cade-stover,HOU,8,TE,74,359,,,,,,359,11599
527,Trey Knox,22907,trey-knox,,,TE,75,,,,,360,,360,11601
528,Josh Adams,17248,josh-adams,,,RB,126,,361,,,,,361,5136
529,Diego Pavia,28082,diego-pavia,,,QB,71,,,,,361,,361,13427
530,Omar Bayless,19654,omar-bayless,,,WR,182,,362,,,,,362,7080
531,Ameer Abdullah,13924,ameer-abdullah,JAC,7,RB,127,,,,,363,,363,2359
532,Marquez Stevenson,20133,marquez-stevenson,,,WR,183,,363,,,,,363,7556
533,Max Bredeson,28434,max-bredeson,MIN,6,RB,128,375,,,,488,,431.5,13516
534,Jimmy Horn Jr.,27294,jimmy-horn-jr,CAR,5,WR,184,364,,,,,,364,12523
535,Zane Gonzalez,16548,zane-gonzalez,,,K,44,429,,,,437,,433,4233
536,Bo Melton,24049,bo-melton,GB,11,WR,185,369,,,,,,369,8204
537,Dallin Holker,24732,dallin-holker,,,TE,76,,370,,,,,370,11606
538,Blake Whiteheart,25657,blake-whiteheart,CLE,11,TE,77,370,,,,,,370,11201
539,Michael Burton,14191,michael-burton,CLE,11,RB,129,373,,,,,,373,
540,Sage Surratt,20120,sage-surratt,,,WR,186,,373,,,,,373,7576
541,Justin Sumpter,18980,justin-sumpter,,,WR,187,,374,,,,,374,6384
542,Josh Whyle,22923,josh-whyle,GB,11,TE,78,374,,,,,,374,10212
543,Tyler Conklin,17598,tyler-conklin,DET,6,TE,79,378,,,,,,378,5133
544,Matt Seybert,23529,matt-seybert,,,TE,80,,378,,,,,378,8074
545,Chamon Metayer,28171,chamon-metayer,,,TE,81,,379,,,,,379,13280
546,Josh Williams,27444,josh-williams-rb,TB,10,RB,130,447,,,,432,,439.5,12787
547,Jeremy Cox,18925,jeremy-cox,,,RB,131,,380,,,,,380,6246
548,Tyree Mayfield,18885,tyree-mayfield,,,TE,82,,381,,,,,381,6238
549,Drew Ogletree,24561,andrew-ogletree,IND,13,TE,83,381,,,,,,381,8489
550,Luke Musgrave,25282,luke-musgrave,GB,11,TE,84,404,,,,477,,440.5,9481
551,Raheim Sanders,24351,raheim-sanders,CLE,11,RB,132,411,,,,470,,440.5,12472
552,Lawrence Cager,19701,lawrence-cager,,,TE,85,,382,,,,,382,7106
553,Erick All Jr.,23837,erick-all,CIN,6,TE,86,,,,,382,,382,11592
554,Jalen Hurd,18318,jalen-hurd,,,WR,188,,384,,,,,384,5911
555,Darius Cooper,27866,darius-cooper,PHI,10,WR,189,384,,,,,,384,13150
556,Johnny Mundt,16743,johnny-mundt,PHI,10,TE,87,385,,,,,,385,4314
557,Reggie White Jr.,18956,reggie-white,,,WR,190,,385,,,,,385,6261
558,Charlie Taumoepeau,19656,charlie-taumoepeau,,,TE,88,,386,,,,,386,6932
559,Reggie Gilliam,19844,reggie-gilliam,NE,11,RB,133,386,,,,,,386,7204
560,Patrick Ricard,17145,patrick-ricard,NYG,8,RB,134,387,,,,,,387,
561,Dillon Gabriel,23150,dillon-gabriel,CLE,11,QB,72,,,,,387,,387,12486
562,Terrell Jennings,26964,terrell-jennings,,,RB,135,,387,,,,,387,12412
563,MyCole Pruitt,13964,mycole-pruitt,,,TE,89,,388,,,,,388,2446
564,Chris Manhertz,14014,chris-manhertz,NYG,8,TE,90,388,,,,,,388,3048
565,Cade Klubnik,24361,cade-klubnik,NYJ,13,QB,73,493,,,,395,,444,13303
566,Ben Skowronek,22843,ben-skowronek,PIT,9,WR,191,389,,,,,,389,7757
567,Justin Joly,28079,justin-joly,MIA,6,TE,91,418,,,,471,,444.5,13400
568,Matt Colburn II,18629,matt-colburn,,,RB,136,,390,,,,,390,
569,DeMario Douglas,25304,demario-douglas,NE,11,WR,192,,,,,390,,390,9501
570,British Brooks,26748,british-brooks,HOU,8,RB,137,390,,,,,,390,12171
571,Deion Burks,27093,deion-burks,IND,13,WR,193,,,,,391,,391,13333
572,Ke'Shawn Williams,27724,keshawn-williams,CIN,6,WR,194,391,,,,,,391,12971
573,Thayer Thomas,25512,thayer-thomas,,,WR,195,,393,,,,,393,11073
574,Nikko Remigio,25772,nikko-remigio,KC,5,WR,196,393,,,,,,393,11320
575,Davis Mills,22799,davis-mills,HOU,8,QB,74,488,,,,405,,446.5,7585
576,Geoff Swaim,14164,geoff-swaim,,,TE,92,,394,,,,,394,2545
577,Trenton Cannon,17538,trenton-cannon,,,RB,138,,395,,,,,395,5123
578,Jalen Brooks,25468,jalen-brooks,ARI,14,WR,197,395,,,,,,395,11034
579,Ray-Ray McCloud III,17530,ray-ray-mccloud,,,WR,198,396,,,,,,396,5096
580,Daniel Bellinger,24238,daniel-bellinger,TEN,9,TE,93,461,,,,439,,450,8225
581,Devin Gray,17861,devin-gray,,,WR,199,,402,,,,,402,5244
582,Julius Chestnut,24689,julius-chestnut,TEN,9,RB,139,402,,,,,,402,8254
583,Jeremiah Hall,23895,jeremiah-hall,,,RB,140,,403,,,,,403,8203
584,Ronnie Rivers,23986,ronnie-rivers,LAR,11,RB,141,403,,,,,,403,8195
585,Tahj Brooks,26212,tahj-brooks,CIN,6,RB,142,,,,,403,,403,12543
586,Charlie Kolar,22756,charlie-kolar,LAC,7,TE,94,,,,,404,,404,8127
587,Brady Russell,25731,brady-russell,SEA,11,TE,95,405,,,,,,405,11280
588,Jake Browning,18557,jake-browning,,,QB,75,,,,,406,,406,6111
589,Carlos Washington Jr.,25644,carlos-washington-jr,,,RB,143,,406,,,,,406,11186
590,Colson Yankoff,26576,colson-yankoff,WAS,7,TE,96,406,,,,,,406,11942
591,Jalen Milroe,22884,jalen-milroe,SEA,11,QB,76,407,,,,,,407,12510
592,Marcus Burke,28568,marcus-burke,,,WR,200,,407,,,,,407,13667
593,Jordan Watkins,27486,jordan-watkins,SF,8,WR,201,408,,,,,,408,12634
