rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,rtsports,fantrax,real_time,avg,sleeper_id
127,Matthew Golden,26024,matthew-golden,GB,11,WR,50,110,125,131,129,122,117,123.4,12501
128,Mike Washington Jr.,28108,mike-washington-jr,LV,13,RB,43,163,140,124,105,100,130,126.4,13305
129,Mark Andrews,17269,mark-andrews,BAL,13,TE,15,120,126,119,134,140,125,127.8,5012
130,Romeo Doubs,23794,romeo-doubs,NE,11,WR,51,145,132,132,125,125,129,131.8,8121
131,Xavier Worthy,23019,xavier-worthy,KC,5,WR,52,126,135,140,136,128,127,133,11624
132,Ka'imi Fairbairn,15756,kaimi-fairbairn,HOU,8,K,2,116,128,133,152,144,144,134.6,3451
133,Woody Marks,27520,woody-marks,HOU,8,RB,44,147,147,136,108,136,134,134.8,12474
134,Cameron Dicker,23901,cameron-dicker,LAC,7,K,3,101,118,146,148,166,143,135.8,8259
135,Deebo Samuel Sr.,18244,deebo-samuel,SF,8,WR,53,142,130,129,137,141,135,135.8,5872
136,Jason Myers,14003,jason-myers,SEA,11,K,4,106,124,126,164,161,146,136.2,2747
137,Chris Rodriguez Jr.,22986,chris-rodriguez-jr,JAC,7,RB,45,167,141,139,113,127,128,137.4,10219
138,Kyler Murray,18600,kyler-murray,MIN,6,QB,17,130,151,138,143,131,138,138.6,5849
139,Philadelphia Eagles DST,8230,,,10,DST,5,132,123,134,156,153,141,139.6,
140,Baker Mayfield,17237,baker-mayfield,TB,10,QB,18,143,143,137,146,138,151,141.4,4892
141,Tyler Allgeier,24172,tyler-allgeier,ARI,14,RB,46,166,144,149,119,133,136,142.2,8132
142,Jalen Coker,26403,jalen-coker,CAR,5,WR,54,152,148,142,139,130,133,142.2,11646
143,Tyjae Spears,25323,tyjae-spears,TEN,9,RB,47,146,165,151,120,142,147,144.8,9508
144,Khalil Shakir,23748,khalil-shakir,BUF,7,WR,55,136,145,161,155,137,140,146.8,8134
145,Zach Charbonnet,23152,zach-charbonnet,SEA,11,RB,48,155,153,145,135,148,148,147.2,9753
146,Jordyn Tyson,26035,jordyn-tyson,NO,8,WR,56,183,113,157,145,139,137,147.4,13281
147,Rashid Shaheed,24687,rashid-shaheed,SEA,11,WR,57,159,149,148,138,145,142,147.8,8676
148,Juwan Johnson,19562,juwan-johnson,NO,8,TE,16,157,176,141,122,149,139,149,7002
149,Jordan Love,19246,jordan-love,GB,11,QB,19,154,162,144,158,132,149,150,6804
150,Cam Little,26475,cam-little,JAC,7,K,5,139,133,154,161,164,153,150.2,11786
151,Pittsburgh Steelers DST,8240,,,9,DST,6,114,154,147,175,167,166,151.4,
152,Jonah Coleman,27320,jonah-coleman,DEN,10,RB,49,162,166,150,116,172,145,153.2,13345
153,New England Patriots DST,8180,,,11,DST,7,150,137,153,172,168,161,156,
154,Baltimore Ravens DST,8020,,,13,DST,8,127,136,156,195,170,159,156.8,
155,Tyler Shough,23096,tyler-shough,NO,8,QB,20,148,182,155,159,146,170,158,12545
156,Hunter Henry,15561,hunter-henry,NE,11,TE,17,149,142,160,163,189,150,160.6,3214
157,Brenton Strange,25345,brenton-strange,JAC,7,TE,18,185,161,143,177,157,162,164.6,9480
158,Jake Bates,26075,jake-bates,DET,6,K,6,156,146,172,174,179,168,165.4,11539
159,Minnesota Vikings DST,8170,,,6,DST,9,190,155,135,173,175,163,165.6,
160,Keaton Mitchell,25360,keaton-mitchell,LAC,7,RB,50,200,183,174,140,134,152,166.2,9511
161,Alvin Kamara,16421,alvin-kamara,NO,8,RB,51,165,167,181,157,163,171,166.6,4035
162,Harrison Mevis,26638,harrison-mevis,LAR,11,K,7,123,156,187,186,185,175,167.4,12015
163,Jacksonville Jaguars DST,8140,,,7,DST,10,177,157,170,169,173,178,169.2,
164,Brian Robinson Jr.,20094,brian-robinson-jr,ATL,11,RB,52,182,171,184,150,165,164,170.4,8154
