rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
75,Mike Evans,12119,mike-evans,SF,9,WR,31,64,75,&nbsp;,81,83,&nbsp;,75.8,2216
76,Deshaun Watson,16398,deshaun-watson,CLE,5,QB,9,66,89,&nbsp;,55,94,&nbsp;,76.0,4017
77,Christian Kirk,17268,christian-kirk,SF,9,WR,32,84,71,&nbsp;,80,69,&nbsp;,76.0,4950
78,Evan Engram,16411,evan-engram,DEN,9,TE,8,79,76,&nbsp;,67,91,&nbsp;,78.3,4066
79,Michael Pittman Jr.,19278,michael-pittman,PIT,6,WR,33,87,68,&nbsp;,92,79,&nbsp;,81.5,6819
80,San Francisco 49ers,8270,,,9,DST,1,74,87,&nbsp;,62,108,&nbsp;,82.8,
81,George Pickens,22963,george-pickens,DAL,7,WR,34,78,74,&nbsp;,106,74,&nbsp;,83.0,8137
82,David Njoku,16399,david-njoku,LAC,5,TE,9,90,86,&nbsp;,63,104,&nbsp;,85.8,4033
83,David Montgomery,18239,david-montgomery,HOU,7,RB,30,76,83,&nbsp;,109,76,&nbsp;,86.0,5892
84,Dak Prescott,15600,dak-prescott,DAL,7,QB,10,89,88,&nbsp;,88,93,&nbsp;,89.5,3294
85,Justin Tucker,11465,justin-tucker,,,K,1,83,91,&nbsp;,71,116,&nbsp;,90.3,1264
86,Hollywood Brown,18226,marquise-brown,PHI,10,WR,35,81,79,&nbsp;,117,88,&nbsp;,91.3,5848
87,Jahan Dotson,23101,jahan-dotson,ATL,11,WR,36,94,90,&nbsp;,101,82,&nbsp;,91.8,8119
88,Tua Tagovailoa,19198,tua-tagovailoa,ATL,11,QB,11,101,92,&nbsp;,72,109,&nbsp;,93.5,6768
89,Jordan Addison,23107,jordan-addison,MIN,13,WR,37,102,85,&nbsp;,102,86,&nbsp;,93.8,9756
90,AJ Dillon,19358,aj-dillon,CAR,7,RB,31,96,93,&nbsp;,105,84,&nbsp;,94.5,6828
91,Brandin Cooks,12122,brandin-cooks,,,WR,38,88,97,&nbsp;,103,92,&nbsp;,95.0,2197
92,Pat Freiermuth,20163,pat-freiermuth,PIT,6,TE,10,82,84,&nbsp;,126,89,&nbsp;,95.3,7600
93,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,5,WR,39,99,81,&nbsp;,114,96,&nbsp;,97.5,9488
94,Khalil Herbert,22763,khalil-herbert,,,RB,32,91,105,&nbsp;,122,78,&nbsp;,99.0,7608
95,Aaron Rodgers,9001,aaron-rodgers,PIT,6,QB,12,93,94,&nbsp;,98,122,&nbsp;,101.8,96
96,Jamaal Williams,16424,jamaal-williams,,,RB,33,113,104,&nbsp;,108,90,&nbsp;,103.8,4149
97,Philadelphia Eagles,8230,,,10,DST,2,142,96,&nbsp;,65,121,&nbsp;,106.0,
98,Courtland Sutton,17253,courtland-sutton,DEN,9,WR,40,92,118,&nbsp;,127,87,&nbsp;,106.0,5045
99,Michael Thomas,15528,michael-thomas-wr,,,WR,41,104,95,&nbsp;,120,106,&nbsp;,106.3,3199
100,Odell Beckham Jr.,12127,odell-beckham,NYG,13,WR,42,103,109,&nbsp;,99,114,&nbsp;,106.3,2078
101,Gabe Davis,19398,gabriel-davis,,,WR,43,118,101,&nbsp;,112,102,&nbsp;,108.3,6943
102,Buffalo Bills,8030,,,13,DST,3,97,117,&nbsp;,70,150,&nbsp;,108.5,
103,Brian Robinson Jr.,20094,brian-robinson-jr,ATL,11,RB,34,100,102,&nbsp;,150,85,&nbsp;,109.3,8154
104,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,13,WR,44,115,106,&nbsp;,113,103,&nbsp;,109.3,4040
105,Kirk Cousins,11177,kirk-cousins,LV,13,QB,13,85,111,&nbsp;,124,119,&nbsp;,109.8,1166
106,Antonio Gibson,19624,antonio-gibson,,,RB,35,112,98,&nbsp;,160,80,&nbsp;,112.5,6945
107,Treylon Burks,22905,treylon-burks,WAS,14,WR,45,116,107,&nbsp;,107,126,&nbsp;,114.0,8135
108,Daniel Carlson,17420,daniel-carlson,LV,13,K,2,111,124,&nbsp;,79,143,&nbsp;,114.3,5095
109,Zay Flowers,22916,zay-flowers,BAL,13,WR,46,110,100,&nbsp;,143,107,&nbsp;,115.0,9997
110,Kadarius Toney,20119,kadarius-toney,,,WR,47,154,99,&nbsp;,90,124,&nbsp;,116.8,7606
111,Zach Charbonnet,23152,zach-charbonnet,SEA,5,RB,36,138,114,&nbsp;,119,101,&nbsp;,118.0,9753
112,Dallas Cowboys,8080,,,7,DST,4,109,108,&nbsp;,125,131,&nbsp;,118.3,
113,Samaje Perine,16423,samaje-perine,CIN,7,RB,37,121,123,&nbsp;,131,99,&nbsp;,118.5,4147
114,Anthony Richardson Sr.,24347,anthony-richardson,IND,11,QB,14,125,113,&nbsp;,118,125,&nbsp;,120.3,9229
115,Dalton Schultz,17349,dalton-schultz,HOU,7,TE,11,120,112,&nbsp;,115,135,&nbsp;,120.5,5001
116,Daniel Jones,18232,daniel-jones,IND,11,QB,15,114,141,&nbsp;,123,105,&nbsp;,120.8,5870
117,New York Jets,8210,,,7,DST,5,128,121,&nbsp;,74,166,&nbsp;,122.3,
118,Geno Smith,11687,geno-smith,NYJ,7,QB,16,124,131,&nbsp;,116,128,&nbsp;,124.8,1373
119,Quentin Johnston,23123,quentin-johnston,LAC,5,WR,48,126,103,&nbsp;,135,137,&nbsp;,125.3,9754
120,Jerick McKinnon,12209,jerick-mckinnon,,,RB,38,127,129,&nbsp;,133,112,&nbsp;,125.3,2161
121,Dalton Kincaid,25247,dalton-kincaid,BUF,13,TE,12,131,120,&nbsp;,144,113,&nbsp;,127.0,10236
122,Skyy Moore,23905,skyy-moore,GB,6,WR,49,98,130,&nbsp;,185,97,&nbsp;,127.5,8168
123,New England Patriots,8180,,,11,DST,6,141,144,&nbsp;,78,151,&nbsp;,128.5,
124,Tyler Bass,19760,tyler-bass,BUF,13,K,3,136,128,&nbsp;,104,148,&nbsp;,129.0,7042
125,Cole Kmet,19229,cole-kmet,CHI,13,TE,13,105,119,&nbsp;,139,155,&nbsp;,129.5,6826
126,Evan McPherson,23297,evan-mcpherson,CIN,7,K,4,106,110,&nbsp;,141,164,&nbsp;,130.3,7839
127,Harrison Butker,16712,harrison-butker,KC,10,K,5,108,116,&nbsp;,142,168,&nbsp;,133.5,4227
128,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,39,130,125,&nbsp;,166,118,&nbsp;,134.8,3164
129,Raheem Mostert,14338,raheem-mostert,LV,13,RB,40,122,140,&nbsp;,180,98,&nbsp;,135.0,2749
130,Tyler Higbee,15623,tyler-higbee,LAR,10,TE,14,117,135,&nbsp;,151,142,&nbsp;,136.3,3271
131,Jason Myers,14003,jason-myers,SEA,5,K,6,144,151,&nbsp;,82,170,&nbsp;,136.8,2747
132,De'Von Achane,23136,devon-achane,MIA,10,RB,41,180,132,&nbsp;,140,95,&nbsp;,136.8,9226
133,Adam Thielen,13429,adam-thielen,,,WR,50,137,127,&nbsp;,158,127,&nbsp;,137.3,1689
134,Baltimore Ravens,8020,,,13,DST,7,167,138,&nbsp;,87,163,&nbsp;,138.8,
135,Jared Goff,15501,jared-goff,DET,9,QB,17,153,148,&nbsp;,134,120,&nbsp;,138.8,3163
136,Younghoe Koo,16910,younghoe-koo,,,K,7,152,133,&nbsp;,85,186,&nbsp;,139.0,4666
137,Rashaad Penny,17308,rashaad-penny,,,RB,42,129,115,&nbsp;,202,115,&nbsp;,140.3,4985
138,Elijah Mitchell,22813,elijah-mitchell-rb,PHI,10,RB,43,148,139,&nbsp;,157,117,&nbsp;,140.3,7561
139,Pittsburgh Steelers,8240,,,6,DST,8,95,142,&nbsp;,137,192,&nbsp;,141.5,
140,Allen Lazard,17301,allen-lazard,,,WR,51,160,126,&nbsp;,154,134,&nbsp;,143.5,5185
141,Miami Dolphins,8160,,,10,DST,9,123,147,&nbsp;,96,217,&nbsp;,145.8,
142,Juwan Johnson,19562,juwan-johnson,NO,11,TE,15,162,195,&nbsp;,100,132,&nbsp;,147.3,7002
143,Russell Wilson,11180,russell-wilson,,,QB,18,135,167,&nbsp;,132,158,&nbsp;,148.0,1234
144,Jakobi Meyers,18598,jakobi-meyers,JAC,9,WR,52,119,153,&nbsp;,176,152,&nbsp;,150.0,5947
145,Elijah Moore,20114,elijah-moore,PHI,10,WR,53,145,122,&nbsp;,227,110,&nbsp;,151.0,7596
146,Rashod Bateman,19794,rashod-bateman,BAL,13,WR,54,197,143,&nbsp;,111,157,&nbsp;,152.0,7571
147,New Orleans Saints,8190,,,11,DST,10,107,157,&nbsp;,170,182,&nbsp;,154.0,
148,Jameson Williams,23677,jameson-williams,DET,9,WR,55,190,136,&nbsp;,130,160,&nbsp;,154.0,8148
149,Chig Okonkwo,23982,chigoziem-okonkwo,WAS,14,TE,16,156,146,&nbsp;,169,147,&nbsp;,154.5,8210
150,Graham Gano,9232,graham-gano,,,K,8,132,162,&nbsp;,97,230,&nbsp;,155.3,503
151,Tyler Boyd,15547,tyler-boyd,,,WR,56,151,145,&nbsp;,149,179,&nbsp;,156.0,3225
152,Devin Singletary,18280,devin-singletary,NYG,13,RB,44,150,171,&nbsp;,167,149,&nbsp;,159.3,6130
153,Tyler Allgeier,24172,tyler-allgeier,ARI,14,RB,45,158,154,&nbsp;,188,140,&nbsp;,160.0,8132
154,Jake Elliott,16540,jake-elliott,PHI,10,K,9,133,134,&nbsp;,168,209,&nbsp;,161.0,4195
155,Gerald Everett,16459,gerald-everett,,,TE,17,159,173,&nbsp;,121,195,&nbsp;,162.0,4089
156,Jaylen Warren,24209,jaylen-warren,PIT,6,RB,46,149,160,&nbsp;,242,100,&nbsp;,162.8,8228
157,Derek Carr,12092,derek-carr,,,QB,19,164,166,&nbsp;,161,162,&nbsp;,163.3,2028
158,Damien Harris,18230,damien-harris-rb,,,RB,47,181,149,&nbsp;,205,123,&nbsp;,164.5,5890
159,Jalin Hyatt,25251,jalin-hyatt,NYG,13,WR,57,201,163,&nbsp;,148,153,&nbsp;,166.3,9497
160,Kansas City Chiefs,8150,,,10,DST,11,183,169,&nbsp;,110,204,&nbsp;,166.5,
161,Brock Purdy,19797,brock-purdy,SF,9,QB,20,163,158,&nbsp;,156,191,&nbsp;,167.0,8183
162,Sam LaPorta,22978,sam-laporta,DET,9,TE,18,170,152,&nbsp;,206,145,&nbsp;,168.3,10859
163,Kenny Pickett,22722,kenny-pickett,CAR,7,QB,21,155,181,&nbsp;,183,154,&nbsp;,168.3,8160
164,Tank Bigsby,22908,tank-bigsby,PHI,10,RB,48,173,137,&nbsp;,258,111,&nbsp;,169.8,9225
165,Zay Jones,16431,zay-jones,,,WR,58,177,168,&nbsp;,174,174,&nbsp;,173.3,4080
166,Darnell Mooney,19810,darnell-mooney,NYG,13,WR,59,140,155,&nbsp;,229,172,&nbsp;,174.0,7090
167,Nico Collins,20130,nico-collins,HOU,7,WR,60,146,185,&nbsp;,224,141,&nbsp;,174.0,7569
168,Greg Dulcich,23153,greg-dulcich,MIA,10,TE,19,195,170,&nbsp;,163,176,&nbsp;,176.0,8172
169,Matthew Stafford,9451,matthew-stafford,LAR,10,QB,22,165,209,&nbsp;,147,194,&nbsp;,178.8,421
170,Washington Commanders,8310,,,14,DST,12,175,176,&nbsp;,179,189,&nbsp;,179.8,
171,Deuce Vaughn,22984,deuce-vaughn,,,RB,49,191,159,&nbsp;,209,161,&nbsp;,180.0,9505
172,Romeo Doubs,23794,romeo-doubs,NE,11,WR,61,193,165,&nbsp;,234,129,&nbsp;,180.3,8121
173,Cincinnati Bengals,8060,,,7,DST,13,172,201,&nbsp;,128,222,&nbsp;,180.8,
174,Bryce Young,22900,bryce-young,CAR,7,QB,23,176,174,&nbsp;,155,228,&nbsp;,183.3,9228
175,,19796,,,,1,,134,177,&nbsp;,271,156,&nbsp;,184.5,
176,Green Bay Packers,8110,,,6,DST,14,161,184,&nbsp;,153,251,&nbsp;,187.3,
177,Kenneth Gainwell,23310,kenneth-gainwell,TB,5,RB,50,192,180,&nbsp;,248,130,&nbsp;,187.5,7567
178,Jordan Love,19246,jordan-love,GB,6,QB,24,179,189,&nbsp;,189,199,&nbsp;,189.0,6804
179,Michael Gallup,17259,michael-gallup,,,WR,62,143,188,&nbsp;,198,231,&nbsp;,190.0,5038
180,Jonathan Mingo,23030,jonathan-mingo,DAL,7,WR,63,210,172,&nbsp;,195,184,&nbsp;,190.3,10225
181,Cameron Dicker,23901,cameron-dicker,LAC,5,K,10,171,178,&nbsp;,232,181,&nbsp;,190.5,8259
182,Dawson Knox,18631,dawson-knox,BUF,13,TE,20,185,164,&nbsp;,152,266,&nbsp;,191.8,5906
183,K.J. Osborn,19708,kj-osborn,TEN,7,WR,64,169,213,&nbsp;,220,167,&nbsp;,192.3,7066
184,Matt Gay,18545,matt-gay,LV,13,K,11,166,190,&nbsp;,171,248,&nbsp;,193.8,6083
185,Jacksonville Jaguars,8140,,,9,DST,15,253,197,&nbsp;,159,169,&nbsp;,194.5,
186,Roschon Johnson,25322,roschon-johnson,CHI,13,RB,51,184,194,&nbsp;,269,133,&nbsp;,195.0,10235
187,Brandon McManus,13274,brandon-mcmanus,,,K,12,240,156,&nbsp;,193,197,&nbsp;,196.5,1433
188,Zach Ertz,11689,zach-ertz,,,TE,21,157,216,&nbsp;,199,223,&nbsp;,198.8,1339
189,Denver Broncos,8090,,,9,DST,16,204,200,&nbsp;,172,219,&nbsp;,198.8,
190,Cleveland Browns,8070,,,5,DST,17,139,226,&nbsp;,191,243,&nbsp;,199.8,
191,Seattle Seahawks,8260,,,5,DST,18,223,179,&nbsp;,177,221,&nbsp;,200.0,
192,DJ Chark Jr.,17292,dj-chark,,,WR,65,147,199,&nbsp;,228,227,&nbsp;,200.3,4951
193,Sam Howell,23045,sam-howell,DAL,7,QB,25,200,229,&nbsp;,187,185,&nbsp;,200.3,8162
194,Luke Musgrave,25282,luke-musgrave,GB,6,TE,22,205,202,&nbsp;,213,183,&nbsp;,200.8,9481
195,Kyler Murray,18600,kyler-murray,MIN,13,QB,26,194,198,&nbsp;,182,232,&nbsp;,201.5,5849
196,D'Onta Foreman,16407,donta-foreman,,,RB,52,&nbsp;,175,&nbsp;,201,136,&nbsp;,170.7,4111
197,Jeff Wilson Jr.,18026,jeffery-wilson,,,RB,53,168,&nbsp;,&nbsp;,138,211,&nbsp;,172.3,5284
198,Taysom Hill,17115,taysom-hill,,,TE,23,199,192,&nbsp;,175,265,&nbsp;,207.8,4381
199,Kendre Miller,24360,kendre-miller,NO,11,RB,54,&nbsp;,193,&nbsp;,162,177,&nbsp;,177.3,9757
200,Greg Zuerlein,11345,greg-zuerlein,,,K,13,188,&nbsp;,&nbsp;,145,207,&nbsp;,180.0,1266
201,Marquez Valdes-Scantling,17528,marquez-valdesscantling,DAL,7,WR,66,198,211,&nbsp;,215,218,&nbsp;,210.5,5086
202,C.J. Stroud,23071,cj-stroud,HOU,7,QB,27,196,214,&nbsp;,184,252,&nbsp;,211.5,9758
203,Kareem Hunt,16425,kareem-hunt,,,RB,55,234,186,&nbsp;,286,144,&nbsp;,212.5,4098
204,Deon Jackson,20097,deon-jackson,,,RB,56,187,225,&nbsp;,&nbsp;,139,&nbsp;,183.7,7551
205,Jimmy Garoppolo,12208,jimmy-garoppolo,LAR,10,QB,28,182,230,&nbsp;,207,234,&nbsp;,213.3,1837
206,Rashee Rice,23113,rashee-rice,KC,10,WR,67,&nbsp;,150,&nbsp;,218,188,&nbsp;,185.3,10229
207,Jake Ferguson,22718,jake-ferguson,DAL,7,TE,24,203,203,&nbsp;,237,216,&nbsp;,214.8,8110
208,Marvin Mims Jr.,23080,marvin-mims,DEN,9,WR,68,228,182,&nbsp;,291,165,&nbsp;,216.5,9494
209,Mike Gesicki,17272,mike-gesicki,CIN,7,TE,25,229,239,&nbsp;,194,206,&nbsp;,217.0,4993
210,Cordarrelle Patterson,11613,cordarrelle-patterson,,,RB,57,&nbsp;,220,&nbsp;,173,178,&nbsp;,190.3,1535
211,Leonard Fournette,16378,leonard-fournette,,,RB,58,231,242,&nbsp;,186,214,&nbsp;,218.3,3969
212,Michael Mayer,23056,michael-mayer,LV,13,TE,26,217,191,&nbsp;,211,256,&nbsp;,218.8,9482
213,Donovan Peoples-Jones,19298,donovan-peoples-jones,,,WR,69,&nbsp;,210,&nbsp;,235,138,&nbsp;,194.3,6824
214,Tyler Conklin,17598,tyler-conklin,DET,9,TE,27,186,238,&nbsp;,208,257,&nbsp;,222.3,5133
215,Parris Campbell,18463,parris-campbell,,,WR,70,189,245,&nbsp;,267,190,&nbsp;,222.8,5880
216,Jason Sanders,17533,jason-sanders,NYJ,7,K,14,&nbsp;,161,&nbsp;,196,235,&nbsp;,197.3,5119
217,Gus Edwards,17687,gus-edwards,,,RB,59,206,233,&nbsp;,268,187,&nbsp;,223.5,5248
218,Hunter Renfrow,18345,hunter-renfrow,,,WR,71,178,212,&nbsp;,241,268,&nbsp;,224.8,5955
219,Clyde Edwards-Helaire,19325,clyde-edwards-helaire,,,RB,60,&nbsp;,196,&nbsp;,204,205,&nbsp;,201.7,6820
220,Hayden Hurst,17283,hayden-hurst,,,TE,28,235,231,&nbsp;,217,225,&nbsp;,227.0,4973
221,Nick Folk,9491,nick-folk,ATL,11,K,15,&nbsp;,227,&nbsp;,91,&nbsp;,&nbsp;,159.0,650
222,Chuba Hubbard,19792,chuba-hubbard,CAR,7,RB,61,&nbsp;,206,&nbsp;,253,159,&nbsp;,206.0,7594
223,Tyjae Spears,25323,tyjae-spears,TEN,7,RB,62,&nbsp;,205,&nbsp;,272,146,&nbsp;,207.7,9508
224,Justyn Ross,19798,justyn-ross,,,WR,72,218,187,&nbsp;,276,242,&nbsp;,230.8,8140
225,Minnesota Vikings,8170,,,13,DST,19,212,&nbsp;,&nbsp;,192,229,&nbsp;,211.0,
226,New York Giants,8200,,,13,DST,20,224,&nbsp;,&nbsp;,146,269,&nbsp;,213.0,
227,Chris Boswell,13029,chris-boswell,PIT,6,K,16,202,&nbsp;,&nbsp;,181,259,&nbsp;,214.0,1945
228,Wil Lutz,16026,wil-lutz,DEN,9,K,17,215,&nbsp;,&nbsp;,197,241,&nbsp;,217.7,3678
229,Hunter Henry,15561,hunter-henry,NE,11,TE,29,227,&nbsp;,&nbsp;,216,210,&nbsp;,217.7,3214
230,Jayden Reed,23020,jayden-reed,GB,6,WR,73,&nbsp;,218,&nbsp;,240,202,&nbsp;,220.0,10222
231,Tank Dell,25361,nathaniel-dell,HOU,7,WR,74,403,183,&nbsp;,265,212,&nbsp;,265.8,9502
