rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
24,Isiah Pacheco,24333,isiah-pacheco,DET,5,RB,12,28,21,24.5,8205
25,Chris Olave,20111,chris-olave,NO,12,WR,12,22,29,25.5,8144
26,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,13,27,26,26.5,5872
27,Nico Collins,20130,nico-collins,HOU,14,WR,14,33,25,29.0,7569
28,Travis Kelce,11594,travis-kelce,KC,6,TE,1,25,36,30.5,1466
29,Jalen Hurts,19275,jalen-hurts,PHI,5,QB,2,31,30,30.5,6904
30,Sam LaPorta,22978,sam-laporta,DET,5,TE,2,30,32,31.0,10859
31,Patrick Mahomes II,16413,patrick-mahomes,KC,6,QB,3,32,34,33.0,4046
32,James Cook III,22958,james-cook,BUF,12,RB,13,40,27,33.5,8138
33,Rachaad White,23891,rachaad-white,WAS,14,RB,14,37,31,34.0,8136
34,Brandon Aiyuk,19252,brandon-aiyuk,SF,9,WR,15,26,43,34.5,6803
35,Michael Pittman Jr.,19278,michael-pittman,PIT,9,WR,16,44,28,36.0,6819
36,Cooper Kupp,16433,cooper-kupp,SEA,10,WR,17,39,33,36.0,4039
37,Mike Evans,12119,mike-evans,SF,9,WR,18,29,46,37.5,2216
38,Lamar Jackson,17233,lamar-jackson,BAL,14,QB,4,36,40,38.0,4881
39,Jaylen Waddle,19790,jaylen-waddle,DEN,14,WR,19,35,42,38.5,7526
40,DJ Moore,17265,dj-moore-wr,BUF,12,WR,20,38,39,38.5,4983
41,Stefon Diggs,13981,stefon-diggs,,,WR,21,34,44,39.0,2449
42,DK Metcalf,18219,dk-metcalf,PIT,9,WR,22,41,38,39.5,5846
43,Kenneth Walker III,23021,kenneth-walker-rb,KC,6,RB,15,45,35,40.0,8151
44,Joe Mixon,16420,joe-mixon,,,RB,16,43,41,42.0,4018
45,Alvin Kamara,16421,alvin-kamara,NO,12,RB,17,50,37,43.5,4035
46,Malik Nabers,25409,malik-nabers,NYG,11,WR,23,42,47,44.5,11632
47,DeVonta Smith,19222,devonta-smith,PHI,5,WR,24,47,45,46.0,7525
48,Trey McBride,22936,trey-mcbride,ARI,11,TE,3,48,49,48.5,8130
49,Dalton Kincaid,25247,dalton-kincaid,BUF,12,TE,4,51,48,49.5,10236
50,Mark Andrews,17269,mark-andrews,BAL,14,TE,5,49,50,49.5,5012
51,C.J. Stroud,23071,cj-stroud,HOU,14,QB,5,46,55,50.5,9758
52,Anthony Richardson Sr.,24347,anthony-richardson,IND,14,QB,6,53,53,53.0,9229
53,Aaron Jones Sr.,16673,aaron-jones,MIN,6,RB,18,56,56,56.0,4199
54,Amari Cooper,13894,amari-cooper,,,WR,25,55,59,57.0,2309
55,D'Andre Swift,19210,dandre-swift,CHI,7,RB,19,64,51,57.5,6790
56,James Conner,16447,james-conner,ARI,11,RB,20,59,57,58.0,4137
57,George Pickens,22963,george-pickens,DAL,7,WR,26,60,58,59.0,8137
58,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,14,RB,21,66,54,60.0,7611
59,Tee Higgins,19211,tee-higgins,CIN,12,WR,27,57,64,60.5,6801
60,Zay Flowers,22916,zay-flowers,BAL,14,WR,28,52,72,62.0,9997
61,Tank Dell,25361,nathaniel-dell,HOU,14,WR,29,54,75,64.5,9502
62,George Kittle,16499,george-kittle,SF,9,TE,6,58,71,64.5,4217
63,Terry McLaurin,18466,terry-mclaurin,WAS,14,WR,30,68,61,64.5,5927
64,Kyle Pitts Sr.,20164,kyle-pitts,ATL,12,TE,7,61,69,65.0,7553
65,David Montgomery,18239,david-montgomery,HOU,14,RB,22,63,67,65.0,5892
66,Kyler Murray,18600,kyler-murray,MIN,6,QB,7,70,62,66.0,5849
67,Rashee Rice,23113,rashee-rice,KC,6,WR,31,81,52,66.5,10229
68,Zamir White,20095,zamir-white,LV,10,RB,23,73,60,66.5,8139
69,Najee Harris,19302,najee-harris-rb,LAC,5,RB,24,69,65,67.0,7528
70,Christian Kirk,17268,christian-kirk,SF,9,WR,32,67,68,67.5,4950
71,Joe Burrow,19196,joe-burrow,CIN,12,QB,8,62,74,68.0,6770
72,Evan Engram,16411,evan-engram,DEN,14,TE,8,71,70,70.5,4066
73,Keenan Allen,11616,keenan-allen,LAC,5,WR,33,65,81,73.0,1479
74,Jordan Love,19246,jordan-love,GB,10,QB,9,82,66,74.0,6804
75,Chris Godwin Jr.,16406,chris-godwin,TB,11,WR,34,79,73,76.0,4037
76,Raheem Mostert,14338,raheem-mostert,LV,10,RB,25,75,78,76.5,2749
77,Javonte Williams,22739,javonte-williams,DAL,7,RB,26,91,63,77.0,7588
78,Dak Prescott,15600,dak-prescott,DAL,7,QB,10,77,77,77.0,3294
79,Tony Pollard,18705,tony-pollard,TEN,5,RB,27,78,80,79.0,5967
80,Calvin Ridley,17258,calvin-ridley,TEN,5,WR,35,80,79,79.5,4981
81,Jayden Reed,23020,jayden-reed,GB,10,WR,36,74,90,82.0,10222
82,Xavier Worthy,23019,xavier-worthy,KC,6,WR,37,76,91,83.5,11624
83,Jake Ferguson,22718,jake-ferguson,DAL,7,TE,9,85,86,85.5,8110
84,Devin Singletary,18280,devin-singletary,NYG,11,RB,28,96,76,86.0,6130
85,Zack Moss,19263,zack-moss,,,RB,29,89,85,87.0,6845
86,Diontae Johnson,18615,diontae-johnson,,,WR,38,94,82,88.0,5937
87,Jaylen Warren,24209,jaylen-warren,PIT,9,RB,30,93,84,88.5,8228
88,David Njoku,16399,david-njoku,LAC,5,TE,10,87,94,90.5,4033
89,Rome Odunze,25411,rome-odunze,CHI,7,WR,39,72,110,91.0,11620
90,Brock Bowers,22955,brock-bowers,LV,10,TE,11,83,100,91.5,11604
91,Brian Robinson Jr.,20094,brian-robinson-jr,ATL,12,RB,31,103,83,93.0,8154
92,Jonathon Brooks,26148,jonathon-brooks,CAR,11,RB,32,90,96,93.0,11583
93,Austin Ekeler,16483,austin-ekeler,,,RB,33,95,92,93.5,4663
94,Nick Chubb,17246,nick-chubb,,,RB,34,86,102,94.0,4988
95,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,10,WR,40,102,93,97.5,9488
96,Caleb Williams,23084,caleb-williams,CHI,7,QB,11,99,97,98.0,11560
97,Brock Purdy,19797,brock-purdy,SF,9,QB,12,97,101,99.0,8183
98,Christian Watson,23886,christian-watson,GB,10,WR,41,100,98,99.0,8167
99,Ladd McConkey,26122,ladd-mcconkey,LAC,5,WR,42,88,111,99.5,11635
100,DeAndre Hopkins,11606,deandre-hopkins,BAL,14,WR,43,101,99,100.0,1426
101,Jordan Addison,23107,jordan-addison,MIN,6,WR,44,84,117,100.5,9756
102,Jayden Daniels,22902,jayden-daniels,WAS,14,QB,13,112,89,100.5,11566
103,Jerome Ford,22921,jerome-ford,WAS,14,RB,35,116,87,101.5,8143
104,Tyjae Spears,25323,tyjae-spears,TEN,5,RB,36,108,95,101.5,9508
105,Chase Brown,25324,chase-brown,CIN,12,RB,37,117,88,102.5,9224
106,Hollywood Brown,18226,marquise-brown,PHI,5,WR,45,92,119,105.5,5848
107,Tua Tagovailoa,19198,tua-tagovailoa,ATL,12,QB,14,106,106,106.0,6768
108,Keon Coleman,26019,keon-coleman,BUF,12,WR,46,98,115,106.5,11637
109,Jameson Williams,23677,jameson-williams,DET,5,WR,47,111,103,107.0,8148
110,Courtland Sutton,17253,courtland-sutton,DEN,14,WR,48,114,104,109.0,5045
111,Jared Goff,15501,jared-goff,DET,5,QB,15,113,105,109.0,3163
112,Brian Thomas Jr.,23000,brian-thomas-jr,JAC,12,WR,49,105,113,109.0,11631
113,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,38,110,109,109.5,3164
114,Gus Edwards,17687,gus-edwards,,,RB,39,104,116,110.0,5248
115,Trey Benson,25388,trey-benson,ARI,11,RB,40,109,112,110.5,11589
116,Blake Corum,23013,blake-corum,LAR,6,RB,41,115,107,111.0,11586
117,Dallas Goedert,17270,dallas-goedert,PHI,5,TE,12,107,123,115.0,5022
118,Chuba Hubbard,19792,chuba-hubbard,CAR,11,RB,42,130,108,119.0,7594
119,Romeo Doubs,23794,romeo-doubs,NE,14,WR,50,121,121,121.0,8121
120,J.K. Dobbins,19245,jk-dobbins,DEN,14,RB,43,131,114,122.5,6806
121,Curtis Samuel,16434,curtis-samuel,,,WR,51,120,127,123.5,4082
122,Trevor Lawrence,19780,trevor-lawrence,JAC,12,QB,16,127,120,123.5,7523
123,Khalil Shakir,23748,khalil-shakir,BUF,12,WR,52,126,122,124.0,8134
124,T.J. Hockenson,18290,tj-hockenson,MIN,6,TE,13,119,131,125.0,5844
125,Justin Herbert,18635,justin-herbert,LAC,5,QB,17,123,129,126.0,6797
126,Dalton Schultz,17349,dalton-schultz,HOU,14,TE,14,118,137,127.5,5001
127,Zach Charbonnet,23152,zach-charbonnet,SEA,10,RB,44,128,128,128.0,9753
128,Rico Dowdle,19647,rico-dowdle,PIT,9,RB,45,139,118,128.5,7021
129,Pat Freiermuth,20163,pat-freiermuth,PIT,9,TE,15,124,134,129.0,7600
130,Joshua Palmer,22845,josh-palmer,BUF,12,WR,53,138,124,131.0,7670
131,Brandon Aubrey,26068,brandon-aubrey,DAL,7,K,1,134,133,133.5,11533
132,Cole Kmet,19229,cole-kmet,CHI,7,TE,16,129,140,134.5,6826
133,Ty Chandler,19471,ty-chandler,NO,12,RB,46,146,125,135.5,8230
134,Tyler Lockett,13971,tyler-lockett,LV,10,WR,54,122,152,137.0,2374
135,Kirk Cousins,11177,kirk-cousins,LV,10,QB,18,145,130,137.5,1166
136,Justin Tucker,11465,justin-tucker,,,K,2,132,143,137.5,1264
137,Jakobi Meyers,18598,jakobi-meyers,JAC,12,WR,55,137,138,137.5,5947
138,Jerry Jeudy,19201,jerry-jeudy,CLE,10,WR,56,141,136,138.5,6783
139,Aaron Rodgers,9001,aaron-rodgers,PIT,9,QB,19,143,135,139.0,96
140,Jaylen Wright,25987,jaylen-wright,MIA,6,RB,47,148,132,140.0,11643
141,Tyler Allgeier,24172,tyler-allgeier,ARI,11,RB,48,149,139,144.0,8132
142,Mike Williams,16377,mike-williams-wr,,,WR,57,140,148,144.0,
143,Harrison Butker,16712,harrison-butker,KC,6,K,3,133,157,145.0,4227
144,Jaleel McLaughlin,25876,jaleel-mclaughlin,DEN,14,RB,49,168,126,147.0,11439
145,Adonai Mitchell,24357,adonai-mitchell,NYJ,12,WR,58,125,170,147.5,11625
146,Matthew Stafford,9451,matthew-stafford,LAR,6,QB,20,159,141,150.0,421
147,Gabe Davis,19398,gabriel-davis,,,WR,59,150,153,151.5,6943
148,Taysom Hill,17115,taysom-hill,,,TE,17,161,147,154.0,4381
149,MarShawn Lloyd,23118,marshawn-lloyd,GB,10,RB,50,164,146,155.0,11581
150,Antonio Gibson,19624,antonio-gibson,,,RB,51,167,144,155.5,6945
151,Rashid Shaheed,24687,rashid-shaheed,SEA,10,WR,60,144,169,156.5,8676
152,Brandin Cooks,12122,brandin-cooks,,,WR,61,151,164,157.5,2197
153,Dontayvion Wicks,24354,dontayvion-wicks,PHI,5,WR,62,162,154,158.0,9486
154,New York Jets,8210,,,12,DST,1,158,158,158.0,
155,San Francisco 49ers,8270,,,9,DST,2,154,163,158.5,
156,Luke Musgrave,25282,luke-musgrave,GB,10,TE,18,147,175,161.0,9481
157,Ray Davis,26191,ray-davis,BUF,12,RB,52,176,150,163.0,11575
158,Baker Mayfield,17237,baker-mayfield,TB,11,QB,21,171,155,163.0,4892
159,Ka'imi Fairbairn,15756,kaimi-fairbairn,HOU,14,K,4,155,172,163.5,3451
160,Adam Thielen,13429,adam-thielen,,,WR,63,172,156,164.0,1689
161,Xavier Legette,26136,xavier-legette,CAR,11,WR,64,142,187,164.5,11626
162,Kimani Vidal,26355,kimani-vidal,LAC,5,RB,53,173,161,167.0,11647
163,Dallas Cowboys,8080,,,7,DST,3,191,145,168.0,
164,Bucky Irving,25981,bucky-irving,TB,11,RB,54,189,149,169.0,11584
165,Baltimore Ravens,8020,,,14,DST,4,187,151,169.0,
166,Jake Elliott,16540,jake-elliott,PHI,5,K,5,152,186,169.0,4195
167,Ja'Lynn Polk,26205,jalynn-polk,NO,12,WR,65,160,178,169.0,11619
168,Braelon Allen,24346,braelon-allen,NYJ,12,RB,55,180,160,170.0,11576
169,Darnell Mooney,19810,darnell-mooney,NYG,11,WR,66,174,168,171.0,7090
170,Younghoe Koo,16910,younghoe-koo,,,K,6,136,207,171.5,4666
171,Deshaun Watson,16398,deshaun-watson,CLE,10,QB,22,178,165,171.5,4017
172,Jake Moody,24009,jake-moody,WAS,14,K,7,153,197,175.0,10937
173,Michael Wilson,25333,michael-wilson,ARI,11,WR,67,192,159,175.5,10232
174,Josh Downs,24706,josh-downs,IND,14,WR,68,165,189,177.0,9500
175,Will Levis,22987,will-levis,TEN,5,QB,23,196,162,179.0,9999
176,Tyrone Tracy Jr.,22980,tyrone-tracy-jr,NYG,11,RB,56,184,174,179.0,11655
177,Khalil Herbert,22763,khalil-herbert,,,RB,57,188,171,179.5,7608
178,Evan McPherson,23297,evan-mcpherson,CIN,12,K,8,135,227,181.0,7839
179,Geno Smith,11687,geno-smith,NYJ,12,QB,24,198,166,182.0,1373
180,Isaiah Likely,23781,isaiah-likely,NYG,11,TE,19,181,192,186.5,8131
181,Tyler Conklin,17598,tyler-conklin,DET,5,TE,20,193,181,187.0,5133
182,Cleveland Browns,8070,,,10,DST,5,200,176,188.0,
183,Hunter Henry,15561,hunter-henry,NE,14,TE,21,183,193,188.0,3214
184,Cameron Dicker,23901,cameron-dicker,LAC,5,K,9,156,223,189.5,8259
185,Jason Sanders,17533,jason-sanders,NYJ,12,K,10,177,204,190.5,5119
186,Pittsburgh Steelers,8240,,,9,DST,6,195,188,191.5,
187,Quentin Johnston,23123,quentin-johnston,LAC,5,WR,69,182,202,192.0,9754
188,Jordan Mason,22969,jordan-mason,MIN,6,RB,58,244,142,193.0,8408
189,Jahan Dotson,23101,jahan-dotson,ATL,12,WR,70,163,228,195.5,8119
190,Tyler Bass,19760,tyler-bass,BUF,12,K,11,157,235,196.0,7042
191,DeMario Douglas,25304,demario-douglas,NE,14,WR,71,185,208,196.5,9501
192,Bo Nix,22910,bo-nix,DEN,14,QB,25,215,179,197.0,11563
193,Bryce Young,22900,bryce-young,CAR,11,QB,26,223,173,198.0,9228
194,Cade Otton,23181,cade-otton,TB,11,TE,22,179,220,199.5,8111
195,Chig Okonkwo,23982,chigoziem-okonkwo,WAS,14,TE,23,206,195,200.5,8210
196,Derek Carr,12092,derek-carr,,,QB,27,239,167,203.0,2028
197,Tank Bigsby,22908,tank-bigsby,PHI,5,RB,59,217,191,204.0,9225
198,Justin Fields,19781,justin-fields,KC,6,QB,28,202,209,205.5,7591
199,Daniel Jones,18232,daniel-jones,IND,14,QB,29,235,177,206.0,5870
200,Kansas City Chiefs,8150,,,6,DST,7,209,205,207.0,
201,Ben Sinnott,26310,ben-sinnott,WAS,14,TE,24,170,246,208.0,11596
202,Drake Maye,23046,drake-maye,NE,14,QB,30,221,200,210.5,11564
203,Russell Wilson,11180,russell-wilson,,,QB,31,241,182,211.5,1234
204,Alexander Mattison,18621,alexander-mattison,,,RB,60,224,199,211.5,5987
205,Troy Franklin,23092,troy-franklin,DEN,14,WR,72,175,249,212.0,11627
206,Buffalo Bills,8030,,,12,DST,8,245,180,212.5,
207,Jermaine Burton,22956,jermaine-burton,,,WR,73,197,229,213.0,11640
208,Jason Myers,14003,jason-myers,SEA,10,K,12,212,214,213.0,2747
209,Miami Dolphins,8160,,,6,DST,9,213,215,214.0,
210,Sam Darnold,17236,sam-darnold,SEA,10,QB,32,247,183,215.0,4943
211,Audric Estime,23054,audric-estime,NO,12,RB,61,210,221,215.5,11579
212,Philadelphia Eagles,8230,,,5,DST,10,204,231,217.5,
213,Luke McCaffrey,26328,luke-mccaffrey,WAS,14,WR,74,199,239,219.0,11650
214,Dameon Pierce,22947,dameon-pierce,PHI,5,RB,62,194,247,220.5,8129
215,Marvin Mims Jr.,23080,marvin-mims,DEN,14,WR,75,203,238,220.5,9494
216,Roschon Johnson,25322,roschon-johnson,CHI,7,RB,63,231,212,221.5,10235
217,Wan'Dale Robinson,22985,wandale-robinson,TEN,5,WR,76,226,217,221.5,8126
218,Jonnu Smith,16460,jonnu-smith,,,TE,25,234,211,222.5,4144
219,Houston Texans,8120,,,14,DST,11,248,198,223.0,
220,Kendre Miller,24360,kendre-miller,NO,12,RB,64,166,283,224.5,9757
221,Ricky Pearsall,26214,ricky-pearsall,SF,9,WR,77,169,280,224.5,11638
222,Jamaal Williams,16424,jamaal-williams,,,RB,65,255,194,224.5,4149
223,Noah Fant,17527,noah-fant,NO,12,TE,26,218,232,225.0,5857
224,Rashod Bateman,19794,rashod-bateman,BAL,14,WR,78,201,251,226.0,7571
225,Will Shipley,22930,will-shipley,PHI,5,RB,66,219,234,226.5,11577
226,Gardner Minshew II,18562,gardner-minshew,ARI,11,QB,33,271,184,227.5,6011
227,Justice Hill,18256,justice-hill,BAL,14,RB,67,246,210,228.0,5995
228,Clyde Edwards-Helaire,19325,clyde-edwards-helaire,,,RB,68,216,244,230.0,6820
229,New Orleans Saints,8190,,,12,DST,12,261,203,232.0,
230,Kenneth Gainwell,23310,kenneth-gainwell,TB,11,RB,69,258,206,232.0,7567
231,Greg Dortch,18585,greg-dortch,DET,5,WR,79,222,242,232.0,5970
232,Daniel Carlson,17420,daniel-carlson,LV,10,K,13,214,253,233.5,5095
233,Roman Wilson,26160,roman-wilson,,,WR,80,190,279,234.5,11630
234,Jalen McMillan,23179,jalen-mcmillan,TB,11,WR,81,230,243,236.5,11618
235,Juwan Johnson,19562,juwan-johnson,NO,12,TE,27,243,233,238.0,7002
236,Tampa Bay Buccaneers,8290,,,11,DST,13,205,272,238.5,
237,Seattle Seahawks,8260,,,10,DST,14,211,271,241.0,
238,Ja'Tavion Sanders,24334,jatavion-sanders,CAR,11,TE,28,227,265,246.0,11600
239,Samaje Perine,16423,samaje-perine,CIN,12,RB,70,310,185,247.5,4147
240,Las Vegas Raiders,8220,,,10,DST,15,253,241,247.0,
241,Mike Gesicki,17272,mike-gesicki,CIN,12,TE,29,228,267,247.5,4993
242,Keaton Mitchell,25360,keaton-mitchell,LAC,5,RB,71,232,263,247.5,9511
243,Dyami Brown,20113,dyami-brown,WAS,14,WR,82,&nbsp;,190,190.0,7587
244,Jacoby Brissett,15642,jacoby-brissett,ARI,11,QB,34,&nbsp;,196,196.0,3257
245,Demarcus Robinson,15665,demarcus-robinson,SF,9,WR,83,220,285,252.5,3286
246,Dalvin Cook,16374,dalvin-cook,,,RB,72,&nbsp;,201,201.0,4029
247,Tyler Boyd,15547,tyler-boyd,,,WR,84,238,270,254.0,3225
248,Malachi Corley,26023,malachi-corley,CLE,10,WR,85,207,303,255.0,11617
249,Detroit Lions,8100,,,5,DST,16,254,259,256.5,
250,Washington Commanders,8310,,,14,DST,17,208,&nbsp;,208.0,
251,Theo Johnson,23104,theo-johnson,NYG,11,TE,30,252,264,258.0,11597
252,Zach Ertz,11689,zach-ertz,,,TE,31,262,254,258.0,1339
253,Trey Sermon,19425,trey-sermon,,,RB,73,251,266,258.5,7593
254,Jalen Tolbert,23770,jalen-tolbert,MIA,6,WR,86,249,269,259.0,8117
255,Isaac Guerendo,26392,isaac-guerendo,SF,9,RB,74,237,282,259.5,11651
256,Greg Dulcich,23153,greg-dulcich,MIA,6,TE,32,265,255,260.0,8172
257,Aidan O'Connell,24330,aidan-oconnell,LV,10,QB,35,321,213,267.0,10866
258,Matt Gay,18545,matt-gay,LV,10,K,14,&nbsp;,216,216.0,6083
259,Kareem Hunt,16425,kareem-hunt,,,RB,75,&nbsp;,218,218.0,4098
260,Cincinnati Bengals,8060,,,12,DST,18,&nbsp;,219,219.0,
261,Hayden Hurst,17283,hayden-hurst,,,TE,33,304,222,263.0,4973
262,Dylan Laube,26194,dylan-laube,LV,10,RB,76,250,277,263.5,11574
263,Chicago Bears,8050,,,7,DST,19,299,230,264.5,
264,Cam Akers,19268,cam-akers,,,RB,77,&nbsp;,224,224.0,6938
265,Carson Steele,26372,carson-steele,PHI,5,RB,78,&nbsp;,225,225.0,11582
266,Colby Parkinson,19372,colby-parkinson,LAR,6,TE,34,259,273,266.0,6865
267,Indianapolis Colts,8130,,,14,DST,20,320,226,273.0,
268,D'Onta Foreman,16407,donta-foreman,,,RB,79,240,294,267.0,4111
269,DJ Chark Jr.,17292,dj-chark,,,WR,87,236,302,269.0,4951
270,Javon Baker,22885,javon-baker,,,WR,88,233,&nbsp;,233.0,11645
271,Green Bay Packers,8110,,,10,DST,21,318,236,277.0,
272,Miles Sanders,18283,miles-sanders,,,RB,80,313,237,275.0,6151
273,Odell Beckham Jr.,12127,odell-beckham,NYG,11,WR,89,242,304,273.0,2078
274,Andrei Iosivas,25335,andrei-iosivas,CIN,12,WR,90,&nbsp;,240,240.0,10226
275,Minnesota Vikings,8170,,,6,DST,22,270,278,274.0,
276,New York Giants,8200,,,11,DST,23,264,286,275.0,
277,Atlanta Falcons,8010,,,12,DST,24,&nbsp;,245,245.0,
278,Darius Slayton,18706,darius-slayton,NYG,11,WR,91,278,275,276.5,6149
279,Dawson Knox,18631,dawson-knox,BUF,12,TE,35,273,281,277.0,5906
280,Joe Flacco,9300,joe-flacco,CIN,12,QB,36,&nbsp;,248,248.0,19
281,Greg Zuerlein,11345,greg-zuerlein,,,K,15,&nbsp;,250,250.0,1266
282,Cairo Santos,13731,cairo-santos,CHI,7,K,16,&nbsp;,252,252.0,2020
283,Jalin Hyatt,25251,jalin-hyatt,NYG,11,WR,92,272,290,281.0,9497
284,Michael Penix Jr.,22973,michael-penix-jr,ATL,12,QB,37,256,&nbsp;,256.0,11559
285,Jake Bates,26075,jake-bates,DET,5,K,17,&nbsp;,256,256.0,11539
286,Tennessee Titans,8300,,,5,DST,25,257,&nbsp;,257.0,
287,Will Reichard,26341,will-reichard,MIN,6,K,18,&nbsp;,257,257.0,11792
288,Eric Gray,23075,eric-gray,NYG,11,RB,81,&nbsp;,258,258.0,10223
289,Dustin Hopkins,11818,dustin-hopkins,,,K,19,&nbsp;,260,260.0,1348
290,Joshua Karty,26478,joshua-karty,,,K,20,&nbsp;,261,261.0,11789
291,Cam Little,26475,cam-little,JAC,12,K,21,&nbsp;,262,262.0,11786
292,New England Patriots,8180,,,14,DST,26,263,&nbsp;,263.0,
293,Michael Mayer,23056,michael-mayer,LV,10,TE,36,282,289,285.5,9482
294,Brenden Rice,26213,brenden-rice,GB,10,WR,93,267,&nbsp;,267.0,11621
295,Denver Broncos,8090,,,14,DST,27,&nbsp;,268,268.0,
296,Elijah Moore,20114,elijah-moore,PHI,5,WR,94,268,&nbsp;,268.0,7596
297,Leroy Watson IV,24675,leroy-watson,,,TE,37,269,&nbsp;,269.0,8660
298,Malik Washington,26314,malik-washington,MIA,6,WR,95,289,291,290.0,11610
299,Andy Janovich,15771,andy-janovich,,,RB,82,274,&nbsp;,274.0,
300,Daniel Bellinger,24238,daniel-bellinger,TEN,5,TE,38,315,274,294.5,8225
301,Devontez Walker,26011,devontez-walker,BAL,14,WR,96,275,&nbsp;,275.0,11629
302,Cordarrelle Patterson,11613,cordarrelle-patterson,,,RB,83,&nbsp;,276,276.0,1535
303,Zay Jones,16431,zay-jones,,,WR,97,277,&nbsp;,277.0,4080
304,Kendrick Bourne,17066,kendrick-bourne,ARI,11,WR,98,280,305,292.5,4454
305,Tre Tucker,25337,tre-tucker,LV,10,WR,99,293,292,292.5,10213
306,Tucker Kraft,25298,tucker-kraft,GB,10,TE,39,279,&nbsp;,279.0,9484
307,Treylon Burks,22905,treylon-burks,WAS,14,WR,100,291,295,293.0,8135
308,O.J. Howard,16380,oj-howard,,,TE,40,281,&nbsp;,281.0,4055
309,Davis Cheek,24609,davis-cheek,,,QB,38,283,&nbsp;,283.0,8560
310,Albert Wilson,12338,albert-wilson,,,WR,101,284,&nbsp;,284.0,2025
311,Jordan Whittington,23135,jordan-whittington,LAR,6,WR,102,&nbsp;,284,284.0,11623
312,Peewee Jarrett,26800,peewee-jarrett,,,QB,39,286,&nbsp;,286.0,12239
313,Deuce Vaughn,22984,deuce-vaughn,,,RB,84,287,&nbsp;,287.0,9505
314,Calvin Austin III,23739,calvin-austin,NYG,11,WR,103,&nbsp;,287,287.0,8125
315,Noah Brown,16443,noah-brown,,,WR,104,&nbsp;,288,288.0,4234
316,Larry Rose III,17984,larry-rose-iii,,,RB,85,288,&nbsp;,288.0,5618
317,Jonathan Mingo,23030,jonathan-mingo,DAL,7,WR,105,298,298,298.0,10225
318,J.J. Taylor,19438,jj-taylor,,,RB,86,290,&nbsp;,290.0,6973
319,Austin Aune,25927,austin-aune,,,QB,40,292,&nbsp;,292.0,11491
320,Van Jefferson,19483,van-jefferson,WAS,14,WR,106,&nbsp;,293,293.0,6853
321,Kevin White,13899,kevin-white,,,WR,107,294,&nbsp;,294.0,2312
322,Danny Vitale,15871,dan-vitale,,,RB,87,295,&nbsp;,295.0,
323,Rasheen Ali,25983,rasheen-ali,BAL,14,RB,88,296,&nbsp;,296.0,11570
324,Los Angeles Chargers,8250,,,5,DST,28,325,296,310.5,
325,Isaiah Bowser,25871,isaiah-bowser,,,RB,89,297,&nbsp;,297.0,11431
326,Emanuel Wilson,25885,emanuel-wilson,SEA,10,RB,90,&nbsp;,297,297.0,11435
327,K.J. Osborn,19708,kj-osborn,TEN,5,WR,108,317,299,308.0,7066
328,Jeff Wilson Jr.,18026,jeffery-wilson,,,RB,91,&nbsp;,300,300.0,5284
