rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
35,Carlos Hyde,12105,carlos-hyde,,,RB,17,&nbsp;,&nbsp;,36.2,2257
36,Travis Kelce,11594,travis-kelce,KC,10,TE,2,&nbsp;,&nbsp;,37.2,1466
37,Demaryius Thomas,9691,demaryius-thomas,,,WR,15,&nbsp;,&nbsp;,38.0,560
38,Alshon Jeffery,11199,alshon-jeffery,,,WR,16,&nbsp;,&nbsp;,39.2,1149
39,Joe Mixon,16420,joe-mixon,,,RB,18,&nbsp;,&nbsp;,39.6,4018
40,Matt Ryan,9444,matt-ryan,,,QB,4,&nbsp;,&nbsp;,39.8,24
41,Keenan Allen,11616,keenan-allen,LAC,9,WR,17,&nbsp;,&nbsp;,42.8,1479
42,Ty Montgomery II,13977,ty-montgomery,,,RB,19,&nbsp;,&nbsp;,44.6,2399
43,Davante Adams,12123,davante-adams,LAR,8,WR,18,&nbsp;,&nbsp;,45.4,2133
44,Kareem Hunt,16425,kareem-hunt,,,RB,20,&nbsp;,&nbsp;,45.8,4098
45,Michael Crabtree,9460,michael-crabtree,,,WR,19,&nbsp;,&nbsp;,46.8,455
46,C.J. Anderson,11896,cj-anderson,,,RB,21,&nbsp;,&nbsp;,47.2,1451
47,Greg Olsen,9238,greg-olsen,,,TE,3,&nbsp;,&nbsp;,47.4,58
48,Allen Robinson II,12126,allen-robinson,,,WR,20,&nbsp;,&nbsp;,48.6,1992
49,Tyreek Hill,15802,tyreek-hill,,,WR,21,&nbsp;,&nbsp;,49.0,3321
50,Mark Ingram II,9872,mark-ingram,,,RB,22,&nbsp;,&nbsp;,49.6,956
51,Jordan Reed,11690,jordan-reed,,,TE,4,&nbsp;,&nbsp;,50.8,1500
52,Kelvin Benjamin,12121,kelvin-benjamin,,,WR,22,&nbsp;,&nbsp;,55.0,2182
53,Jimmy Graham,9712,jimmy-graham,,,TE,5,&nbsp;,&nbsp;,55.4,616
54,Russell Wilson,11180,russell-wilson,,,QB,5,&nbsp;,&nbsp;,57.6,1234
55,Jarvis Landry,12128,jarvis-landry,,,WR,23,&nbsp;,&nbsp;,58.6,1825
56,Martavis Bryant,12136,martavis-bryant,,,WR,24,&nbsp;,&nbsp;,59.2,1916
57,Golden Tate,9683,golden-tate,,,WR,25,&nbsp;,&nbsp;,59.2,642
58,Larry Fitzgerald,9383,larry-fitzgerald,,,WR,26,&nbsp;,&nbsp;,60.0,223
59,Bilal Powell,9963,bilal-powell,,,RB,23,&nbsp;,&nbsp;,60.6,818
60,Sammy Watkins,12118,sammy-watkins,,,WR,27,&nbsp;,&nbsp;,63.2,1817
61,Ameer Abdullah,13924,ameer-abdullah,JAC,8,RB,24,&nbsp;,&nbsp;,65.0,2359
62,Mike Gillislee,11657,mike-gillislee,,,RB,25,&nbsp;,&nbsp;,66.0,1353
63,Tevin Coleman,13926,tevin-coleman,,,RB,26,&nbsp;,&nbsp;,67.6,2378
64,Emmanuel Sanders,9707,emmanuel-sanders,,,WR,28,&nbsp;,&nbsp;,67.8,538
65,Stefon Diggs,13981,stefon-diggs,,,WR,29,&nbsp;,&nbsp;,67.8,2449
66,Doug Martin,11186,doug-martin,,,RB,27,&nbsp;,&nbsp;,69.4,1195
67,Marcus Mariota,13890,marcus-mariota,WAS,5,QB,6,&nbsp;,&nbsp;,71.2,2307
68,Tyler Eifert,11692,tyler-eifert,,,TE,6,&nbsp;,&nbsp;,71.6,1388
69,Cam Newton,9869,cam-newton,,,QB,7,&nbsp;,&nbsp;,73.2,954
70,Adrian Peterson,9006,adrian-peterson-min,,,RB,28,&nbsp;,&nbsp;,74.4,184
71,Jameis Winston,13891,jameis-winston,NYG,8,QB,8,&nbsp;,&nbsp;,75.8,2306
72,Jamison Crowder,13976,jamison-crowder,,,WR,30,&nbsp;,&nbsp;,76.2,2410
73,Frank Gore,9218,frank-gore,,,RB,29,&nbsp;,&nbsp;,76.4,
74,Brandon Marshall,9064,brandon-marshall,,,WR,31,&nbsp;,&nbsp;,76.6,648
75,Derek Carr,12092,derek-carr,,,QB,9,&nbsp;,&nbsp;,77.4,2028
76,Kyle Rudolph,9906,kyle-rudolph,,,TE,7,&nbsp;,&nbsp;,78.0,943
77,Kirk Cousins,11177,kirk-cousins,LV,,QB,10,&nbsp;,&nbsp;,78.2,1166
78,Delanie Walker,9172,delanie-walker,,,TE,8,&nbsp;,&nbsp;,79.8,284
79,Robert Kelley,16154,robert-kelley,,,RB,30,&nbsp;,&nbsp;,81.8,
80,DeVante Parker,13897,devante-parker,,,WR,32,&nbsp;,&nbsp;,82.4,2319
81,LeGarrette Blount,9717,legarrette-blount,,,RB,31,&nbsp;,&nbsp;,82.6,730
82,Martellus Bennett,9429,martellus-bennett,,,TE,9,&nbsp;,&nbsp;,83.6,40
83,Paul Perkins,15551,paul-perkins,,,RB,32,&nbsp;,&nbsp;,84.2,3211
84,Andrew Luck,11172,andrew-luck,,,QB,11,&nbsp;,&nbsp;,84.8,1111
85,Derrick Henry,15514,derrick-henry,BAL,10,RB,33,&nbsp;,&nbsp;,90.4,3198
86,Danny Woodhead,9148,danny-woodhead,,,RB,34,&nbsp;,&nbsp;,90.4,735
87,Willie Snead IV,12904,willie-snead,,,WR,33,&nbsp;,&nbsp;,91.8,1911
88,Pierre Garcon,9510,pierre-garcon,,,WR,34,&nbsp;,&nbsp;,92.0,269
89,Zach Ertz,11689,zach-ertz,,,TE,10,&nbsp;,&nbsp;,92.4,1339
90,Eddie Lacy,11636,eddie-lacy,,,RB,35,&nbsp;,&nbsp;,93.6,1527
91,DeSean Jackson,9186,desean-jackson,,,WR,35,&nbsp;,&nbsp;,93.6,147
92,Dak Prescott,15600,dak-prescott,DAL,6,QB,12,&nbsp;,&nbsp;,95.4,3294
93,Randall Cobb,9902,randall-cobb,,,WR,36,&nbsp;,&nbsp;,96.0,928
94,Ben Roethlisberger,9039,ben-roethlisberger,,,QB,13,&nbsp;,&nbsp;,96.8,138
95,Eric Decker,9708,eric-decker,,,WR,37,&nbsp;,&nbsp;,99.6,558
96,Terrance West,12194,terrance-west,,,RB,36,&nbsp;,&nbsp;,100.4,1912
97,Donte Moncrief,12125,donte-moncrief,,,WR,38,&nbsp;,&nbsp;,102.0,1971
98,Jeremy Maclin,9289,jeremy-maclin,,,WR,39,&nbsp;,&nbsp;,103.2,411
99,Jonathan Stewart,9317,jonathan-stewart,,,RB,37,&nbsp;,&nbsp;,103.6,218
100,Stephen Gostkowski,9573,stephen-gostkowski,,,K,1,&nbsp;,&nbsp;,105.6,110
101,Thomas Rawls,14403,thomas-rawls,,,RB,38,&nbsp;,&nbsp;,107.8,2585
102,Darren McFadden,9154,darren-mcfadden,,,RB,39,&nbsp;,&nbsp;,109.2,326
103,Theo Riddick,11649,theo-riddick,,,RB,40,&nbsp;,&nbsp;,111.2,1517
104,Matthew Stafford,9451,matthew-stafford,LAR,8,QB,14,&nbsp;,&nbsp;,112.4,421
105,Justin Tucker,11465,justin-tucker,,,K,2,&nbsp;,&nbsp;,113.4,1264
106,Hunter Henry,15561,hunter-henry,NE,9,TE,11,&nbsp;,&nbsp;,115.2,3214
107,Tyrell Williams,14324,tyrell-williams,,,WR,40,&nbsp;,&nbsp;,116.2,2583
108,Matt Bryant,9434,matt-bryant,,,K,3,&nbsp;,&nbsp;,116.8,127
109,Chris Hogan,11477,chris-hogan,,,WR,41,&nbsp;,&nbsp;,117.8,1329
110,Philip Rivers,9509,philip-rivers,,,QB,15,&nbsp;,&nbsp;,118.0,331
111,Corey Coleman,15506,corey-coleman,,,WR,42,&nbsp;,&nbsp;,118.4,3177
112,Corey Davis,16385,corey-davis,,,WR,43,&nbsp;,&nbsp;,118.4,4036
113,Matt Forte,9437,matt-forte,,,RB,41,&nbsp;,&nbsp;,121.0,103
114,Samaje Perine,16423,samaje-perine,CIN,6,RB,42,&nbsp;,&nbsp;,123.4,4147
115,Duke Johnson Jr.,13939,duke-johnson,,,RB,43,&nbsp;,&nbsp;,123.8,2382
116,John Brown,12231,john-brown,,,WR,44,&nbsp;,&nbsp;,124.6,2238
117,Adam Thielen,13429,adam-thielen,,,WR,45,&nbsp;,&nbsp;,125.8,1689
118,Kenny Britt,9353,kenny-britt,,,WR,46,&nbsp;,&nbsp;,125.8,366
119,James White,12195,james-white,,,RB,44,&nbsp;,&nbsp;,126.0,1848
120,Marvin Jones Jr.,11215,marvin-jones,,,WR,47,&nbsp;,&nbsp;,127.8,1067
121,Mike Wallace,9479,mike-wallace,,,WR,48,&nbsp;,&nbsp;,128.4,365
122,Jack Doyle,11987,jack-doyle,,,TE,12,&nbsp;,&nbsp;,128.8,1706
123,Denver Broncos,8090,,,5,DST,1,&nbsp;,&nbsp;,88.0,
124,Dan Bailey,10970,dan-bailey,,,K,4,&nbsp;,&nbsp;,131.0,899
125,Eric Ebron,12143,eric-ebron,,,TE,13,&nbsp;,&nbsp;,131.4,2118
126,Rishard Matthews,11380,rishard-matthews,,,WR,49,&nbsp;,&nbsp;,133.2,1046
127,Jacquizz Rodgers,9894,jacquizz-rodgers,,,RB,45,&nbsp;,&nbsp;,133.8,949
128,Kansas City Chiefs,8150,,,10,DST,2,&nbsp;,&nbsp;,95.5,
129,Jeremy Hill,12102,jeremy-hill,,,RB,46,&nbsp;,&nbsp;,137.0,1892
130,Seattle Seahawks,8260,,,6,DST,3,&nbsp;,&nbsp;,98.0,
131,Jamaal Williams,16424,jamaal-williams,,,RB,47,&nbsp;,&nbsp;,138.4,4149
132,Eli Manning,9213,eli-manning,,,QB,16,&nbsp;,&nbsp;,139.8,188
133,Jamaal Charles,9258,jamaal-charles,,,RB,48,&nbsp;,&nbsp;,140.0,323
134,Latavius Murray,11821,latavius-murray,,,RB,49,&nbsp;,&nbsp;,140.2,1476
135,Ted Ginn Jr.,9588,ted-ginn-jr,,,WR,50,&nbsp;,&nbsp;,140.8,695
136,Houston Texans,8120,,,7,DST,4,&nbsp;,&nbsp;,102.8,
137,Darren Sproles,9155,darren-sproles,,,RB,50,&nbsp;,&nbsp;,142.2,246
138,Mason Crosby,9433,mason-crosby,,,K,5,&nbsp;,&nbsp;,143.4,59
139,C.J. Prosise,15614,cj-prosise,,,RB,51,&nbsp;,&nbsp;,143.6,3204
140,Arizona Cardinals,8000,,,8,DST,5,&nbsp;,&nbsp;,105.8,
141,Minnesota Vikings,8170,,,9,DST,6,&nbsp;,&nbsp;,107.0,
142,Jason Witten,9275,jason-witten,,,TE,14,&nbsp;,&nbsp;,145.6,23
143,Carson Wentz,15520,carson-wentz,MIN,9,QB,17,&nbsp;,&nbsp;,146.2,3161
144,Jordan Matthews,12124,jordan-matthews,,,TE,15,&nbsp;,&nbsp;,146.2,1800
145,Andy Dalton,9907,andy-dalton,PHI,10,QB,18,&nbsp;,&nbsp;,147.2,829
146,New England Patriots,8180,,,9,DST,7,&nbsp;,&nbsp;,109.5,
147,Sterling Shepard,15569,sterling-shepard,,,WR,51,&nbsp;,&nbsp;,147.8,3200
148,O.J. Howard,16380,oj-howard,,,TE,16,&nbsp;,&nbsp;,152.6,4055
149,Tyrod Taylor,10007,tyrod-taylor,GB,8,QB,19,&nbsp;,&nbsp;,153.4,827
150,Carson Palmer,9098,carson-palmer,,,QB,20,&nbsp;,&nbsp;,153.6,91
151,Zay Jones,16431,zay-jones,,,WR,52,&nbsp;,&nbsp;,155.4,4080
152,Cole Beasley,11459,cole-beasley,,,WR,53,&nbsp;,&nbsp;,157.0,1144
153,Rex Burkhead,11655,rex-burkhead,,,RB,52,&nbsp;,&nbsp;,159.4,1387
154,Wil Lutz,16026,wil-lutz,DEN,5,K,6,&nbsp;,&nbsp;,161.2,3678
155,Coby Fleener,11220,coby-fleener,,,TE,17,&nbsp;,&nbsp;,163.8,1107
156,Kevin White,13899,kevin-white,,,WR,54,&nbsp;,&nbsp;,165.8,2312
157,Graham Gano,9232,graham-gano,,,K,7,&nbsp;,&nbsp;,166.6,503
158,Adam Vinatieri,9004,adam-vinatieri,,,K,8,&nbsp;,&nbsp;,167.0,120
159,Taylor Gabriel,12888,taylor-gabriel,,,WR,55,&nbsp;,&nbsp;,167.0,1903
160,Cooper Kupp,16433,cooper-kupp,SEA,6,WR,56,&nbsp;,&nbsp;,168.0,4039
161,Cameron Brate,13470,cameron-brate,,,TE,18,&nbsp;,&nbsp;,168.2,2214
162,New York Giants,8200,,,8,DST,8,&nbsp;,&nbsp;,136.0,
163,Cairo Santos,13731,cairo-santos,CHI,9,K,9,&nbsp;,&nbsp;,169.2,2020
164,Austin Hooper,15581,austin-hooper,ATL,5,TE,19,&nbsp;,&nbsp;,170.0,3202
165,Carolina Panthers,8040,,,11,DST,9,&nbsp;,&nbsp;,139.8,
166,Tyler Lockett,13971,tyler-lockett,LV,,WR,57,&nbsp;,&nbsp;,173.4,2374
167,Sebastian Janikowski,9560,sebastian-janikowski,,,K,10,&nbsp;,&nbsp;,173.6,118
168,Mohamed Sanu Sr.,11200,mohamed-sanu,,,WR,58,&nbsp;,&nbsp;,175.6,1071
169,John Ross,16388,john-ross,,,WR,59,&nbsp;,&nbsp;,177.8,4038
170,Julius Thomas,9966,julius-thomas,,,TE,20,&nbsp;,&nbsp;,178.8,874
171,D'Onta Foreman,16407,donta-foreman,,,RB,53,&nbsp;,&nbsp;,182.0,4111
172,Chris Boswell,13029,chris-boswell,PIT,9,K,11,&nbsp;,&nbsp;,184.8,1945
173,Antonio Gates,9027,antonio-gates,,,TE,21,&nbsp;,&nbsp;,185.0,322
174,Kenny Stills,11611,kenny-stills,,,WR,60,&nbsp;,&nbsp;,185.4,1555
175,Pittsburgh Steelers,8240,,,9,DST,10,&nbsp;,&nbsp;,157.5,
176,Giovani Bernard,11644,giovani-bernard,,,RB,54,&nbsp;,&nbsp;,186.0,1386
177,Danny Amendola,9146,danny-amendola,,,WR,61,&nbsp;,&nbsp;,186.2,491
178,Wendell Smallwood,15672,wendell-smallwood,,,RB,55,&nbsp;,&nbsp;,186.4,3309
179,Robbie Chosen,15688,robby-anderson,,,WR,62,&nbsp;,&nbsp;,187.4,3423
180,Matt Prater,9443,matt-prater,,,K,12,&nbsp;,&nbsp;,187.6,17
181,Evan Engram,16411,evan-engram,DEN,5,TE,22,&nbsp;,&nbsp;,189.6,4066
182,James Conner,16447,james-conner,ARI,8,RB,56,&nbsp;,&nbsp;,190.2,4137
183,Dion Lewis,9983,dion-lewis,,,RB,57,&nbsp;,&nbsp;,193.6,788
184,Alvin Kamara,16421,alvin-kamara,NO,5,RB,58,&nbsp;,&nbsp;,193.8,4035
185,Dustin Hopkins,11818,dustin-hopkins,,,K,13,&nbsp;,&nbsp;,194.4,1348
186,Kenny Golladay,16488,kenny-golladay,,,WR,63,&nbsp;,&nbsp;,195.0,4131
187,Deshaun Watson,16398,deshaun-watson,CLE,9,QB,21,&nbsp;,&nbsp;,195.8,4017
188,DeAndre Washington,15806,deandre-washington,,,RB,59,&nbsp;,&nbsp;,196.0,3300
189,Jay Cutler,9280,jay-cutler,,,QB,22,&nbsp;,&nbsp;,196.6,416
190,Marlon Mack,16444,marlon-mack,,,RB,60,&nbsp;,&nbsp;,173.5,4152
191,Kendall Wright,11197,kendall-wright,,,WR,64,&nbsp;,&nbsp;,173.5,1097
192,Baltimore Ravens,8020,,,10,DST,11,&nbsp;,&nbsp;,174.8,
193,Los Angeles Rams,8280,,,8,DST,12,&nbsp;,&nbsp;,175.8,
194,Sam Bradford,9678,sam-bradford,,,QB,23,&nbsp;,&nbsp;,201.8,621
195,Brandon McManus,13274,brandon-mcmanus,,,K,14,&nbsp;,&nbsp;,202.0,1433
196,Josh Doctson,15511,josh-doctson,,,WR,65,&nbsp;,&nbsp;,202.4,3178
197,Stephen Hauschka,9581,steven-hauschka,,,K,15,&nbsp;,&nbsp;,178.5,775
198,Jacksonville Jaguars,8140,,,8,DST,13,&nbsp;,&nbsp;,178.5,
199,Jared Cook,9265,jared-cook,,,TE,23,&nbsp;,&nbsp;,178.5,367
200,Philadelphia Eagles,8230,,,10,DST,14,&nbsp;,&nbsp;,180.3,
201,Blair Walsh,11349,blair-walsh,,,K,16,&nbsp;,&nbsp;,210.0,1214
202,Spencer Ware,11638,spencer-ware,,,RB,61,&nbsp;,&nbsp;,173.3,1601
203,Julian Edelman,9332,julian-edelman,,,WR,66,&nbsp;,&nbsp;,174.7,344
204,Atlanta Falcons,8010,,,5,DST,15,&nbsp;,&nbsp;,191.8,
205,Torrey Smith,9884,torrey-smith,,,WR,67,&nbsp;,&nbsp;,215.4,826
206,Benjamin Watson,9040,benjamin-watson,,,TE,24,&nbsp;,&nbsp;,195.5,663
207,Chris Carson,16754,chris-carson,,,RB,62,&nbsp;,&nbsp;,195.8,4273
208,J.J. Nelson,14234,jj-nelson,,,WR,68,&nbsp;,&nbsp;,195.8,2462
209,Joe Flacco,9300,joe-flacco,CIN,6,QB,24,&nbsp;,&nbsp;,197.3,19
210,Jonathan Williams,15611,jonathan-williams,,,RB,63,&nbsp;,&nbsp;,176.0,3312
211,Cameron Meredith,14352,cameron-meredith,,,WR,69,&nbsp;,&nbsp;,201.7,2699
212,Charcandrick West,13729,charcandrick-west,,,RB,64,&nbsp;,&nbsp;,211.5,2024
213,Breshad Perriman,13975,breshad-perriman,,,WR,70,&nbsp;,&nbsp;,213.3,2331
214,Mike Williams,16377,mike-williams-wr,,,WR,71,&nbsp;,&nbsp;,213.8,
215,Alex Smith,9012,alex-smith,,,QB,25,&nbsp;,&nbsp;,214.8,268
216,Charles Sims,12104,charles-sims,,,RB,65,&nbsp;,&nbsp;,215.3,2223
217,Jesse James,13959,jesse-james,,,TE,25,&nbsp;,&nbsp;,196.3,2463
218,Tampa Bay Buccaneers,8290,,,1,DST,16,&nbsp;,&nbsp;,196.7,
219,C.J. Fiedorowicz,12146,cj-fiedorowicz,,,TE,26,&nbsp;,&nbsp;,224.3,1951
220,Caleb Sturgis,11815,caleb-sturgis,,,K,17,&nbsp;,&nbsp;,224.3,1358
221,Shane Vereen,9897,shane-vereen,,,RB,66,&nbsp;,&nbsp;,226.0,814
222,Marqise Lee,12120,marqise-lee,,,WR,72,&nbsp;,&nbsp;,226.8,1987
223,Cincinnati Bengals,8060,,,6,DST,17,&nbsp;,&nbsp;,203.7,
224,Chandler Catanzaro,13606,chandler-catanzaro,,,K,18,&nbsp;,&nbsp;,208.0,2242
225,Joe Williams,16451,joe-williams,,,RB,67,&nbsp;,&nbsp;,162.5,4042
226,Las Vegas Raiders,8220,,,,DST,18,&nbsp;,&nbsp;,209.7,
227,Allen Hurns,12996,allen-hurns,,,WR,73,&nbsp;,&nbsp;,233.0,1984
228,Buffalo Bills,8030,,,6,DST,19,&nbsp;,&nbsp;,212.7,
229,Jalen Richard,16120,jalen-richard,,,RB,68,&nbsp;,&nbsp;,213.7,3868
230,Vance McDonald,11699,vance-mcdonald,,,TE,27,&nbsp;,&nbsp;,235.3,1587
231,Tavon Austin,11625,tavon-austin,,,WR,74,&nbsp;,&nbsp;,214.7,1567
232,Chris Thompson,11651,chris-thompson,,,RB,69,&nbsp;,&nbsp;,215.0,1502
233,Los Angeles Chargers,8250,,,9,DST,20,&nbsp;,&nbsp;,216.3,
234,David Njoku,16399,david-njoku,LAC,9,TE,28,&nbsp;,&nbsp;,216.7,4033
235,Devin Funchess,13915,devin-funchess,,,WR,75,&nbsp;,&nbsp;,238.3,2346
236,Charles Clay,10003,charles-clay,,,TE,29,&nbsp;,&nbsp;,238.3,801
237,Green Bay Packers,8110,,,8,DST,21,&nbsp;,&nbsp;,220.7,
238,Blake Bortles,12090,blake-bortles,,,QB,26,&nbsp;,&nbsp;,242.0,1979
239,Malcolm Mitchell,15656,malcolm-mitchell,,,WR,76,&nbsp;,&nbsp;,223.3,3273
240,Tennessee Titans,8300,,,8,DST,22,&nbsp;,&nbsp;,225.3,
241,Devontae Booker,15555,devontae-booker,,,RB,70,&nbsp;,&nbsp;,225.7,3209
242,Tarik Cohen,16450,tarik-cohen,,,RB,71,&nbsp;,&nbsp;,225.7,4157
243,Alfred Morris,11347,alfred-morris,,,RB,72,&nbsp;,&nbsp;,244.8,1170
244,Dallas Cowboys,8080,,,6,DST,23,&nbsp;,&nbsp;,193.0,
245,Matt Breida,17058,matt-breida,,,RB,73,&nbsp;,&nbsp;,195.5,4455
246,T.J. Yeldon,13941,tj-yeldon,,,RB,74,&nbsp;,&nbsp;,233.7,2341
247,Gerald Everett,16459,gerald-everett,,,TE,30,&nbsp;,&nbsp;,203.5,4089
248,Nick Novak,9662,nick-novak,,,K,19,&nbsp;,&nbsp;,236.7,168
249,De'Angelo Henderson Sr.,16607,deangelo-henderson,,,RB,75,&nbsp;,&nbsp;,206.0,4239
250,Trevor Siemian,14142,trevor-siemian,ATL,5,QB,27,&nbsp;,&nbsp;,237.0,2549
251,Paul Richardson Jr.,12129,paul-richardson,,,WR,77,&nbsp;,&nbsp;,238.0,2279
252,Mitchell Trubisky,16381,mitch-trubisky,TEN,8,QB,28,&nbsp;,&nbsp;,209.0,3976
253,Phil Dawson,9508,phil-dawson,,,K,20,&nbsp;,&nbsp;,239.0,229
254,Josh Lambo,14327,josh-lambo,,,K,21,&nbsp;,&nbsp;,254.3,2671
255,ArDarius Stewart,16428,ardarius-stewart,,,WR,78,&nbsp;,&nbsp;,210.0,4119
256,Dwayne Allen,11219,dwayne-allen,,,TE,31,&nbsp;,&nbsp;,239.7,1105
257,Orleans Darkwa,13774,orleans-darkwa,,,RB,76,&nbsp;,&nbsp;,210.5,1819
258,Kai Forbath,10081,kai-forbath,,,K,22,&nbsp;,&nbsp;,240.0,1287
259,William Fuller V,15629,will-fuller,,,WR,79,&nbsp;,&nbsp;,241.7,3157
260,DeShone Kizer,16389,deshone-kizer,,,QB,29,&nbsp;,&nbsp;,258.8,4026
261,Brandon LaFell,9699,brandon-lafell,,,WR,80,&nbsp;,&nbsp;,246.0,613
262,Curtis Samuel,16434,curtis-samuel,,,WR,81,&nbsp;,&nbsp;,222.5,4082
263,Branden Oliver,13103,branden-oliver,,,RB,77,&nbsp;,&nbsp;,226.0,2050
264,Miami Dolphins,8160,,,1,DST,24,&nbsp;,&nbsp;,226.5,
265,Robert Woods,11610,robert-woods,,,WR,82,&nbsp;,&nbsp;,251.7,1352
266,Zach Zenner,14185,zach-zenner,,,RB,78,&nbsp;,&nbsp;,229.0,2560
267,Chris Ivory,9749,christopher-ivory,,,RB,79,&nbsp;,&nbsp;,253.3,717
268,Kerwynn Williams,11652,kerwynn-williams,,,RB,80,&nbsp;,&nbsp;,232.5,1441
269,Zach Miller,9635,zach-miller-chi,,,TE,32,&nbsp;,&nbsp;,254.7,
270,Kyle Juszczyk,11798,kyle-juszczyk,SF,11,RB,81,&nbsp;,&nbsp;,233.0,
271,Kenneth Dixon,15577,kenneth-dixon,,,RB,82,&nbsp;,&nbsp;,244.0,3208
272,Kenyan Drake,15637,kenyan-drake,,,RB,83,&nbsp;,&nbsp;,236.0,3242
273,Robert Turbin,11191,robert-turbin,,,RB,84,&nbsp;,&nbsp;,240.5,1232
274,Nick Folk,9491,nick-folk,ATL,5,K,23,&nbsp;,&nbsp;,279.5,650
275,Travis Benjamin,11214,travis-benjamin,,,WR,83,&nbsp;,&nbsp;,260.7,1077
276,Chris Conley,14151,chris-conley,,,WR,84,&nbsp;,&nbsp;,242.5,2381
277,Tim Hightower,9596,tim-hightower,,,RB,85,&nbsp;,&nbsp;,261.3,83
278,Dede Westbrook,16436,dede-westbrook,,,WR,85,&nbsp;,&nbsp;,261.7,4146
279,Jaron Brown,11898,jaron-brown,,,WR,86,&nbsp;,&nbsp;,244.0,1684
280,Nelson Agholor,13969,nelson-agholor,,,WR,87,&nbsp;,&nbsp;,263.7,2325
281,Quincy Enunwa,12298,quincy-enunwa,,,WR,88,&nbsp;,&nbsp;,259.5,1854
282,Jared Goff,15501,jared-goff,DET,7,QB,30,&nbsp;,&nbsp;,248.5,3163
283,Austin Seferian-Jenkins,12145,austin-seferian-jenkins,,,TE,33,&nbsp;,&nbsp;,251.0,2222
284,Brian Hoyer,9078,brian-hoyer,,,QB,31,&nbsp;,&nbsp;,267.7,345
285,Jermaine Kearse,11548,jermaine-kearse,,,WR,89,&nbsp;,&nbsp;,268.0,1290
