rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
242,Tavon Austin,11625,tavon-austin,,,WR,83,&nbsp;,&nbsp;,&nbsp;,216.0,1567
243,Graham Gano,9232,graham-gano,,,K,16,&nbsp;,&nbsp;,&nbsp;,243.0,503
244,Lamar Jackson,17233,lamar-jackson,BAL,10,QB,29,&nbsp;,&nbsp;,&nbsp;,219.0,4881
245,Trevor Davis,15852,trevor-davis,,,WR,84,&nbsp;,&nbsp;,&nbsp;,220.0,3319
246,Josh Lambo,14327,josh-lambo,,,K,17,&nbsp;,&nbsp;,&nbsp;,221.0,2671
247,Terrelle Pryor Sr.,10092,terrelle-pryor,,,WR,85,&nbsp;,&nbsp;,&nbsp;,222.0,1020
248,Baker Mayfield,17237,baker-mayfield,TB,5,QB,30,&nbsp;,&nbsp;,&nbsp;,223.0,4892
249,Jermaine Kearse,11548,jermaine-kearse,,,WR,86,&nbsp;,&nbsp;,&nbsp;,224.0,1290
250,Luke Willson,11812,luke-willson,,,TE,28,&nbsp;,&nbsp;,&nbsp;,226.0,1603
251,Cole Beasley,11459,cole-beasley,,,WR,87,&nbsp;,&nbsp;,&nbsp;,227.0,1144
252,Willie Snead IV,12904,willie-snead,,,WR,88,&nbsp;,&nbsp;,&nbsp;,228.0,1911
253,Ka'imi Fairbairn,15756,kaimi-fairbairn,HOU,10,K,18,&nbsp;,&nbsp;,&nbsp;,229.0,3451
254,Sam Bradford,9678,sam-bradford,,,QB,31,&nbsp;,&nbsp;,&nbsp;,231.0,621
255,Phillip Dorsett II,13979,phillip-dorsett,LV,,WR,89,&nbsp;,&nbsp;,&nbsp;,232.0,2334
256,Corey Coleman,15506,corey-coleman,,,WR,90,&nbsp;,&nbsp;,&nbsp;,233.0,3177
257,Jaylen Samuels,17271,jaylen-samuels,,,RB,72,&nbsp;,&nbsp;,&nbsp;,234.0,5107
258,Albert Wilson,12338,albert-wilson,,,WR,91,&nbsp;,&nbsp;,&nbsp;,235.0,2025
259,Jesse James,13959,jesse-james,,,TE,29,&nbsp;,&nbsp;,&nbsp;,236.0,2463
260,Dallas Goedert,17270,dallas-goedert,PHI,9,TE,30,&nbsp;,&nbsp;,&nbsp;,237.0,5022
261,Mike Wallace,9479,mike-wallace,,,WR,92,&nbsp;,&nbsp;,&nbsp;,238.0,365
262,Travis Benjamin,11214,travis-benjamin,,,WR,93,&nbsp;,&nbsp;,&nbsp;,240.0,1077
263,Joe Flacco,9300,joe-flacco,CIN,9,QB,32,&nbsp;,&nbsp;,&nbsp;,241.0,19
264,Ryan Griffin,11830,ryan-griffin,,,TE,31,&nbsp;,&nbsp;,&nbsp;,242.0,1425
265,Vernon Davis,9621,vernon-davis,,,TE,32,&nbsp;,&nbsp;,&nbsp;,243.0,200
266,Zay Jones,16431,zay-jones,,,WR,94,&nbsp;,&nbsp;,&nbsp;,244.0,4080
267,Brandon Marshall,9064,brandon-marshall,,,WR,95,&nbsp;,&nbsp;,&nbsp;,246.0,648
268,Ryan Succop,9549,ryan-succop,,,K,19,&nbsp;,&nbsp;,&nbsp;,247.0,391
269,Terrance Williams,11627,terrance-williams,,,WR,96,&nbsp;,&nbsp;,&nbsp;,249.0,1490
270,Garrett Celek,11507,garrett-celek,,,TE,33,&nbsp;,&nbsp;,&nbsp;,250.0,1223
271,Blake Jarwin,16638,blake-jarwin,,,TE,34,&nbsp;,&nbsp;,&nbsp;,251.0,4571
272,Ed Dickson,9706,ed-dickson,,,TE,35,&nbsp;,&nbsp;,&nbsp;,253.0,701
273,Cordarrelle Patterson,11613,cordarrelle-patterson,,,RB,73,&nbsp;,&nbsp;,&nbsp;,254.0,1535
