rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,avg,sleeper_id
48,Joe Burrow,19196,joe-burrow,CIN,6,QB,3,50.0,6770
49,David Montgomery,18239,david-montgomery,HOU,8,RB,21,50.7,5892
50,Tyler Warren,26434,tyler-warren,IND,13,TE,4,51.7,12518
51,Terry McLaurin,18466,terry-mclaurin,WAS,7,WR,23,53.7,5927
52,Mike Evans,12119,mike-evans,SF,8,WR,24,54.0,2216
53,TreVeyon Henderson,23065,treveyon-henderson,NE,11,RB,22,54.0,12529
54,Davante Adams,12123,davante-adams,LAR,11,WR,25,54.3,2133
55,Jameson Williams,23677,jameson-williams,DET,6,WR,26,54.7,8148
56,D'Andre Swift,19210,dandre-swift,CHI,10,RB,23,54.7,6790
57,Bucky Irving,25981,bucky-irving,TB,10,RB,24,55.3,11584
58,Drake Maye,23046,drake-maye,NE,11,QB,4,55.7,11564
59,Jaylen Waddle,19790,jaylen-waddle,DEN,10,WR,27,55.7,7526
60,Jadarian Price,27329,jadarian-price,SEA,11,RB,25,58.7,13286
61,Jayden Daniels,22902,jayden-daniels,WAS,7,QB,5,59.3,11566
62,Bhayshul Tuten,27297,bhayshul-tuten,JAC,7,RB,26,59.7,12490
63,Rome Odunze,25411,rome-odunze,CHI,10,WR,28,64.0,11620
64,Caleb Williams,23084,caleb-williams,CHI,10,QB,6,66.7,11560
65,Christian Watson,23886,christian-watson,GB,11,WR,29,67.0,8167
66,Jalen Hurts,19275,jalen-hurts,PHI,10,QB,7,68.7,6904
67,Brian Thomas Jr.,23000,brian-thomas-jr,JAC,7,WR,30,69.3,11631
68,Tucker Kraft,25298,tucker-kraft,GB,11,TE,5,71.3,9484
69,Carnell Tate,26009,carnell-tate,TEN,9,WR,31,71.7,13279
70,Harold Fannin Jr.,27050,harold-fannin-jr,CLE,11,TE,6,72.7,12506
71,Dak Prescott,15600,dak-prescott,DAL,14,QB,8,72.7,3294
72,Chuba Hubbard,19792,chuba-hubbard,CAR,5,RB,27,73.0,7594
73,Marvin Harrison Jr.,23064,marvin-harrison-jr,ARI,14,WR,32,74.3,11628
74,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,11,RB,28,76.7,7611
75,Jordyn Tyson,26035,jordyn-tyson,NO,8,WR,33,79.3,13281
76,Parker Washington,23106,parker-washington,JAC,7,WR,34,79.3,9487
77,Jaylen Warren,24209,jaylen-warren,PIT,9,RB,29,79.3,8228
78,Kyle Pitts Sr.,20164,kyle-pitts,ATL,11,TE,7,79.7,7553
79,Sam LaPorta,22978,sam-laporta,DET,6,TE,8,81.0,10859
80,Tony Pollard,18705,tony-pollard,TEN,9,RB,30,81.0,5967
81,RJ Harvey,27142,rj-harvey,DEN,10,RB,31,81.7,12489
82,Trevor Lawrence,19780,trevor-lawrence,JAC,7,QB,9,81.7,7523
83,Justin Herbert,18635,justin-herbert,LAC,7,QB,10,82.7,6797
84,Alec Pierce,23791,alec-pierce,IND,13,WR,35,84.0,8142
85,DK Metcalf,18219,dk-metcalf,PIT,9,WR,36,85.3,5846
86,Rico Dowdle,19647,rico-dowdle,PIT,9,RB,32,85.7,7021
87,Courtland Sutton,17253,courtland-sutton,DEN,10,WR,37,85.7,5045
88,Jaxson Dart,23160,jaxson-dart,NYG,8,QB,11,87.0,12508
89,Matthew Stafford,9451,matthew-stafford,LAR,11,QB,12,89.0,421
90,Michael Wilson,25333,michael-wilson,ARI,14,WR,38,89.0,10232
91,Kyle Monangai,27131,kyle-monangai,CHI,10,RB,33,90.0,12534
92,Makai Lemon,25420,makai-lemon,PHI,10,WR,39,92.3,13294
93,Chris Godwin Jr.,16406,chris-godwin,TB,10,WR,40,92.3,4037
94,Patrick Mahomes II,16413,patrick-mahomes,KC,5,QB,13,92.7,4046
95,George Kittle,16499,george-kittle,SF,8,TE,9,96.0,4217
96,Brock Purdy,19797,brock-purdy,SF,8,QB,14,97.3,8183
97,Blake Corum,23013,blake-corum,LAR,11,RB,34,98.0,11586
98,J.K. Dobbins,19245,jk-dobbins,DEN,10,RB,35,98.3,6806
99,Jared Goff,15501,jared-goff,DET,6,QB,15,101.3,3163
100,Jayden Reed,23020,jayden-reed,GB,11,WR,41,102.0,10222
101,Bo Nix,22910,bo-nix,DEN,10,QB,16,103.0,11563
102,Kenneth Gainwell,23310,kenneth-gainwell,TB,10,RB,36,104.0,7567
103,Quentin Johnston,23123,quentin-johnston,LAC,7,WR,42,104.3,9754
104,Jakobi Meyers,18598,jakobi-meyers,JAC,7,WR,43,104.7,5947
105,Jordan Addison,23107,jordan-addison,MIN,6,WR,44,105.7,9756
106,Travis Kelce,11594,travis-kelce,KC,5,TE,10,105.7,1466
107,Isaiah Likely,23781,isaiah-likely,NYG,8,TE,11,106.0,8131
108,Wan'Dale Robinson,22985,wandale-robinson,TEN,9,WR,45,107.0,8126
109,Michael Pittman Jr.,19278,michael-pittman,PIT,9,WR,46,107.3,6819
110,Jake Ferguson,22718,jake-ferguson,DAL,14,TE,12,108.3,8110
111,Dalton Kincaid,25247,dalton-kincaid,BUF,7,TE,13,108.7,10236
112,Josh Downs,24706,josh-downs,IND,13,WR,47,109.3,9500
113,Kyler Murray,18600,kyler-murray,MIN,6,QB,17,109.7,5849
114,Ricky Pearsall,26214,ricky-pearsall,SF,8,WR,48,109.7,11638
115,Jonathon Brooks,26148,jonathon-brooks,CAR,5,RB,37,110.0,11583
116,Rachaad White,23891,rachaad-white,WAS,7,RB,38,112.0,8136
117,Xavier Worthy,23019,xavier-worthy,KC,5,WR,49,114.3,11624
118,Dallas Goedert,17270,dallas-goedert,PHI,10,TE,14,115.0,5022
119,Jordan Love,19246,jordan-love,GB,11,QB,18,116.3,6804
120,Jordan Mason,22969,jordan-mason,MIN,6,RB,39,117.0,8408
121,Mark Andrews,17269,mark-andrews,BAL,13,TE,15,118.3,5012
122,Tyler Shough,23096,tyler-shough,NO,8,QB,19,119.7,12545
123,Baker Mayfield,17237,baker-mayfield,TB,10,QB,20,119.7,4892
124,Aaron Jones Sr.,16673,aaron-jones,MIN,6,RB,40,120.3,4199
125,Matthew Golden,26024,matthew-golden,GB,11,WR,50,122.3,12501
126,Jacory Croskey-Merritt,27316,jacory-croskeymerritt,WAS,7,RB,41,122.7,12533
127,Romeo Doubs,23794,romeo-doubs,NE,11,WR,51,123.0,8121
128,KC Concepcion,27331,kevin-concepcion,CLE,11,WR,52,124.3,13298
129,Tyrone Tracy Jr.,22980,tyrone-tracy-jr,NYG,8,RB,42,131.0,11655
130,Chris Rodriguez Jr.,22986,chris-rodriguez-jr,JAC,7,RB,43,132.3,10219
131,Malik Willis,23499,malik-willis,MIA,6,QB,21,132.3,8161
132,Khalil Shakir,23748,khalil-shakir,BUF,7,WR,53,134.3,8134
133,Sam Darnold,17236,sam-darnold,SEA,11,QB,22,135.7,4943
134,Jayden Higgins,27077,jayden-higgins,HOU,8,WR,54,136.0,12484
135,Woody Marks,27520,woody-marks,HOU,8,RB,44,139.7,12474
136,Juwan Johnson,19562,juwan-johnson,NO,8,TE,16,139.7,7002
137,Chig Okonkwo,23982,chigoziem-okonkwo,WAS,7,TE,17,140.3,8210
138,Oronde Gadsden II,25997,oronde-gadsden-ii,LAC,7,TE,18,141.3,12493
139,Kenyon Sadiq,26055,kenyon-sadiq,NYJ,13,TE,19,141.3,13330
140,C.J. Stroud,23071,cj-stroud,HOU,8,QB,23,141.3,9758
141,Jalen Coker,26403,jalen-coker,CAR,5,WR,55,142.3,11646
142,Stefon Diggs,13981,stefon-diggs,,,WR,56,143.0,2449
143,Rashid Shaheed,24687,rashid-shaheed,SEA,11,WR,57,143.3,8676
144,Brenton Strange,25345,brenton-strange,JAC,7,TE,20,144.3,9480
145,Cam Ward,24755,cam-ward,TEN,9,QB,24,144.7,12522
146,Isiah Pacheco,24333,isiah-pacheco,DET,6,RB,45,144.7,8205
147,Hunter Henry,15561,hunter-henry,NE,11,TE,21,145.3,3214
148,T.J. Hockenson,18290,tj-hockenson,MIN,6,TE,22,147.7,5844
149,Keaton Mitchell,25360,keaton-mitchell,LAC,7,RB,46,148.3,9511
150,Daniel Jones,18232,daniel-jones,IND,13,QB,25,148.7,5870
151,Tyler Allgeier,24172,tyler-allgeier,ARI,14,RB,47,152.0,8132
152,Zach Charbonnet,23152,zach-charbonnet,SEA,11,RB,48,152.0,9753
153,Jonah Coleman,27320,jonah-coleman,DEN,10,RB,49,152.7,13345
154,Bryce Young,22900,bryce-young,CAR,5,QB,26,153.3,9228
155,Jauan Jennings,19590,jauan-jennings,MIN,6,WR,58,155.0,7049
156,Omar Cooper Jr.,28127,omar-cooper-jr,NYJ,13,WR,59,155.3,13276
157,Jalen McMillan,23179,jalen-mcmillan,TB,10,WR,60,155.3,11618
158,Tyjae Spears,25323,tyjae-spears,TEN,9,RB,50,156.0,9508
159,Jalen Nailor,24177,jalen-nailor,LV,13,WR,61,157.7,8180
160,Alvin Kamara,16421,alvin-kamara,NO,8,RB,51,162.0,4035
161,Brian Robinson Jr.,20094,brian-robinson-jr,ATL,11,RB,52,165.0,8154
162,Denzel Boston,27339,denzel-boston,CLE,11,WR,62,166.3,13346
163,Dalton Schultz,17349,dalton-schultz,HOU,8,TE,23,167.3,5001
164,Dylan Sampson,27102,dylan-sampson,CLE,11,RB,53,168.0,12469
165,Aaron Rodgers,9001,aaron-rodgers,PIT,9,QB,27,170.3,96
166,Fernando Mendoza,28013,fernando-mendoza,LV,13,QB,28,171.3,13269
167,Tre Tucker,25337,tre-tucker,LV,13,WR,63,172.0,10213
168,Antonio Williams,25418,antonio-williams-wr,WAS,7,WR,64,172.3,13301
169,Jacoby Brissett,15642,jacoby-brissett,ARI,14,QB,29,173.0,3257
170,Nicholas Singleton,24343,nick-singleton,TEN,9,RB,54,175.0,13288
171,Tank Bigsby,22908,tank-bigsby,PHI,10,RB,55,175.0,9225
172,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,65,175.3,5872
173,Jerry Jeudy,19201,jerry-jeudy,CLE,11,WR,66,175.7,6783
174,Geno Smith,11687,geno-smith,NYJ,13,QB,30,176.3,1373
175,Tyreek Hill,15802,tyreek-hill,,,WR,67,178.3,3321
176,Gunnar Helm,27109,gunnar-helm,TEN,9,TE,24,179.7,12502
177,Calvin Ridley,17258,calvin-ridley,TEN,9,WR,68,180.0,4981
178,David Njoku,16399,david-njoku,LAC,7,TE,25,180.3,4033
179,Brandon Aiyuk,19252,brandon-aiyuk,SF,8,WR,69,180.7,6803
180,AJ Barner,26335,aj-barner,SEA,11,TE,26,182.0,11603
181,Isaac TeSlaa,27446,isaac-teslaa,DET,6,WR,70,182.3,12535
182,Emmett Johnson,28107,emmett-johnson,KC,5,RB,56,183.0,13337
183,Sean Tucker,23679,sean-tucker,TB,10,RB,57,183.3,9506
184,Mike Washington Jr.,28108,mike-washington-jr,LV,13,RB,58,184.3,13305
185,Greg Dulcich,23153,greg-dulcich,MIA,6,TE,27,187.7,8172
186,Malik Washington,26314,malik-washington,MIA,6,WR,71,188.0,11610
187,Cade Otton,23181,cade-otton,TB,10,TE,28,188.0,8111
188,Zachariah Branch,25419,zachariah-branch,ATL,11,WR,72,190.3,13320
189,Eli Stowers,23144,eli-stowers,PHI,10,TE,29,190.7,13349
190,Ryan Flournoy,26398,ryan-flournoy,DAL,14,WR,73,192.0,11783
191,Kaytron Allen,24362,kaytron-allen,WAS,7,RB,59,192.7,13405
192,Pat Freiermuth,20163,pat-freiermuth,PIT,9,TE,30,193.3,7600
193,Braelon Allen,24346,braelon-allen,NYJ,13,RB,60,193.7,11576
194,De'Zhaun Stribling,28138,dezhaun-stribling,SF,8,WR,74,196.7,13417
195,Tua Tagovailoa,19198,tua-tagovailoa,ATL,11,QB,31,197.0,6768
196,Tre' Harris,26215,tre-harris,LAC,7,WR,75,198.0,12509
197,Emanuel Wilson,25885,emanuel-wilson,SEA,11,RB,61,198.0,11435
198,Tank Dell,25361,nathaniel-dell,HOU,8,WR,76,199.7,9502
199,Adonai Mitchell,24357,adonai-mitchell,NYJ,13,WR,77,200.7,11625
200,Kayshon Boutte,22989,kayshon-boutte,NE,11,WR,78,201.3,9504
201,Germie Bernard,26039,germie-bernard,PIT,9,WR,79,206.0,13274
202,Jordan James,27310,jordan-james,SF,8,RB,62,206.3,12467
203,Travis Hunter,26034,travis-hunter,JAC,7,WR,80,178.5,12530
204,Darnell Mooney,19810,darnell-mooney,NYG,8,WR,81,206.7,7090
205,Chris Bell,26038,chris-bell,MIA,6,WR,82,207.7,13311
206,Malachi Fields,27994,malachi-fields,NYG,8,WR,83,208.7,13285
207,Ray Davis,26191,ray-davis,BUF,7,RB,63,208.7,11575
208,Terrance Ferguson,23091,terrance-ferguson,LAR,11,TE,31,208.7,12487
209,Kimani Vidal,26355,kimani-vidal,LAC,7,RB,64,210.3,11647
210,MarShawn Lloyd,23118,marshawn-lloyd,GB,11,RB,65,210.3,11581
211,Cooper Kupp,16433,cooper-kupp,SEA,11,WR,84,213.3,4039
212,Deshaun Watson,16398,deshaun-watson,CLE,11,QB,32,215.0,4017
213,Dontayvion Wicks,24354,dontayvion-wicks,PHI,10,WR,85,215.7,9486
214,James Conner,16447,james-conner,ARI,14,RB,66,215.7,4137
215,Justice Hill,18256,justice-hill,BAL,13,RB,67,217.7,5995
216,Keon Coleman,26019,keon-coleman,BUF,7,WR,86,218.7,11637
217,Demond Claiborne,28084,demond-claiborne,MIN,6,RB,68,220.0,13347
218,Chris Brazzell II,28047,chris-brazzell-ii,CAR,5,WR,87,221.3,13353
219,Shedeur Sanders,25968,shedeur-sanders,CLE,11,QB,33,222.0,12524
220,Christian Kirk,17268,christian-kirk,SF,8,WR,88,224.0,4950
221,Colby Parkinson,19372,colby-parkinson,LAR,11,TE,32,224.3,6865
222,Michael Penix Jr.,22973,michael-penix-jr,ATL,11,QB,34,225.3,11559
223,Evan Engram,16411,evan-engram,DEN,10,TE,33,225.7,4066
224,Jake Tonges,24778,jake-tonges,SF,8,TE,34,226.0,8698
225,Ted Hurst III,28130,ted-hurst,TB,10,WR,89,226.3,13317
226,Mike Gesicki,17272,mike-gesicki,CIN,6,TE,35,226.7,4993
227,Jaylin Noel,27122,jaylin-noel,HOU,8,WR,90,227.0,12536
228,George Holani,22915,george-holani,SEA,11,RB,69,228.7,12048
229,Kaelon Black,28401,kaelon-black,SF,8,RB,70,229.0,13414
230,Jaylen Wright,25987,jaylen-wright,MIA,6,RB,71,229.3,11643
231,Jaydon Blue,24344,jaydon-blue,DAL,14,RB,72,230.7,12457
232,Troy Franklin,23092,troy-franklin,DEN,10,WR,91,215.5,11627
233,Darnell Washington,22967,darnell-washington,PIT,9,TE,36,235.0,9479
234,Austin Ekeler,16483,austin-ekeler,,,RB,73,269.0,4663
235,Elijah Sarratt,27463,elijah-sarratt,BAL,13,WR,92,221.5,13268
236,Chris Brooks,25823,christopher-brooks,GB,11,RB,74,235.7,11370
237,Pat Bryant,27211,pat-bryant,DEN,10,WR,93,236.7,12492
238,Kirk Cousins,11177,kirk-cousins,LV,13,QB,35,236.7,1166
239,Joe Mixon,16420,joe-mixon,,,RB,75,263.0,4018
240,Tyquan Thornton,22913,tyquan-thornton,KC,5,WR,94,230.5,8188
241,Samaje Perine,16423,samaje-perine,CIN,6,RB,76,242.3,4147
242,Kaleb Johnson,27165,kaleb-johnson-rb,PIT,9,RB,77,246.5,12504
243,Tory Horton,26022,tory-horton,SEA,11,WR,95,232.5,12497
244,Ja'Kobi Lane,27337,jakobi-lane,BAL,13,WR,96,233.0,13293
245,Najee Harris,19302,najee-harris-rb,LAC,7,RB,78,247.5,7528
246,Devaughn Vele,26409,devaughn-vele,NO,8,WR,97,239.0,11834
247,Caleb Douglas,28135,caleb-douglas,MIA,6,WR,98,240.0,13296
248,Rashod Bateman,19794,rashod-bateman,BAL,13,WR,99,240.5,7571
249,Michael Mayer,23056,michael-mayer,LV,13,TE,37,248.3,9482
250,Kareem Hunt,16425,kareem-hunt,,,RB,79,308.5,4098
251,Mason Taylor,26005,mason-taylor,NYJ,13,TE,38,249.7,12498
252,Theo Johnson,23104,theo-johnson,NYG,8,TE,39,249.7,11597
253,Adam Randall,24367,adam-randall,BAL,13,RB,80,243.5,13302
254,Jack Bech,27224,jack-bech,LV,13,WR,100,244.5,12483
255,Jalen Tolbert,23770,jalen-tolbert,MIA,6,WR,101,246.5,8117
256,Ty Johnson,18406,ty-johnson,BUF,7,RB,81,248.0,6039
257,Keenan Allen,11616,keenan-allen,LAC,7,WR,102,248.0,1479
258,J.J. McCarthy,23018,jj-mccarthy,MIN,6,QB,36,251.5,11565
259,Devin Singletary,18280,devin-singletary,NYG,8,RB,82,282.0,6130
260,Skyler Bell,28126,skyler-bell,BUF,7,WR,103,240.0,13402
261,Ollie Gordon II,25984,ollie-gordon,MIA,6,RB,83,256.0,12495
262,Zavion Thomas,28132,zavion-thomas,CHI,10,WR,104,241.0,13411
263,Andrei Iosivas,25335,andrei-iosivas,CIN,6,WR,105,243.0,10226
264,Emari Demercado,25654,emari-demercado,KC,5,RB,84,258.0,11199
265,Darius Slayton,18706,darius-slayton,NYG,8,WR,106,246.0,6149
266,Chimere Dike,27315,chimere-dike,TEN,9,WR,107,247.0,12540
267,LeQuint Allen Jr.,27285,lequint-allen-jr,JAC,7,RB,85,255.5,12544
268,Jahan Dotson,23101,jahan-dotson,ATL,11,WR,108,262.0,8119
269,Eli Heidenreich,28297,eli-heidenreich,PIT,9,RB,86,275.5,13423
270,Ja'Tavion Sanders,24334,jatavion-sanders,CAR,5,TE,40,250.0,11600
271,Carson Beck,22953,carson-beck,ARI,14,QB,37,251.0,13272
272,Brenen Thompson,28133,brenen-thompson,LAC,7,WR,109,257.0,13380
273,Malik Davis,24205,malik-davis,DAL,14,RB,87,253.0,8800
274,Devin Neal,23682,devin-neal,NO,8,RB,88,286.5,12476
275,Oscar Delp,25430,oscar-delp,NO,8,TE,41,256.0,13319
276,Elijah Arroyo,23004,elijah-arroyo,SEA,11,TE,42,266.0,12521
277,Dawson Knox,18631,dawson-knox,BUF,7,TE,43,258.0,5906
278,DJ Giddens,27097,dj-giddens,IND,13,RB,89,259.0,12471
279,Eli Raridon,28154,eli-raridon,NE,11,TE,44,264.0,13421
280,Elic Ayomanor,27059,elic-ayomanor,TEN,9,WR,110,267.0,12499
281,Charlie Kolar,22756,charlie-kolar,LAC,7,TE,45,268.0,8127
282,Odell Beckham Jr.,12127,odell-beckham,NYG,8,WR,111,270.0,2078
283,Kyle Williams,27487,kyle-williams-wr-2025,NE,11,WR,112,273.0,12547
284,Kendrick Bourne,17066,kendrick-bourne,ARI,14,WR,113,274.0,4454
285,Savion Williams,27144,savion-williams,GB,11,WR,114,277.0,12482
286,Xavier Legette,26136,xavier-legette,CAR,5,WR,115,278.0,11626
287,Erick All Jr.,23837,erick-all,CIN,6,TE,46,279.0,11592
288,Hollywood Brown,18226,marquise-brown,PHI,10,WR,116,280.0,5848
289,Tez Johnson,27147,tez-johnson,TB,10,WR,117,281.0,12485
290,Devontez Walker,26011,devontez-walker,BAL,13,WR,118,282.0,11629
291,Justin Joly,28079,justin-joly,DEN,10,TE,47,284.0,13400
292,Cyrus Allen,28424,cyrus-allen,KC,5,WR,119,285.0,13413
293,Isaiah Bond,24371,isaiah-bond,CLE,11,WR,120,286.0,12503
294,Treylon Burks,22905,treylon-burks,WAS,7,WR,121,287.0,8135
295,Marvin Mims Jr.,23080,marvin-mims,DEN,10,WR,122,288.0,9494
296,KaVontae Turpin,18520,kavontae-turpin,DAL,14,WR,123,289.0,8917
297,Cole Kmet,19229,cole-kmet,CHI,10,TE,48,290.0,6826
298,Bryce Lance,28129,bryce-lance,NO,8,WR,124,291.0,13420
299,Kevin Coleman Jr.,28067,kevin-coleman-jr,MIA,6,WR,125,293.0,13338
300,Justin Fields,19781,justin-fields,KC,5,QB,38,294.0,7591
301,Kalif Raymond,16081,kalif-raymond,CHI,10,WR,126,295.0,3634
302,Tahj Brooks,26212,tahj-brooks,CIN,6,RB,90,296.0,12543
303,Nick Westbrook-Ikhine,19747,nick-westbrook,IND,13,WR,127,297.0,7496
304,Jordan Whittington,23135,jordan-whittington,LAR,11,WR,128,298.0,11623
305,DeMario Douglas,25304,demario-douglas,NE,11,WR,129,299.0,9501
306,Trey Benson,25388,trey-benson,ARI,14,RB,91,300.0,11589
307,Jameis Winston,13891,jameis-winston,NYG,8,QB,39,301.0,2306
308,Jaylin Lane,27454,jaylin-lane,WAS,7,WR,130,303.0,12641
309,Anthony Richardson Sr.,24347,anthony-richardson,IND,13,QB,40,304.0,9229
310,Jalen Royals,27076,jalen-royals,KC,5,WR,131,305.0,12505
311,Joe Flacco,9300,joe-flacco,CIN,6,QB,41,306.0,19
312,Phil Mafah,22928,phil-mafah,DAL,14,RB,92,307.0,12738
313,Max Klare,27993,max-klare,LAR,11,TE,49,308.0,13278
314,Isaiah Davis,25977,isaiah-davis,NYJ,13,RB,93,309.0,11571
315,Luke Musgrave,25282,luke-musgrave,GB,11,TE,50,310.0,9481
316,Daniel Bellinger,24238,daniel-bellinger,TEN,9,TE,51,311.0,8225
317,Tutu Atwell,20126,tutu-atwell,MIA,6,WR,132,312.0,7562
318,Dont'e Thornton Jr.,27288,donte-thornton-jr,LV,13,WR,133,313.0,12541
319,Greg Dortch,18585,greg-dortch,DET,6,WR,134,314.0,5970
320,Malik Benson,26012,malik-benson,LV,13,WR,135,315.0,13329
321,Olamide Zaccheaus,18864,olamide-zaccheaus,ATL,11,WR,136,316.0,6271
322,Noah Gray,19539,noah-gray,KC,5,TE,52,317.0,7828
323,Jerome Ford,22921,jerome-ford,WAS,7,RB,94,318.0,8143
324,Seth McGowan,23079,seth-mcgowan,IND,13,RB,95,320.0,13424
325,Mac Jones,20156,mac-jones,SF,8,QB,42,321.0,7527
326,Joshua Palmer,22845,josh-palmer,BUF,7,WR,137,322.0,7670
327,Tyler Higbee,15623,tyler-higbee,LAR,11,TE,53,323.0,3271
328,Ben Sinnott,26310,ben-sinnott,WAS,7,TE,54,324.0,11596
329,Deion Burks,27093,deion-burks,IND,13,WR,138,325.0,13333
330,Roman Wilson,28896,roman-wilson-wr,PIT,9,WR,139,326.0,11630
331,Joe Milton III,25967,joe-milton,DAL,14,QB,43,327.0,11557
332,Luke McCaffrey,26328,luke-mccaffrey,WAS,7,WR,140,329.0,11650
333,Dyami Brown,20113,dyami-brown,WAS,7,WR,141,330.0,7587
334,Ashton Dulin,18656,ashton-dulin,IND,13,WR,142,331.0,6427
335,Mack Hollins,16489,mack-hollins,NE,11,WR,143,333.0,4177
336,Calvin Austin III,23739,calvin-austin,NYG,8,WR,144,334.0,8125
337,Konata Mumpfield,27449,konata-mumpfield,LAR,11,WR,145,335.0,12718
338,Rasheen Ali,25983,rasheen-ali,BAL,13,RB,96,336.0,11570
339,Taylen Green,28094,taylen-green,CLE,11,QB,44,337.0,13306
340,John Metchie III,22895,john-metchie,CAR,5,WR,146,338.0,8147
341,KeAndre Lambert-Smith,24372,keandre-lambert-smith,LAC,7,WR,147,339.0,12670
342,Will Shipley,22930,will-shipley,PHI,10,RB,97,340.0,11577
343,Trevor Etienne,25393,trevor-etienne,CAR,5,RB,98,341.0,12531
344,Gardner Minshew II,18562,gardner-minshew,ARI,14,QB,45,342.0,6011
345,Van Jefferson,19483,van-jefferson,WAS,7,WR,148,343.0,6853
346,Tanner Koziol,27499,tanner-koziol,JAC,7,TE,55,344.0,13408
347,Colbie Young,26037,colbie-young,CIN,6,WR,149,345.0,13477
348,Mitchell Evans,27138,mitchell-evans,CAR,5,TE,56,346.0,12473
349,Matt Hibner,28168,matthew-hibner,BAL,13,TE,57,347.0,13324
350,Tommy Tremble,22795,tommy-tremble,CAR,5,TE,58,348.0,7694
351,Luke Schoonmaker,25267,luke-schoonmaker,DAL,14,TE,59,349.0,10871
352,Cade Klubnik,24361,cade-klubnik,NYJ,13,QB,46,350.0,13303
353,Nate Boerkircher,28427,nate-boerkircher,JAC,7,TE,60,351.0,13299
