rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
25,T.Y. Hilton,11206,ty-hilton,,,WR,12,25,&nbsp;,&nbsp;,&nbsp;,&nbsp;,28,26.2,1110
26,Christian McCaffrey,16393,christian-mccaffrey,SF,11,RB,12,30,&nbsp;,&nbsp;,&nbsp;,&nbsp;,24,27.2,4034
27,DeAndre Hopkins,11606,deandre-hopkins,BAL,10,WR,13,29,&nbsp;,&nbsp;,&nbsp;,&nbsp;,27,28.2,1426
28,Demaryius Thomas,9691,demaryius-thomas,,,WR,14,32,&nbsp;,&nbsp;,&nbsp;,&nbsp;,32,30.2,560
29,Lamar Miller,11185,lamar-miller,,,RB,13,27,&nbsp;,&nbsp;,&nbsp;,&nbsp;,26,30.6,1048
30,Tom Brady,9603,tom-brady,,,QB,2,22,&nbsp;,&nbsp;,&nbsp;,&nbsp;,31,30.8,167
31,Keenan Allen,11616,keenan-allen,LAC,9,WR,15,40,&nbsp;,&nbsp;,&nbsp;,&nbsp;,40,32.6,1479
32,Terrelle Pryor Sr.,10092,terrelle-pryor,,,WR,16,31,&nbsp;,&nbsp;,&nbsp;,&nbsp;,39,33.4,1020
33,Isaiah Crowell,12116,isaiah-crowell,,,RB,14,36,&nbsp;,&nbsp;,&nbsp;,&nbsp;,38,33.8,1901
34,Dalvin Cook,16374,dalvin-cook,,,RB,15,42,&nbsp;,&nbsp;,&nbsp;,&nbsp;,41,34.2,4029
35,Marshawn Lynch,9428,marshawn-lynch,,,RB,16,28,&nbsp;,&nbsp;,&nbsp;,&nbsp;,30,35.8,745
36,Travis Kelce,11594,travis-kelce,KC,10,TE,2,41,&nbsp;,&nbsp;,&nbsp;,&nbsp;,29,36.0,1466
37,Alshon Jeffery,11199,alshon-jeffery,,,WR,17,35,&nbsp;,&nbsp;,&nbsp;,&nbsp;,36,37.0,1149
38,Kareem Hunt,16425,kareem-hunt,,,RB,17,33,&nbsp;,&nbsp;,&nbsp;,&nbsp;,37,38.2,4098
39,Michael Crabtree,9460,michael-crabtree,,,WR,18,37,&nbsp;,&nbsp;,&nbsp;,&nbsp;,43,41.0,455
40,Carlos Hyde,12105,carlos-hyde,,,RB,18,38,&nbsp;,&nbsp;,&nbsp;,&nbsp;,45,41.4,2257
41,Davante Adams,12123,davante-adams,LAR,8,WR,19,48,&nbsp;,&nbsp;,&nbsp;,&nbsp;,35,41.6,2133
42,Ty Montgomery II,13977,ty-montgomery,,,RB,19,45,&nbsp;,&nbsp;,&nbsp;,&nbsp;,48,42.0,2399
43,Drew Brees,9200,drew-brees,,,QB,3,34,&nbsp;,&nbsp;,&nbsp;,&nbsp;,34,42.8,289
44,Joe Mixon,16420,joe-mixon,,,RB,20,57,&nbsp;,&nbsp;,&nbsp;,&nbsp;,33,43.8,4018
45,Golden Tate,9683,golden-tate,,,WR,20,47,&nbsp;,&nbsp;,&nbsp;,&nbsp;,47,46.4,642
46,Allen Robinson II,12126,allen-robinson,,,WR,21,60,&nbsp;,&nbsp;,&nbsp;,&nbsp;,42,47.2,1992
47,Larry Fitzgerald,9383,larry-fitzgerald,,,WR,22,44,&nbsp;,&nbsp;,&nbsp;,&nbsp;,56,47.8,223
48,Greg Olsen,9238,greg-olsen,,,TE,3,43,&nbsp;,&nbsp;,&nbsp;,&nbsp;,46,48.0,58
49,Tyreek Hill,15802,tyreek-hill,,,WR,23,54,&nbsp;,&nbsp;,&nbsp;,&nbsp;,58,50.4,3321
50,Jordan Reed,11690,jordan-reed,,,TE,4,46,&nbsp;,&nbsp;,&nbsp;,&nbsp;,51,50.6,1500
51,Kelvin Benjamin,12121,kelvin-benjamin,,,WR,24,49,&nbsp;,&nbsp;,&nbsp;,&nbsp;,62,51.2,2182
52,Martavis Bryant,12136,martavis-bryant,,,WR,25,58,&nbsp;,&nbsp;,&nbsp;,&nbsp;,52,51.2,1916
53,Jarvis Landry,12128,jarvis-landry,,,WR,26,52,&nbsp;,&nbsp;,&nbsp;,&nbsp;,44,52.8,1825
54,Mark Ingram II,9872,mark-ingram,,,RB,21,55,&nbsp;,&nbsp;,&nbsp;,&nbsp;,53,55.6,956
55,Matt Ryan,9444,matt-ryan,,,QB,4,39,&nbsp;,&nbsp;,&nbsp;,&nbsp;,50,56.0,24
56,Stefon Diggs,13981,stefon-diggs,,,WR,27,67,&nbsp;,&nbsp;,&nbsp;,&nbsp;,64,56.8,2449
57,Jimmy Graham,9712,jimmy-graham,,,TE,5,53,&nbsp;,&nbsp;,&nbsp;,&nbsp;,59,58.0,616
58,Bilal Powell,9963,bilal-powell,,,RB,22,56,&nbsp;,&nbsp;,&nbsp;,&nbsp;,63,58.8,818
59,Sammy Watkins,12118,sammy-watkins,,,WR,28,63,&nbsp;,&nbsp;,&nbsp;,&nbsp;,55,59.0,1817
60,Emmanuel Sanders,9707,emmanuel-sanders,,,WR,29,50,&nbsp;,&nbsp;,&nbsp;,&nbsp;,60,60.0,538
61,C.J. Anderson,11896,cj-anderson,,,RB,23,69,&nbsp;,&nbsp;,&nbsp;,&nbsp;,57,60.8,1451
62,DeVante Parker,13897,devante-parker,,,WR,30,71,&nbsp;,&nbsp;,&nbsp;,&nbsp;,54,61.4,2319
63,Russell Wilson,11180,russell-wilson,,,QB,5,51,&nbsp;,&nbsp;,&nbsp;,&nbsp;,70,63.8,1234
64,Jamison Crowder,13976,jamison-crowder,,,WR,31,59,&nbsp;,&nbsp;,&nbsp;,&nbsp;,78,63.8,2410
65,Ameer Abdullah,13924,ameer-abdullah,JAC,8,RB,24,75,&nbsp;,&nbsp;,&nbsp;,&nbsp;,61,64.0,2359
66,Brandon Marshall,9064,brandon-marshall,,,WR,32,68,&nbsp;,&nbsp;,&nbsp;,&nbsp;,65,67.0,648
67,Danny Woodhead,9148,danny-woodhead,,,RB,25,65,&nbsp;,&nbsp;,&nbsp;,&nbsp;,85,67.8,735
68,Pierre Garcon,9510,pierre-garcon,,,WR,33,70,&nbsp;,&nbsp;,&nbsp;,&nbsp;,79,70.0,269
69,Tevin Coleman,13926,tevin-coleman,,,RB,26,90,&nbsp;,&nbsp;,&nbsp;,&nbsp;,49,71.2,2378
70,Kyle Rudolph,9906,kyle-rudolph,,,TE,6,72,&nbsp;,&nbsp;,&nbsp;,&nbsp;,67,74.2,943
71,Adrian Peterson,9006,adrian-peterson-min,,,RB,27,62,&nbsp;,&nbsp;,&nbsp;,&nbsp;,87,75.4,184
72,Doug Martin,11186,doug-martin,,,RB,28,97,&nbsp;,&nbsp;,&nbsp;,&nbsp;,86,76.0,1195
73,Mike Gillislee,11657,mike-gillislee,,,RB,29,77,&nbsp;,&nbsp;,&nbsp;,&nbsp;,82,77.8,1353
74,Delanie Walker,9172,delanie-walker,,,TE,7,66,&nbsp;,&nbsp;,&nbsp;,&nbsp;,73,78.4,284
75,Zach Ertz,11689,zach-ertz,,,TE,8,82,&nbsp;,&nbsp;,&nbsp;,&nbsp;,71,78.4,1339
76,Tyler Eifert,11692,tyler-eifert,,,TE,9,95,&nbsp;,&nbsp;,&nbsp;,&nbsp;,83,78.8,1388
77,Frank Gore,9218,frank-gore,,,RB,30,64,&nbsp;,&nbsp;,&nbsp;,&nbsp;,76,80.8,
78,Jameis Winston,13891,jameis-winston,NYG,8,QB,6,89,&nbsp;,&nbsp;,&nbsp;,&nbsp;,66,81.4,2306
79,Theo Riddick,11649,theo-riddick,,,RB,31,81,&nbsp;,&nbsp;,&nbsp;,&nbsp;,77,82.8,1517
80,Robert Kelley,16154,robert-kelley,,,RB,32,78,&nbsp;,&nbsp;,&nbsp;,&nbsp;,81,83.6,
81,Kirk Cousins,11177,kirk-cousins,LV,,QB,7,74,&nbsp;,&nbsp;,&nbsp;,&nbsp;,91,84.4,1166
82,Paul Perkins,15551,paul-perkins,,,RB,33,88,&nbsp;,&nbsp;,&nbsp;,&nbsp;,68,84.6,3211
83,Jeremy Maclin,9289,jeremy-maclin,,,WR,34,86,&nbsp;,&nbsp;,&nbsp;,&nbsp;,101,84.6,411
84,Willie Snead IV,12904,willie-snead,,,WR,35,119,&nbsp;,&nbsp;,&nbsp;,&nbsp;,75,84.8,1911
85,Marcus Mariota,13890,marcus-mariota,WAS,5,QB,8,92,&nbsp;,&nbsp;,&nbsp;,&nbsp;,93,84.8,2307
86,Derek Carr,12092,derek-carr,,,QB,9,76,&nbsp;,&nbsp;,&nbsp;,&nbsp;,94,85.2,2028
87,Cam Newton,9869,cam-newton,,,QB,10,61,&nbsp;,&nbsp;,&nbsp;,&nbsp;,103,86.8,954
88,DeSean Jackson,9186,desean-jackson,,,WR,36,80,&nbsp;,&nbsp;,&nbsp;,&nbsp;,105,87.2,147
89,Martellus Bennett,9429,martellus-bennett,,,TE,10,85,&nbsp;,&nbsp;,&nbsp;,&nbsp;,74,89.8,40
90,Derrick Henry,15514,derrick-henry,BAL,10,RB,34,130,&nbsp;,&nbsp;,&nbsp;,&nbsp;,69,90.0,3198
91,Eric Decker,9708,eric-decker,,,WR,37,87,&nbsp;,&nbsp;,&nbsp;,&nbsp;,89,90.4,558
92,Randall Cobb,9902,randall-cobb,,,WR,38,94,&nbsp;,&nbsp;,&nbsp;,&nbsp;,88,90.6,928
93,Duke Johnson Jr.,13939,duke-johnson,,,RB,35,104,&nbsp;,&nbsp;,&nbsp;,&nbsp;,80,92.8,2382
94,Tyrell Williams,14324,tyrell-williams,,,WR,39,112,&nbsp;,&nbsp;,&nbsp;,&nbsp;,84,93.0,2583
95,Terrance West,12194,terrance-west,,,RB,36,84,&nbsp;,&nbsp;,&nbsp;,&nbsp;,109,95.4,1912
96,Andrew Luck,11172,andrew-luck,,,QB,11,110,&nbsp;,&nbsp;,&nbsp;,&nbsp;,104,99.6,1111
97,Adam Thielen,13429,adam-thielen,,,WR,40,108,&nbsp;,&nbsp;,&nbsp;,&nbsp;,90,100.8,1689
98,Eddie Lacy,11636,eddie-lacy,,,RB,37,91,&nbsp;,&nbsp;,&nbsp;,&nbsp;,96,101.6,1527
99,LeGarrette Blount,9717,legarrette-blount,,,RB,38,106,&nbsp;,&nbsp;,&nbsp;,&nbsp;,97,102.6,730
100,Darren McFadden,9154,darren-mcfadden,,,RB,39,93,&nbsp;,&nbsp;,&nbsp;,&nbsp;,137,103.0,326
101,Chris Hogan,11477,chris-hogan,,,WR,41,99,&nbsp;,&nbsp;,&nbsp;,&nbsp;,129,103.6,1329
102,Ben Roethlisberger,9039,ben-roethlisberger,,,QB,12,102,&nbsp;,&nbsp;,&nbsp;,&nbsp;,102,104.0,138
103,Hunter Henry,15561,hunter-henry,NE,9,TE,11,120,&nbsp;,&nbsp;,&nbsp;,&nbsp;,92,106.2,3214
104,James White,12195,james-white,,,RB,40,118,&nbsp;,&nbsp;,&nbsp;,&nbsp;,95,107.8,1848
105,Corey Coleman,15506,corey-coleman,,,WR,42,132,&nbsp;,&nbsp;,&nbsp;,&nbsp;,98,109.0,3177
106,Dak Prescott,15600,dak-prescott,DAL,6,QB,13,73,&nbsp;,&nbsp;,&nbsp;,&nbsp;,118,109.8,3294
107,Matthew Stafford,9451,matthew-stafford,LAR,8,QB,14,98,&nbsp;,&nbsp;,&nbsp;,&nbsp;,99,113.6,421
108,Thomas Rawls,14403,thomas-rawls,,,RB,41,124,&nbsp;,&nbsp;,&nbsp;,&nbsp;,108,114.2,2585
109,Marvin Jones Jr.,11215,marvin-jones,,,WR,43,137,&nbsp;,&nbsp;,&nbsp;,&nbsp;,110,117.2,1067
110,Jonathan Stewart,9317,jonathan-stewart,,,RB,42,113,&nbsp;,&nbsp;,&nbsp;,&nbsp;,122,117.6,218
111,Rishard Matthews,11380,rishard-matthews,,,WR,44,121,&nbsp;,&nbsp;,&nbsp;,&nbsp;,120,119.6,1046
112,Philip Rivers,9509,philip-rivers,,,QB,15,123,&nbsp;,&nbsp;,&nbsp;,&nbsp;,114,120.4,331
113,Jordan Matthews,12124,jordan-matthews,,,TE,12,136,&nbsp;,&nbsp;,&nbsp;,&nbsp;,128,120.6,1800
114,Matt Forte,9437,matt-forte,,,RB,43,109,&nbsp;,&nbsp;,&nbsp;,&nbsp;,113,121.4,103
115,Eric Ebron,12143,eric-ebron,,,TE,13,154,&nbsp;,&nbsp;,&nbsp;,&nbsp;,107,121.6,2118
116,Darren Sproles,9155,darren-sproles,,,RB,44,122,&nbsp;,&nbsp;,&nbsp;,&nbsp;,126,121.6,246
117,John Brown,12231,john-brown,,,WR,45,149,&nbsp;,&nbsp;,&nbsp;,&nbsp;,121,121.8,2238
118,Donte Moncrief,12125,donte-moncrief,,,WR,46,103,&nbsp;,&nbsp;,&nbsp;,&nbsp;,72,84.0,1971
119,Jack Doyle,11987,jack-doyle,,,TE,14,133,&nbsp;,&nbsp;,&nbsp;,&nbsp;,124,127.4,1706
120,Stephen Gostkowski,9573,stephen-gostkowski,,,K,1,96,&nbsp;,&nbsp;,&nbsp;,&nbsp;,127,127.8,110
121,Justin Tucker,11465,justin-tucker,,,K,2,100,&nbsp;,&nbsp;,&nbsp;,&nbsp;,133,128.4,1264
122,C.J. Prosise,15614,cj-prosise,,,RB,45,153,&nbsp;,&nbsp;,&nbsp;,&nbsp;,116,129.4,3204
123,Jacquizz Rodgers,9894,jacquizz-rodgers,,,RB,46,146,&nbsp;,&nbsp;,&nbsp;,&nbsp;,136,131.0,949
124,Ted Ginn Jr.,9588,ted-ginn-jr,,,WR,47,128,&nbsp;,&nbsp;,&nbsp;,&nbsp;,155,131.4,695
125,Eli Manning,9213,eli-manning,,,QB,16,127,&nbsp;,&nbsp;,&nbsp;,&nbsp;,131,137.2,188
126,Jason Witten,9275,jason-witten,,,TE,15,117,&nbsp;,&nbsp;,&nbsp;,&nbsp;,156,138.0,23
127,Andy Dalton,9907,andy-dalton,PHI,10,QB,17,141,&nbsp;,&nbsp;,&nbsp;,&nbsp;,143,138.4,829
128,Kevin White,13899,kevin-white,,,WR,48,145,&nbsp;,&nbsp;,&nbsp;,&nbsp;,141,138.8,2312
129,Jamaal Charles,9258,jamaal-charles,,,RB,47,161,&nbsp;,&nbsp;,&nbsp;,&nbsp;,115,140.4,323
130,Kenny Britt,9353,kenny-britt,,,WR,49,111,&nbsp;,&nbsp;,&nbsp;,&nbsp;,100,106.3,366
131,Mike Wallace,9479,mike-wallace,,,WR,50,101,&nbsp;,&nbsp;,&nbsp;,&nbsp;,106,108.3,365
132,Cooper Kupp,16433,cooper-kupp,SEA,6,WR,51,162,&nbsp;,&nbsp;,&nbsp;,&nbsp;,139,144.4,4039
133,Austin Hooper,15581,austin-hooper,ATL,5,TE,16,159,&nbsp;,&nbsp;,&nbsp;,&nbsp;,150,145.0,3202
134,Rex Burkhead,11655,rex-burkhead,,,RB,48,174,&nbsp;,&nbsp;,&nbsp;,&nbsp;,154,145.4,1387
135,Denver Broncos,8090,,,5,DST,1,83,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,112.0,
136,Carson Palmer,9098,carson-palmer,,,QB,18,142,&nbsp;,&nbsp;,&nbsp;,&nbsp;,142,149.2,91
137,Jeremy Hill,12102,jeremy-hill,,,RB,49,176,&nbsp;,&nbsp;,&nbsp;,&nbsp;,138,150.2,1892
138,Corey Davis,16385,corey-davis,,,WR,52,140,&nbsp;,&nbsp;,&nbsp;,&nbsp;,111,117.3,4036
139,Zay Jones,16431,zay-jones,,,WR,53,125,&nbsp;,&nbsp;,&nbsp;,&nbsp;,117,128.3,4080
140,Samaje Perine,16423,samaje-perine,CIN,6,RB,50,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,119,129.8,4147
141,Jamaal Williams,16424,jamaal-williams,,,RB,51,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,132,135.3,4149
142,Alvin Kamara,16421,alvin-kamara,NO,5,RB,52,183,&nbsp;,&nbsp;,&nbsp;,&nbsp;,214,167.4,4035
143,Matt Bryant,9434,matt-bryant,,,K,3,114,&nbsp;,&nbsp;,&nbsp;,&nbsp;,149,139.8,127
144,O.J. Howard,16380,oj-howard,,,TE,17,152,&nbsp;,&nbsp;,&nbsp;,&nbsp;,112,144.0,4055
145,Dan Bailey,10970,dan-bailey,,,K,4,131,&nbsp;,&nbsp;,&nbsp;,&nbsp;,147,145.3,899
146,Giovani Bernard,11644,giovani-bernard,,,RB,53,138,&nbsp;,&nbsp;,&nbsp;,&nbsp;,145,146.0,1386
147,Carson Wentz,15520,carson-wentz,MIN,9,QB,19,135,&nbsp;,&nbsp;,&nbsp;,&nbsp;,135,146.3,3161
148,Sterling Shepard,15569,sterling-shepard,,,WR,54,170,&nbsp;,&nbsp;,&nbsp;,&nbsp;,123,146.8,3200
149,Coby Fleener,11220,coby-fleener,,,TE,18,156,&nbsp;,&nbsp;,&nbsp;,&nbsp;,148,149.8,1107
150,Seattle Seahawks,8260,,,6,DST,2,79,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,109.3,
151,Cole Beasley,11459,cole-beasley,,,WR,55,150,&nbsp;,&nbsp;,&nbsp;,&nbsp;,152,153.8,1144
152,Latavius Murray,11821,latavius-murray,,,RB,54,165,&nbsp;,&nbsp;,&nbsp;,&nbsp;,130,156.8,1476
153,Tyler Lockett,13971,tyler-lockett,LV,,WR,56,167,&nbsp;,&nbsp;,&nbsp;,&nbsp;,140,160.0,2374
154,New York Giants,8200,,,8,DST,3,171,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,160.3,
155,Evan Engram,16411,evan-engram,DEN,5,TE,19,151,&nbsp;,&nbsp;,&nbsp;,&nbsp;,146,160.3,4066
156,Tyrod Taylor,10007,tyrod-taylor,GB,8,QB,20,164,&nbsp;,&nbsp;,&nbsp;,&nbsp;,151,162.3,827
157,Kansas City Chiefs,8150,,,10,DST,4,107,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,123.0,
158,Houston Texans,8120,,,7,DST,5,105,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,123.3,
159,Julius Thomas,9966,julius-thomas,,,TE,20,160,&nbsp;,&nbsp;,&nbsp;,&nbsp;,162,163.8,874
160,Mason Crosby,9433,mason-crosby,,,K,5,157,&nbsp;,&nbsp;,&nbsp;,&nbsp;,190,166.3,59
161,Josh Doctson,15511,josh-doctson,,,WR,57,185,&nbsp;,&nbsp;,&nbsp;,&nbsp;,164,166.3,3178
162,Cameron Brate,13470,cameron-brate,,,TE,21,158,&nbsp;,&nbsp;,&nbsp;,&nbsp;,180,170.3,2214
163,Wendell Smallwood,15672,wendell-smallwood,,,RB,55,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,176,171.5,3309
164,Taylor Gabriel,12888,taylor-gabriel,,,WR,58,169,&nbsp;,&nbsp;,&nbsp;,&nbsp;,157,172.3,1903
165,Minnesota Vikings,8170,,,9,DST,6,116,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,136.3,
166,Arizona Cardinals,8000,,,8,DST,7,129,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,139.3,
167,New England Patriots,8180,,,9,DST,8,134,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,140.3,
168,Antonio Gates,9027,antonio-gates,,,TE,22,143,&nbsp;,&nbsp;,&nbsp;,&nbsp;,183,177.0,322
169,Shane Vereen,9897,shane-vereen,,,RB,56,193,&nbsp;,&nbsp;,&nbsp;,&nbsp;,166,177.5,814
170,Robbie Chosen,15688,robby-anderson,,,WR,59,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,134,144.7,3423
171,Carolina Panthers,8040,,,11,DST,9,115,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,145.7,
172,Mohamed Sanu Sr.,11200,mohamed-sanu,,,WR,60,163,&nbsp;,&nbsp;,&nbsp;,&nbsp;,198,180.5,1071
173,Adam Vinatieri,9004,adam-vinatieri,,,K,6,126,&nbsp;,&nbsp;,&nbsp;,&nbsp;,182,147.3,120
174,Kenny Stills,11611,kenny-stills,,,WR,61,186,&nbsp;,&nbsp;,&nbsp;,&nbsp;,163,181.8,1555
175,Joe Flacco,9300,joe-flacco,CIN,6,QB,21,144,&nbsp;,&nbsp;,&nbsp;,&nbsp;,187,183.8,19
176,Kendall Wright,11197,kendall-wright,,,WR,62,191,&nbsp;,&nbsp;,&nbsp;,&nbsp;,181,186.0,1097
177,Danny Amendola,9146,danny-amendola,,,WR,63,147,&nbsp;,&nbsp;,&nbsp;,&nbsp;,291,192.3,491
178,Marqise Lee,12120,marqise-lee,,,WR,64,196,&nbsp;,&nbsp;,&nbsp;,&nbsp;,170,190.8,1987
179,Chris Thompson,11651,chris-thompson,,,RB,57,177,&nbsp;,&nbsp;,&nbsp;,&nbsp;,235,191.8,1502
180,Kenny Golladay,16488,kenny-golladay,,,WR,65,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,153,161.7,4131
181,John Ross,16388,john-ross,,,WR,66,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,125,162.3,4038
182,Matt Prater,9443,matt-prater,,,K,7,166,&nbsp;,&nbsp;,&nbsp;,&nbsp;,206,172.3,17
183,Pittsburgh Steelers,8240,,,9,DST,10,139,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,173.3,
184,Wil Lutz,16026,wil-lutz,DEN,5,K,8,195,&nbsp;,&nbsp;,&nbsp;,&nbsp;,193,176.3,3678
185,Jared Cook,9265,jared-cook,,,TE,23,148,&nbsp;,&nbsp;,&nbsp;,&nbsp;,255,206.0,367
186,Charles Sims,12104,charles-sims,,,RB,58,197,&nbsp;,&nbsp;,&nbsp;,&nbsp;,217,206.3,2223
187,Jacksonville Jaguars,8140,,,8,DST,11,173,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,181.3,
188,Marlon Mack,16444,marlon-mack,,,RB,59,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,208,183.0,4152
189,Torrey Smith,9884,torrey-smith,,,WR,67,178,&nbsp;,&nbsp;,&nbsp;,&nbsp;,266,209.5,826
190,D'Onta Foreman,16407,donta-foreman,,,RB,60,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,195,186.0,4111
191,Cairo Santos,13731,cairo-santos,CHI,9,K,9,192,&nbsp;,&nbsp;,&nbsp;,&nbsp;,226,189.7,2020
192,Los Angeles Rams,8280,,,8,DST,12,181,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,190.0,
193,Breshad Perriman,13975,breshad-perriman,,,WR,68,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,159,192.0,2331
194,Jay Cutler,9280,jay-cutler,,,QB,22,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,211,192.7,416
195,Baltimore Ravens,8020,,,10,DST,13,168,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,193.0,
196,Dion Lewis,9983,dion-lewis,,,RB,61,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,201,193.0,788
197,Philadelphia Eagles,8230,,,10,DST,14,182,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,194.7,
198,DeAndre Washington,15806,deandre-washington,,,RB,62,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,228,195.3,3300
199,J.J. Nelson,14234,jj-nelson,,,WR,69,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,167,196.3,2462
200,James Conner,16447,james-conner,ARI,8,RB,63,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,172,196.3,4137
201,Atlanta Falcons,8010,,,5,DST,15,155,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,197.0,
202,Charcandrick West,13729,charcandrick-west,,,RB,64,187,&nbsp;,&nbsp;,&nbsp;,&nbsp;,280,218.8,2024
203,Sebastian Janikowski,9560,sebastian-janikowski,,,K,10,172,&nbsp;,&nbsp;,&nbsp;,&nbsp;,264,198.0,118
204,Sam Bradford,9678,sam-bradford,,,QB,23,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,202,198.0,621
205,Dustin Hopkins,11818,dustin-hopkins,,,K,11,188,&nbsp;,&nbsp;,&nbsp;,&nbsp;,219,198.7,1348
