rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
108,Pittsburgh Steelers,8240,,,7,DST,3,95,114,&nbsp;,65,128,115,111.2,
109,Joe Burrow,19196,joe-burrow,CIN,10,QB,13,122,113,&nbsp;,108,110,107,111.2,6770
110,Tyler Higbee,15623,tyler-higbee,LAR,11,TE,12,125,108,&nbsp;,151,109,113,112.0,3271
111,Devin Singletary,18280,devin-singletary,NYG,10,RB,38,128,117,&nbsp;,146,104,110,112.4,6130
112,Jamaal Williams,16424,jamaal-williams,,,RB,39,124,134,&nbsp;,160,98,112,116.4,4149
113,Sony Michel,17309,sony-michel,,,RB,40,90,151,&nbsp;,182,93,153,117.8,4962
114,Michael Gallup,17259,michael-gallup,,,WR,46,86,122,&nbsp;,132,119,105,118.0,5038
115,Curtis Samuel,16434,curtis-samuel,,,WR,47,119,120,&nbsp;,111,115,108,118.2,4082
116,Washington Commanders,8310,,,9,DST,4,108,109,&nbsp;,75,141,130,120.0,
117,Marvin Jones Jr.,11215,marvin-jones,,,WR,48,106,148,&nbsp;,112,129,120,122.4,1067
118,Marquez Callaway,19505,marquez-callaway,,,WR,49,131,130,&nbsp;,176,103,142,123.0,6989
119,Mike Williams,16377,mike-williams-wr,,,WR,50,116,115,&nbsp;,131,133,109,123.0,
120,Jonnu Smith,16460,jonnu-smith,,,TE,13,91,142,&nbsp;,116,118,141,123.0,4144
121,Hollywood Brown,18226,marquise-brown,PHI,14,WR,51,105,118,&nbsp;,136,120,117,123.2,5848
122,Baltimore Ravens,8020,,,8,DST,5,96,106,&nbsp;,74,143,137,123.8,
123,Nyheim Miller-Hines,17297,nyheim-hines,,,RB,41,132,127,&nbsp;,184,102,118,124.0,5347
124,Rob Gronkowski,9721,rob-gronkowski,,,TE,14,114,86,&nbsp;,101,145,133,125.6,515
125,Harrison Butker,16712,harrison-butker,KC,12,K,1,84,131,&nbsp;,89,154,129,127.8,4227
126,Justin Tucker,11465,justin-tucker,,,K,2,100,129,&nbsp;,71,146,123,127.8,1264
127,Trevor Lawrence,19780,trevor-lawrence,JAC,7,QB,14,135,100,&nbsp;,122,130,126,128.0,7523
128,Darnell Mooney,19810,darnell-mooney,NYG,10,WR,52,152,124,&nbsp;,137,122,121,128.6,7090
129,Henry Ruggs III,19207,henry-ruggs,,,WR,53,117,135,&nbsp;,170,127,127,129.0,6789
130,David Johnson,13948,david-johnson-rb,,,RB,42,140,121,&nbsp;,130,125,114,129.8,2391
131,Tony Pollard,18705,tony-pollard,TEN,13,RB,43,158,144,&nbsp;,148,117,116,132.6,5967
132,Mecole Hardman Jr.,18587,mecole-hardman,BUF,7,WR,54,144,125,&nbsp;,164,140,122,132.8,5917
133,DeVante Parker,13897,devante-parker,,,WR,55,146,149,&nbsp;,&nbsp;,116,124,134.2,2319
134,San Francisco 49ers,8270,,,6,DST,6,118,123,&nbsp;,119,156,147,136.8,
135,Baker Mayfield,17237,baker-mayfield,TB,9,QB,15,126,126,&nbsp;,143,153,139,138.6,4892
136,Buffalo Bills,8030,,,7,DST,7,112,119,&nbsp;,125,160,156,139.0,
137,J.D. McKissic,16230,jd-mckissic,,,RB,44,157,162,&nbsp;,196,114,134,139.8,3664
138,Justin Fields,19781,justin-fields,KC,12,QB,16,147,128,&nbsp;,149,139,144,140.8,7591
139,Matt Ryan,9444,matt-ryan,,,QB,17,153,158,&nbsp;,161,126,131,141.8,24
140,Younghoe Koo,16910,younghoe-koo,,,K,3,130,132,&nbsp;,62,171,149,143.2,4666
141,Cole Beasley,11459,cole-beasley,,,WR,56,133,159,&nbsp;,169,138,128,143.8,1144
142,Jakobi Meyers,18598,jakobi-meyers,JAC,7,WR,57,136,152,&nbsp;,219,132,163,145.0,5947
143,Elijah Moore,20114,elijah-moore,PHI,14,WR,58,160,136,&nbsp;,167,149,132,145.6,7596
144,Phillip Lindsay,17498,phillip-lindsay,,,RB,45,155,143,&nbsp;,154,123,197,146.2,5170
