rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
245,Justice Hill,18256,justice-hill,BAL,14,RB,67,&nbsp;,245,210,227.5,5995
246,Cairo Santos,13731,cairo-santos,CHI,7,K,17,205,&nbsp;,252,228.5,2020
247,Minnesota Vikings,8170,,,6,DST,24,222,264,278,254.7,
248,Jake Bates,26075,jake-bates,DET,5,K,18,204,&nbsp;,256,230.0,11539
249,Clyde Edwards-Helaire,19325,clyde-edwards-helaire,,,RB,68,&nbsp;,216,244,230.0,6820
250,Greg Zuerlein,11345,greg-zuerlein,,,K,19,212,&nbsp;,250,231.0,1266
251,Greg Dortch,18585,greg-dortch,DET,5,WR,79,&nbsp;,222,242,232.0,5970
252,Kenneth Gainwell,23310,kenneth-gainwell,TB,11,RB,69,&nbsp;,259,206,232.5,7567
253,Roman Wilson,26160,roman-wilson,,,WR,80,&nbsp;,189,279,234.0,11630
254,Jalen McMillan,23179,jalen-mcmillan,TB,11,WR,81,&nbsp;,230,243,236.5,11618
255,Juwan Johnson,19562,juwan-johnson,NO,12,TE,29,&nbsp;,243,233,238.0,7002
256,Dustin Hopkins,11818,dustin-hopkins,,,K,20,220,&nbsp;,260,240.0,1348
257,Samaje Perine,16423,samaje-perine,CIN,12,RB,70,&nbsp;,304,185,244.5,4147
258,Ja'Tavion Sanders,24334,jatavion-sanders,CAR,11,TE,30,&nbsp;,227,265,246.0,11600
259,Matt Prater,9443,matt-prater,,,K,21,187,&nbsp;,&nbsp;,187.0,17
260,Denver Broncos,8090,,,14,DST,25,226,&nbsp;,268,247.0,
261,Mike Gesicki,17272,mike-gesicki,CIN,12,TE,31,&nbsp;,228,267,247.5,4993
262,Keaton Mitchell,25360,keaton-mitchell,LAC,5,RB,71,&nbsp;,233,263,248.0,9511
263,Dyami Brown,20113,dyami-brown,WAS,14,WR,82,&nbsp;,&nbsp;,190,190.0,7587
264,Jacoby Brissett,15642,jacoby-brissett,ARI,11,QB,34,&nbsp;,&nbsp;,196,196.0,3257
