value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,hwang,year,2022,,WR_vs_TE,WR,TE,710600,26997133,33890647.5,-22.6
ktc,hwang,archetype,2022,2024_1,QB_vs_RB,QB,RB,25200,2680289.3,2048032.4,26.7
ktc,hwang,archetype,2022,2024_1,QB_vs_WR,QB,WR,40000,4464130.1,2637725,51.4
ktc,hwang,archetype,2022,2024_1,QB_vs_TE,QB,TE,11800,1095942.7,651567.1,50.9
ktc,hwang,archetype,2022,2024_1,RB_vs_WR,RB,WR,78200,6410889.2,4612523.3,32.6
ktc,hwang,archetype,2022,2024_1,RB_vs_TE,RB,TE,33400,1853584.8,1823206.8,1.7
ktc,hwang,archetype,2022,2024_1,WR_vs_TE,WR,TE,37400,1764693,2147999.8,-19.6
ktc,hwang,archetype,2022,2024_2,QB_vs_RB,QB,RB,25200,2246650.5,2014311.6,10.9
ktc,hwang,archetype,2022,2024_2,QB_vs_WR,QB,WR,40000,3763192.1,2482333,41
ktc,hwang,archetype,2022,2024_2,QB_vs_TE,QB,TE,11800,887927,672461.2,27.6
ktc,hwang,archetype,2022,2024_2,RB_vs_WR,RB,WR,78200,6270401.9,4352315.3,36.1
ktc,hwang,archetype,2022,2024_2,RB_vs_TE,RB,TE,33400,1802243.7,1873144,-3.9
ktc,hwang,archetype,2022,2024_2,WR_vs_TE,WR,TE,37400,1657485.1,2226127.8,-29.3
ktc,hwang,archetype,2022,2024_3,QB_vs_RB,QB,RB,25200,1993168.8,1975864.8,0.9
ktc,hwang,archetype,2022,2024_3,QB_vs_WR,QB,WR,40000,3238662.4,2677141.8,19
ktc,hwang,archetype,2022,2024_3,QB_vs_TE,QB,TE,11800,787046.2,617760,24.1
ktc,hwang,archetype,2022,2024_3,RB_vs_WR,RB,WR,78200,6179071,4705245,27.1
ktc,hwang,archetype,2022,2024_3,RB_vs_TE,RB,TE,33400,1779842.2,1718406.8,3.5
ktc,hwang,archetype,2022,2024_3,WR_vs_TE,WR,TE,37400,1798539.4,2045017.7,-12.8
ktc,hwang,archetype,2022,2024_4,QB_vs_RB,QB,RB,25200,1572219.8,2193936.9,-33
ktc,hwang,archetype,2022,2024_4,QB_vs_WR,QB,WR,40000,2571997.7,2441851,5.2
ktc,hwang,archetype,2022,2024_4,QB_vs_TE,QB,TE,11800,601269.2,634422.9,-5.4
ktc,hwang,archetype,2022,2024_4,RB_vs_WR,RB,WR,78200,6814750,4273666,45.8
ktc,hwang,archetype,2022,2024_4,RB_vs_TE,RB,TE,33400,1997147.1,1762288.5,12.5
ktc,hwang,archetype,2022,2024_4,WR_vs_TE,WR,TE,37400,1622160.4,2104879.7,-25.9
ktc,hwang,archetype,2022,2024_5,QB_vs_RB,QB,RB,25200,2378493.6,2519734.2,-5.8
ktc,hwang,archetype,2022,2024_5,QB_vs_WR,QB,WR,40000,3949605.4,2915667.1,30.1
ktc,hwang,archetype,2022,2024_5,QB_vs_TE,QB,TE,11800,969550.4,749471.7,25.6
ktc,hwang,archetype,2022,2024_5,RB_vs_WR,RB,WR,78200,7860075.2,5124816.5,42.1
ktc,hwang,archetype,2022,2024_5,RB_vs_TE,RB,TE,33400,2345573.3,2104520.5,10.8
ktc,hwang,archetype,2022,2024_5,WR_vs_TE,WR,TE,37400,1969921.1,2475081.1,-22.7
ktc,hwang,archetype,2022,2024_6,QB_vs_RB,QB,RB,25200,1986093.6,2041431,-2.7
ktc,hwang,archetype,2022,2024_6,QB_vs_WR,QB,WR,40000,3281045.3,2360087.1,32.7
ktc,hwang,archetype,2022,2024_6,QB_vs_TE,QB,TE,11800,801411.5,630974.5,23.8
ktc,hwang,archetype,2022,2024_6,RB_vs_WR,RB,WR,78200,6364795.8,4125746.7,42.7
ktc,hwang,archetype,2022,2024_6,RB_vs_TE,RB,TE,33400,1835681.2,1762238.1,4.1
