value_basis,format,year,archetype_id,archetype_label,build_index,build_total_value,player_id,name,position,pos_rank,value,source_player,season_pts,hvorp,dropped,off_board
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,6843,Albert Okwuegbunam,TE,36,567,Michael Mayer,59.5,26.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,7757,Ben Skowronek,WR,88,0,Keon Coleman,13.3,4.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,7021,Rico Dowdle,RB,65,0,Isiah Pacheco,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,4111,D'Onta Foreman,RB,62,0,Jaylen Wright,76.5,56.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,3976,Mitchell Trubisky,QB,36,354,Geno Smith,7.8,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,7066,K.J. Osborn,WR,97,0,Curtis Samuel,100.4,65,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,4080,Zay Jones,WR,104,0,Rashod Bateman,56.2,32.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,5133,Tyler Conklin,TE,45,0,Daniel Bellinger,106.2,61.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,3634,Kalif Raymond,WR,98,0,Cooper Kupp,67,37.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,6598,Trenton Irwin,WR,103,0,Devaughn Vele,2.5,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,6659,Craig Reynolds,RB,60,0,Devin Singletary,28,20.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,5137,Richie James,WR,102,0,Elijah Moore,0,,1,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,4464,Nick Mullens,QB,45,0,Will Levis,9.9,7.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,7083,Tyler Huntley,QB,46,0,Sam Howell,75.8,70.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,4029,Dalvin Cook,RB,2,7347,Bijan Robinson,164.1,144.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,3198,Derrick Henry,RB,9,6290,James Cook,175.3,159.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,3164,Ezekiel Elliott,RB,14,5770,Breece Hall,196.1,174.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,6814,Laviska Shenault,WR,25,4507,Brian Thomas,57.8,33.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,4892,Baker Mayfield,QB,18,4980,Jared Goff,180.9,159,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,6151,Miles Sanders,RB,21,4583,Derrick Henry,91.2,70.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,6804,Jordan Love,QB,25,3127,Kyler Murray,13.9,11.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,3199,Michael Thomas,WR,31,4034,Christian Watson,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,6826,Cole Kmet,TE,13,2898,George Kittle,84.4,58.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,7567,Kenneth Gainwell,RB,35,2632,Chuba Hubbard,75.7,60.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,2319,DeVante Parker,WR,57,2162,Courtland Sutton,62.3,49.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,6824,Donovan Peoples-Jones,WR,59,1771,Chris Godwin,71.9,57.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,7002,Juwan Johnson,TE,28,1105,Cade Otton,39.4,26.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,5010,Will Dissly,TE,33,665,Michael Mayer,39.6,13.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,4351,Tim Patrick,WR,80,814,Keon Coleman,93.9,71.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,6694,D'Ernest Johnson,RB,61,0,Isiah Pacheco,65.8,58.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,6144,Trayveon Williams,RB,58,223,Jaylen Wright,1.3,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,1373,Geno Smith,QB,37,0,Geno Smith,54.3,46.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,4080,Zay Jones,WR,104,0,Curtis Samuel,56.2,40.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,6598,Trenton Irwin,WR,103,0,Rashod Bateman,2.5,1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,7716,John Bates,TE,42,0,Daniel Bellinger,39.9,26.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,4234,Noah Brown,WR,101,0,Cooper Kupp,18.4,4.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,5137,Richie James,WR,102,0,Devaughn Vele,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,7021,Rico Dowdle,RB,65,0,Devin Singletary,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,7496,Nick Westbrook-Ikhine,WR,100,0,Elijah Moore,55.8,,1,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,19,Joe Flacco,QB,41,0,Will Levis,23.8,14.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,7083,Tyler Huntley,QB,46,0,Sam Howell,75.8,63.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),6,53937,4029,Dalvin Cook,RB,2,7347,Bijan Robinson,164.1,162.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),6,53937,3198,Derrick Henry,RB,9,6290,James Cook,175.3,173.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),6,53937,3164,Ezekiel Elliott,RB,14,5770,Breece Hall,196.1,194.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),6,53937,1352,Robert Woods,WR,28,4277,Brian Thomas,92.2,88.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),6,53937,6768,Tua Tagovailoa,QB,17,5065,Jared Goff,168.8,149.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),6,53937,7543,Travis Etienne,RB,23,4386,Derrick Henry,0,0,0,0
