rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,real_time,avg,sleeper_id
115,Brian Robinson Jr.,20094,brian-robinson-jr,ATL,11,RB,42,87,150,160,118.5,8154
116,Josh Downs,24706,josh-downs,IND,13,WR,45,125,113,98,119,9500
117,Jonathon Brooks,26148,jonathon-brooks,CAR,5,RB,43,169,73,82,121,11583
118,Jayden Reed,23020,jayden-reed,GB,11,WR,46,135,107,97,121,10222
119,Stefon Diggs,13981,stefon-diggs,WAS,7,WR,47,130,112,108,121,2449
120,Bo Nix,22910,bo-nix,DEN,10,QB,14,138,106,106,122,11563
121,Rachaad White,23891,rachaad-white,WAS,7,RB,44,142,105,125,123.5,8136
122,Zach Charbonnet,23152,zach-charbonnet,SEA,11,RB,45,111,136,147,123.5,9753
123,Matthew Stafford,9451,matthew-stafford,LAR,11,QB,15,133,117,113,125,421
124,Brandon Aubrey,26068,brandon-aubrey,DAL,14,K,1,121,131,100,126,11533
125,Hunter Henry,15561,hunter-henry,NE,11,TE,17,98,156,173,127,3214
126,Jonah Coleman,27320,jonah-coleman,DEN,10,RB,46,132,122,149,127,13345
127,Romeo Doubs,23794,romeo-doubs,NE,11,WR,48,131,128,129,129.5,8121
128,Los Angeles Rams DST,8280,,,11,DST,1,124,139,99,131.5,
129,Jared Goff,15501,jared-goff,DET,6,QB,16,155,110,123,132.5,3163
130,Tyjae Spears,25323,tyjae-spears,TEN,9,RB,47,140,126,148,133,9508
131,Tyrone Tracy Jr.,22980,tyrone-tracy-jr,NYG,8,RB,48,122,146,197,134,11655
132,KC Concepcion,27331,kevin-concepcion,CLE,11,WR,49,151,118,115,134.5,13298
133,Mike Washington Jr.,28108,mike-washington-jr,LV,13,RB,49,161,109,128,135,13305
134,Houston Texans DST,8120,,,8,DST,2,129,142,109,135.5,
135,Xavier Worthy,23019,xavier-worthy,KC,5,WR,50,139,137,133,138,11624
136,Emmett Johnson,28107,emmett-johnson,KC,5,RB,50,126,153,170,139.5,13337
137,Dalton Schultz,17349,dalton-schultz,HOU,8,TE,18,106,180,162,143,5001
138,Chris Rodriguez Jr.,22986,chris-rodriguez-jr,JAC,7,RB,51,167,120,122,143.5,10219
139,Jordan Love,19246,jordan-love,GB,11,QB,17,146,141,142,143.5,6804
140,Brenton Strange,25345,brenton-strange,JAC,7,TE,19,114,175,185,144.5,9480
141,Khalil Shakir,23748,khalil-shakir,BUF,7,WR,51,137,152,152,144.5,8134
142,Alvin Kamara,16421,alvin-kamara,NO,8,RB,52,136,157,175,146.5,4035
143,Jalen Coker,26403,jalen-coker,CAR,5,WR,52,153,140,134,146.5,11646
144,Seattle Seahawks DST,8260,,,11,DST,3,134,161,124,147.5,
145,Deebo Samuel Sr.,18244,deebo-samuel,SF,8,WR,53,160,138,146,149,5872
146,Baker Mayfield,17237,baker-mayfield,TB,10,QB,18,168,134,150,151,4892
147,Denver Broncos DST,8090,,,10,DST,4,148,158,119,153,
148,Kenyon Sadiq,26055,kenyon-sadiq,NYJ,13,TE,20,120,189,241,154.5,13330
149,Dylan Sampson,27102,dylan-sampson,CLE,11,RB,53,149,162,177,155.5,12469
150,Malik Willis,23499,malik-willis,MIA,6,QB,19,164,148,163,156,8161
151,T.J. Hockenson,18290,tj-hockenson,MIN,6,TE,21,147,167,188,157,5844
152,Cameron Dicker,23901,cameron-dicker,LAC,7,K,2,150,164,144,157,8259
153,Philadelphia Eagles DST,8230,,,10,DST,5,143,172,136,157.5,
154,Tyler Shough,23096,tyler-shough,NO,8,QB,20,174,143,186,158.5,12545
155,Kyler Murray,18600,kyler-murray,MIN,6,QB,21,186,133,132,159.5,5849
156,Keaton Mitchell,25360,keaton-mitchell,LAC,7,RB,54,176,144,141,160,9511
157,Matthew Golden,26024,matthew-golden,GB,11,WR,54,194,130,118,162,12501
158,Tank Bigsby,22908,tank-bigsby,PHI,10,RB,55,173,151,154,162,9225
159,Braelon Allen,24346,braelon-allen,NYJ,13,RB,56,156,169,168,162.5,11576
160,Chig Okonkwo,23982,chigoziem-okonkwo,WAS,7,TE,22,158,170,167,164,8210
161,Oronde Gadsden II,25997,oronde-gadsden-ii,LAC,7,TE,23,90,242,211,166,12493
162,Rashid Shaheed,24687,rashid-shaheed,SEA,11,WR,55,197,135,143,166,8676
163,Jauan Jennings,19590,jauan-jennings,MIN,6,WR,56,141,192,236,166.5,7049
164,Jason Myers,14003,jason-myers,SEA,11,K,3,154,182,139,168,2747
165,Terrance Ferguson,23091,terrance-ferguson,LAR,11,TE,24,166,174,172,170,12487
166,Kayshon Boutte,22989,kayshon-boutte,HOU,8,WR,57,200,149,181,174.5,9504
167,Ka'imi Fairbairn,15756,kaimi-fairbairn,HOU,8,K,4,190,168,137,179,3451
168,Cam Little,26475,cam-little,JAC,7,K,5,183,176,153,179.5,11786
169,Denzel Boston,27339,denzel-boston,CLE,11,WR,58,182,177,165,179.5,13346
170,Sam Darnold,17236,sam-darnold,SEA,11,QB,22,206,154,171,180,4943
171,David Njoku,16399,david-njoku,LAC,7,TE,25,152,210,204,181,4033
172,MarShawn Lloyd,23118,marshawn-lloyd,GB,11,RB,57,,67,71,67,11581
173,Ja'Kobi Lane,27337,jakobi-lane,BAL,13,WR,59,205,160,164,182.5,13293
174,C.J. Stroud,23071,cj-stroud,HOU,8,QB,23,202,163,184,182.5,9758
175,James Conner,16447,james-conner,ARI,14,RB,58,99,272,202,185.5,4137
176,De'Zhaun Stribling,28138,dezhaun-stribling,SF,8,WR,60,271,100,96,185.5,13417
177,New England Patriots DST,8180,,,11,DST,6,171,200,151,185.5,
178,Omar Cooper Jr.,28127,omar-cooper-jr,NYJ,13,WR,61,178,197,261,187.5,13276
179,Baltimore Ravens DST,8020,,,13,DST,7,162,220,157,191,
180,Kimani Vidal,26355,kimani-vidal,LAC,7,RB,59,165,218,235,191.5,11647
181,Ray Davis,26191,ray-davis,BUF,7,RB,60,204,181,176,192.5,11575
182,Isiah Pacheco,24333,isiah-pacheco,DET,6,RB,61,180,208,232,194,8205
183,Minnesota Vikings DST,8170,,,6,DST,8,185,203,155,194,
184,AJ Barner,26335,aj-barner,SEA,11,TE,26,144,245,182,194.5,11603
185,Jerry Jeudy,19201,jerry-jeudy,CLE,11,WR,62,195,195,213,195,6783
186,Tre Tucker,25337,tre-tucker,LV,13,WR,63,232,159,166,195.5,10213
187,Jalen McMillan,23179,jalen-mcmillan,TB,10,WR,64,201,193,195,197,11618
188,Tyler Loop,27534,tyler-loop,BAL,13,K,6,177,221,180,199,12711
189,Jacksonville Jaguars DST,8140,,,7,DST,9,209,190,158,199.5,
190,Kaleb Johnson,27165,kaleb-johnson-rb,GB,11,RB,62,212,188,216,200,12504
191,Harrison Mevis,26638,harrison-mevis,LAR,11,K,7,184,217,156,200.5,12015
192,Adonai Mitchell,24357,adonai-mitchell,NYJ,13,WR,65,198,209,187,203.5,11625
193,Colby Parkinson,19372,colby-parkinson,LAR,11,TE,27,157,253,226,205,6865
194,Cam Ward,24755,cam-ward,TEN,9,QB,24,239,171,217,205,12522
195,Cade Otton,23181,cade-otton,TB,10,TE,28,175,235,203,205,8111
196,Sean Tucker,23679,sean-tucker,TB,10,RB,63,187,223,268,205,9506
197,Daniel Jones,18232,daniel-jones,IND,13,QB,25,247,165,190,206,5870
198,Bryce Young,22900,bryce-young,CAR,5,QB,26,249,166,231,207.5,9228
199,Harrison Butker,16712,harrison-butker,KC,5,K,8,188,227,196,207.5,4227
200,Fernando Mendoza,28013,fernando-mendoza,LV,13,QB,27,233,187,207,210,13269
201,Pittsburgh Steelers DST,8240,,,9,DST,10,221,199,161,210,
202,Makai Lemon,25420,makai-lemon,PHI,10,WR,66,,125,120,125,13294
203,Kaytron Allen,24362,kaytron-allen,WAS,7,RB,64,191,232,214,211.5,13405
204,Najee Harris,19302,najee-harris-rb,NYG,8,RB,65,208,215,206,211.5,7528
205,Trey Benson,25388,trey-benson,ARI,14,RB,66,128,,,128,11589
206,Tyreek Hill,15802,tyreek-hill,,,WR,67,172,252,245,212,3321
207,Jake Bates,26075,jake-bates,DET,6,K,9,217,207,174,212,11539
208,Gunnar Helm,27109,gunnar-helm,TEN,9,TE,29,181,246,253,213.5,12502
209,Tre' Harris,26215,tre-harris,LAC,7,WR,68,222,205,229,213.5,12509
210,Nicholas Singleton,24343,nick-singleton,TEN,9,RB,67,203,226,249,214.5,13288
211,Jacoby Brissett,15642,jacoby-brissett,ARI,14,QB,28,258,173,209,215.5,3257
212,Jalen Nailor,24177,jalen-nailor,LV,13,WR,69,248,183,193,215.5,8180
213,Andy Borregales,27291,andres-borregales,NE,11,K,10,192,239,266,215.5,12713
214,Pat Bryant,27211,pat-bryant,DEN,10,WR,70,211,224,205,217.5,12492
215,Jaylen Wright,25987,jaylen-wright,MIA,6,RB,68,213,228,250,220.5,11643
216,Calvin Ridley,17258,calvin-ridley,TEN,9,WR,71,225,216,215,220.5,4981
217,Chris Bell,26038,chris-bell,MIA,6,WR,72,256,186,238,221,13311
218,Kaelon Black,28401,kaelon-black,SF,8,RB,69,,147,159,147,13414
219,Detroit Lions DST,8100,,,6,DST,11,193,250,179,221.5,
220,Eddy Pineiro,17575,eddy-pineiro,SF,8,K,11,223,225,169,224,5189
221,Dontayvion Wicks,24354,dontayvion-wicks,PHI,10,WR,73,,155,178,155,9486
222,Chris Boswell,13029,chris-boswell,PIT,9,K,12,179,273,200,226,1945
223,Keenan Allen,11616,keenan-allen,IND,13,WR,74,260,194,183,227,1479
224,Mason Taylor,26005,mason-taylor,NYJ,13,TE,30,159,,,159,12498
225,Los Angeles Chargers DST,8250,,,7,DST,12,242,214,189,228,
226,Eli Stowers,23144,eli-stowers,PHI,10,TE,31,163,,,163,13349
227,Will Reichard,26341,will-reichard,MIN,6,K,13,214,247,191,230.5,11792
228,Michael Penix Jr.,22973,michael-penix-jr,ATL,11,QB,29,278,184,252,231,11559
229,Emanuel Wilson,25885,emanuel-wilson,SEA,11,RB,70,196,268,,232,11435
230,Theo Johnson,23104,theo-johnson,NYG,8,TE,32,170,,,170,11597
231,Aaron Rodgers,9001,aaron-rodgers,PIT,9,QB,30,,178,247,178,96
232,Malachi Fields,27994,malachi-fields,NYG,8,WR,75,268,206,239,237,13285
233,Geno Smith,11687,geno-smith,NYJ,13,QB,31,,179,219,179,1373
234,Wil Lutz,16026,wil-lutz,DEN,10,K,14,219,257,233,238,3678
235,Antonio Williams,25418,antonio-williams-wr,WAS,7,WR,76,189,289,257,239,13301
236,Ted Hurst III,28130,ted-hurst,TB,10,WR,77,246,233,244,239.5,13317
237,Justice Hill,18256,justice-hill,BAL,13,RB,71,,185,269,185,5995
238,New York Giants DST,8200,,,8,DST,13,235,248,275,241.5,
239,Tua Tagovailoa,19198,tua-tagovailoa,ATL,11,QB,32,282,202,,242,6768
240,Malik Davis,24205,malik-davis,DAL,14,RB,72,,191,223,191,8800
241,Isaac TeSlaa,27446,isaac-teslaa,DET,6,WR,78,228,259,271,243.5,12535
242,Ryan Flournoy,26398,ryan-flournoy,DAL,14,WR,79,250,238,198,244,11783
243,Green Bay Packers DST,8110,,,11,DST,14,253,236,210,244.5,
244,Demond Claiborne,28084,demond-claiborne,MIN,6,RB,73,216,274,248,245,13347
245,Dallas Cowboys DST,8080,,,14,DST,15,254,237,230,245.5,
246,Malik Washington,26314,malik-washington,MIA,6,WR,80,,196,199,196,11610
247,George Holani,22915,george-holani,SEA,11,RB,74,,198,251,198,12048
248,Zachariah Branch,25419,zachariah-branch,ATL,11,WR,81,230,264,224,247,13320
249,Joe Mixon,16420,joe-mixon,,,RB,75,199,,,199,4018
250,Shedeur Sanders,25968,shedeur-sanders,CLE,11,QB,33,276,219,,247.5,12524
251,Deshaun Watson,16398,deshaun-watson,CLE,11,QB,34,,201,,201,4017
252,Jake Tonges,24778,jake-tonges,SF,8,TE,33,220,277,,248.5,8698
253,Kansas City Chiefs DST,8150,,,5,DST,16,227,270,222,248.5,
254,Devaughn Vele,26409,devaughn-vele,NO,8,WR,82,266,231,221,248.5,11834
255,Cairo Santos,13731,cairo-santos,CHI,10,K,15,238,261,227,249.5,2020
256,Austin Ekeler,16483,austin-ekeler,,,RB,76,,204,,204,4663
257,Chase McLaughlin,19058,chase-mclaughlin,TB,10,K,16,251,249,218,250,6650
258,Devin Neal,23682,devin-neal,,,RB,77,207,,,207,12476
259,Troy Franklin,23092,troy-franklin,DEN,10,WR,83,210,,,210,11627
260,Cyrus Allen,28424,cyrus-allen,KC,5,WR,84,,211,201,211,13413
261,Caleb Douglas,28135,caleb-douglas,MIA,6,WR,85,,212,225,212,13296
262,Kirk Cousins,11177,kirk-cousins,LV,13,QB,35,,213,,213,1166
263,Tank Dell,25361,nathaniel-dell,HOU,8,WR,86,231,278,277,254.5,9502
264,Chimere Dike,27315,chimere-dike,TEN,9,WR,87,215,,273,215,12540
265,Brandon Aiyuk,19252,brandon-aiyuk,SF,8,WR,88,218,,,218,6803
266,Keon Coleman,26019,keon-coleman,BUF,7,WR,89,261,255,270,258,11637
267,Jaylin Noel,27122,jaylin-noel,HOU,8,WR,90,237,280,265,258.5,12536
268,Buffalo Bills DST,8030,,,7,DST,17,273,244,228,258.5,
269,Evan McPherson,23297,evan-mcpherson,CIN,6,K,17,263,254,212,258.5,7839
270,Carson Beck,22953,carson-beck,ARI,14,QB,36,,222,,222,13272
271,Kendre Miller,24360,kendre-miller,NO,8,RB,78,224,,237,224,9757
272,Brashard Smith,27259,brashard-smith,KC,5,RB,79,226,,,226,12455
273,Greg Dulcich,23153,greg-dulcich,MIA,6,TE,34,,229,240,229,8172
274,Elic Ayomanor,27059,elic-ayomanor,TEN,9,WR,91,229,,,229,12499
275,Pat Freiermuth,20163,pat-freiermuth,PIT,9,TE,35,,230,272,230,7600
276,Jaydon Blue,24344,jaydon-blue,PHI,10,RB,80,234,,,234,12457
277,Chris Brooks,25823,christopher-brooks,GB,11,RB,81,,234,276,234,11370
278,Germie Bernard,26039,germie-bernard,PIT,9,WR,92,243,288,255,265.5,13274
279,Audric Estime,23054,audric-estime,NO,8,RB,82,236,,,236,11579
280,Evan Engram,16411,evan-engram,DEN,10,TE,36,,240,,240,4066
281,Jarquez Hunter,24335,jarquez-hunter,,,RB,83,240,,,240,11569
282,Marvin Mims Jr.,23080,marvin-mims,DEN,10,WR,93,241,,,241,9494
283,Jalen Tolbert,23770,jalen-tolbert,MIA,6,WR,94,,241,,241,8117
284,Trey Smack,28507,trey-smack,GB,11,K,18,,243,208,243,13545
285,Darnell Mooney,19810,darnell-mooney,NYG,8,WR,95,244,,,244,7090
286,Kyle Williams,27487,kyle-williams-wr-2025,NE,11,WR,96,245,,,245,12547
287,Rashod Bateman,19794,rashod-bateman,BAL,13,WR,97,257,284,254,270.5,7571
288,Chicago Bears DST,8050,,,10,DST,18,259,285,267,272,
289,Mike Gesicki,17272,mike-gesicki,CIN,6,TE,37,,251,,251,4993
290,Tory Horton,26022,tory-horton,SEA,11,WR,98,252,,,252,12497
291,Cooper Kupp,16433,cooper-kupp,SEA,11,WR,99,262,287,260,274.5,4039
292,Elijah Sarratt,27463,elijah-sarratt,BAL,13,WR,100,255,,,255,13268
293,San Francisco 49ers DST,8270,,,8,DST,19,265,286,192,275.5,
294,Seth McGowan,23079,seth-mcgowan,IND,13,RB,84,,256,262,256,13424
295,Skyler Bell,28126,skyler-bell,BUF,7,WR,101,,258,,258,13402
296,Samaje Perine,16423,samaje-perine,CIN,6,RB,85,,260,234,260,4147
297,Tyler Bass,19760,tyler-bass,BUF,7,K,19,294,262,274,278,7042
298,Jack Bech,27224,jack-bech,LV,13,WR,102,264,292,,278,12483
299,Dominic Zvada,28176,dominic-zvada,NYG,8,K,20,,263,,263,13833
300,Jacob Saylors,25693,jacob-saylors,DET,6,RB,86,,265,246,265,11237
301,Darren Waller,14104,darren-waller,CAR,5,TE,38,,266,242,266,2505
302,Christian Kirk,17268,christian-kirk,SF,8,WR,103,267,,,267,4950
303,Travis Hunter,26034,travis-hunter,JAC,7,WR,104,,267,194,267,
304,Jordan James,27310,jordan-james,SF,8,RB,87,,269,263,269,12467
305,Max Klare,27993,max-klare,LAR,11,TE,39,269,,,269,13278
306,Michael Trigg,23167,michael-trigg,DAL,14,TE,40,270,,,270,13401
307,Bryce Lance,28129,bryce-lance,NO,8,WR,105,,271,,271,13420
308,Indianapolis Colts DST,8130,,,13,DST,20,272,,,272,
309,Atlanta Falcons DST,8010,,,11,DST,21,274,,,274,
310,Ty Johnson,18406,ty-johnson,BUF,7,RB,88,,275,,275,6039
311,J.J. McCarthy,23018,jj-mccarthy,MIN,6,QB,37,275,,,275,11565
312,Cleveland Browns DST,8070,,,11,DST,22,289,282,258,285.5,
313,LeQuint Allen Jr.,27285,lequint-allen-jr,JAC,7,RB,89,,276,,276,12544
314,Tampa Bay Buccaneers DST,8290,,,10,DST,23,277,,,277,
315,Jake Elliott,16540,jake-elliott,PHI,10,K,21,279,,264,279,4195
316,Devin Singletary,18280,devin-singletary,NYG,8,RB,90,,279,,279,6130
317,Carolina Panthers DST,8040,,,5,DST,24,280,,,280,
318,Cincinnati Bengals DST,8060,,,6,DST,25,281,,,281,
319,Ollie Gordon II,25984,ollie-gordon,MIA,6,RB,91,,281,,281,12495
320,Matt Gay,18545,matt-gay,LV,13,K,22,283,,,283,6083
321,Emari Demercado,25654,emari-demercado,DAL,14,RB,92,,283,,283,11199
322,New Orleans Saints DST,8190,,,8,DST,26,284,,,284,
323,Tennessee Titans DST,8300,,,9,DST,27,290,290,256,290,
