year,name,position,team,sleeper_id,overall_rank,bb_avg_adp,bb_stack_rank,bb_eff_rank,half_stack_rank,std_stack_rank,scoring_rank_shift,hwang_eff_rank,hwang_adjusted_adp,hwang_pos_rank,adp_delta,adp_source,scoring_source
2026,Jordan Mason,RB,MIN,8408,91,90.8,35,34.44,37,37,0,35.0,90.8,35,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Quentin Johnston,WR,LAC,9754,92,78.4,35,35.0,39,43,4,39.0,92.6,39,14.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jakobi Meyers,WR,JAC,5947,93,125.2,52,51.62,52,40,-12,39.62,93.0,40,-32.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Michael Pittman Jr.,WR,PIT,6819,94,100.8,43,44.0,46,44,-2,42.0,97.6,41,-3.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Alec Pierce,WR,IND,8142,95,96.2,41,41.36,38,39,1,42.36,98.8,42,2.6,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,George Kittle,TE,SF,4217,96,99.0,9,9.09,,,,9.0,99.0,9,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Josh Downs,WR,IND,9500,97,97.6,42,41.61,44,45,1,42.61,99.6,43,2.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Kyle Monangai,RB,CHI,12534,98,117.8,40,40.74,39,36,-3,37.74,100.8,36,-17.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jordan Addison,WR,MIN,9756,99,102.4,46,45.34,43,42,-1,44.34,100.9,44,-1.5,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Romeo Doubs,WR,NE,8121,100,120.4,50,50.55,55,49,-6,44.55,100.9,45,-19.5,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jayden Reed,WR,GB,10222,101,92.6,39,39.89,41,46,5,44.89,101.0,46,8.4,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Chuba Hubbard,RB,CAR,7594,102,101.4,38,39.0,33,33,0,38.0,101.4,37,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,J.K. Dobbins,RB,DEN,6806,103,99.0,37,37.14,34,35,1,38.14,101.4,38,2.4,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
