year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_rb1_qb_stack,any_qb_rb_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_rb1_name,roster_rb1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),24,single,single,1,0,1,2467.2,26.14,56251,CIN,Joe Burrow/Joe Mixon (CIN),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),24,multi,multi,2,0,1,2348.2,29.53,56335,CIN|CHI,Joe Burrow/Joe Mixon (CIN); Justin Fields/David Montgomery (CHI),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),25,natural,none,0,0,1,2108.2,22.39,53362,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),25,none,none,0,0,1,2108.2,22.39,53362,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),25,single,single,1,1,1,2105.9,24.31,53476,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),25,multi,multi,2,1,1,2055.7,25.9,55010,MIN|SF,Kirk Cousins/Dalvin Cook (MIN); Trey Lance/Raheem Mostert (SF),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),26,natural,none,0,0,1,2470.8,21.27,54805,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),26,none,none,0,0,1,2470.8,21.27,54805,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),26,single,single,1,1,1,2472.4,20.28,54919,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),26,multi,multi,2,1,1,2430.3,19.22,54932,MIN|WAS,Kirk Cousins/Dalvin Cook (MIN); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),27,natural,none,0,0,0,2145,30.29,57586,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),27,none,none,0,0,0,2145,30.29,57586,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),27,single,single,1,0,1,2260.6,25.96,57767,CIN,Joe Burrow/Joe Mixon (CIN),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),27,multi,multi,2,0,1,2265.8,27.45,57776,CIN|WAS,Joe Burrow/Joe Mixon (CIN); Taylor Heinicke/Antonio Gibson (WAS),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),28,natural,none,0,0,1,2172.2,27.59,54344,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),28,none,none,0,0,1,2172.2,27.59,54344,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),28,single,single,1,1,1,2233.2,27.59,52278,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),28,multi,multi,2,1,1,2070.2,28.84,54386,MIN|SF,Kirk Cousins/Dalvin Cook (MIN); Trey Lance/Raheem Mostert (SF),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),29,natural,none,0,0,0,2025,23.16,55904,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),29,none,none,0,0,0,2025,23.16,55904,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),29,single,single,1,0,1,2155.9,21.65,56085,CIN,Joe Burrow/Joe Mixon (CIN),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),29,multi,multi,2,0,1,2220,22.57,56103,CIN|WAS,Joe Burrow/Joe Mixon (CIN); Taylor Heinicke/Antonio Gibson (WAS),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),30,natural,multi,2,1,1,2500.3,27.12,54707,MIN|WAS,Kirk Cousins/Dalvin Cook (MIN); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),30,none,none,0,0,1,2461,29.68,54568,,,Ezekiel Elliott,DAL
2021,2024_1,2024 #1 — Let James Cook (16-2),30,single,single,1,1,1,2450.6,27.08,55078,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),30,multi,multi,2,1,1,2500.3,27.12,54707,MIN|WAS,Kirk Cousins/Dalvin Cook (MIN); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),31,natural,single,1,0,1,1825.5,27.81,55498,SF,Trey Lance/Raheem Mostert (SF),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),31,none,none,0,0,0,1941.1,27.57,54894,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),31,single,single,1,0,1,1825.5,27.81,55498,SF,Trey Lance/Raheem Mostert (SF),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),31,multi,multi,2,0,1,1787.7,27.24,55785,CHI|SF,Justin Fields/David Montgomery (CHI); Trey Lance/Raheem Mostert (SF),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),32,natural,single,1,0,1,2046.1,22.68,53788,WAS,Taylor Heinicke/Antonio Gibson (WAS),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),32,none,none,0,0,0,2096.3,23.3,53775,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),32,single,single,1,0,1,2046.1,22.68,53788,WAS,Taylor Heinicke/Antonio Gibson (WAS),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),32,multi,multi,2,1,1,2040.6,22.46,53902,MIN|WAS,Kirk Cousins/Dalvin Cook (MIN); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),33,natural,none,0,0,0,2131.4,28,53492,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),33,none,none,0,0,0,2131.4,28,53492,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),33,single,single,1,0,1,2169.4,28.06,53255,CHI,Justin Fields/David Montgomery (CHI),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),33,multi,multi,2,1,1,2260,25.37,54013,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),34,natural,single,1,0,1,2070.7,24.45,55947,WAS,Taylor Heinicke/Antonio Gibson (WAS),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),34,none,none,0,0,0,2117.8,25,55934,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),34,single,single,1,0,1,2070.7,24.45,55947,WAS,Taylor Heinicke/Antonio Gibson (WAS),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),34,multi,multi,2,1,1,2074.1,25.25,56061,MIN|WAS,Kirk Cousins/Dalvin Cook (MIN); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),35,natural,none,0,0,0,2123.1,22.46,53577,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),35,none,none,0,0,0,2123.1,22.46,53577,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),35,single,single,1,0,1,2256.3,25.82,53758,CIN,Joe Burrow/Joe Mixon (CIN),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),35,multi,multi,2,1,1,2158.3,30.76,53633,CIN|NO,Joe Burrow/Joe Mixon (CIN); Jameis Winston/Alvin Kamara (NO),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),36,natural,none,0,0,0,2157.1,30.29,54144,,,Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),36,none,none,0,0,0,2157.1,30.29,54144,,,Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),36,single,single,1,0,1,2287.5,25.71,54325,CIN,Joe Burrow/Joe Mixon (CIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),36,multi,multi,2,1,1,2331.2,29.3,55931,CIN|MIN,Joe Burrow/Joe Mixon (CIN); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),37,natural,none,0,0,0,1869.2,20.77,57226,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),37,none,none,0,0,0,1869.2,20.77,57226,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),37,single,single,1,0,1,1914.2,20.85,56989,CHI,Justin Fields/David Montgomery (CHI),Christian McCaffrey,CAR
