value_basis,format,year,player_id,name,position,value,season_pts
ktc,hwang,2022,5012,Mark Andrews,TE,6461,154
ktc,hwang,2022,6786,CeeDee Lamb,WR,6443,183.4
ktc,hwang,2022,6790,D'Andre Swift,RB,6374,134.5
ktc,hwang,2022,7528,Najee Harris,RB,6308,169.5
ktc,hwang,2022,7588,Javonte Williams,RB,6230,26
ktc,hwang,2022,4039,Cooper Kupp,WR,6111,126.4
ktc,hwang,2022,4034,Christian McCaffrey,RB,6079,257.5
ktc,hwang,2022,6904,Jalen Hurts,QB,6055,369.6
ktc,hwang,2022,7610,Trey Lance,QB,5965,12.5
ktc,hwang,2022,2449,Stefon Diggs,WR,5724,194.8
ktc,hwang,2022,6801,Tee Higgins,WR,5658,147.5
ktc,hwang,2022,3294,Dak Prescott,QB,5611,189.9
ktc,hwang,2022,5859,A.J. Brown,WR,5601,202.1
ktc,hwang,2022,1234,Russell Wilson,QB,5493,201.6
ktc,hwang,2022,4663,Austin Ekeler,RB,5469,260.7
ktc,hwang,2022,5872,Deebo Samuel,WR,5435,110
ktc,hwang,2022,8155,Breece Hall,RB,5420,96.1
ktc,hwang,2022,6819,Michael Pittman,WR,5419,108.5
ktc,hwang,2022,7526,Jaylen Waddle,WR,5386,178.9
ktc,hwang,2022,7523,Trevor Lawrence,QB,5350,285.4
ktc,hwang,2022,2133,Davante Adams,WR,5322,228.2
ktc,hwang,2022,4018,Joe Mixon,RB,5319,167.9
ktc,hwang,2022,4029,Dalvin Cook,RB,5209,197.1
ktc,hwang,2022,4866,Saquon Barkley,RB,5192,227
ktc,hwang,2022,1466,Travis Kelce,TE,5150,254.5
ktc,hwang,2022,7543,Travis Etienne,RB,5100,166.7
ktc,hwang,2022,5846,DK Metcalf,WR,5087,132.8
ktc,hwang,2022,8112,Drake London,WR,4972,94.6
ktc,hwang,2022,4983,D.J. Moore,WR,4961,135.1
ktc,hwang,2022,3321,Tyreek Hill,WR,4932,225.9
ktc,hwang,2022,4217,George Kittle,TE,4920,153.6
ktc,hwang,2022,4035,Alvin Kamara,RB,4859,143.7
ktc,hwang,2022,4017,Deshaun Watson,QB,4831,68
ktc,hwang,2022,4988,Nick Chubb,RB,4771,236.2
ktc,hwang,2022,3198,Derrick Henry,RB,4752,257
ktc,hwang,2022,6828,AJ Dillon,RB,4703,136.3
ktc,hwang,2022,7591,Justin Fields,QB,4699,296
ktc,hwang,2022,5045,Courtland Sutton,WR,4697,86.1
ktc,hwang,2022,8144,Chris Olave,WR,4631,116.2
ktc,hwang,2022,7571,Rashod Bateman,WR,4618,38.5
ktc,hwang,2022,4199,Aaron Jones,RB,4615,184.8
ktc,hwang,2022,5844,T.J. Hockenson,TE,4612,170.3
ktc,hwang,2022,5937,Diontae Johnson,WR,4608,88.9
ktc,hwang,2022,7596,Elijah Moore,WR,4598,50
ktc,hwang,2022,4037,Chris Godwin,WR,4591,115.3
ktc,hwang,2022,6806,J.K. Dobbins,RB,4581,74.2
ktc,hwang,2022,7525,DeVonta Smith,WR,4562,152.9
ktc,hwang,2022,8148,Jameson Williams,WR,4551,14.1
ktc,hwang,2022,5927,Terry McLaurin,WR,4545,138.6
ktc,hwang,2022,2216,Mike Evans,WR,4534,148.4
ktc,hwang,2022,421,Matthew Stafford,QB,4531,108.4
ktc,hwang,2022,5848,Marquise Brown,WR,4522,88.3
ktc,hwang,2022,7547,Amon-Ra St. Brown,WR,4517,156.7
ktc,hwang,2022,4068,Mike Williams,WR,4495,110.3
ktc,hwang,2022,8151,Kenneth Walker III,RB,4492,163.1
ktc,hwang,2022,8137,George Pickens,WR,4489,101.3
ktc,hwang,2022,2028,Derek Carr,QB,4478,219.1
ktc,hwang,2022,2505,Darren Waller,TE,4425,66.3
ktc,hwang,2022,6783,Jerry Jeudy,WR,4423,117.9
ktc,hwang,2022,8129,Dameon Pierce,RB,4411,136.4
ktc,hwang,2022,8146,Garrett Wilson,WR,4385,123.8
ktc,hwang,2022,6943,Gabriel Davis,WR,4380,119.7
ktc,hwang,2022,6768,Tua Tagovailoa,QB,4370,230.9
ktc,hwang,2022,8135,Treylon Burks,WR,4353,59.2
ktc,hwang,2022,7090,Darnell Mooney,WR,4324,61.5
ktc,hwang,2022,96,Aaron Rodgers,QB,4313,228
ktc,hwang,2022,7527,Mac Jones,QB,4214,153.9
ktc,hwang,2022,6938,Cam Akers,RB,4141,115.5
ktc,hwang,2022,6803,Brandon Aiyuk,WR,4132,143.9
ktc,hwang,2022,8160,Kenny Pickett,QB,4129,136
ktc,hwang,2022,1479,Keenan Allen,WR,4103,75.8
ktc,hwang,2022,5001,Dalton Schultz,TE,4008,108.9
ktc,hwang,2022,7561,Elijah Mitchell,RB,3930,23.1
ktc,hwang,2022,4040,JuJu Smith-Schuster,WR,3929,103.8
ktc,hwang,2022,7600,Pat Freiermuth,TE,3928,116.7
ktc,hwang,2022,8168,Skyy Moore,WR,3843,21.4
ktc,hwang,2022,5022,Dallas Goedert,TE,3794,106.1
ktc,hwang,2022,5892,David Montgomery,RB,3746,141.6
ktc,hwang,2022,4137,James Conner,RB,3730,154.2
ktc,hwang,2022,8119,Jahan Dotson,WR,3712,88.4
ktc,hwang,2022,1166,Kirk Cousins,QB,3710,278.6
ktc,hwang,2022,7538,Zach Wilson,QB,3699,97.9
ktc,hwang,2022,7611,Rhamondre Stevenson,RB,3698,171.9
ktc,hwang,2022,3164,Ezekiel Elliott,RB,3694,167.8
ktc,hwang,2022,8138,James Cook,RB,3633,81.4
ktc,hwang,2022,5955,Hunter Renfrow,WR,3607,30.7
ktc,hwang,2022,5967,Tony Pollard,RB,3591,207.9
ktc,hwang,2022,2197,Brandin Cooks,WR,3555,72
ktc,hwang,2022,6826,Cole Kmet,TE,3546,108.6
ktc,hwang,2022,4950,Christian Kirk,WR,3512,142
ktc,hwang,2022,7606,Kadarius Toney,WR,3433,30.9
ktc,hwang,2022,5850,Josh Jacobs,RB,3390,270.3
ktc,hwang,2022,8161,Malik Willis,QB,3325,19.3
ktc,hwang,2022,5906,Dawson Knox,TE,3312,103.4
ktc,hwang,2022,2306,Jameis Winston,QB,3239,43.9
ktc,hwang,2022,5000,Chase Edmonds,RB,3215,53.7
ktc,hwang,2022,6820,Clyde Edwards-Helaire,RB,3202,81.3
ktc,hwang,2022,2309,Amari Cooper,WR,3181,162.9
ktc,hwang,2022,4098,Kareem Hunt,RB,3180,89
ktc,hwang,2022,7585,Davis Mills,QB,3173,159
ktc,hwang,2022,1426,DeAndre Hopkins,WR,3162,87.7
ktc,hwang,2022,3199,Michael Thomas,WR,3142,35.1
ktc,hwang,2022,8167,Christian Watson,WR,3117,111.5
ktc,hwang,2022,8154,Brian Robinson,RB,3057,103.7
ktc,hwang,2022,6886,Chase Claypool,WR,3044,56.1
ktc,hwang,2022,6945,Antonio Gibson,RB,3038,119.9
ktc,hwang,2022,5185,Allen Lazard,WR,3032,104.7
ktc,hwang,2022,4892,Baker Mayfield,QB,3024,115.9
ktc,hwang,2022,7601,Rondale Moore,WR,2897,46.9
ktc,hwang,2022,8142,Alec Pierce,WR,2882,67.1
ktc,hwang,2022,4985,Rashaad Penny,RB,2878,48.2
ktc,hwang,2022,8136,Rachaad White,RB,2869,87.6
ktc,hwang,2022,5038,Michael Gallup,WR,2854,65.4
ktc,hwang,2022,8121,Romeo Doubs,WR,2800,59.6
ktc,hwang,2022,8130,Trey McBride,TE,2793,41.4
ktc,hwang,2022,6151,Miles Sanders,RB,2791,193.4
