value_basis,format,year,archetype_id,archetype_label,build_index,build_total_value,player_id,name,position,pos_rank,value,source_player,season_pts,hvorp,dropped,off_board
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,5133,Tyler Conklin,TE,45,0,Daniel Bellinger,106.2,70.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,3634,Kalif Raymond,WR,98,0,Cooper Kupp,67,41.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,6598,Trenton Irwin,WR,103,0,Devaughn Vele,2.5,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,5137,Richie James,WR,102,0,Elijah Moore,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,6659,Craig Reynolds,RB,60,0,Devin Singletary,28,20.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,7083,Tyler Huntley,QB,46,0,Will Levis,75.8,68.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,4464,Nick Mullens,QB,45,0,Sam Howell,9.9,7.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,4029,Dalvin Cook,RB,2,7347,Bijan Robinson,164.1,145.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,3198,Derrick Henry,RB,9,6290,James Cook,175.3,157.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,4663,Austin Ekeler,RB,13,5923,Breece Hall,249.9,228,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,6814,Laviska Shenault,WR,25,4507,Brian Thomas,57.8,31.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,4892,Baker Mayfield,QB,18,4980,Jared Goff,180.9,146.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,6151,Miles Sanders,RB,21,4583,Derrick Henry,91.2,73,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,6804,Jordan Love,QB,25,3127,Kyler Murray,13.9,4.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,1352,Robert Woods,WR,28,4277,Christian Watson,92.2,73.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,6826,Cole Kmet,TE,13,2898,George Kittle,84.4,64.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,7567,Kenneth Gainwell,RB,35,2632,Chuba Hubbard,75.7,55.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,2319,DeVante Parker,WR,57,2162,Courtland Sutton,62.3,42.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,6824,Donovan Peoples-Jones,WR,59,1771,Chris Godwin,71.9,58.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,7568,Brevin Jordan,TE,30,1074,Cade Otton,45.8,32.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,5985,Foster Moreau,TE,38,436,Michael Mayer,64.3,50.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,54956,4351,Tim Patrick,WR,80,814,Keon Coleman,93.9,66.9,0,0
