value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total,removal_pairs
ktc,hwang,2021,2024_2,2197,94.5,93.9,1000,2000,3437
ktc,hwang,2021,2024_2,2319,37.3,37,1000,2000,3437
ktc,hwang,2021,2024_2,2749,0.5,0.5,1000,2000,3437
ktc,hwang,2021,2024_2,3163,88.7,87.9,1000,2000,3437
ktc,hwang,2021,2024_2,3164,163.1,162.3,1000,2000,3437
ktc,hwang,2021,2024_2,3225,74.7,74.2,1000,2000,3437
ktc,hwang,2021,2024_2,3286,19.9,19.7,1000,2000,3437
ktc,hwang,2021,2024_2,3321,146.7,146.2,1000,2000,3437
ktc,hwang,2021,2024_2,3634,37.8,37.5,1000,2000,3437
ktc,hwang,2021,2024_2,4018,213.1,212.2,1000,2000,3437
ktc,hwang,2021,2024_2,4033,61.9,61.6,1000,2000,3437
ktc,hwang,2021,2024_2,4068,110.3,109.7,1000,2000,3437
ktc,hwang,2021,2024_2,4080,26.4,26.1,1000,2000,3437
ktc,hwang,2021,2024_2,4082,0.1,0.1,1000,2000,3437
ktc,hwang,2021,2024_2,4098,68.6,68.3,1000,2000,3437
ktc,hwang,2021,2024_2,4111,54.2,53.7,1000,2000,3437
ktc,hwang,2021,2024_2,4137,167.7,167,1000,2000,3437
ktc,hwang,2021,2024_2,4171,26.9,26.7,1000,2000,3437
ktc,hwang,2021,2024_2,4197,19.3,19.2,1000,2000,3437
ktc,hwang,2021,2024_2,4198,32.5,32.3,1000,2000,3437
ktc,hwang,2021,2024_2,4234,3.9,3.8,1000,2000,3437
ktc,hwang,2021,2024_2,4274,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,4351,54.1,53.7,1000,2000,3437
ktc,hwang,2021,2024_2,4381,88.1,87.6,1000,2000,3437
ktc,hwang,2021,2024_2,4454,74.6,74.1,1000,2000,3437
ktc,hwang,2021,2024_2,4892,91.9,91,1000,2000,3437
ktc,hwang,2021,2024_2,4943,67.5,67,1000,2000,3437
ktc,hwang,2021,2024_2,4950,80.6,79.7,1000,2000,3437
ktc,hwang,2021,2024_2,4951,18.1,17.9,1000,2000,3437
ktc,hwang,2021,2024_2,4985,71.5,71.2,1000,2000,3437
ktc,hwang,2021,2024_2,4995,7.1,6.9,1000,2000,3437
ktc,hwang,2021,2024_2,5000,74.2,73.6,1000,2000,3437
ktc,hwang,2021,2024_2,5001,114.4,113.8,1000,2000,3437
ktc,hwang,2021,2024_2,5008,22.3,22.1,1000,2000,3437
ktc,hwang,2021,2024_2,5038,27.3,26.9,1000,2000,3437
ktc,hwang,2021,2024_2,5122,65.3,64.9,1000,2000,3437
ktc,hwang,2021,2024_2,5133,66.8,66.3,1000,2000,3437
ktc,hwang,2021,2024_2,5137,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,5185,49.9,49.5,1000,2000,3437
ktc,hwang,2021,2024_2,5248,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,5284,27.1,26.8,1000,2000,3437
ktc,hwang,2021,2024_2,5323,3.7,3.7,1000,2000,3437
ktc,hwang,2021,2024_2,5374,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,5409,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,5695,1.2,1.2,1000,2000,3437
ktc,hwang,2021,2024_2,5848,93.3,92.7,1000,2000,3437
ktc,hwang,2021,2024_2,5850,119.8,118.9,1000,2000,3437
ktc,hwang,2021,2024_2,5870,89.8,89.4,1000,2000,3437
ktc,hwang,2021,2024_2,5880,10.6,10.6,1000,2000,3437
ktc,hwang,2021,2024_2,5892,116.5,115.8,1000,2000,3437
ktc,hwang,2021,2024_2,5906,101.6,101.3,1000,2000,3437
ktc,hwang,2021,2024_2,5917,30.4,29.9,1000,2000,3437
ktc,hwang,2021,2024_2,5938,15.1,14.9,1000,2000,3437
ktc,hwang,2021,2024_2,5947,53.8,53.3,1000,2000,3437
ktc,hwang,2021,2024_2,5973,4.4,4.3,1000,2000,3437
ktc,hwang,2021,2024_2,5980,90,89.3,1000,2000,3437
ktc,hwang,2021,2024_2,5985,40.1,39.8,1000,2000,3437
ktc,hwang,2021,2024_2,5987,66.2,65.8,1000,2000,3437
ktc,hwang,2021,2024_2,5995,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,6039,57,56.3,1000,2000,3437
ktc,hwang,2021,2024_2,6144,0.3,0.3,1000,2000,3437
ktc,hwang,2021,2024_2,6151,64.1,63.5,1000,2000,3437
ktc,hwang,2021,2024_2,6234,44.1,43.8,1000,2000,3437
ktc,hwang,2021,2024_2,6271,25.6,25.2,1000,2000,3437
ktc,hwang,2021,2024_2,6290,0.1,0.1,1000,2000,3437
ktc,hwang,2021,2024_2,6421,30.4,30.1,1000,2000,3437
ktc,hwang,2021,2024_2,6598,0.2,0.2,1000,2000,3437
ktc,hwang,2021,2024_2,6659,17,16.8,1000,2000,3437
ktc,hwang,2021,2024_2,6694,47,46.7,1000,2000,3437
ktc,hwang,2021,2024_2,6768,106.2,105.7,1000,2000,3437
ktc,hwang,2021,2024_2,6794,159.1,158.3,1000,2000,3437
ktc,hwang,2021,2024_2,6804,6.8,6.8,1000,2000,3437
ktc,hwang,2021,2024_2,6805,1,1,1000,2000,3437
ktc,hwang,2021,2024_2,6806,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,6819,94,93.4,1000,2000,3437
ktc,hwang,2021,2024_2,6824,44.9,44.4,1000,2000,3437
ktc,hwang,2021,2024_2,6828,108.6,107.9,1000,2000,3437
ktc,hwang,2021,2024_2,6847,17.8,17.4,1000,2000,3437
ktc,hwang,2021,2024_2,6849,3.9,3.8,1000,2000,3437
ktc,hwang,2021,2024_2,6865,0.2,0.2,1000,2000,3437
ktc,hwang,2021,2024_2,6885,11.7,11.6,1000,2000,3437
ktc,hwang,2021,2024_2,6904,214.8,213.7,1000,2000,3437
ktc,hwang,2021,2024_2,6918,11.4,11.2,1000,2000,3437
ktc,hwang,2021,2024_2,6920,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,6927,23.1,22.8,1000,2000,3437
ktc,hwang,2021,2024_2,6931,17.9,17.7,1000,2000,3437
ktc,hwang,2021,2024_2,6938,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,6943,51.5,51.1,1000,2000,3437
ktc,hwang,2021,2024_2,6951,8.9,8.8,1000,2000,3437
ktc,hwang,2021,2024_2,6955,116.9,116.3,1000,2000,3437
ktc,hwang,2021,2024_2,6989,66.7,66.2,1000,2000,3437
ktc,hwang,2021,2024_2,7021,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,7045,3,2.9,1000,2000,3437
ktc,hwang,2021,2024_2,7049,15.5,15.2,1000,2000,3437
ktc,hwang,2021,2024_2,7066,60.1,59.7,1000,2000,3437
ktc,hwang,2021,2024_2,7090,82.8,82.3,1000,2000,3437
ktc,hwang,2021,2024_2,7496,23.7,23.4,1000,2000,3437
ktc,hwang,2021,2024_2,7523,75.7,74.7,1000,2000,3437
ktc,hwang,2021,2024_2,7527,127.2,126.5,1000,2000,3437
ktc,hwang,2021,2024_2,7529,0.1,0.1,1000,2000,3437
ktc,hwang,2021,2024_2,7533,9.3,9.2,1000,2000,3437
ktc,hwang,2021,2024_2,7543,0,0,1000,2000,3437
ktc,hwang,2021,2024_2,7547,79.1,78.7,1000,2000,3437
ktc,hwang,2021,2024_2,7551,5.9,5.9,1000,2000,3437
ktc,hwang,2021,2024_2,7559,2.2,2.1,1000,2000,3437
ktc,hwang,2021,2024_2,7561,113.5,112.9,1000,2000,3437
ktc,hwang,2021,2024_2,7569,16.8,16.5,1000,2000,3437
ktc,hwang,2021,2024_2,7587,2.9,2.8,1000,2000,3437
ktc,hwang,2021,2024_2,7588,123.7,122.8,1000,2000,3437
ktc,hwang,2021,2024_2,7591,64.2,63.4,1000,2000,3437
ktc,hwang,2021,2024_2,7593,18.5,18.3,1000,2000,3437
ktc,hwang,2021,2024_2,7606,25.6,25.4,1000,2000,3437
ktc,hwang,2021,2024_2,7607,88.4,87.8,1000,2000,3437
ktc,hwang,2021,2024_2,7608,46,45.7,1000,2000,3437
ktc,hwang,2021,2024_2,7611,73.2,72.7,1000,2000,3437
ktc,hwang,2021,2024_2,7670,22.8,22.7,1000,2000,3437
ktc,hwang,2021,2024_2,7713,1.4,1.4,1000,2000,3437
ktc,hwang,2021,2024_2,7716,15.8,15.5,1000,2000,3437
ktc,hwang,2021,2024_2,7720,7.9,7.7,1000,2000,3437
ktc,hwang,2021,2024_2,7757,3.2,3,1000,2000,3437
ktc,hwang,2021,2024_2,7794,12.3,12.1,1000,2000,3437
ktc,hwang,2021,2024_3,19,11.9,11.7,1000,2102,1937
ktc,hwang,2021,2024_3,827,41.9,41.2,1000,2102,1937
