value_basis,format,year,archetype_id,archetype_label,build_count,removal_pairs
comp,hwang,2023,2025_6,2025 #6 — aidsonballs (11-7),1000,6094
comp,hwang,2023,2026_1,2026 #1 — The Ladds,1000,10892
comp,hwang,2023,2026_2,2026 #2 — seanjcrow,1000,7240
comp,hwang,2023,2026_3,2026 #3 — Eat It While She Sleeper,1000,9321
comp,hwang,2023,2026_4,2026 #4 — Drake & Bake,1000,9445
comp,hwang,2023,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,6103
comp,hwang,2023,2026_6,2026 #6 — House of Hwang,1000,8768
comp,hwang,2023,2026_7,2026 #7 — MrZaccheaus,1000,7986
comp,hwang,2024,2024_1,2024 #1 — Let James Cook (16-2),1000,5861
comp,hwang,2024,2024_2,2024 #2 — Age is just a number (15-3),1000,7729
comp,hwang,2024,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,5384
comp,hwang,2024,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,5142
comp,hwang,2024,2024_5,2024 #5 — The Boomers (11-7),1000,4586
comp,hwang,2024,2024_6,2024 #6 — seanjcrow (9-9),1000,6423
comp,hwang,2024,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,5498
comp,hwang,2024,2025_2,2025 #2 — seanjcrow (14-4),1000,9604
comp,hwang,2024,2025_3,2025 #3 — Drake & Bake (13-5),1000,6937
comp,hwang,2024,2025_4,2025 #4 — The Ladds (12-6),1000,9898
comp,hwang,2024,2025_5,2025 #5 — House of Hwang (11-7),1000,7480
comp,hwang,2024,2025_6,2025 #6 — aidsonballs (11-7),1000,4805
comp,hwang,2024,2026_1,2026 #1 — The Ladds,1000,8517
comp,hwang,2024,2026_2,2026 #2 — seanjcrow,1000,8373
comp,hwang,2024,2026_3,2026 #3 — Eat It While She Sleeper,1000,9477
comp,hwang,2024,2026_4,2026 #4 — Drake & Bake,1000,9370
comp,hwang,2024,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,6888
comp,hwang,2024,2026_6,2026 #6 — House of Hwang,1000,9146
comp,hwang,2024,2026_7,2026 #7 — MrZaccheaus,1000,6700
comp,hwang,2025,2024_1,2024 #1 — Let James Cook (16-2),1000,5312
comp,hwang,2025,2024_2,2024 #2 — Age is just a number (15-3),1000,5685
comp,hwang,2025,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,3765
comp,hwang,2025,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,4203
comp,hwang,2025,2024_5,2024 #5 — The Boomers (11-7),1000,2212
comp,hwang,2025,2024_6,2024 #6 — seanjcrow (9-9),1000,2779
comp,hwang,2025,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,3361
comp,hwang,2025,2025_2,2025 #2 — seanjcrow (14-4),1000,7565
comp,hwang,2025,2025_3,2025 #3 — Drake & Bake (13-5),1000,4745
comp,hwang,2025,2025_4,2025 #4 — The Ladds (12-6),1000,9653
comp,hwang,2025,2025_5,2025 #5 — House of Hwang (11-7),1000,6563
comp,hwang,2025,2025_6,2025 #6 — aidsonballs (11-7),1000,4299
comp,hwang,2025,2026_1,2026 #1 — The Ladds,1000,8985
comp,hwang,2025,2026_2,2026 #2 — seanjcrow,1000,6235
comp,hwang,2025,2026_3,2026 #3 — Eat It While She Sleeper,1000,7486
comp,hwang,2025,2026_4,2026 #4 — Drake & Bake,1000,6995
comp,hwang,2025,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,5616
comp,hwang,2025,2026_6,2026 #6 — House of Hwang,1000,8305
comp,hwang,2025,2026_7,2026 #7 — MrZaccheaus,1000,6106
comp,regular,2021,2024_1,2024 #1 — Let James Cook (16-2),1000,2845
comp,regular,2021,2024_2,2024 #2 — Age is just a number (15-3),1000,4451
comp,regular,2021,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,4071
comp,regular,2021,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,2499
