year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_rb1_rb2_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_rb1_name,roster_rb2_name,roster_rb2_adp
2021,2024_1,2024 #1 — Let James Cook (16-2),17,multi,multi,2,0,1667.4,29.77,58501,CAR|CLE,Christian McCaffrey/Chuba Hubbard (CAR); Nick Chubb/Kareem Hunt (CLE),Christian McCaffrey,Nick Chubb,6
2021,2024_1,2024 #1 — Let James Cook (16-2),18,natural,none,0,0,2337.4,24.35,57241,,,Christian McCaffrey,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),18,none,none,0,0,2337.4,24.35,57241,,,Christian McCaffrey,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),18,single,single,1,0,2379.3,24.24,57048,GB,Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),18,multi,multi,2,0,2415.2,24.44,58090,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),19,natural,none,0,0,1994.1,24.58,54406,,,Alvin Kamara,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),19,none,none,0,0,1994.1,24.58,54406,,,Alvin Kamara,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),19,single,single,1,0,1979.2,20.3,53820,GB,Aaron Jones/AJ Dillon (GB),Alvin Kamara,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),19,multi,multi,2,0,1968.4,21.13,56927,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),20,natural,none,0,0,2233.2,25.2,55016,,,Dalvin Cook,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),20,none,none,0,0,2233.2,25.2,55016,,,Dalvin Cook,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),20,single,single,1,0,2171.5,22.75,54920,GB,Aaron Jones/AJ Dillon (GB),Dalvin Cook,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),21,natural,none,0,0,2134.4,26.62,56425,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),21,none,none,0,0,2134.4,26.62,56425,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),21,single,single,1,0,2164.8,28.39,57749,DAL,Ezekiel Elliott/Tony Pollard (DAL),Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),21,multi,multi,2,0,2235.6,25.7,54330,MIN|DAL,Dalvin Cook/Alexander Mattison (MIN); Ezekiel Elliott/Tony Pollard (DAL),Dalvin Cook,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),22,natural,none,0,0,2255.7,29.82,54676,,,Alvin Kamara,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),22,none,none,0,0,2255.7,29.82,54676,,,Alvin Kamara,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),22,single,single,1,0,2261.9,28.36,53694,GB,Aaron Jones/AJ Dillon (GB),Aaron Jones,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),23,natural,single,1,0,2329.3,27.7,54532,IND,Jonathan Taylor/Nyheim Hines (IND),Alvin Kamara,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),23,none,none,0,0,2306.6,27.58,54723,,,Alvin Kamara,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),23,single,single,1,0,2102.1,18.03,54748,GB,Aaron Jones/AJ Dillon (GB),Alvin Kamara,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),23,multi,multi,2,0,2280.6,21.57,53971,IND|GB,Jonathan Taylor/Nyheim Hines (IND); Aaron Jones/AJ Dillon (GB),Aaron Jones,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),24,natural,none,0,0,2038.7,20.56,55087,,,Dalvin Cook,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),24,none,none,0,0,2038.7,20.56,55087,,,Dalvin Cook,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),24,single,single,1,0,2059.5,19.94,54382,DAL,Ezekiel Elliott/Tony Pollard (DAL),Dalvin Cook,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),24,multi,multi,2,0,2057.5,23.72,57467,CAR|DAL,Christian McCaffrey/Chuba Hubbard (CAR); Ezekiel Elliott/Tony Pollard (DAL),Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),25,natural,none,0,0,2248.9,23.8,58708,,,Christian McCaffrey,Jonathan Taylor,8
