year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_wr1_qb_stack,any_qb_wr_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_wr1_name,roster_wr1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),16,natural,none,0,0,0,2185.3,20.89,57094,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),16,none,none,0,0,0,2185.3,20.89,57094,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),16,single,single,1,0,1,2141.3,22.44,56982,CHI,Justin Fields/Darnell Mooney (CHI),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),16,multi,multi,2,0,1,2258.3,15.78,56615,CHI|MIA,Justin Fields/Darnell Mooney (CHI); Tua Tagovailoa/Jaylen Waddle (MIA),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),17,natural,none,0,0,1,2167.5,24.18,52593,,,DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),17,none,none,0,0,1,2167.5,24.18,52593,,,DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),17,single,single,1,0,1,2259.7,24.88,52252,CHI,Justin Fields/Darnell Mooney (CHI),DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),17,multi,multi,2,0,1,2320.4,24.84,52256,CHI|LV,Justin Fields/Darnell Mooney (CHI); Derek Carr/Hunter Renfrow (LV),DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),18,natural,none,0,0,1,2175,20.63,54745,,,DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),18,none,none,0,0,1,2175,20.63,54745,,,DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),18,single,single,1,0,1,2200.5,20.21,54576,HOU,Tyrod Taylor/Brandin Cooks (HOU),DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),18,multi,multi,2,0,1,2137.3,21.71,54840,JAX|HOU,Trevor Lawrence/Laviska Shenault (JAX); Tyrod Taylor/Brandin Cooks (HOU),DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),19,natural,none,0,0,0,2062.6,26.59,56155,,,Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),19,none,none,0,0,0,2062.6,26.59,56155,,,Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),19,single,single,1,0,1,2140.5,25.6,56225,HOU,Tyrod Taylor/Brandin Cooks (HOU),Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),19,multi,multi,2,1,1,1974,29.72,56230,JAX|HOU,Trevor Lawrence/Laviska Shenault (JAX); Tyrod Taylor/Brandin Cooks (HOU),Brandin Cooks,HOU
2021,2024_1,2024 #1 — Let James Cook (16-2),20,natural,single,1,0,1,2098.9,22.71,55989,HOU,Tyrod Taylor/Brandin Cooks (HOU),DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),20,none,none,0,0,0,2090.4,22.66,55815,,,DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),20,single,single,1,0,1,2098.9,22.71,55989,HOU,Tyrod Taylor/Brandin Cooks (HOU),DeVonta Smith,PHI
