year,archetype_id,archetype_label,build_index,variant,stack_class,max_n,n_groups,season_total,weekly_std,roster_value,primary_team,shape,names,all_groups
2021,2024_1,2024 #1 — Let James Cook (16-2),18,triple,triple,3,1,2201.6,27.67,54450,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),19,natural,none,0,0,2223.1,25.59,54613,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),19,none,none,0,0,2223.1,25.59,54613,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),19,double,double,2,1,2258.8,23.95,54957,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),19,triple,triple,3,1,2206.5,23.25,54636,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),20,natural,none,0,0,2359.2,30.15,55835,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),20,none,none,0,0,2359.2,30.15,55835,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),20,double,double,2,1,2256.2,28.67,55717,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),20,triple,triple,3,1,2241.1,31.04,56444,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),21,natural,double,2,1,2164.2,23.97,52823,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),21,none,none,0,0,2168.4,24.83,55397,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),21,double,double,2,1,2164.2,23.97,52823,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),21,triple,triple,3,1,2166.1,21.02,51871,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),22,natural,none,0,0,2208.2,25.26,54432,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),22,none,none,0,0,2208.2,25.26,54432,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),22,double,double,2,1,2208.1,22.29,54544,LA,WR/TE,Odell Beckham/Tyler Higbee,LA:WR/TE
