rank,player,position,team,tier,pos_rank,pos_tier,adp,sleeper_id
263,Adam Randall,RB,BAL,40,83,24,245,13302
264,Brashard Smith,RB,KC,40,84,24,347,12455
265,Jaydon Blue,RB,DAL,40,85,24,224.7,12457
266,LeQuint Allen Jr.,RB,JAC,40,86,24,258.5,12544
267,Jake Bates,K,DET,40,12,7,,11539
268,Barion Brown,WR,NO,40,104,26,,13533
269,Zavion Thomas,WR,CHI,40,105,26,243,13411
270,Marvin Mims Jr.,WR,DEN,40,106,26,305,9494
271,Cairo Santos,K,CHI,40,13,7,,2020
272,Dawson Knox,TE,BUF,40,36,14,260,5906
273,Jalen Tolbert,WR,MIA,40,107,26,242.5,8117
274,Andrei Iosivas,WR,CIN,40,108,26,240,10226
275,Xavier Legette,WR,CAR,40,109,26,279,11626
276,Charlie Kolar,TE,LAC,40,37,14,272,8127
277,Erick All Jr.,TE,CIN,40,38,14,281,11592
278,Tua Tagovailoa,QB,ATL,40,32,13,197.3,6768
279,Harrison Mevis,K,LA,40,14,7,,12015
280,Joey Slye,K,TEN,40,15,7,,6528
281,Cole Kmet,TE,CHI,40,39,14,293,6826
282,Elijah Sarratt,WR,BAL,40,110,26,222,13268
283,Darnell Washington,TE,PIT,40,40,14,242,9479
284,Eli Stowers,TE,PHI,40,41,14,190.3,13349
285,Trevor Etienne,RB,CAR,40,87,25,336,12531
286,Darren Waller,TE,CAR,40,42,15,,2505
287,Jalen Royals,WR,KC,40,111,26,307,12505
288,Chimere Dike,WR,TEN,40,112,26,247,12540
289,Deshaun Watson,QB,CLE,40,33,13,216,4017
290,Shedeur Sanders,QB,CLE,40,34,13,220.3,12524
291,Emari Demercado,RB,DAL,40,88,25,264,11199
292,Kalif Raymond,WR,CHI,40,113,26,292,3634
293,Devin Singletary,RB,NYG,40,89,25,293.5,6130
294,Kendrick Bourne,WR,ARI,40,114,26,276,4454
295,Mason Taylor,TE,NYJ,40,43,15,249.3,12498
296,Xavier Hutchinson,WR,HOU,40,115,26,362,10218
297,Oscar Delp,TE,NO,40,44,15,259,13319
298,Andy Borregales,K,NE,40,16,7,,12713
299,Chad Ryland,K,ARI,40,17,7,,10955
300,Kirk Cousins,QB,LV,40,35,13,236.3,1166
301,Tahj Brooks,RB,CIN,40,90,25,296,12543
302,Christian Kirk,WR,SF,40,116,26,223,4950
303,Hollywood Brown,WR,PHI,40,117,26,265,5848
304,Evan McPherson,K,CIN,40,18,7,,7839
305,Devin Neal,RB,FA,40,91,25,285.5,12476
306,Kendre Miller,RB,NO,40,92,25,389,9757
307,Theo Johnson,TE,NYG,40,45,15,254.5,11597
308,Brandon Aiyuk,WR,FA,40,118,26,182.3,6803
309,Jerome Ford,RB,WAS,40,93,25,322,8143
310,Jarquez Hunter,RB,FA,40,94,25,,11569
311,KaVontae Turpin,WR,DAL,40,119,26,304,8917
312,Mack Hollins,WR,NE,40,120,26,331,4177
313,Nick Folk,K,ATL,40,19,8,,650
314,Joshua Palmer,WR,BUF,40,121,26,325,7670
315,Jake Tonges,TE,SF,40,46,16,226.3,8698
316,Brenen Thompson,WR,LAC,40,122,26,258.5,13380
317,Matt Hibner,TE,BAL,40,47,16,370,13324
318,Ryan Fitzgerald,K,CAR,40,20,8,,12961
319,Audric Estime,RB,NO,40,95,25,328,11579
320,Jake Elliott,K,PHI,40,21,8,,4195
321,Jaleel McLaughlin,RB,CLE,40,96,25,,11439
322,Charlie Smyth,K,NO,40,22,8,,11653
323,Zane Gonzalez,K,MIA,40,23,8,,4233
324,Blake Grupe,K,IND,40,24,8,,11058
325,Jake Moody,K,WAS,40,25,9,,10937
326,Wil Lutz,K,DEN,40,26,9,,3678
327,Tyler Bass,K,BUF,40,27,10,,7042
328,Jason Sanders,K,NYG,40,28,10,,5119
329,Matt Gay,K,LV,40,29,10,,6083
330,Andre Szmyt,K,CLE,40,30,10,,11261
331,Cade York,K,NYJ,40,31,10,,8258
332,Trey Smack,K,GB,40,32,10,,13545
