sleeper_id,sleeper_name,sleeper_position,yahoo_id,yahoo_name,espn_id,espn_name,nffc_id,nffc_name,cbs_id,cbs_name,fftoday_id,fftoday_name,nfl_id,nfl_name,fantasypros_id,fantasypros_name,evanalytics_name,footballguys_id,footballguys_name
333,Ryan Fitzpatrick,QB,,,,,,,,,,,,,,,Ryan Fitzpatrick,,
342,Cameron Wake,DE,,,12417,Cameron Wake,,,,,,,,,,,,,
343,Patrick Chung,SS,,,12527,Patrick Chung,,,,,,,,,,,,,
344,Julian Edelman,WR,,,,,,,,,,,,,,,Julian Edelman,,
345,Brian Hoyer,QB,9547,Brian Hoyer,12477,Brian Hoyer,,,517243,Brian Hoyer,11285,Brian Hoyer,81294,Brian Hoyer,9078,Brian Hoyer,Brian Hoyer,,
367,Jared Cook,TE,,,,,,,,,,,,,,,Jared Cook,,
368,Jason McCourty,DB,,,12691,Jason McCourty,,,,,,,,,,,,,
391,Ryan Succop,K,9520,Ryan Succop,12731,Ryan Succop,,,,,,,,,9549,Ryan Succop,Ryan Succop,,
421,Matthew Stafford,QB,9265,Matthew Stafford,12483,Matthew Stafford,7697,Matthew Stafford,1114942,Matthew Stafford,11001,Matthew Stafford,79860,Matthew Stafford,9451,Matthew Stafford,Matthew Stafford,StafMa00,Matthew Stafford
425,Clay Matthews,LB,,,12438,Clay Matthews,,,,,,,,,,,,,
444,Malcolm Jenkins,SS,,,12426,Malcolm Jenkins,,,563623,Malcolm Jenkins,,,,,,,,,
455,Michael Crabtree,WR,,,,,,,,,,,,,,,Michael Crabtree,,
467,Sean Smith,CB,,,12430,Sean Smith,,,,,,,,,,,,,
490,Chase Daniel,QB,,,,,,,,,,,,,,,Chase Daniel,,
491,Danny Amendola,WR,,,,,,,,,,,,,,,Danny Amendola,,
495,Michael Bennett,DE,,,12762,Michael Bennett,,,,,,,,,,,,,
503,Graham Gano,K,9526,Graham Gano,12460,Graham Gano,,,558839,Graham Gano,11369,Graham Gano,71309,Graham Gano,9232,Graham Gano,Graham Gano,GanoGr44,Graham Gano
515,Rob Gronkowski,TE,,,,,,,,,,,,,,,Rob Gronkowski,,
517,Kyle Love,NT,,,13608,Kyle Love,,,,,,,,,,,,,
518,Devin McCourty,DB,,,13236,Devin McCourty,,,,,,,,,,,,,
528,Geno Atkins,DT,,,13311,Geno Atkins,,,,,,,,,,,,,
529,Carlos Dunlap,DL,,,13274,Carlos Dunlap,,,,,,,,,,,,,
531,Joe Haden,CB,,,13249,Joe Haden,,,,,,,,,,,,,
533,Colt McCoy,QB,,,13199,Colt McCoy,8844,Colt McCoy,584648,Colt McCoy,11495,Colt McCoy,497123,Colt McCoy,9702,Colt McCoy,Colt McCoy,,
536,Antonio Brown,WR,,,,,,,,,,,,,,,Antonio Brown,,
538,Emmanuel Sanders,WR,,,,,,,,,,,,,,,Emmanuel Sanders,,
544,Kareem Jackson,DB,,,13254,Kareem Jackson,,,,,,,,,,,,,
545,Sherrick McManis,DB,,,13419,Sherrick McManis,,,1117294,Sherrick McManis,,,,,,,,,
546,Earl Mitchell,DT,,,13288,Earl Mitchell,,,,,,,,,,,,,
550,Jerry Hughes,DE,,,13245,Jerry Hughes,,,1125969,Jerry Hughes,,,,,,,,,
554,Tyson Alualu,DE,,,13233,Tyson Alualu,,,,,,,,,,,,,
559,Tim Tebow,TE,,,,,,,,,,,,,,,Tim Tebow,,
574,Dez Bryant,WR,,,,,,,,,,,,,,,Dez Bryant,,
576,Sean Lee,LB,,,13284,Sean Lee,,,,,,,,,,,,,
579,Linval Joseph,DT,,,13281,Linval Joseph,,,1265317,Linval Joseph,,,,,,,,,
581,Kurt Coleman,FS,,,13340,Kurt Coleman,,,,,,,,,,,,,
583,Brandon Graham,DE,23988,Brandon Graham,13239,Brandon Graham,,,1116725,Brandon Graham,,,,,,,,,
587,Logan Paulsen,TE,,,,,,,,,,,,,,,Logan Paulsen,,
594,Ndamukong Suh,DT,,,13234,Ndamukong Suh,,,,,,,,,,,,,
597,Morgan Burnett,SS,,,13264,Morgan Burnett,,,,,,,,,,,,,
605,Everson Griffen,DE,,,13373,Everson Griffen,,,,,,,,,,,,,
606,Joe Webb,QB,,,,,,,,,,,,,,,Joe Webb,,
608,Corey Peters,DT,,,13292,Corey Peters,,,,,,,,,,,,,
616,Jimmy Graham,TE,24070,Jimmy Graham,13232,Jimmy Graham,,,1691166,Jimmy Graham,,,,,,,Jimmy Graham,,
617,Patrick Robinson,CB,,,13238,Patrick Robinson,,,,,,,,,,,,,
619,Gerald McCoy,DT,,,13240,Gerald McCoy,,,,,,,,,,,,,
625,Darian Stewart,FS,,,13645,Darian Stewart,,,,,,,,,,,,,
627,Andre Roberts,WR,,,,,,,,,,,,,,,Andre Roberts,,
633,Tramaine Brock,CB,,,13681,Tramaine Brock,,,,,,,,,,,,,
642,Golden Tate,WR,,,,,,,,,,,,,,,Golden Tate,,
643,Earl Thomas,FS,,,13251,Earl Thomas III,,,,,,,,,,,,,
650,Nick Folk,K,8432,Nick Folk,10621,Nick Folk,,,410721,Nick Folk,3188,Nick Folk,2507225,Nick Folk,9491,Nick Folk,Nick Folk,FolkNi44,Nick Folk
658,Mike Nugent,K,,,,,,,,,,,,,,,Mike Nugent,,
663,Benjamin Watson,TE,,,,,,,,,,,,,,,Benjamin Watson,,
667,Steve McLendon,DT,,,12895,Steve McLendon,,,,,,,,,,,,,
676,LeSean McCoy,RB,,,,,,,,,,,,,,,LeSean McCoy,,
678,Lorenzo Alexander,LB,,,9424,Lorenzo Alexander,,,,,,,,,,,,,
690,Dekoda Watson,LB,,,13482,Dekoda Watson,,,,,,,,,,,,,
695,Ted Ginn,WR,,,,,,,,,,,,,,,Ted Ginn,,
714,Reshad Jones,FS,,,13395,Reshad Jones,,,,,,,,,,,,,
720,Jason Pierre-Paul,LB,,,13256,Jason Pierre-Paul,,,1692882,Jason Pierre-Paul,,,,,,,,,
745,Marshawn Lynch,RB,,,,,,,,,,,,,,,Marshawn Lynch,,
754,Al Woods,DT,,,13493,Al Woods,,,,,,,,,,,,,
757,Clinton McDonald,DE,,,12692,Clinton McDonald,,,,,,,,,,,,,
770,Andrew Sendejo,DB,,,13939,Andrew Sendejo,,,,,,,,,,,,,
775,Stephen Hauschka,K,,,,,,,,,,,,,,,Stephen Hauschka,,
784,Marcus Sherels,CB,,,13843,Marcus Sherels,,,,,,,,,,,,,
788,Dion Lewis,RB,,,,,,,,,,,,,,,Dion Lewis,,
795,Marcell Dareus,DE,,,13992,Marcell Dareus,,,,,,,,,,,,,
801,Charles Clay,TE,,,,,,,,,,,,,,,Charles Clay,,
812,Lee Smith,TE,,,,,,,,,,,,,,,Lee Smith,,
815,Nick Bellore,LB,25295,Nick Bellore,14471,Nick Bellore,,,1244136,Nick Bellore,,,,,,,,,
818,Bilal Powell,RB,,,,,,,,,,,,,,,Bilal Powell,,
821,Josh Bynes,LB,,,14519,Josh Bynes,,,,,,,,,,,,,
823,Pernell McPhee,LB,,,14202,Pernell McPhee,,,,,,,,,,,,,
825,Jimmy Smith,CB,,,13963,Jimmy Smith,,,,,,,,,,,,,
827,Tyrod Taylor,QB,24967,Tyrod Taylor,14163,Tyrod Taylor,10144,Tyrod Taylor,1243338,Tyrod Taylor,12034,Tyrod Taylor,2495240,Tyrod Taylor,,,Tyrod Taylor,TaylTy00,Tyrod Taylor
829,Andy Dalton,QB,24822,Andy Dalton,14012,Andy Dalton,9994,Andy Dalton,1125961,Andy Dalton,11889,Andy Dalton,2495143,Andy Dalton,9907,Andy Dalton,Andy Dalton,DaltAn00,Andy Dalton
830,A.J. Green,WR,,,,,,,,,,,,,,,A.J. Green,,
836,Jabaal Sheard,DE,,,14036,Jabaal Sheard,,,,,,,,,,,,,
837,Buster Skrine,DB,,,14139,Buster Skrine,,,,,,,,,,,,,
843,Cameron Heyward,DT,24818,Cameron Heyward,13977,Cameron Heyward,,,1243804,Cameron Heyward,11885,Cameron Heyward,,,9862,Cameron Heyward,,HeywCa99,Cameron Heyward
846,Jurrell Casey,DT,,,14047,Jurrell Casey,,,,,,,,,,,,,
855,Brooks Reed,LB,,,13997,Brooks Reed,,,,,,,,,,,,,
856,J.J. Watt,DE,,,13979,J.J. Watt,,,,,,,,,,,,,
862,Blaine Gabbert,QB,24797,Blaine Gabbert,13987,Blaine Gabbert,,,1630777,Blaine Gabbert,11864,Blaine Gabbert,2495441,Blaine Gabbert,,,Blaine Gabbert,,
868,Virgil Green,TE,,,,,,,,,,,,,,,Virgil Green,,
869,Chris Harris,CB,,,8595,Chris Harris,,,,,,,,,,,,,
871,Von Miller,LB,24789,Von Miller,13976,Von Miller,,,1620879,Von Miller,,,,,9863,Von Miller,,MillVo99,Von Miller
875,Allen Bailey,DE,,,14020,Allen Bailey,,,,,,,,,,,,,
878,Justin Houston,DL,,,14048,Justin Houston,,,,,,,,,,,,,
886,Taiwan Jones,RB,,,14167,Taiwan Jones,,,,,,,,,,,Taiwan Jones,,
893,Marcus Gilchrist,DB,,,14018,Marcus Gilchrist,,,,,,,,,,,,,
894,Corey Liuget,DT,,,13989,Corey Liuget,,,,,,,,,,,,,
899,Dan Bailey,K,,,,,,,,,,,,,,,Dan Bailey,,
902,Dwayne Harris,WR,,,,,,,,,,,,,,,Dwayne Harris,,
908,Prince Amukamara,DB,,,13975,Prince Amukamara,,,,,,,,,,,,,
917,Ryan Kerrigan,DE,,,13973,Ryan Kerrigan,,,,,,,,,,,,,
922,Mario Addison,DE,,,14320,Mario Addison,,,,,,,,,,,,,
928,Randall Cobb,WR,24851,Randall Cobb,14053,Randall Cobb,10025,Randall Cobb,,,11918,Randall Cobb,2495448,Randall Cobb,9902,Randall Cobb,Randall Cobb,,
943,Kyle Rudolph,TE,,,,,,,,,,,,,,,Kyle Rudolph,,
947,Julio Jones,WR,,,13982,Julio Jones,9966,Julio Jones,,,,,,,9867,Julio Jones,Julio Jones,,
953,Terrell McClain,DT,,,14014,Terrell McClain,,,,,,,,,,,,,
954,Cam Newton,QB,,,,,,,,,,,,,,,Cam Newton,,
956,Mark Ingram,RB,24815,Mark Ingram II,13981,Mark Ingram II,,,,,,,,,9872,Mark Ingram II,Mark Ingram,,
957,Cameron Jordan,DE,24811,Cameron Jordan,13971,Cameron Jordan,,,1272992,Cameron Jordan,11878,Cameron Jordan,,,9886,Cameron Jordan,,JordCa99,Cameron Jordan
961,Adrian Clayborn,DE,,,13965,Adrian Clayborn,,,,,,,,,,,,,
963,Luke Stocker,TE,,,,,,,,,,,,,,,Luke Stocker,,
964,Lance Kendricks,TE,,,,,,,,,,,,,,,Lance Kendricks,,
967,Robert Quinn,LB,,,13984,Robert Quinn,,,,,,,,,,,,,
969,Sam Acho,LB,,,14152,Sam Acho,,,,,,,,,,,,,
972,Patrick Peterson,CB,,,13980,Patrick Peterson,,,,,,,,,,,,,
973,Anthony Sherman,RB,,,,,,,,,,,,,,,Anthony Sherman,,
979,Colin Jones,FS,,,14117,Colin Jones,,,,,,,,,,,,,
982,Bruce Miller,FB,,,,,,,,,,,,,,,Bruce Miller,,
986,Aldon Smith,DE,,,13988,Aldon Smith,,,,,,,,,,,,,
996,Richard Sherman,CB,,,14086,Richard Sherman,,,,,,,,,,,,,
997,Malcolm Smith,LB,,,14214,Malcolm Smith,,,,,,,,,,,,,
998,K.J. Wright,LB,,,14140,K.J. Wright,,,,,,,,,,,,,
1000,Albert McClellan,LB,,,13851,Albert McClellan,,,,,,,,,,,,,
1027,Fletcher Cox,DT,,,14941,Fletcher Cox,,,,,,,,,,,,,
1028,Vinny Curry,DE,,,14959,Vinny Curry,,,,,,,,,,,,,
1029,Nick Foles,QB,,,,,,,,,,,2532842,Nick Foles,,,Nick Foles,,
1032,Mychal Kendricks,LB,,,14978,Mychal Kendricks,,,,,,,,,,,,,
1034,Brandon Bolden,RB,26389,Brandon Bolden,15478,Brandon Bolden,,,1632301,Brandon Bolden,,,2532797,Brandon Bolden,11410,Brandon Bolden,Brandon Bolden,,
1035,Nate Ebner,DB,,,15125,Nate Ebner,,,,,,,,,,,,,
1037,Dont'a Hightower,LB,,,14933,Dont'a Hightower,,,,,,,,,,,,,
1038,Chandler Jones,LB,,,14927,Chandler Jones,,,,,,,,,,,,,
1039,Tavon Wilson,DB,,,14977,Tavon Wilson,,,,,,,,,,,,,
1040,Nigel Bradham,LB,,,15075,Nigel Bradham,,,,,,,,,,,,,
1043,Stephon Gilmore,CB,,,14942,Stephon Gilmore,,,1664166,Stephon Gilmore,,,,,,,,GilmSt99,Stephon Gilmore
1048,Lamar Miller,RB,,,4693331,Cam Miller,,,,,,,,,,,Lamar Miller,,
1049,Ryan Tannehill,QB,25718,Ryan Tannehill,14876,Ryan Tannehill,10884,Ryan Tannehill,1273654,Ryan Tannehill,12283,Ryan Tannehill,2532956,Ryan Tannehill,11174,Ryan Tannehill,Ryan Tannehill,,
1052,Demario Davis,LB,25787,Demario Davis,14958,Demario Davis,,,1263584,Demario Davis,12351,DeMario Davis,,,11293,Demario Davis,,DaviDe97,Demario Davis
1053,Damon Harrison,DT,,,15380,Damon Harrison Sr.,,,,,,,,,,,,,
1064,Vontaze Burfict,LB,,,15246,Vontaze Burfict,,,,,,,,,,,,,
1066,George Iloka,DB,,,15085,George Iloka,,,,,,,,,,,,,
1067,Marvin Jones,WR,25876,Marvin Jones Jr.,15072,Marvin Jones Jr.,11038,Marvin Jones,1631804,Marvin Jones,12440,Marvin Jones,2532884,Marvin Jones,11215,Marvin Jones Jr.,Marvin Jones,,
1068,Dre Kirkpatrick,CB,,,14940,Dre Kirkpatrick,,,,,,,,,,,,,
1071,Mohamed Sanu,WR,,,,,,,,,,,,,,,Mohamed Sanu,,
1076,Johnson Bademosi,CB,,,15359,Johnson Bademosi,,,,,,,,,,,,,
1077,Travis Benjamin,WR,,,,,,,,,,,,,,,Travis Benjamin,,
1078,L.J. Fort,LB,,,15264,L.J. Fort,,,,,,,,,,,,,
1079,Tashaun Gipson,DB,,,15235,Tashaun Gipson Sr.,,,1975901,Tashaun Gipson,,,,,,,,,
1086,Billy Winn,DT,,,15021,Billy Winn,,,,,,,,,,,,,
1093,Zach Brown,LB,,,14973,Zach Brown,,,,,,,,,,,,,
1095,Coty Sensabaugh,CB,,,14998,Coty Sensabaugh,,,,,,,,,,,,,
1099,Randy Bullock,K,25871,Randy Bullock,15091,Randy Bullock,,,,,,,,,11339,Randy Bullock,Randy Bullock,,
1103,Whitney Mercilus,LB,,,14936,Whitney Mercilus,,,,,,,,,,,,,
1110,T.Y. Hilton,WR,,,,,10967,T.Y. Hilton,,,,,,,,,T.Y. Hilton,,
1118,Brandon Marshall,LB,,,15002,Brandon Marshall,,,,,,,,,,,,,
1120,Julian Stanford,LB,,,15373,Julian Stanford,,,,,,,,,,,,,
1124,Malik Jackson,DT,,,,,,,,,,,,,,,,,
1127,Danny Trevathan,LB,,,15074,Danny Trevathan,,,,,,,,,,,,,
1128,Derek Wolfe,DE,,,14964,Derek Wolfe,,,,,,,,,,,,,
1131,Dontari Poe,DT,,,14939,Dontari Poe,,,,,,,,,,,,,
1136,Jack Crawford,DT,,,15090,Jack Crawford,,,,,,,,,,,,,
1141,Melvin Ingram,LB,,,14926,Melvin Ingram,,,,,,,,,,,,,
1144,Cole Beasley,WR,,,,,,,,,,,2535698,Cole Beasley,,,Cole Beasley,,
1145,Morris Claiborne,CB,,,14943,Morris Claiborne,,,,,,,,,,,,,
1146,Tyrone Crawford,DE,,,14987,Tyrone Crawford,,,,,,,,,,,,,
1148,Kyle Wilber,LB,,,15038,Kyle Wilber,,,,,,,,,,,,,
1149,Alshon Jeffery,WR,,,,,,,,,,,,,,,Alshon Jeffery,,
1160,Tahir Whitehead,LB,,,15070,Tahir Whitehead,,,,,,,,,,,,,
1166,Kirk Cousins,QB,25812,Kirk Cousins,14880,Kirk Cousins,10974,Kirk Cousins,1272574,Kirk Cousins,12376,Kirk Cousins,2532820,Kirk Cousins,11177,Kirk Cousins,Kirk Cousins,CousKi00,Kirk Cousins
1169,Robert Griffin,QB,,,,,,,,,,,,,,,Robert Griffin,,
1170,Alfred Morris,RB,,,,,,,,,,,,,,,Alfred Morris,,
1174,Mike Daniels,DT,,,14994,Mike Daniels,,,,,,,,,,,,,
1175,Casey Hayward,CB,,,14966,Casey Hayward,,,,,,,,,,,,,
1181,Luke Kuechly,LB,,,14938,Luke Kuechly,,,,,,,,,,,,,
1182,Josh Norman,CB,,,15124,Josh Norman,,,,,,,,,,,,,
1186,Akiem Hicks,DT,,,14984,Akiem Hicks,,,,,,,,,,,,,
1192,Lavonte David,LB,25768,Lavonte David,14985,Lavonte David,,,1769263,Lavonte David,,,,,,,,DaviLa99,Lavonte David
1193,Najee Goode,LB,,,15068,Najee Goode,,,,,,,,,,,,,
1197,Michael Brockers,DE,,,14944,Michael Brockers,,,,,,,,,,,,,
1203,Janoris Jenkins,CB,,,14974,Janoris Jenkins,,,,,,,,,,,,,
1204,Trumaine Johnson,CB,,,14989,Trumaine Johnson,,,,,,,,,,,,,
1205,Rodney McLeod,DB,,,15222,Rodney McLeod Jr.,,,1975886,Rodney McLeod,,,,,,,,,
1211,Rhett Ellison,TE,,,,,,,,,,,,,,,Rhett Ellison,,
1213,Harrison Smith,DB,25739,Harrison Smith,14945,Harrison Smith,,,1265468,Harrison Smith,,,,,,,,SmitHa98,Harrison Smith
1215,Jarius Wright,WR,,,,,,,,,,,,,,,Jarius Wright,,
1216,Justin Bethel,DB,,,15089,Justin Bethel,,,,,,,,,,,,,
1223,Garrett Celek,TE,,,,,,,,,,,,,,,Garrett Celek,,
1232,Robert Turbin,RB,,,,,,,,,,,,,,,Robert Turbin,,
1233,Bobby Wagner,LB,25757,Bobby Wagner,14979,Bobby Wagner,,,1631476,Bobby Wagner,,,,,,,,WagnBo99,Bobby Wagner
1234,Russell Wilson,QB,25785,Russell Wilson,14881,Russell Wilson,10951,Russell Wilson,1272242,Russell Wilson,12349,Russell Wilson,2532975,Russell Wilson,11180,Russell Wilson,Russell Wilson,WilsRu00,Russell Wilson
1242,Bruce Irvin,LB,,,14946,Bruce Irvin,,,,,,,,,,,,,
1244,Josh Gordon,WR,,,,,11724,Josh Gordon,,,,,,,,,Josh Gordon,,
1254,Josh Robinson,CB,,,14948,Josh Robinson,,,,,,,,,,,,,
1255,Mark Barron,LB,,,14932,Mark Barron,,,,,,,,,,,,,
1259,Olivier Vernon,DE,,,14982,Olivier Vernon,,,,,,,,,,,,,
1262,Alex Tanney,QB,,,,,,,,,,,,,,,Alex Tanney,,
1264,Justin Tucker,K,26534,Justin Tucker,15683,Justin Tucker,,,1985374,Justin Tucker,12674,Justin Tucker,2536340,Justin Tucker,11465,Justin Tucker,Justin Tucker,TuckJu44,Justin Tucker
1266,Greg Zuerlein,K,25881,Greg Zuerlein,14993,Greg Zuerlein,,,1971893,Greg Zuerlein,12445,Greg Zuerlein,2534797,Greg Zuerlein,11345,Greg Zuerlein,Greg Zuerlein,ZuerGr44,Greg Zuerlein
1272,Craig Robertson,LB,,,14860,Craig Robertson,,,,,,,,,,,,,
1273,Francis Owusu,WR,,,,,,,,,,,,,,,Francis Owusu,,
1283,Neiko Thorpe,CB,,,15535,Neiko Thorpe,,,,,,,,,,,,,
1287,Kai Forbath,K,,,,,,,,,,,,,,,Kai Forbath,,
1288,Lawrence Guy,DT,,,14185,Lawrence Guy,,,,,,,,,,,,,
1290,Jermaine Kearse,WR,,,,,,,,,,,,,,,Jermaine Kearse,,
1298,Anthony Levine,DB,,,13845,Anthony Levine Sr.,,,,,,,,,,,,,
1303,James Develin,FB,,,,,,,,,,,,,,,James Develin,,
1305,Patrick DiMarco,FB,,,,,,,,,,,,,,,Patrick DiMarco,,
1308,Jamize Olawale,FB,,,,,,,,,,,,,,,Jamize Olawale,,
1312,Josh Bellamy,WR,,,,,,,,,,,,,,,Josh Bellamy,,
1329,Chris Hogan,WR,,,,,,,,,,,,,,,Chris Hogan,,
1333,Russell Shepard,WR,,,,,,,,,,,,,,,Russell Shepard,,
1334,Damion Square,DT,,,16231,Damion Square,,,,,,,,,,,,,
1338,Matt Barkley,QB,26721,Matt Barkley,15948,Matt Barkley,,,,,13022,Matt Barkley,2539308,Matt Barkley,,,Matt Barkley,,
1339,Zach Ertz,TE,26658,Zach Ertz,15835,Zach Ertz,11816,Zach Ertz,1685963,Zach Ertz,13104,Zach Ertz,2540158,Zach Ertz,11689,Zach Ertz,Zach Ertz,ErtzZa00,Zach Ertz
1343,Jordan Poyer,DB,26841,Jordan Poyer,15979,Jordan Poyer,,,1665374,Jordan Poyer,,,,,,,,,
1345,Kiko Alonso,LB,,,15819,Kiko Alonso,,,,,,,,,,,,,
1346,Marquise Goodwin,WR,26701,Marquise Goodwin,15839,Marquise Goodwin,,,1691489,Marquise Goodwin,13135,Marquise Goodwin,2539964,Marquise Goodwin,11599,Marquise Goodwin,Marquise Goodwin,,
1348,Dustin Hopkins,K,26800,Dustin Hopkins,15965,Dustin Hopkins,,,1664151,Dustin Hopkins,13168,Dustin Hopkins,2539227,Dustin Hopkins,11818,Dustin Hopkins,Dustin Hopkins,HopkDu44,Dustin Hopkins
1352,Robert Woods,WR,26664,Robert Woods,15880,Robert Woods,11817,Robert Woods,1754280,Robert Woods,13459,Robert Woods,2540169,Robert Woods,11610,Robert Woods,Robert Woods,WoodRo01,Robert Woods
1356,Dion Jordan,DE,,,15800,Dion Jordan,,,,,,,,,,,,,
1359,Jamar Taylor,CB,,,15866,Jamar Taylor,,,,,,,,,,,,,
1364,Jamie Collins,LB,,,15830,Jamie Collins Sr.,,,,,,,,,,,,,
1366,Duron Harmon,DB,,,15842,Duron Harmon,,,,,,,,,,,,,
1367,Logan Ryan,DB,,,15861,Logan Ryan,,,,,,,,,,,,,
1372,Sheldon Richardson,DT,,,15811,Sheldon Richardson,,,,,,,,,,,,,
1373,Geno Smith,QB,26662,Geno Smith,15864,Geno Smith,11818,Geno Smith,1700358,Geno Smith,13362,Geno Smith,2539335,Geno Smith,11687,Geno Smith,Geno Smith,SmitGe01,Geno Smith
1379,Kyle Juszczyk,FB,26753,Kyle Juszczyk,16002,Kyle Juszczyk,11911,Kyle Juszczyk,1683145,Kyle Juszczyk,13213,Kyle Juszczyk,2540230,Kyle Juszczyk,11798,Kyle Juszczyk,Kyle Juszczyk,JuszKy00,Kyle Juszczyk
1381,John Simon,LB,,,16010,John Simon,,,,,,,,,,,,,
1383,Brandon Williams,DT,,,,,,,,,,,,,,,,,
1386,Giovani Bernard,RB,,,,,,,,,,,,,,,Giovani Bernard,,
1387,Rex Burkhead,RB,,,,,,,,,,,,,11655,Rex Burkhead,Rex Burkhead,,
1388,Tyler Eifert,TE,,,,,,,,,,,,,,,Tyler Eifert,,
1392,Margus Hunt,DE,,,15844,Margus Hunt,,,,,,,,,,,,,
1395,Shawn Williams,DB,,,15877,Shawn Williams,,,,,,,,,,,,,
1405,Barkevious Mingo,LB,,,15805,Barkevious Mingo,,,,,,,,,,,,,
1408,Le'Veon Bell,RB,,,,,,,,,,,,,,,Le'Veon Bell,,
