name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Chris Godwin";"TB";"WR";30.5;2505;"4037";"13163";1599;137;53;91
"2026 Pick 2.08";"";"PICK";;16560;"DP_1_7";"DP_1_7";1593;138;29;-17
"Jalen Coker";"CAR";"WR";24.8;11783;"11646";"16809";1591;138;54;60
"Brenton Strange";"JAX";"TE";25.6;9948;"9480";"16269";1580;139;16;-26
"Courtland Sutton";"DEN";"WR";30.8;818;"5045";"13630";1580;140;55;14
"Nicholas Singleton";"TEN";"RB";22.6;13515;"13288";"17476";1577;141;39;-130
"Michael Penix";"ATL";"QB";26.3;11739;"11559";"16583";1565;142;32;-246
"Chig Okonkwo";"WAS";"TE";26.9;722;"8210";"15889";1563;143;17;58
"Mark Andrews";"BAL";"TE";30.9;4519;"5012";"13671";1553;144;18;-155
"Jacory Croskey-Merritt";"WAS";"RB";25.3;12697;"12533";"17256";1552;145;40;15
"AJ Barner";"SEA";"TE";24.3;11720;"11603";"16723";1540;146;19;57
"2027 2nd (Mid)";"";"PICK";;15355;"FP_2027_mid_1";"FP_2027_mid_1";1537;147;30;-19
"2026 Pick 2.09";"";"PICK";;16561;"DP_1_8";"DP_1_8";1535;147;31;-17
"Antonio Williams";"WAS";"WR";22.1;13422;"13301";"17512";1524;147;56;-143
"2027 2nd";"";"PICK";;9693;"FP_2027_2";"FP_2027_2";1512;148;32;-19
"Travis Kelce";"KC";"TE";36.9;2204;"1466";"11244";1511;148;20;-37
"Tony Pollard";"TEN";"RB";29.3;407;"5967";"14085";1508;149;41;-12
"Jacoby Brissett";"ARI";"QB";33.7;2042;"3257";"12616";1507;150;33;142
"Terrance Ferguson";"LAR";"TE";23.4;12596;"12487";"17107";1499;151;21;255
"Zachariah Branch";"ATL";"WR";22.4;13496;"13320";"17507";1496;152;57;57
"T.J. Hockenson";"MIN";"TE";29.1;8215;"5844";"14138";1488;153;22;65
"2026 Pick 2.10";"";"PICK";;16562;"DP_1_9";"DP_1_9";1481;154;33;-17
"Ricky Pearsall";"SF";"WR";25.9;11752;"11638";"16622";1469;154;58;-448
"Jalen McMillan";"TB";"WR";24.7;11754;"11618";"16628";1458;155;59;58
"Jordan Mason";"MIN";"RB";27.2;5469;"8408";"15972";1458;156;42;114
"Jakobi Meyers";"JAX";"WR";29.8;2463;"5947";"14127";1439;157;60;-90
"Dallas Goedert";"PHI";"TE";31.6;5988;"5022";"13674";1434;158;23;52
"Romeo Doubs";"NE";"WR";26.3;2419;"8121";"15779";1434;159;61;-99
"Geno Smith";"NYJ";"QB";35.8;6305;"1373";"11150";1432;160;34;7
"2026 Pick 2.11";"";"PICK";;16563;"DP_1_10";"DP_1_10";1430;161;34;-18
