rank,player,position,team,tier,pos_rank,pos_tier,adp,sleeper_id
253,Mike Gesicki,TE,CIN,39,35,14,212.2,4993
254,Jaylen Wright,RB,MIA,39,79,23,216.9,11643
255,Keon Coleman,WR,BUF,39,98,23,223.4,11637
256,Cam Little,K,JAX,39,9,5,158.1,11786
257,Ollie Gordon II,RB,MIA,39,80,23,248.9,12495
258,Seth McGowan,RB,IND,39,81,23,226.9,13424
259,Will Reichard,K,MIN,39,10,5,,11792
260,Elic Ayomanor,WR,TEN,39,99,24,243.2,12499
261,Darius Slayton,WR,NYG,39,100,24,275.3,6149
262,Eli Stowers,TE,PHI,39,36,15,192.7,13349
263,Chase McLaughlin,K,TB,39,11,5,190.2,6650
264,LeQuint Allen Jr.,RB,JAC,39,82,23,250.6,12544
265,Jake Bates,K,DET,39,12,5,,11539
266,Jalen Tolbert,WR,MIA,39,101,24,289.6,8117
267,Brashard Smith,RB,KC,39,83,23,260.7,12455
268,Jahan Dotson,WR,ATL,39,102,24,252.6,8119
269,Eli Raridon,TE,NE,39,37,15,238.5,13421
270,Cairo Santos,K,CHI,39,13,5,,2020
271,Harrison Mevis,K,LA,39,14,5,,12015
272,Christian Kirk,WR,SF,39,103,24,242.1,4950
273,Barion Brown,WR,NO,39,104,24,,13533
274,Bryce Lance,WR,NO,39,105,24,291,13420
275,Joey Slye,K,TEN,39,15,5,,6528
276,Dawson Knox,TE,BUF,39,38,15,249,5906
277,Theo Johnson,TE,NYG,39,39,15,217.5,11597
278,Marvin Mims Jr.,WR,DEN,39,106,24,251.4,9494
279,Trevor Etienne,RB,CAR,39,84,23,,12531
280,Elijah Sarratt,WR,BAL,39,107,24,219.5,13268
281,Ty Johnson,RB,BUF,39,85,23,262.2,6039
282,Chimere Dike,WR,TEN,39,108,24,218.6,12540
283,Cole Kmet,TE,CHI,39,40,15,265.7,6826
284,Jalen Royals,WR,KC,39,109,24,,12505
285,Devin Neal,RB,NO,39,86,23,260.4,12476
286,Brandon Aiyuk,WR,FA,39,110,24,207.2,6803
287,Darren Waller,TE,CAR,39,41,15,208.2,2505
288,Darnell Washington,TE,PIT,39,42,15,234.9,9479
289,Mason Taylor,TE,NYJ,39,43,15,214.4,12498
290,Oscar Delp,TE,NO,39,44,15,277.7,13319
291,Devin Singletary,RB,NYG,39,87,23,,6130
292,Xavier Hutchinson,WR,HOU,39,111,24,,10218
293,Xavier Legette,WR,CAR,39,112,24,,11626
294,Kendrick Bourne,WR,ARI,39,113,24,,4454
295,Andrei Iosivas,WR,CIN,39,114,24,242.9,10226
296,Kalif Raymond,WR,CHI,39,115,24,,3634
297,Tahj Brooks,RB,CIN,39,88,23,281.4,12543
298,Elijah Arroyo,TE,SEA,39,45,15,255,12521
299,Emari Demercado,RB,KC,39,89,23,,11199
300,Jarquez Hunter,RB,LAR,39,90,23,278.6,11569
301,Jerome Ford,RB,WAS,39,91,23,,8143
302,Kaleb Johnson,RB,PIT,39,92,23,238.4,12504
303,Trey Benson,RB,ARI,39,93,23,,11589
304,Andy Borregales,K,NE,39,16,5,,12713
305,Hollywood Brown,WR,PHI,39,116,24,283.1,5848
306,Tyreek Hill,WR,FA,39,117,24,,3321
307,Kendre Miller,RB,NO,39,94,23,269.6,9757
308,Chad Ryland,K,ARI,39,17,5,,10955
309,J.J. McCarthy,QB,MIN,39,36,17,199.7,11565
310,Mack Hollins,WR,NE,39,118,24,,4177
311,Jake Tonges,TE,SF,39,46,15,204.8,8698
312,Evan McPherson,K,CIN,39,18,5,,7839
313,Erick All Jr.,TE,CIN,39,47,15,,11592
314,KaVontae Turpin,WR,DAL,39,119,24,281,8917
315,Nick Folk,K,ATL,39,19,5,,650
316,Matt Hibner,TE,BAL,39,48,15,,13324
317,Audric Estime,RB,NO,39,95,23,280.7,11579
318,Joe Mixon,RB,FA,39,96,23,,4018
319,Joshua Palmer,WR,BUF,39,120,24,,7670
320,Ryan Fitzgerald,K,CAR,39,20,5,,12961
321,Jake Elliott,K,PHI,39,21,5,,4195
322,Charlie Smyth,K,NO,39,22,5,,11653
323,Zane Gonzalez,K,MIA,39,23,5,,4233
324,Blake Grupe,K,IND,39,24,5,,11058
325,Jake Moody,K,WAS,39,25,5,,10937
326,Wil Lutz,K,DEN,39,26,5,195,3678
327,Tyler Bass,K,BUF,39,27,5,,7042
328,Jason Sanders,K,NYG,39,28,5,,5119
329,Matt Gay,K,LV,39,29,5,,6083
330,Andre Szmyt,K,CLE,39,30,5,,11261
331,Cade York,K,NYJ,39,31,5,,8258
332,Trey Smack,K,GB,39,32,5,,13545
