name,position,ktc_player_id,ktc_slug,sleeper_id,team,rank_basis,history_days,history_start,history_end
Drew Lock,QB,33,drew-lock-33,5854,SEA,sf,2218,2020-05-26,2026-06-21
Dyami Brown,WR,1069,dyami-brown-1069,7587,WAS,sf,1922,2021-03-18,2026-06-21
Dylan Sampson,RB,1747,dylan-sampson-1747,,CLE,sf,491,2025-02-13,2026-06-21
Efton Chism,WR,1838,efton-chism-1838,,NEP,sf,381,2025-06-03,2026-06-21
Eli Heidenreich,RB,2036,eli-heidenreich-2036,,PIT,sf,54,2026-04-28,2026-06-21
Eli Raridon,TE,2018,eli-raridon-2018,,NEP,sf_tep,55,2026-04-27,2026-06-21
Eli Stowers,TE,2006,eli-stowers-2006,,PHI,sf_tep,123,2026-02-18,2026-06-21
Elic Ayomanor,WR,1773,elic-ayomanor-1773,,TEN,sf,491,2025-02-13,2026-06-21
Elijah Arroyo,TE,1808,elijah-arroyo-1808,,SEA,sf_tep,491,2025-02-13,2026-06-21
Elijah Higgins,TE,1469,elijah-higgins-1469,10231,ARI,sf_tep,1144,2023-05-02,2026-06-21
Elijah Mitchell,RB,1013,elijah-mitchell-1013,7561,PHI,sf,1916,2021-03-21,2026-06-21
Elijah Moore,WR,1012,elijah-moore-1012,7596,PHI,sf,1922,2021-03-18,2026-06-21
Elijah Sarratt,WR,1967,elijah-sarratt-1967,,BAL,sf,123,2026-02-18,2026-06-21
Emanuel Wilson,RB,1515,emanuel-wilson-1515,11435,SEA,sf,1023,2023-08-31,2026-06-21
Emari Demercado,RB,1481,emari-demercado-1481,11199,KCC,sf,1135,2023-05-11,2026-06-21
Emeka Egbuka,WR,1781,emeka-egbuka-1781,,TBB,sf,491,2025-02-13,2026-06-21
Emmett Johnson,RB,1936,emmett-johnson-1936,,KCC,sf,123,2026-02-18,2026-06-21
Erick All,TE,1616,erick-all-1616,,CIN,sf_tep,854,2024-02-16,2026-06-21
Evan Engram,TE,229,evan-engram-229,4066,DEN,sf_tep,2273,2020-04-01,2026-06-21
