season,pos_a,pos_b,pair_key,player_a,player_b,player_id_a,player_id_b,value_a,value_b,value_gap,hvorp_a,hvorp_b,delta
2021,QB,WR,QB_vs_WR,Justin Herbert,A.J. Brown,6797,5859,6301,6377,-76,353.3,105.1,248.2
2021,QB,WR,QB_vs_WR,Justin Herbert,Justin Jefferson,6797,6794,6301,6131,170,353.3,205.3,148
2021,QB,WR,QB_vs_WR,Matthew Stafford,Keenan Allen,421,1479,5901,5743,158,312.2,146.6,165.6
2021,QB,WR,QB_vs_WR,Jalen Hurts,Keenan Allen,6904,1479,5661,5743,-82,312.2,146.6,165.6
2021,QB,WR,QB_vs_WR,Jalen Hurts,Terry McLaurin,6904,5927,5661,5623,38,312.2,127.2,185
2021,QB,WR,QB_vs_WR,Ryan Tannehill,Terry McLaurin,1049,5927,5534,5623,-89,241.1,127.2,113.9
2021,QB,WR,QB_vs_WR,Ryan Tannehill,CeeDee Lamb,1049,6786,5534,5371,163,241.1,149.3,91.8
2021,QB,WR,QB_vs_WR,Joe Burrow,Robert Woods,6770,1352,5059,5216,-157,314.2,92.2,222
2021,QB,WR,QB_vs_WR,Joe Burrow,Amari Cooper,6770,2309,5059,5052,7,314.2,126.6,187.6
2021,QB,WR,QB_vs_WR,Joe Burrow,Chris Godwin,6770,4037,5059,5041,18,314.2,144.4,169.8
2021,QB,WR,QB_vs_WR,Trevor Lawrence,Tyler Lockett,7523,2374,4817,4842,-25,180.4,146.4,34
2021,QB,WR,QB_vs_WR,Trevor Lawrence,Adam Thielen,7523,1689,4817,4668,149,180.4,132.8,47.6
2021,QB,WR,QB_vs_WR,Kirk Cousins,Tyler Lockett,1166,2374,4711,4842,-131,278.4,146.4,132
2021,QB,WR,QB_vs_WR,Kirk Cousins,Adam Thielen,1166,1689,4711,4668,43,278.4,132.8,145.6
2021,QB,WR,QB_vs_WR,Kirk Cousins,Cooper Kupp,1166,4039,4711,4601,110,278.4,274.9,3.5
2021,QB,WR,QB_vs_WR,Kirk Cousins,Diontae Johnson,1166,5937,4711,4549,162,278.4,162.3,116.1
2021,QB,WR,QB_vs_WR,Kirk Cousins,D.J. Moore,1166,4983,4711,4531,180,278.4,134.5,143.9
2021,QB,WR,QB_vs_WR,Justin Fields,Adam Thielen,7591,1689,4637,4668,-31,126.8,132.8,-6
2021,QB,WR,QB_vs_WR,Justin Fields,Cooper Kupp,7591,4039,4637,4601,36,126.8,274.9,-148.1
2021,QB,WR,QB_vs_WR,Justin Fields,Diontae Johnson,7591,5937,4637,4549,88,126.8,162.3,-35.5
2021,QB,WR,QB_vs_WR,Justin Fields,D.J. Moore,7591,4983,4637,4531,106,126.8,134.5,-7.7
2021,QB,WR,QB_vs_WR,Trey Lance,Cooper Kupp,7610,4039,4439,4601,-162,64.9,274.9,-210
2021,QB,WR,QB_vs_WR,Trey Lance,Diontae Johnson,7610,5937,4439,4549,-110,64.9,162.3,-97.4
2021,QB,WR,QB_vs_WR,Trey Lance,D.J. Moore,7610,4983,4439,4531,-92,64.9,134.5,-69.6
2021,QB,WR,QB_vs_WR,Trey Lance,Brandon Aiyuk,7610,6803,4439,4385,54,64.9,103.6,-38.7
2021,QB,WR,QB_vs_WR,Trey Lance,Chase Claypool,7610,6886,4439,4371,68,64.9,94.6,-29.7
2021,QB,WR,QB_vs_WR,Baker Mayfield,Diontae Johnson,4892,5937,4361,4549,-188,180.9,162.3,18.6
2021,QB,WR,QB_vs_WR,Baker Mayfield,D.J. Moore,4892,4983,4361,4531,-170,180.9,134.5,46.4
2021,QB,WR,QB_vs_WR,Baker Mayfield,Brandon Aiyuk,4892,6803,4361,4385,-24,180.9,103.6,77.3
2021,QB,WR,QB_vs_WR,Baker Mayfield,Chase Claypool,4892,6886,4361,4371,-10,180.9,94.6,86.3
2021,QB,WR,QB_vs_WR,Baker Mayfield,JuJu Smith-Schuster,4892,4040,4361,4208,153,180.9,19.8,161.1
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,Odell Beckham,6768,2078,3941,4127,-186,168.8,83.3,85.5
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,Tee Higgins,6768,6801,3941,4055,-114,168.8,145.1,23.7
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,Courtland Sutton,6768,5045,3941,3963,-22,168.8,90.3,78.5
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,Jerry Jeudy,6768,6783,3941,3903,38,168.8,44,124.8
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,Ja'Marr Chase,6768,7564,3941,3822,119,168.8,221,-52.2
2021,QB,WR,QB_vs_WR,Derek Carr,Laviska Shenault,2028,6814,3113,3237,-124,241.6,57.8,183.8
2021,QB,WR,QB_vs_WR,Derek Carr,D.J. Chark,2028,4951,3113,3133,-20,241.6,27.4,214.2
