season,pos_a,pos_b,pair_key,player_a,player_b,player_id_a,player_id_b,value_a,value_b,value_gap,hvorp_a,hvorp_b,delta
2021,QB,RB,QB_vs_RB,Mitchell Trubisky,Kene Nwangwu,3976,7720,354,369,-15,7.8,18.6,-10.8
2021,QB,RB,QB_vs_RB,Mitchell Trubisky,Trayveon Williams,3976,6144,354,223,131,7.8,1.3,6.5
2021,QB,RB,QB_vs_RB,Mitchell Trubisky,Cordarrelle Patterson,3976,1535,354,175,179,7.8,181.4,-173.6
2021,QB,RB,QB_vs_RB,Geno Smith,Cordarrelle Patterson,1373,1535,0,175,-175,54.3,181.4,-127.1
2021,QB,RB,QB_vs_RB,Geno Smith,Craig Reynolds,1373,6659,0,0,0,54.3,28,26.3
2021,QB,RB,QB_vs_RB,Geno Smith,D'Ernest Johnson,1373,6694,0,0,0,54.3,65.8,-11.5
2021,QB,RB,QB_vs_RB,Geno Smith,D'Onta Foreman,1373,4111,0,0,0,54.3,76.5,-22.2
2021,QB,RB,QB_vs_RB,Geno Smith,Deon Jackson,1373,7551,0,0,0,54.3,9.1,45.2
2021,QB,RB,QB_vs_RB,Geno Smith,Gary Brightwell,1373,7529,0,0,0,54.3,1,53.3
2021,QB,RB,QB_vs_RB,Jacoby Brissett,Cordarrelle Patterson,3257,1535,0,175,-175,72.3,181.4,-109.1
2021,QB,RB,QB_vs_RB,Jacoby Brissett,Craig Reynolds,3257,6659,0,0,0,72.3,28,44.3
2021,QB,RB,QB_vs_RB,Jacoby Brissett,D'Ernest Johnson,3257,6694,0,0,0,72.3,65.8,6.5
2021,QB,RB,QB_vs_RB,Jacoby Brissett,D'Onta Foreman,3257,4111,0,0,0,72.3,76.5,-4.2
2021,QB,RB,QB_vs_RB,Jacoby Brissett,Deon Jackson,3257,7551,0,0,0,72.3,9.1,63.2
2021,QB,RB,QB_vs_RB,Jacoby Brissett,Gary Brightwell,3257,7529,0,0,0,72.3,1,71.3
2021,QB,RB,QB_vs_RB,Joe Flacco,Cordarrelle Patterson,19,1535,0,175,-175,23.8,181.4,-157.6
2021,QB,RB,QB_vs_RB,Joe Flacco,Craig Reynolds,19,6659,0,0,0,23.8,28,-4.2
2021,QB,RB,QB_vs_RB,Joe Flacco,D'Ernest Johnson,19,6694,0,0,0,23.8,65.8,-42
2021,QB,RB,QB_vs_RB,Joe Flacco,D'Onta Foreman,19,4111,0,0,0,23.8,76.5,-52.7
2021,QB,RB,QB_vs_RB,Joe Flacco,Deon Jackson,19,7551,0,0,0,23.8,9.1,14.7
2021,QB,RB,QB_vs_RB,Joe Flacco,Gary Brightwell,19,7529,0,0,0,23.8,1,22.8
2021,QB,RB,QB_vs_RB,Mason Rudolph,Cordarrelle Patterson,4972,1535,0,175,-175,18.4,181.4,-163
2021,QB,RB,QB_vs_RB,Mason Rudolph,Craig Reynolds,4972,6659,0,0,0,18.4,28,-9.6
2021,QB,RB,QB_vs_RB,Mason Rudolph,D'Ernest Johnson,4972,6694,0,0,0,18.4,65.8,-47.4
2021,QB,RB,QB_vs_RB,Mason Rudolph,D'Onta Foreman,4972,4111,0,0,0,18.4,76.5,-58.1
2021,QB,RB,QB_vs_RB,Mason Rudolph,Deon Jackson,4972,7551,0,0,0,18.4,9.1,9.3
2021,QB,RB,QB_vs_RB,Mason Rudolph,Gary Brightwell,4972,7529,0,0,0,18.4,1,17.4
2021,QB,RB,QB_vs_RB,Mike White,Cordarrelle Patterson,5089,1535,0,175,-175,44,181.4,-137.4
2021,QB,RB,QB_vs_RB,Mike White,Craig Reynolds,5089,6659,0,0,0,44,28,16
2021,QB,RB,QB_vs_RB,Mike White,D'Ernest Johnson,5089,6694,0,0,0,44,65.8,-21.8
2021,QB,RB,QB_vs_RB,Mike White,D'Onta Foreman,5089,4111,0,0,0,44,76.5,-32.5
2021,QB,RB,QB_vs_RB,Mike White,Deon Jackson,5089,7551,0,0,0,44,9.1,34.9
2021,QB,RB,QB_vs_RB,Mike White,Gary Brightwell,5089,7529,0,0,0,44,1,43
2021,QB,RB,QB_vs_RB,Nick Mullens,Cordarrelle Patterson,4464,1535,0,175,-175,9.9,181.4,-171.5
