player_id,player_name,player_display_name,position,position_group,headshot_url,season,season_type,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,fantasy_points,fantasy_points_ppr
00-0022751,D.Watts,Darius Watts,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/amk2z6ocbrcmfglcwiur",2005,REG,DEN,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,2,0,22,0,0,0,0,0,2,1.16845807619393,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,2.2,4.2
00-0022753,A.Hargrove,Anthony Hargrove,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pbmhrzsdp1arbzhfszmq",2005,REG,LA,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,36,8,7,0,0,0,6.5,28,0,0,0,2,0,0,0,0,0,0,2,2,0,6,39,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,0
00-0022754,S.Parker,Samie Parker,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pa5qjbe4xxtck20ahrvr",2005,REG,KC,11,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,36,0,533,3,2,2,0,0,28,43.2054740304884,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,67.3,103.3
00-0022755,J.Scott,Jake Scott,G,OL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yytxe891mmyqb932bmab",2005,REG,IND,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,0
00-0022758,R.Reynolds,Rob Reynolds,LB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/garkr2lgmtc767nngmsw",2005,REG,TEN,14,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,11,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,30,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,0
00-0022760,K.Butler,Kelly Butler,OT,OL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wjemtzosltbyfxsylriy",2005,REG,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,7,45,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,0
00-0022763,D.Wynn,Dexter Wynn,DB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lnfofyq5zwuj3rlgz2va",2005,REG,PHI,10,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,8,1,2,0,0,0,0,0,0,0,0,2,0,4,0,0,3,3,0,0,0,1,5,22,110,16,284,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,0
00-0022764,C.Anderson,Charlie Anderson,LB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sdt92ppzzvg6pqcrksmp",2005,REG,HOU,11,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,10,4,4,0,0,0,1,14,0,0,0,2,0,0,0,0,0,0,1,1,0,1,10,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,0
00-0022766,P.Crayton,Patrick Crayton,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yti9l84jb0ip9ysswdee",2005,REG,DAL,11,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,0,0,0,0,0,-2.72052090405487,0,22,0,341,2,1,0,0,0,15,36.8781182094535,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,10,23,166,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,46.1,68.1
00-0022767,J.Reeves,Jacques Reeves,CB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o95df6i7jmhrzzg9r9uy",2005,REG,DAL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,12,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,0
00-0022768,M.Mauck,Matt Mauck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pljheww872q9g0zegshd",2005,REG,TEN,2,15,27,136,0,1,1,-8,0,0,0,136,6,-11.0496184649528,,0,0,7,39,0,1,1,2,-2.3117365425569,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,5.34,5.34
00-0022770,D.Ward,Derrick Ward,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/alp1lllkthvns8nnaul0",2005,REG,NYG,12,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,35,123,0,0,0,8,-5.17355878136004,0,2,0,13,0,0,0,0,0,0,1.76710334978998,0,0,,,,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,13.6,15.6
