rank,player,position,team,adp,samples,sleeper_id
65.8,Kyle Pitts,TE,ATL,65.8,99,7553
66.2,Davante Adams,WR,LAR,66.2,99,2133
66.4,Matthew Stafford,QB,LAR,66.4,99,421
67,Bucky Irving,RB,TB,67,99,11584
68.8,Cam Skattebo,RB,NYG,68.8,99,12481
70.5,Mike Evans,WR,SF,70.5,99,2216
70.7,DJ Moore,WR,BUF,70.7,99,4983
70.8,TreVeyon Henderson,RB,NE,70.8,99,12529
72.8,Jordan Love,QB,GB,72.8,99,6804
73,Christian Watson,WR,GB,73,99,8167
74,Rome Odunze,WR,CHI,74,99,11620
74.1,Carnell Tate,WR,TEN,74.1,99,13279
75.6,Quinshon Judkins,RB,CLE,75.6,99,12512
76.4,Baker Mayfield,QB,TB,76.4,99,4892
82.3,D'Andre Swift,RB,CHI,82.3,99,6790
82.5,David Montgomery,RB,HOU,82.5,99,5892
83.1,Brian Thomas,WR,JAX,83.1,99,11631
84.1,Bhayshul Tuten,RB,JAX,84.1,99,12490
86,Kyler Murray,QB,MIN,86,99,5849
86.8,George Kittle,TE,SF,86.8,99,4217
87.6,Marvin Harrison,WR,ARI,87.6,99,11628
89.4,Tyler Shough,QB,NO,89.4,99,12545
90.5,Jordyn Tyson,WR,NO,90.5,99,13281
90.8,Parker Washington,WR,JAX,90.8,98,9487
91.7,Travis Kelce,TE,KC,91.7,99,1466
92.5,Alec Pierce,WR,IND,92.5,99,8142
92.5,DK Metcalf,WR,PIT,92.5,99,5846
94.4,Dalton Kincaid,TE,BUF,94.4,99,10236
94.5,Courtland Sutton,WR,DEN,94.5,99,5045
95.4,Sam Darnold,QB,SEA,95.4,99,4943
98.6,Jake Ferguson,TE,DAL,98.6,99,8110
100.7,Michael Wilson,WR,ARI,100.7,99,10232
101.1,Jadarian Price,RB,SEA,101.1,99,13286
101.9,Jaylen Warren,RB,PIT,101.9,99,8228
102.1,Chris Godwin,WR,TB,102.1,99,4037
102.2,Makai Lemon,WR,PHI,102.2,98,13294
103.7,Mark Andrews,TE,BAL,103.7,99,5012
104.2,C.J. Stroud,QB,HOU,104.2,99,9758
104.6,RJ Harvey,RB,DEN,104.6,99,12489
105.4,Isaiah Likely,TE,NYG,105.4,99,8131
107.9,Cam Ward,QB,TEN,107.9,97,12522
108.8,Dallas Goedert,TE,PHI,108.8,99,5022
109.2,Oronde Gadsden,TE,LAC,109.2,99,12493
111.9,Jordan Addison,WR,MIN,111.9,98,9756
112.1,Rhamondre Stevenson,RB,NE,112.1,99,7611
112.3,Michael Pittman,WR,PIT,112.3,98,6819
112.5,Quentin Johnston,WR,LAC,112.5,98,9754
112.9,Jakobi Meyers,WR,JAX,112.9,98,5947
113.3,Tony Pollard,RB,TEN,113.3,99,5967
114.7,Malik Willis,QB,MIA,114.7,97,8161
116.1,Chuba Hubbard,RB,CAR,116.1,99,7594
116.3,Josh Downs,WR,IND,116.3,99,9500
116.8,Jayden Reed,WR,GB,116.8,98,10222
116.9,Wan'Dale Robinson,WR,TEN,116.9,98,8126
117.7,Brenton Strange,TE,JAX,117.7,99,9480
118,Daniel Jones,QB,IND,118,96,5870
119.5,Hunter Henry,TE,NE,119.5,99,3214
120,Rico Dowdle,RB,PIT,120,98,7021
123.4,Bryce Young,QB,CAR,123.4,95,9228
123.7,Kyle Monangai,RB,CHI,123.7,98,12534
124,J.K. Dobbins,RB,DEN,124,98,6806
126.7,Blake Corum,RB,LAR,126.7,98,11586
127.9,Xavier Worthy,WR,KC,127.9,98,11624
128.2,Chig Okonkwo,TE,WAS,128.2,96,8210
130.7,Juwan Johnson,TE,NO,130.7,99,7002
131.4,Kenyon Sadiq,TE,NYJ,131.4,95,13330
131.6,Kenny Gainwell,RB,TB,131.6,98,7567
132.2,Fernando Mendoza,QB,LV,132.2,91,13269
133.8,KC Concepcion,WR,CLE,133.8,98,13298
134.2,Romeo Doubs,WR,NE,134.2,98,8121
134.7,Stefon Diggs,WR,WAS,134.7,98,2449
134.9,Matthew Golden,WR,GB,134.9,97,12501
136.2,Khalil Shakir,WR,BUF,136.2,98,8134
136.3,T.J. Hockenson,TE,MIN,136.3,94,5844
136.6,Jayden Higgins,WR,HOU,136.6,98,12484
137.3,Dalton Schultz,TE,HOU,137.3,98,5001
137.8,Jonathon Brooks,RB,CAR,137.8,97,11583
139.3,Jalen Coker,WR,CAR,139.3,98,11646
141,Aaron Jones,RB,MIN,141,99,4199
143,Jacory Croskey-Merritt,RB,WAS,143,98,12533
144.4,AJ Barner,TE,SEA,144.4,94,11603
144.6,Jordan Mason,RB,MIN,144.6,98,8408
147.1,Jacoby Brissett,QB,ARI,147.1,88,3257
148.1,Rashid Shaheed,WR,SEA,148.1,94,8676
149.3,Rachaad White,RB,WAS,149.3,98,8136
155.6,Greg Dulcich,TE,MIA,155.6,75,8172
156.8,Geno Smith,QB,NYJ,156.8,87,1373
157.4,Aaron Rodgers,QB,PIT,157.4,86,96
158.2,Tyrone Tracy,RB,NYG,158.2,96,11655
159.9,Denzel Boston,WR,CLE,159.9,91,13346
160.2,Gunnar Helm,TE,TEN,160.2,84,12502
161,Cade Otton,TE,TB,161,83,8111
161.3,Omar Cooper,WR,NYJ,161.3,88,13276
161.8,Brian Robinson,RB,ATL,161.8,92,8154
162.4,Jalen McMillan,WR,TB,162.4,83,11618
163.9,Jalen Nailor,WR,LV,163.9,88,8180
164,Tyler Allgeier,RB,ARI,164,95,8132
164.5,Zach Charbonnet,RB,SEA,164.5,94,9753
165,Jauan Jennings,WR,MIN,165,94,7049
165,Terrance Ferguson,TE,LAR,165,81,12487
165.5,Woody Marks,RB,HOU,165.5,97,12474
166.6,Travis Hunter,WR,JAX,166.6,88,12530
167.2,Tua Tagovailoa,QB,ATL,167.2,85,6768
167.7,Deebo Samuel,WR,SF,167.7,96,5872
167.8,Antonio Williams,WR,WAS,167.8,79,13301
168.8,Cam Little,WR,,168.8,8,835
169,David Njoku,TE,LAC,169,76,4033
172.1,Chris Rodriguez,RB,JAX,172.1,94,10219
173,Alvin Kamara,RB,NO,173,90,4035
173.4,Pat Freiermuth,TE,PIT,173.4,76,7600
176.3,Tre Tucker,WR,LV,176.3,73,10213
177,De'Zhaun Stribling,WR,SF,177,90,13417
177.6,Jerry Jeudy,WR,CLE,177.6,79,6783
178.3,Adonai Mitchell,WR,NYJ,178.3,81,11625
178.5,Tyjae Spears,RB,TEN,178.5,86,9508
178.6,Jason Myers,TE,,178.6,5,397
178.6,Jonah Coleman,RB,DEN,178.6,86,13345
179.5,Eli Stowers,TE,PHI,179.5,71,13349
179.9,Keaton Mitchell,RB,LAC,179.9,86,9511
180.6,Colby Parkinson,TE,LAR,180.6,75,6865
182.9,Ryan Flournoy,WR,DAL,182.9,72,11783
183.4,Isaac TeSlaa,WR,DET,183.4,74,12535
186,Tre' Harris,WR,LAC,186,76,12509
186.8,Isiah Pacheco,RB,DET,186.8,85,8205
187.1,James Conner,RB,ARI,187.1,76,4137
187.4,Malik Washington,WR,MIA,187.4,78,11610
188.5,Michael Penix,QB,ATL,188.5,69,11559
189.4,Dylan Sampson,RB,CLE,189.4,82,12469
189.7,Emmett Johnson,RB,KC,189.7,76,13337
190.1,Shedeur Sanders,QB,CLE,190.1,71,12524
191.7,Zachariah Branch,WR,ATL,191.7,79,13320
191.7,Tank Dell,WR,HOU,191.7,78,9502
193.6,Jake Tonges,TE,SF,193.6,73,8698
193.9,Calvin Ridley,WR,TEN,193.9,70,4981
194.8,Kayshon Boutte,WR,NE,194.8,73,9504
195.2,Tank Bigsby,RB,PHI,195.2,75,9225
196,Mike Gesicki,TE,CIN,196,61,4993
199.1,Kirk Cousins,QB,LV,199.1,61,1166
200.9,Theo Johnson,TE,NYG,200.9,59,11597
201.4,Ja'Kobi Lane,WR,BAL,201.4,71,13293
202.5,Nicholas Singleton,RB,TEN,202.5,63,13288
202.9,Ty Simpson,QB,LAR,202.9,39,13275
203.9,Troy Franklin,WR,DEN,203.9,61,11627
203.9,Cyrus Allen,WR,KC,203.9,26,13413
205.4,Braelon Allen,RB,NYJ,205.4,67,11576
205.9,Mike Washington,RB,LV,205.9,60,13305
206,Deshaun Watson,QB,CLE,206,62,4017
206.6,Mason Taylor,TE,NYJ,206.6,57,12498
207.6,Germie Bernard,WR,PIT,207.6,70,13274
207.7,Darnell Mooney,WR,NYG,207.7,65,7090
207.8,Kimani Vidal,RB,LAC,207.8,62,11647
208.2,Chimere Dike,WR,TEN,208.2,52,12540
208.3,Evan Engram,TE,DEN,208.3,51,4066
209.1,Jaylin Noel,WR,HOU,209.1,51,12536
209.3,Ted Hurst,WR,TB,209.3,61,13317
210.2,Trey Benson,RB,ARI,210.2,41,11589
210.2,Pat Bryant,WR,DEN,210.2,57,12492
210.3,Cooper Kupp,WR,SEA,210.3,54,4039
210.7,Dontayvion Wicks,WR,PHI,210.7,60,9486
212,Brandon Aiyuk,WR,SF,212,49,6803
213.1,Tory Horton,WR,SEA,213.1,54,12497
213.3,MarShawn Lloyd,RB,GB,213.3,44,11581
213.4,Rashod Bateman,WR,BAL,213.4,54,7571
213.8,Malachi Fields,WR,NYG,213.8,59,13285
213.8,Chris Bell,WR,MIA,213.8,50,13311
214,J.J. McCarthy,QB,MIN,214,42,11565
214.7,Sean Tucker,RB,TB,214.7,45,9506
214.8,Ray Davis,RB,BUF,214.8,51,11575
214.8,George Holani,RB,SEA,214.8,11,12048
215.1,Jack Bech,WR,LV,215.1,49,12483
215.3,Keon Coleman,WR,BUF,215.3,49,11637
215.9,Kaytron Allen,RB,WAS,215.9,51,13405
216,Demond Claiborne,RB,MIN,216,50,13347
216.1,Darren Waller,TE,CAR,216.1,7,2505
216.2,Emanuel Wilson,RB,SEA,216.2,30,11435
216.4,Mac Jones,QB,SF,216.4,28,7527
216.4,Samaje Perine,RB,CIN,216.4,5,4147
216.8,Jaydon Blue,RB,DAL,216.8,50,12457
217.2,Tyquan Thornton,WR,KC,217.2,31,8188
217.2,Justin Fields,QB,KC,217.2,22,7591
217.2,Darnell Washington,TE,PIT,217.2,37,9479
217.3,Keenan Allen,WR,IND,217.3,53,1479
218.1,Max Klare,TE,LAR,218.1,13,13278
218.7,Christian Kirk,WR,SF,218.7,33,4950
218.8,Caleb Douglas,WR,MIA,218.8,25,13296
219.3,Elic Ayomanor,WR,TEN,219.3,30,12499
219.3,Michael Mayer,TE,LV,219.3,49,9482
219.4,Carson Beck,QB,ARI,219.4,33,13272
219.4,Jaylen Wright,RB,MIA,219.4,37,11643
219.5,Anthony Richardson,QB,IND,219.5,15,9229
219.9,Jalen Tolbert,WR,MIA,219.9,16,8117
220.2,Darius Slayton,WR,NYG,220.2,12,6149
220.2,Isaiah Bond,WR,CLE,220.2,5,12503
220.3,Kaleb Johnson,RB,PIT,220.3,13,12504
220.6,Jordan James,RB,SF,220.6,27,12467
220.9,Elijah Sarratt,WR,BAL,220.9,49,13268
221.3,Erick All,TE,CIN,221.3,7,11592
221.4,Andrei Iosivas,WR,CIN,221.4,17,10226
221.7,Kyle Williams,WR,NE,221.7,14,12547
222.1,Dawson Knox,TE,BUF,222.1,11,5906
222.6,Skyler Bell,WR,BUF,222.6,27,13402
222.6,Marvin Mims,WR,DEN,222.6,17,9494
223.4,Justin Joly,TE,DEN,223.4,11,13400
223.9,Eli Raridon,TE,NE,223.9,20,13421
223.9,Kaelon Black,RB,SF,223.9,23,13414
224.2,Odell Beckham,WR,NYG,224.2,5,2078
224.3,Devaughn Vele,WR,NO,224.3,19,11834
224.4,Elijah Arroyo,TE,SEA,224.4,25,12521
224.5,Jameis Winston,QB,NYG,224.5,10,2306
224.6,Zavion Thomas,WR,CHI,224.6,5,13411
226.4,Ja'Tavion Sanders,TE,CAR,226.4,10,11600
227.1,Marquise Brown,WR,PHI,227.1,7,5848
227.2,Cade Klubnik,QB,NYJ,227.2,6,13303
228.4,Justice Hill,RB,BAL,228.4,12,5995
228.6,Isaiah Davis,RB,NYJ,228.6,8,11571
229.3,Oscar Delp,TE,NO,229.3,10,13319
229.3,Noah Gray,TE,KC,229.3,6,7828
229.5,Cole Kmet,TE,CHI,229.5,13,6826
233,Joe Flacco,QB,CIN,233,6,19
235.3,Jahan Dotson,WR,ATL,235.3,6,8119
235.7,Brenen Thompson,WR,LAC,235.7,6,13380
