year,ktc_snapshot_date,name,position,team,ktc_value,ktc_pos_rank,adp_stack_rank,adp_eff_rank,bb_avg_adp,adp_avg,competitor_adjusted_value,redraft_value_index,rebuilder_adjusted_value,rebuild_value_index,adp_synthetic,adp_source
2020,2020-09-10,Drew Lock,QB,,5000,14,24,24.0,166.0,166.0,2436,0.4872,7201,1.4402,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Justin Jefferson,WR,,4975,28,49,49.24,137.5,122.2,1740,0.3497,7383,1.484,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Aaron Rodgers,QB,,4972,15,13,12.88,111.5,111.5,4761,0.9576,5168,1.0394,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Noah Fant,TE,,4966,7,12,12.13,117.0,117.0,3326,0.6698,6367,1.2821,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,T.J. Hockenson,TE,,4886,8,15,15.23,130.0,130.0,2818,0.5767,6564,1.3434,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Tyler Boyd,WR,,4884,29,34,33.6,69.5,76.5,3646,0.7465,5923,1.2127,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,DeVante Parker,WR,,4849,30,26,26.1,63.0,63.0,4447,0.9171,5222,1.0769,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Kareem Hunt,RB,,4787,18,28,27.64,54.0,54.0,2433,0.5083,6657,1.3906,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,James Conner,RB,,4784,19,18,18.32,27.5,32.0,4049,0.8464,5466,1.1426,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Hunter Henry,TE,,4716,9,9,8.78,95.5,95.5,3943,0.8361,5433,1.152,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,David Montgomery,RB,,4649,20,27,26.84,60.5,53.3,2619,0.5633,6327,1.3609,,hwang_adjusted_positional_adp_2020
