format,year,pair_key,player_id_a,player_id_b
hwang,2021,RB_vs_WR,4018,6801
hwang,2021,RB_vs_WR,4018,1479
hwang,2021,RB_vs_WR,5892,1479
hwang,2021,RB_vs_WR,5892,2309
hwang,2021,RB_vs_WR,5892,6886
hwang,2021,RB_vs_WR,5892,2216
hwang,2021,RB_vs_WR,5892,7525
hwang,2021,RB_vs_WR,5892,7526
hwang,2021,RB_vs_WR,5850,2216
hwang,2021,RB_vs_WR,5850,7525
hwang,2021,RB_vs_WR,5850,7526
hwang,2021,RB_vs_WR,5850,4039
hwang,2021,RB_vs_WR,5850,5937
hwang,2021,RB_vs_WR,7593,7525
hwang,2021,RB_vs_WR,7593,7526
hwang,2021,RB_vs_WR,7593,4039
hwang,2021,RB_vs_WR,7593,5937
hwang,2021,RB_vs_WR,7593,6814
hwang,2021,RB_vs_WR,6955,4039
hwang,2021,RB_vs_WR,6955,5937
hwang,2021,RB_vs_WR,6955,6814
hwang,2021,RB_vs_WR,6955,7596
hwang,2021,RB_vs_WR,6151,4039
hwang,2021,RB_vs_WR,6151,5937
hwang,2021,RB_vs_WR,6151,6814
hwang,2021,RB_vs_WR,6151,7596
hwang,2021,RB_vs_WR,6151,2374
hwang,2021,RB_vs_WR,4098,7571
hwang,2021,RB_vs_WR,4098,5872
hwang,2021,RB_vs_WR,4098,7601
hwang,2021,RB_vs_WR,4098,4040
hwang,2021,RB_vs_WR,6828,7601
hwang,2021,RB_vs_WR,6828,4040
hwang,2021,RB_vs_WR,6828,7090
hwang,2021,RB_vs_WR,6828,3225
hwang,2021,RB_vs_WR,6828,6819
hwang,2021,RB_vs_WR,5980,4040
hwang,2021,RB_vs_WR,5980,7090
hwang,2021,RB_vs_WR,5980,3225
hwang,2021,RB_vs_WR,5980,6819
hwang,2021,RB_vs_WR,5980,4951
hwang,2021,RB_vs_WR,5980,5038
hwang,2021,RB_vs_WR,5000,4951
hwang,2021,RB_vs_WR,5000,5038
hwang,2021,RB_vs_WR,5000,6989
hwang,2021,RB_vs_WR,5000,4082
hwang,2021,RB_vs_WR,5000,5947
hwang,2021,RB_vs_WR,5000,2078
hwang,2021,RB_vs_WR,5000,1689
hwang,2021,RB_vs_WR,7607,4951
hwang,2021,RB_vs_WR,7607,5038
hwang,2021,RB_vs_WR,7607,6989
hwang,2021,RB_vs_WR,7607,4082
hwang,2021,RB_vs_WR,7607,5947
