format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,total_hvorp_a,total_hvorp_b,rel_diff_pct
hwang,archetype,2021,2026_3,RB_vs_WR,RB,WR,1650,125923.1,85634.3,38.1
hwang,archetype,2021,2026_3,RB_vs_TE,RB,TE,820,61030.3,46273.1,27.5
hwang,archetype,2021,2026_3,WR_vs_TE,WR,TE,1130,49330.5,61335.6,-21.7
hwang,archetype,2021,2026_4,QB_vs_RB,QB,RB,670,22870.3,76014.5,-107.5
hwang,archetype,2021,2026_4,QB_vs_WR,QB,WR,1110,36802,79755.6,-73.7
hwang,archetype,2021,2026_4,QB_vs_TE,QB,TE,400,8088.8,23724.9,-98.3
hwang,archetype,2021,2026_4,RB_vs_WR,RB,WR,1650,159420.8,104277.4,41.8
hwang,archetype,2021,2026_4,RB_vs_TE,RB,TE,820,75156.4,50105.8,40
hwang,archetype,2021,2026_4,WR_vs_TE,WR,TE,1130,61151,67443.5,-9.8
hwang,archetype,2021,2026_5,QB_vs_RB,QB,RB,670,70193.2,58653.3,17.9
hwang,archetype,2021,2026_5,QB_vs_WR,QB,WR,1110,115345.3,70714.1,48
hwang,archetype,2021,2026_5,QB_vs_TE,QB,TE,400,28997.2,20524.9,34.2
hwang,archetype,2021,2026_5,RB_vs_WR,RB,WR,1650,116487.3,92826.4,22.6
hwang,archetype,2021,2026_5,RB_vs_TE,RB,TE,820,56580.6,44011.1,25
hwang,archetype,2021,2026_5,WR_vs_TE,WR,TE,1130,53793.7,58871.8,-9
hwang,archetype,2021,2026_6,QB_vs_RB,QB,RB,670,49225.7,62545.5,-23.8
hwang,archetype,2021,2026_6,QB_vs_WR,QB,WR,1110,81481.5,68853.5,16.8
hwang,archetype,2021,2026_6,QB_vs_TE,QB,TE,400,19411.9,21789.5,-11.5
hwang,archetype,2021,2026_6,RB_vs_WR,RB,WR,1650,127154,90374.4,33.8
hwang,archetype,2021,2026_6,RB_vs_TE,RB,TE,820,60794.9,46481.3,26.7
hwang,archetype,2021,2026_6,WR_vs_TE,WR,TE,1130,52660.8,62177.4,-16.6
hwang,archetype,2021,2026_7,QB_vs_RB,QB,RB,670,48336.7,74008.1,-42
hwang,archetype,2021,2026_7,QB_vs_WR,QB,WR,1110,79929.1,85336.1,-6.5
hwang,archetype,2021,2026_7,QB_vs_TE,QB,TE,400,18883.6,24327.4,-25.2
hwang,archetype,2021,2026_7,RB_vs_WR,RB,WR,1650,153858,111930.2,31.5
hwang,archetype,2021,2026_7,RB_vs_TE,RB,TE,820,72855.1,51399,34.5
hwang,archetype,2021,2026_7,WR_vs_TE,WR,TE,1130,66005.3,69091.3,-4.6
hwang,year,2022,,QB_vs_RB,QB,RB,25200,1706828.9,1885667.2,-10
hwang,year,2022,,QB_vs_WR,QB,WR,40000,2800726.9,2126621.1,27.4
hwang,year,2022,,QB_vs_TE,QB,TE,11800,670753.2,525848.1,24.2
hwang,year,2022,,RB_vs_WR,RB,WR,78200,5883580.2,3697786.2,45.6
hwang,year,2022,,RB_vs_TE,RB,TE,33400,1693471.5,1454634.3,15.2
hwang,year,2022,,WR_vs_TE,WR,TE,37400,1388828.4,1750324,-23
hwang,archetype,2022,2024_1,QB_vs_RB,QB,RB,1260,121727.5,100100.1,19.5
hwang,archetype,2022,2024_1,QB_vs_WR,QB,WR,2000,201852.8,124479.7,47.4
hwang,archetype,2022,2024_1,QB_vs_TE,QB,TE,590,50156.8,31652.1,45.2
hwang,archetype,2022,2024_1,RB_vs_WR,RB,WR,3910,313087,216853.4,36.3
hwang,archetype,2022,2024_1,RB_vs_TE,RB,TE,1670,90211.6,88931.4,1.4
hwang,archetype,2022,2024_1,WR_vs_TE,WR,TE,1870,82593.3,104513.1,-23.4
hwang,archetype,2022,2024_2,QB_vs_RB,QB,RB,1260,112133.5,102815.7,8.7
hwang,archetype,2022,2024_2,QB_vs_WR,QB,WR,2000,185721.1,125074.7,39
hwang,archetype,2022,2024_2,QB_vs_TE,QB,TE,590,44073.5,33392,27.6
hwang,archetype,2022,2024_2,RB_vs_WR,RB,WR,3910,320684.1,219578.5,37.4
hwang,archetype,2022,2024_2,RB_vs_TE,RB,TE,1670,92849.5,92468.1,0.4
hwang,archetype,2022,2024_2,WR_vs_TE,WR,TE,1870,83619.3,110679.9,-27.9
hwang,archetype,2022,2024_3,QB_vs_RB,QB,RB,1260,98267.6,96420.6,1.9
hwang,archetype,2022,2024_3,QB_vs_WR,QB,WR,2000,157049.2,126633.9,21.4
hwang,archetype,2022,2024_3,QB_vs_TE,QB,TE,590,38624.3,29346.1,27.3
hwang,archetype,2022,2024_3,RB_vs_WR,RB,WR,3910,301605.1,221883.9,30.5
hwang,archetype,2022,2024_3,RB_vs_TE,RB,TE,1670,86301.2,81272.5,6
hwang,archetype,2022,2024_3,WR_vs_TE,WR,TE,1870,84479.5,97407.8,-14.2
hwang,archetype,2022,2024_4,QB_vs_RB,QB,RB,1260,88769.6,112832.4,-23.9
hwang,archetype,2022,2024_4,QB_vs_WR,QB,WR,2000,144398.8,128106.9,12
hwang,archetype,2022,2024_4,QB_vs_TE,QB,TE,590,33996.5,32998.9,3
hwang,archetype,2022,2024_4,RB_vs_WR,RB,WR,3910,350902.5,223935.2,44.2
hwang,archetype,2022,2024_4,RB_vs_TE,RB,TE,1670,103334.7,92149.9,11.4
hwang,archetype,2022,2024_4,WR_vs_TE,WR,TE,1870,85223.7,109733.3,-25.1
hwang,archetype,2022,2024_5,QB_vs_RB,QB,RB,1260,108437.9,122691.1,-12.3
hwang,archetype,2022,2024_5,QB_vs_WR,QB,WR,2000,178806.1,141983.5,23
hwang,archetype,2022,2024_5,QB_vs_TE,QB,TE,590,44271.3,36527.8,19.2
hwang,archetype,2022,2024_5,RB_vs_WR,RB,WR,3910,382724.5,249280.5,42.2
hwang,archetype,2022,2024_5,RB_vs_TE,RB,TE,1670,113765.8,102217.4,10.7
hwang,archetype,2022,2024_5,WR_vs_TE,WR,TE,1870,95394.7,120653.7,-23.4
hwang,archetype,2022,2024_6,QB_vs_RB,QB,RB,1260,117611.3,108235.2,8.3
hwang,archetype,2022,2024_6,QB_vs_WR,QB,WR,2000,195676.5,127352.2,42.3
hwang,archetype,2022,2024_6,QB_vs_TE,QB,TE,590,48083.2,33427.2,36
hwang,archetype,2022,2024_6,RB_vs_WR,RB,WR,3910,337491.5,223549.4,40.6
hwang,archetype,2022,2024_6,RB_vs_TE,RB,TE,1670,98539.7,93727.2,5
hwang,archetype,2022,2024_6,WR_vs_TE,WR,TE,1870,85385,109674.6,-24.9
hwang,archetype,2022,2025_1,QB_vs_RB,QB,RB,1260,96430.2,78371.8,20.7
hwang,archetype,2022,2025_1,QB_vs_WR,QB,WR,2000,159968.3,107154.8,39.5
hwang,archetype,2022,2025_1,QB_vs_TE,QB,TE,590,37975.9,25334.4,39.9
