format,year,archetype_id,player_id,avg_hvorp,build_count
hwang,2021,2024_2,7553,84.5,10
hwang,2021,2024_2,7559,1.9,10
hwang,2021,2024_2,7561,104.2,10
hwang,2021,2024_2,7564,166.8,10
hwang,2021,2024_2,7565,1.4,10
hwang,2021,2024_2,7567,48,10
hwang,2021,2024_2,7568,23.7,10
hwang,2021,2024_2,7569,17,10
hwang,2021,2024_2,7571,26.4,10
hwang,2021,2024_2,7585,48.8,10
hwang,2021,2024_2,7587,2.5,10
hwang,2021,2024_2,7588,108.7,10
hwang,2021,2024_2,7591,47.6,10
hwang,2021,2024_2,7593,13.6,10
hwang,2021,2024_2,7594,63,10
hwang,2021,2024_2,7595,0,10
hwang,2021,2024_2,7596,68.7,10
hwang,2021,2024_2,7600,61.3,10
hwang,2021,2024_2,7601,27.2,10
hwang,2021,2024_2,7602,0.7,10
hwang,2021,2024_2,7606,23.7,10
hwang,2021,2024_2,7607,85.7,10
hwang,2021,2024_2,7608,40.6,10
hwang,2021,2024_2,7610,21.5,10
hwang,2021,2024_2,7611,65.3,10
hwang,2021,2024_2,7670,22.6,10
hwang,2021,2024_2,7694,14.9,10
hwang,2021,2024_2,7713,0.9,10
hwang,2021,2024_2,7720,5.6,10
hwang,2021,2024_2,7794,12.1,10
hwang,2021,2024_2,7828,2.9,10
hwang,2021,2024_3,19,12.2,10
hwang,2021,2024_3,96,163,10
hwang,2021,2024_3,421,149.6,10
hwang,2021,2024_3,827,35.9,10
hwang,2021,2024_3,1049,91.9,10
hwang,2021,2024_3,1166,129.9,10
hwang,2021,2024_3,1234,75.7,10
hwang,2021,2024_3,1339,76.3,10
hwang,2021,2024_3,1352,66,10
hwang,2021,2024_3,1426,75,10
hwang,2021,2024_3,1466,148.3,10
hwang,2021,2024_3,1479,96.6,10
hwang,2021,2024_3,1535,132.9,10
hwang,2021,2024_3,1689,92.7,10
hwang,2021,2024_3,1837,91,10
hwang,2021,2024_3,2028,97.8,10
hwang,2021,2024_3,2078,46.3,10
hwang,2021,2024_3,2133,162.3,10
hwang,2021,2024_3,2161,2.9,10
hwang,2021,2024_3,2197,90.3,10
hwang,2021,2024_3,2216,126,10
hwang,2021,2024_3,2306,53,10
hwang,2021,2024_3,2307,0.4,10
hwang,2021,2024_3,2309,85.4,10
hwang,2021,2024_3,2319,34.1,10
hwang,2021,2024_3,2325,35.3,10
hwang,2021,2024_3,2374,98.9,10
hwang,2021,2024_3,2449,111.6,10
hwang,2021,2024_3,2505,61.6,10
hwang,2021,2024_3,2711,88.4,10
hwang,2021,2024_3,2749,0,10
hwang,2021,2024_3,3163,61.4,10
hwang,2021,2024_3,3164,142.3,10
hwang,2021,2024_3,3198,146.5,10
hwang,2021,2024_3,3202,32.1,10
hwang,2021,2024_3,3214,77.7,10
hwang,2021,2024_3,3225,70.3,10
hwang,2021,2024_3,3271,44.1,10
hwang,2021,2024_3,3286,20.9,10
hwang,2021,2024_3,3294,180.1,10
hwang,2021,2024_3,3321,139.8,10
hwang,2021,2024_3,3634,39.2,10
hwang,2021,2024_3,3976,0,10
hwang,2021,2024_3,4018,186,10
hwang,2021,2024_3,4029,125,10
hwang,2021,2024_3,4033,47.3,10
hwang,2021,2024_3,4034,66.2,10
