league,match_id,minute,elapsed,elapsed_plus
England Premier League,1851,87,87,0
England Premier League,1852,10,10,0
England Premier League,1852,27,27,0
England Premier League,1852,83,83,0
England Premier League,1853,31,31,0
England Premier League,1853,36,36,0
England Premier League,1853,46,45,1
England Premier League,1853,50,50,0
England Premier League,1853,66,66,0
England Premier League,1853,75,75,0
England Premier League,1854,46,45,1
England Premier League,1854,84,84,0
England Premier League,1854,88,88,0
England Premier League,1854,94,90,4
England Premier League,1855,10,10,0
England Premier League,1855,50,50,0
England Premier League,1855,72,72,0
England Premier League,1855,89,89,0
England Premier League,1856,44,44,0
England Premier League,1857,83,83,0
England Premier League,1857,94,90,4
England Premier League,1858,88,88,0
England Premier League,1859,47,45,2
England Premier League,1859,63,63,0
England Premier League,1859,87,87,0
England Premier League,1860,84,84,0
England Premier League,1861,19,19,0
England Premier League,1861,41,41,0
England Premier League,1861,49,49,0
England Premier League,1862,18,18,0
England Premier League,1862,46,45,1
England Premier League,1863,45,45,0
England Premier League,1863,82,82,0
England Premier League,1864,19,19,0
England Premier League,1864,29,29,0
England Premier League,1864,55,55,0
England Premier League,1864,78,78,0
England Premier League,1865,2,2,0
England Premier League,1865,69,69,0
England Premier League,1865,85,85,0
England Premier League,1866,70,70,0
England Premier League,1866,75,75,0
England Premier League,1868,91,90,1
England Premier League,1869,68,68,0
England Premier League,1869,87,87,0
England Premier League,1870,11,11,0
England Premier League,1870,60,60,0
England Premier League,1870,80,80,0
England Premier League,1871,59,59,0
England Premier League,1871,70,70,0
England Premier League,1872,7,7,0
England Premier League,1872,22,22,0
England Premier League,1872,60,60,0
England Premier League,1872,76,76,0
England Premier League,1873,53,53,0
England Premier League,1874,61,61,0
England Premier League,1874,66,66,0
England Premier League,1874,86,86,0
England Premier League,1875,90,90,0
England Premier League,1876,4,4,0
England Premier League,1876,54,54,0
England Premier League,1876,67,67,0
England Premier League,1877,29,29,0
England Premier League,1877,65,65,0
England Premier League,1877,82,82,0
England Premier League,1877,86,86,0
England Premier League,1878,60,60,0
England Premier League,1878,88,88,0
England Premier League,1878,94,90,4
England Premier League,1879,55,55,0
England Premier League,1880,8,8,0
England Premier League,1880,21,21,0
England Premier League,1880,25,25,0
England Premier League,1880,57,57,0
England Premier League,1881,33,33,0
England Premier League,1881,51,51,0
England Premier League,1882,22,22,0
England Premier League,1882,44,44,0
England Premier League,1882,60,60,0
England Premier League,1882,65,65,0
